"active" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "awkward" "benevolent" "calm" "capable" "careless" "certain" "cheerful" "civil" "clever" "cold" "consistent" "constant" "cool" "courteous" "deep" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "elegant" "excessive" "fearful" "foolish" "friendly" "generous" "gentle" "hasty" "honest" "humble" "ignorant" "impatient" "independent" "indifferent" "indulgent" "intimate" "jealous" "judicious" "kind" "lively" "loud" "maternal" "mild" "modest" "moral" "natural" "noisy" "particular" "playful" "pleasant" "proper" "proud" "quick" "quiet" "rational" "reasonable" "rough" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "solemn" "steady" "strict" "tender" "thorough" "thoughtful" "timid" "unkind" "unreasonable" "vain" "warm" "worldly" "wild"
"constant" 2 1 1 2 0 1 1 1 1 1 2 0 3 1 1 2 0 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 1 1 0 3 0 1 1 0 1 2 1 0 1 1 0 2 2 1 0 0 2 1 4 1 3 0 3 2 0 0 2 0 1 0 0 0 2 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0
"cool" 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"courteous" 1 0 0 3 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0
"deep" 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 2 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 2 0 0 0 1 0 0 0 2 1 0 0 2 4 0 0 1 1 0 0 0 0 0 0 0 0 2 0 1
"determined" 1 0 4 3 1 1 4 1 0 1 4 0 1 2 1 0 3 0 1 2 0 0 0 0 0 1 0 4 1 1 3 1 1 2 0 2 3 2 0 0 1 5 1 0 1 2 2 3 2 0 0 1 0 1 6 1 1 2 5 6 1 2 1 3 3 0 1 2 1 0 2 0 0 0 2 3 0 0 0 0 0 0 0 2 1 0 0
"dignified" 0 1 0 1 0 2 1 0 0 0 1 1 2 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0
"direct" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 3 0 0 0 0 2 3 1 0 0 1 2 0 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 1 0 3 0 0
"distant" 1 1 1 2 0 2 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 1 3 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 2 0 0 2 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"dull" 0 0 1 0 0 1 3 0 1 0 0 1 0 0 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0
"eager" 2 0 1 3 0 2 3 0 0 1 3 1 1 1 1 1 1 0 1 1 1 2 4 0 1 1 0 0 1 2 1 0 0 2 0 1 0 0 1 0 3 0 1 1 1 0 2 3 2 1 0 1 2 1 5 1 2 0 4 1 3 3 0 0 0 0 1 1 4 0 2 3 1 0 1 1 0 1 0 0 0 0 0 1 2 0 0
"earnest" 0 0 0 2 1 0 3 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 1 1 0 1 2 2 0 0 1 0 2 1 0 0 1 1 0 2 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0
"elegant" 0 0 1 8 0 1 2 1 0 2 2 1 2 1 0 2 2 0 2 0 1 0 1 0 0 0 0 2 1 0 0 0 1 0 0 2 0 1 1 0 0 2 0 1 1 0 0 1 4 1 0 2 3 0 4 0 3 1 5 3 1 4 1 0 1 1 1 0 3 0 1 1 1 0 0 1 0 2 0 1 0 0 0 1 2 0 0
"excessive" 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 2 0 2 1 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0
"fearful" 0 1 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0
"foolish" 0 0 0 2 0 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2 0 3 1 0 2 3 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"friendly" 2 0 0 3 0 0 3 0 1 0 2 1 0 0 0 0 0 0 1 0 0 1 2 0 1 3 0 2 2 0 1 0 1 0 0 2 0 2 0 0 0 1 2 0 0 2 0 2 1 1 0 0 1 3 4 1 2 1 3 3 1 2 2 2 3 0 0 1 3 1 2 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0
"generous" 0 0 0 1 0 1 1 1 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 2 1 0 0 1 0 0
"gentle" 1 1 0 5 0 3 3 0 1 0 3 1 2 1 1 3 1 0 3 0 2 1 2 1 1 2 0 1 0 2 1 0 1 2 0 0 0 0 0 0 0 1 1 0 1 1 0 2 1 1 0 0 2 1 2 1 2 1 2 3 1 1 2 0 1 0 0 0 3 0 3 0 0 1 1 3 0 2 2 2 0 0 3 0 3 0 2
"hasty" 0 0 2 3 0 0 1 1 0 0 1 0 1 2 0 1 2 0 0 0 0 0 3 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 2 1 0 0 0 0 2 0 1 0 2 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0
"honest" 0 1 0 2 1 0 2 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 2 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 1 0 2 0 0 1 0 0 2 0 1 1 2 1 0 0 0 1 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"humble" 2 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 1 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0
"ignorant" 0 0 1 0 1 1 3 0 1 0 0 1 0 0 0 1 1 3 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"impatient" 3 0 1 1 1 0 4 0 0 0 0 0 0 3 4 0 0 1 1 1 1 0 1 0 0 0 0 3 0 0 2 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 4 0 0 1 0 2 1 3 0 2 0 2 2 1 1 3 0 1 0 0 0 1 0 0 1 0 2 0 2 1 0 0 1 1 1 0 1 0 1 1
"independent" 0 0 1 3 0 0 2 1 0 1 3 0 1 1 1 0 2 0 2 0 0 0 5 0 0 0 0 0 0 2 1 1 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 3 0 0 0 4 2 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"indifferent" 1 0 0 3 0 1 2 0 0 2 0 0 2 0 0 1 0 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 2 1 0 2 1 2 4 0 0 2 1 1 0 0 2 2 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
"indulgent" 0 0 1 1 0 0 2 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 0 2 1 0 2 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0
"intimate" 1 0 0 3 0 1 1 0 0 1 1 0 4 0 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 5 1 0 1 0 1 3 0 0 0 0 1 1 0 1 1 0 0 0 2 2 0 1 2 0 0 1 0 0 0 1
"jealous" 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 1 1 2 0 0 0 0 2 2 0 1 2 0 1 0 0 0 1 2 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0
"judicious" 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 1 1 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"kind" 2 0 3 8 0 3 4 0 0 1 2 2 2 1 4 3 4 1 2 0 0 1 3 1 1 0 1 3 2 1 2 0 0 2 1 2 1 0 2 1 4 2 1 0 0 1 1 0 5 0 1 2 3 1 7 0 4 1 8 4 1 2 1 1 5 0 1 3 6 1 3 3 2 0 1 1 0 1 1 1 0 1 0 2 5 1 1
"lively" 1 0 1 6 1 3 3 0 1 1 2 2 2 2 1 1 4 1 2 0 0 1 2 1 3 1 1 2 1 4 0 1 0 1 0 1 2 2 0 1 0 2 1 1 2 2 1 5 0 1 0 1 0 2 7 1 3 2 7 4 1 2 1 0 1 1 1 1 5 0 3 2 2 1 1 2 0 0 0 0 0 1 0 3 7 0 0
"loud" 0 1 0 2 0 2 2 1 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 1 2 0 2 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0
"maternal" 0 0 1 1 0 0 2 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 2 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 2 0 0
"mild" 0 0 0 2 0 0 1 0 0 1 2 1 1 2 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 2 0 2 0 3 1 0 2 1 0 0 1 0 1 1 1 3 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0
"modest" 2 0 3 4 0 1 2 1 1 2 4 1 2 1 1 2 0 2 2 0 1 0 0 0 0 0 1 2 0 3 0 0 3 1 0 2 0 0 1 1 2 1 0 1 1 0 0 3 0 0 1 0 0 0 2 0 1 0 4 5 1 4 2 0 1 1 0 0 4 0 1 2 0 0 0 1 0 2 1 0 0 1 0 0 2 0 0
"moral" 2 0 0 0 0 2 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 2 0 0 1 1 0 1 0 0 3 0 1 0 0 1 0 1 0 2 0 0 2 0 1 2 0 0 0 0 0 1 1 1 1 0 3 0 0 2 1 1 0 1 2 1 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0
"natural" 3 0 3 12 2 3 6 2 1 3 5 1 7 4 3 2 5 1 4 0 0 1 6 2 3 2 1 5 1 4 1 2 0 4 3 2 2 2 1 1 3 3 1 1 1 2 2 7 7 2 1 2 2 1 0 0 4 1 10 8 1 3 5 3 3 1 1 1 5 2 5 4 2 2 2 2 0 2 1 1 4 1 1 1 5 1 1
"noisy" 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 1 1 0 1 2 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0
"particular" 1 1 1 6 0 1 2 1 0 1 2 1 4 1 1 2 1 0 3 0 0 1 1 0 0 0 1 2 1 3 0 0 2 2 1 2 1 1 1 0 2 0 2 1 5 1 1 4 3 2 0 2 1 1 4 0 0 2 2 1 0 3 4 1 2 0 1 2 2 1 3 0 1 0 1 3 2 1 2 2 1 0 2 1 1 0 1
"playful" 0 0 0 2 1 1 1 0 0 0 1 2 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 2 1 1 2 0 0 0 0 1 1 0 2 0 1 0 0 1 1 1 2 0 0 1 0 0 1 0 0 0 0 2 0 0 1 1 0 0 0 2 0 0 1
"pleasant" 2 2 1 15 0 2 3 0 0 2 3 1 4 4 3 4 5 0 3 2 1 2 5 0 1 2 0 4 2 5 1 0 3 3 0 2 2 2 1 0 2 4 2 2 0 0 0 8 7 2 2 3 4 0 10 2 2 1 0 6 1 5 6 1 2 1 1 3 5 1 5 4 2 1 0 3 0 4 1 1 0 1 2 2 6 1 1
"proper" 4 0 4 5 0 2 7 1 2 2 5 0 4 2 3 4 2 2 2 1 0 0 6 0 2 0 1 1 0 3 1 1 1 3 1 3 1 1 1 1 2 2 4 1 1 1 0 4 4 0 1 1 5 3 8 0 1 0 6 0 1 4 4 0 1 1 2 1 5 1 2 0 0 0 2 4 1 0 0 0 1 1 0 0 3 1 0
"proud" 0 0 1 2 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 3 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0
"quick" 0 0 2 5 0 1 4 0 1 1 3 3 3 1 1 3 2 1 0 0 0 0 2 0 0 0 1 3 1 4 0 0 2 2 0 1 1 0 0 1 1 0 0 2 1 0 2 2 2 0 0 2 4 0 3 0 3 1 5 4 0 0 2 0 1 1 1 1 5 0 2 1 1 0 1 1 0 2 1 1 0 0 1 2 1 0 0
"quiet" 4 0 1 7 0 2 3 1 0 0 2 0 6 3 1 0 2 0 2 0 0 1 1 0 0 1 0 0 0 1 1 0 3 2 0 2 1 0 1 0 3 0 2 1 3 0 0 1 1 1 1 1 2 2 5 1 4 1 6 4 0 2 0 0 0 1 0 1 2 1 3 1 0 1 0 3 1 4 1 3 1 1 0 0 0 1 1
"rational" 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 1 0 0 2 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 3 0 1 1 1 0 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0
"reasonable" 0 0 1 3 1 2 0 0 0 0 3 0 2 2 0 1 2 0 1 0 0 0 3 1 0 1 0 0 1 1 1 0 0 3 0 1 0 2 1 0 1 1 1 0 0 2 1 5 1 1 1 0 1 1 3 1 2 2 2 1 1 1 0 2 0 0 1 2 2 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0
"rough" 1 0 0 1 0 1 1 0 0 0 2 0 2 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0
"scrupulous" 0 0 2 3 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 1 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 2 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0
"selfish" 1 0 0 2 0 2 1 0 0 0 1 0 2 0 0 2 2 0 0 1 1 1 2 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 1 1 1 3 1 0 0 1 0 2 1 1 2 1 3 1 1 1 1 1 2 0 1 0 1 1 0 1 1 0 0 1 0 2 0 0 1 0 0 1 1 1 0
"serious" 0 1 1 5 0 1 5 0 2 3 4 3 3 0 0 5 1 2 2 1 1 0 1 2 1 0 1 4 1 3 2 2 1 3 1 3 0 2 1 1 1 2 2 1 1 1 1 6 5 0 0 1 4 1 5 1 2 0 5 5 1 5 2 0 2 0 0 1 0 0 6 2 2 0 1 2 2 2 2 0 0 0 0 1 6 3 0
"severe" 1 0 0 1 0 0 1 2 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 2 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 2 0 2 0 0
"silent" 0 0 3 3 0 1 3 0 1 3 1 0 2 1 0 0 2 0 1 1 0 2 2 0 1 1 0 2 2 1 0 1 0 2 0 3 1 0 0 0 0 1 2 1 1 1 0 3 3 0 0 3 1 1 5 1 3 1 5 2 0 2 3 1 1 0 0 0 6 1 0 2 1 0 0 3 0 1 1 2 0 0 0 0 3 1 1
"simple" 1 1 1 3 0 2 1 0 0 1 1 0 2 0 1 2 2 0 2 1 0 4 0 0 1 1 0 3 1 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 3 2 1 0 0 2 1 4 1 0 0 4 0 0 1 1 0 1 0 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1
"sincere" 1 0 0 2 0 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 2 0 0 1 0 0 2 0 1 0 2 0 0 1 0 0 0 0 0 1 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0
