"affected" "affectionate" "agreeable" "amiable" "anxious" "bold" "boyish" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "clever" "cold" "compassionate" "confident" "confused" "considerate" "constant" "cordial" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "expressive" "faithful" "fierce" "foolish" "friendly" "generous" "genteel" "gentle" "gloomy" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "indifferent" "inexperienced" "ingenious" "jealous" "kind" "lazy" "lively" "loving" "merry" "mild" "modest" "narrow" "natural" "nervous" "orderly" "original" "particular" "passionate" "patient" "placid" "pleasant" "polite" "practical" "profound" "proud" "quick" "quiet" "reproachful" "respectful" "restless" "rough" "selfish" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "solemn" "steady" "stern" "stormy" "tender" "thoughtful" "timid" "vague" "vain" "violent" "warm" "wild" "wise" "worldly"
"cordial" 0 1 0 0 0 1 1 0 2 1 0 0 2 2 2 1 1 0 0 0 0 0 0 0 0 0 1 3 3 1 3 0 0 1 0 1 0 0 3 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 3 0 0 0 2 0 0 0 2 0 0 0 1 3 3 0 0 0 0 0 0 1 0 0 2 1 0 0 1 1 0 0 2 0 0 1 0 0 2 0 0
"cruel" 0 3 5 3 2 0 1 1 2 2 0 2 2 3 3 1 3 0 0 0 0 1 0 0 1 4 0 2 0 1 4 0 1 1 2 2 3 0 1 1 1 0 3 0 0 0 0 1 0 2 4 1 0 0 0 0 0 0 4 0 0 1 2 1 1 1 7 0 0 0 2 1 7 1 3 2 0 2 1 4 2 0 8 0 1 2 0 0 0 3 1 0 1 1 1 0 2 0 1
"curious" 0 1 1 1 4 4 0 0 3 1 2 2 6 0 1 1 1 0 0 0 1 3 0 1 0 5 0 1 4 0 0 1 1 2 1 3 1 2 2 1 1 1 0 0 0 0 2 0 1 0 4 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 4 0 0 0 2 2 3 0 1 1 3 1 1 0 0 1 4 1 0 1 2 3 1 0 2 1 0 2 1 0 4 0 2
"deep" 0 4 3 0 3 4 1 1 4 2 0 0 9 1 2 0 3 0 2 1 0 0 0 4 5 0 1 2 2 1 3 0 0 0 3 1 0 4 5 1 2 0 3 1 1 2 1 1 0 1 3 4 0 1 1 1 0 2 4 1 0 2 2 0 1 0 8 0 1 4 3 3 5 0 3 3 2 1 0 2 0 0 3 0 1 2 2 2 2 1 1 0 0 1 2 0 4 0 0
"determined" 0 2 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 3 2 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 3 1 0
"distant" 0 1 6 2 1 1 0 0 4 1 2 0 7 3 2 0 5 0 2 0 0 0 3 2 1 2 3 0 1 0 1 0 0 0 0 4 0 2 3 2 0 1 2 1 0 0 1 0 1 0 3 1 0 1 0 1 0 0 5 0 2 2 5 1 0 3 4 1 1 0 4 2 9 0 1 1 1 2 1 0 0 1 3 1 2 0 1 2 2 2 2 2 2 2 0 1 2 1 0
"dull" 1 3 1 1 5 1 0 1 3 1 3 2 1 5 2 2 2 0 1 1 0 1 3 0 4 2 2 1 0 1 1 1 0 3 1 1 1 2 4 4 0 0 1 0 0 2 0 0 2 1 4 0 1 0 3 1 1 3 6 1 1 1 3 2 0 2 7 0 0 0 3 2 6 2 0 0 1 0 3 0 0 1 5 0 2 0 4 1 0 0 2 1 0 4 1 1 7 0 0
"eager" 0 0 1 0 0 0 1 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0 1 1 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"earnest" 0 5 1 1 2 3 1 3 5 1 0 0 6 4 2 4 2 1 2 0 2 1 3 4 0 3 1 1 1 1 0 1 1 0 0 2 3 0 4 0 1 0 1 0 1 2 3 1 0 0 4 2 0 0 0 2 4 0 5 1 0 0 3 0 1 1 5 0 2 2 4 3 6 1 1 1 3 2 1 3 1 1 3 3 3 1 1 0 0 4 2 2 1 0 1 0 6 0 0
"expressive" 0 0 1 1 2 0 0 0 1 2 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 0 0 2 1 0 0 2 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 1 0 0 0 0 3 0 1 0 1 0 3 0 2 1 0 1 0 1 0 2 1 0 1 1 3 0 1
"faithful" 0 0 0 0 1 2 0 1 2 0 0 1 5 1 1 2 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 1 3 1 1 0 3 0 1 0 0 1 0 0 1 1 0 1 2 0 0 0 1 1 2 0 3 0 0 1 0 1 0 0 1 0 0 1 1 1 4 0 1 2 1 0 0 3 0 0 1 2 0 1 1 0 0 1 0 0 1 0 1 1 3 1 0
"fierce" 0 0 0 0 0 1 0 0 0 0 1 1 3 0 1 0 1 0 0 0 0 0 1 1 2 0 0 0 3 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 1 0 2 1 0 0 0 2 1 0 0 1 0 1 0 0 2 2 0 1 0 0 0 0 1 0 0 1 0 0 1 3 0 0 0 0 1 0 1 0 1 4 0 0
"foolish" 0 2 3 0 4 0 0 0 7 3 0 2 2 2 2 2 2 1 0 0 1 0 0 2 1 3 0 0 1 1 0 1 3 1 0 2 0 0 7 1 3 0 0 0 1 0 0 2 1 1 5 1 0 3 2 0 1 0 3 0 1 1 1 2 2 0 2 0 2 1 2 1 7 1 1 1 3 0 0 5 0 1 5 1 0 3 0 0 0 1 0 2 1 1 1 1 4 0 0
"friendly" 0 1 6 3 2 2 1 0 5 3 0 1 9 2 1 0 3 1 1 3 0 0 1 2 3 1 0 4 1 0 2 1 1 0 2 0 0 3 4 1 0 2 0 2 0 1 1 1 1 1 6 0 0 1 1 3 1 1 5 0 0 1 5 0 0 0 7 0 0 2 3 4 4 1 1 0 3 2 1 1 1 1 2 3 1 1 1 1 0 1 5 1 1 1 1 0 3 1 3
"generous" 1 1 1 0 2 2 0 1 0 1 0 0 1 0 1 2 0 1 0 0 0 2 0 3 1 0 0 0 1 0 3 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 2 1 0 0 0 1 0 0 2 0 0 0 2 0 1 0 1 0 0 0 3 0 2 0 0 1 2 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 2 1 1
"genteel" 0 1 1 1 4 0 0 0 2 2 1 1 6 1 0 0 0 0 0 1 0 0 0 0 2 4 0 2 2 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 2 0 1 1 1 1 0 1 0 2 1 1 2 2 3 2 0 2 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 2 0 0 0
"gentle" 0 6 3 1 4 3 3 2 8 6 2 3 7 3 1 3 6 4 1 1 2 0 3 1 2 5 1 3 4 0 4 2 3 1 7 4 1 0 0 2 1 1 3 3 2 1 3 2 1 0 6 1 1 3 1 1 3 0 7 1 0 2 4 1 1 1 5 1 1 1 3 6 11 2 0 2 4 0 2 4 1 1 6 2 1 1 0 0 1 4 4 3 3 0 0 3 5 0 0
"gloomy" 0 1 2 0 1 2 0 0 2 1 0 0 2 1 1 0 0 0 0 0 0 0 1 1 1 1 1 2 4 1 0 1 0 1 1 1 0 0 2 0 0 0 0 0 0 1 0 1 1 1 3 0 0 0 0 0 0 2 2 1 0 0 3 1 0 1 1 0 0 0 1 0 4 0 0 0 1 2 0 1 1 1 2 1 0 1 1 1 1 0 0 0 0 1 0 0 3 0 1
"gracious" 0 1 2 2 3 2 0 0 2 1 0 0 1 2 1 1 0 1 2 0 0 0 0 1 1 2 0 0 0 0 1 0 1 1 3 0 0 1 1 0 0 0 1 0 0 2 0 0 0 1 2 0 0 0 1 2 1 1 4 1 2 0 0 1 0 1 3 0 0 1 0 2 1 1 1 1 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 2 1 3 0 0
"hearty" 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 2 3 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 2 1 0 0 4 0 0 0 0 0 3 1 2 1 0 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0
"honest" 0 1 3 2 2 2 1 0 3 1 1 1 5 2 1 0 2 0 1 1 0 1 1 3 0 3 1 2 1 0 1 2 0 0 0 0 1 0 3 0 1 1 0 0 0 0 2 0 0 0 3 2 1 0 1 0 0 0 3 0 0 1 3 0 0 0 5 1 0 0 2 0 3 0 0 1 3 2 1 1 2 1 5 1 5 2 1 3 1 0 1 3 1 0 0 0 2 0 0
"humble" 0 1 1 0 2 0 0 0 0 0 0 0 2 0 0 0 3 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 2 0 0 3 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 1 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0
"ignorant" 0 0 0 0 0 0 0 0 2 1 0 0 3 0 0 0 3 0 0 0 1 1 0 0 0 1 0 0 0 2 1 1 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 2 0 1 1 0 2 1 0 1 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 2 0 1 1 2 1 0 0 1 0 0 0 0 0 0 1 1 0 1 2 2 1 0
"immovable" 0 0 1 0 0 1 0 0 1 2 0 0 1 2 0 0 1 0 3 0 0 1 0 0 0 2 0 0 2 0 2 1 0 0 0 1 0 1 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 2 0 0 1 2 0 0 0 3 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1
