"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bold" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "clever" "coarse" "cold" "complicated" "confident" "confused" "considerate" "constant" "cool" "cruel" "cunning" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "expressive" "faithful" "fearful" "fierce" "fiery" "foolish" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "intense" "jealous" "kind" "lively" "loud" "merry" "mild" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "pleasant" "polite" "profound" "prompt" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "respectful" "restless" "rigid" "rough" "rugged" "sarcastic" "scrupulous" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "smart" "solemn" "spirited" "steady" "stern" "strict" "thoughtful" "thoughtless" "tight" "timid" "uncouth" "vague" "vain" "violent" "vivid" "warm" "worldly" "wild" "wise"
"brisk" 1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 3 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 1 2 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 1 1 1 3 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"calm" 1 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 1 4 0 2 0 1 1 1 0 0 1 5 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 3 0 1 0 1 1 2 0 4 0 0 1 1 1 0 1 0 0 0 3 0 1 0 0 3 0 0 3 1 1 0 1 0 0 1 0 1 0 1 2 0 0 3 2 3 1 1 0 0 0 2 3 0 0 1 0 2 1 1 0 1 0 0 1 0 0 1 1 3 0 1 1 2 0
"capable" 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 1 2 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 1 4 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 2 1 2 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0
"careful" 0 0 1 1 0 5 3 1 0 1 0 0 0 0 0 2 0 3 1 4 0 1 0 1 2 0 0 0 0 3 1 1 1 3 2 1 0 0 0 1 0 2 1 1 0 0 2 2 0 0 1 1 1 1 0 0 1 1 1 0 1 0 4 0 0 2 0 1 1 0 1 2 0 1 2 0 0 2 0 0 1 1 1 1 2 2 0 0 1 0 0 0 0 2 1 1 1 1 0 0 0 0 1 0 1 1 0 1 0 2 0 3 0 0 3 0 1 1 1 2
"careless" 0 0 0 0 0 3 0 0 2 0 0 1 0 0 0 0 1 0 0 2 1 1 1 0 0 2 1 1 1 1 0 0 2 0 1 0 0 0 1 0 0 1 1 0 0 0 0 2 0 1 0 1 1 0 2 0 0 0 2 4 0 0 0 1 1 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 1 3 0 0 0 2 1 1 1 0 1 1 0 0 0 2 0 4 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 3 1 0 0 2 0
"certain" 3 3 4 5 5 10 6 2 1 6 0 0 1 2 0 0 6 2 1 6 1 0 1 1 4 2 4 4 3 4 2 2 6 3 4 2 1 3 0 1 2 5 3 1 0 6 3 2 3 3 1 2 6 2 3 2 2 1 1 2 0 2 2 8 3 5 2 1 5 2 12 3 1 6 9 3 2 8 1 8 2 8 5 2 2 12 2 2 2 2 3 0 2 1 3 11 4 5 2 6 1 3 6 2 2 1 1 2 2 5 1 1 3 2 8 1 4 2 2 2
"cheerful" 3 0 2 1 1 2 2 1 0 4 3 1 0 0 1 6 0 1 0 5 0 2 0 0 0 2 0 0 1 2 0 1 2 4 1 3 1 3 0 0 1 0 2 0 3 2 2 0 0 0 0 0 1 3 5 2 0 0 1 2 1 0 1 3 2 2 0 0 1 0 2 0 1 3 6 0 0 5 2 4 1 3 3 2 2 7 1 2 1 1 0 1 3 1 1 1 1 6 1 2 2 1 0 1 2 0 0 0 1 1 0 0 2 1 1 0 7 0 2 1
"clever" 0 0 1 1 2 0 1 0 0 2 0 0 1 3 0 2 1 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 1 0 2 1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 3 0 1 2 0 0 1 0 0 1 1 3 0 1 0 0 0 1 0 2 2 0 0 0 0 0 1 3 1 0 1 0 0 0 0 0 1 0 0 2 0 2 1 1 1 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"coarse" 0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 0 3 0 1 1 0 1 0 0 0 2 2 0 0 1 1 0 2 1 1 1 1 1 2 1 1 0 1 2 1 1 0 1 4 1 1 3 0 0 0 0 0 0 0 0 1 0 8 1 0 1 1 0 2 1 2 3 0 1 2 0 1 0 0 1 0 2 1 0 1 1 0 1 0 0 0 1 0 2 4 1 2 0 0 2 1 0 1 0 0 0 0 1 1 0 0 2 0 1 0 1 0
"cold" 4 2 4 3 2 9 3 5 1 8 2 4 2 4 2 6 5 3 3 0 1 1 2 1 1 1 1 3 5 4 1 1 9 4 5 4 4 0 0 1 0 3 2 1 0 3 8 7 5 1 3 4 2 5 11 5 0 1 3 1 0 2 1 7 4 7 1 1 4 0 3 4 2 6 10 1 1 6 0 0 2 6 1 0 5 10 1 2 2 2 4 2 5 0 4 2 6 8 2 3 2 2 4 2 1 6 1 2 2 2 3 1 2 4 8 2 8 2 4 1
"complicated" 1 1 1 0 0 1 0 1 2 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0
"confident" 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 0 2 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 2 1 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 2 0 2 0 1 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 2 1 0 0 0 0 2 1 0 0 0 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"confused" 0 0 0 0 1 0 2 0 0 1 0 0 0 0 1 1 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 3 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 3 0 0 1 1 0 1 1 2 2 0 0 0 0 0 1 0 2 0 1 1 0 1 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 1 0 0 0
"considerate" 0 0 0 0 0 2 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 1 1 0 2 1 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"constant" 2 1 0 2 2 3 2 1 0 0 0 1 0 2 0 4 0 0 1 1 0 0 0 1 0 0 1 1 0 4 1 3 2 1 4 0 2 1 0 0 0 0 0 1 0 1 1 1 1 0 0 3 2 1 1 3 1 0 0 0 0 1 0 3 1 1 0 0 0 0 3 1 0 0 5 0 2 3 0 2 1 2 3 0 3 3 0 0 2 0 2 0 0 0 2 2 1 0 1 0 0 0 1 2 1 0 1 0 1 0 0 1 0 1 4 2 2 1 1 2
"cool" 1 0 1 1 0 2 2 0 0 2 0 1 0 0 2 2 2 0 0 1 1 1 0 0 0 0 0 0 1 2 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 2 2 0 0 0 0 3 0 2 0 0 1 0 2 0 0 0 1 0 2 0 0 0 2 3 1 1 2 2 0 0 2 0 1 1 1 2 0 0 1 1 0 1 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 2 1 3 1 2 0
"cruel" 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 4 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 1 2 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 1 3 3 1 0 0 0 2 0 2 2 1 0 1 1 0 1 0 0 0 2 3 0 0 3 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 1 3 0 0 1 1 0
"cunning" 1 0 0 0 0 2 1 0 0 2 0 0 0 0 1 4 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 1 5 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 3 0 0 0 1 0 0 0 1 1 2 1 2 1 1 0 0 0 0 0 0 2 0 3 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0
"curious" 0 0 2 1 1 4 0 0 0 1 1 1 1 0 1 3 1 0 2 5 0 0 0 1 0 1 0 0 0 0 1 0 2 0 1 1 2 0 1 1 0 1 0 0 0 0 1 2 0 1 2 3 1 0 1 1 0 0 1 0 0 0 0 1 1 2 0 0 1 0 1 0 2 0 4 0 0 2 0 1 0 2 1 0 1 1 2 0 1 1 0 1 0 0 1 1 2 2 0 0 0 0 1 0 1 3 0 0 0 0 1 0 0 0 0 0 2 1 1 0
"deep" 1 0 1 3 2 7 1 2 2 4 0 5 2 3 1 4 2 0 2 4 0 1 0 0 4 2 0 1 0 0 1 2 7 4 1 1 1 3 0 1 1 0 2 4 3 1 4 2 1 1 0 3 0 1 2 2 0 2 1 1 0 1 2 3 0 6 2 2 1 0 4 1 0 5 7 0 2 12 0 3 0 1 6 2 5 4 0 0 2 2 4 0 0 1 0 1 1 6 0 3 1 0 3 2 1 3 1 2 1 2 0 1 1 3 5 0 4 0 4 1
"determined" 1 1 1 1 1 3 0 0 0 2 0 0 0 1 0 2 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 2 1 0 0
"distant" 0 0 4 1 0 0 0 0 0 1 0 0 1 1 0 2 1 0 0 1 0 0 0 0 3 0 1 1 0 2 0 0 3 1 3 0 0 2 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 3 1 0 0 2 0 0 0 1 2 0 1 0 0 0 1 3 0 1 0 4 0 2 2 0 1 0 0 2 2 0 4 0 1 0 0 0 0 0 1 0 0 0 2 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 2 1 1 1
"dull" 3 1 2 2 3 7 2 2 1 9 0 0 1 1 2 6 2 1 1 9 2 1 0 1 2 1 2 5 2 7 1 3 0 4 2 2 1 1 0 0 0 1 2 0 0 0 2 6 0 1 0 3 0 3 1 3 1 1 4 2 1 1 2 5 1 7 1 0 3 1 2 2 1 1 9 1 0 6 1 4 0 2 1 1 2 6 0 1 1 0 2 0 0 2 0 1 1 7 1 2 2 2 2 2 2 3 1 0 0 0 0 1 0 1 6 2 3 0 3 1
"eager" 0 0 1 0 1 4 1 3 0 2 0 0 0 3 0 3 4 0 1 4 0 0 0 0 1 0 0 0 0 4 0 1 4 0 2 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 3 0 1 2 0 0 0 1 2 2 0 0 6 0 1 0 1 0 1 2 3 0 0 0 0 0 0 0 1 1 1 1 3 0 2 1 0 0 0 1 1 0 0 0 0 0 3 0 0 3 0 2 0 0 1
"earnest" 1 0 0 1 1 2 0 3 0 3 0 0 0 2 1 4 1 2 0 5 1 0 1 2 4 0 1 2 1 1 0 3 2 2 0 0 1 2 0 0 0 1 1 1 0 0 5 0 1 1 0 1 3 2 1 2 0 0 2 1 0 0 2 7 1 1 1 1 1 1 3 0 0 2 4 1 3 1 0 0 0 2 2 0 2 6 0 0 1 1 2 0 1 1 2 2 1 4 2 0 0 0 1 2 0 0 0 0 2 1 0 1 1 2 1 1 2 1 1 1
"elegant" 1 0 1 1 2 0 0 0 1 4 1 1 0 1 0 2 3 1 2 4 0 2 1 0 0 0 0 0 1 1 1 0 2 0 0 0 1 1 1 0 0 0 1 1 1 3 4 2 4 0 1 1 1 1 1 2 0 0 0 1 1 0 1 2 3 5 0 0 1 1 2 2 1 4 2 1 0 1 3 2 0 1 2 2 1 1 0 2 0 0 2 1 1 1 0 2 0 3 1 1 0 0 1 1 0 2 0 0 0 0 1 0 1 0 0 0 4 2 1 0
"expressive" 0 2 1 2 3 2 1 0 1 1 0 0 1 0 0 1 1 1 1 4 0 1 1 0 2 0 0 0 2 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 0 1 2 1 0 0 1 3 1 0 1 3 0 0 0 0 0 1 1 0 0 2 0 0 0 1 5 0 1 1 3 0 1 2 2 1 1 1 1 0 1 2 0 1 0 1 0 1 1 0 1 1 1 2 0 0 0 2 1 0 0 1 0 0 0 1 1 0 0 0 0 0 3 1 1 0
"faithful" 0 0 0 0 0 2 1 2 1 1 1 1 0 0 0 3 3 1 1 0 1 1 0 1 1 1 1 0 0 3 0 2 1 1 2 1 0 0 0 0 1 1 2 2 1 0 1 1 0 0 0 0 1 1 5 1 0 0 0 0 0 0 0 4 0 1 1 0 0 0 3 1 0 1 2 0 2 1 0 1 0 1 3 1 2 3 0 2 2 1 1 0 0 0 0 0 0 2 2 1 1 0 1 2 1 0 1 0 0 0 0 0 1 1 1 0 3 1 2 0
"fearful" 0 0 1 3 2 1 0 0 2 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 0 1 1 2 1 0 0 0 1 1 2 0 2 0 0 1 0 0 0 1 0 0 2 1 1 1 0 0 1 0 0 0 0 0 1 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0
"fierce" 0 0 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 2 0 1 3 0 1 1 0 0 1 1 1 0 0 0 0 0 1 0 1 1 1 1 2 1 0 2 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 2 0 0 0 1 0 0 0 0 2 0 0 1 0 0
"fiery" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 2 1 1 1 0 0 1 1 0 0 0 1 1 0 0 3 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 1 0
"foolish" 0 1 0 3 0 7 3 1 0 1 0 0 1 2 1 5 0 0 2 3 1 1 3 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 2 1 1 2 0 0 2 1 0 0 1 0 1 0 0 0 3 4 0 4 0 0 2 1 2 1 0 1 6 1 0 1 2 0 1 0 3 0 0 3 1 2 0 0 1 0 1 0 1 3 1 4 0 5 0 0 1 0 0 0 1 1 1 1 0 0 0 3 3 1 1 0 1 0
"friendly" 0 1 0 1 2 4 1 0 0 2 0 1 0 1 1 3 2 0 1 2 0 1 0 0 0 1 1 0 0 2 0 0 2 1 1 1 1 2 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 3 2 0 0 1 1 0 1 1 2 1 1 0 0 0 1 3 0 0 0 1 0 0 3 1 0 1 1 2 1 2 2 0 0 1 1 0 1 0 1 0 1 0 2 2 1 2 0 0 0 2 1 0 0 0 3 0 0 2 0 1 0 1 1 0 0
"gallant" 1 0 0 1 0 1 0 1 2 2 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 4 0 0 0 0 1 1 0 2 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 2 3 1 0 0 2 1 1 2 0 0 1 1 0 1 0 0 1 0 2 1 0 0 2 1 1 0 0 0 0 1 0 3 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 3 0
"generous" 0 0 1 1 0 2 0 1 0 1 1 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 3 0 1 0 1 0
"genteel" 1 0 2 1 2 3 1 1 1 2 0 0 1 0 0 6 2 1 1 3 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 3 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 1 2 1 1 0 0 1 1 0 0 0 1 3 0 0 0 2 2 0 1 3 3 1 0 2 2 0 0 4 0 1 0 2 1 0 0 0 3 0 2 0 2 4 0 1 0 1 0 1 2 1 0 0 0 1 0 0 0 0 0 0 2 0 1 0 3 0
"gentle" 2 1 2 3 0 4 0 2 2 5 1 3 2 2 0 3 2 1 2 8 0 1 0 2 1 2 0 0 1 4 1 1 2 1 5 4 2 1 0 1 0 2 1 1 0 1 0 2 4 1 1 2 3 1 5 4 0 0 1 0 2 0 1 2 1 4 2 3 1 1 5 2 1 4 5 1 0 9 0 2 0 0 5 2 2 4 0 1 0 2 3 2 1 1 2 1 1 4 1 3 1 1 1 0 1 2 2 0 3 2 1 1 1 3 5 1 5 2 1 2
"gloomy" 1 0 3 1 4 1 1 0 0 2 0 0 0 2 2 2 0 1 1 7 1 0 1 0 1 2 0 0 2 2 0 1 6 0 0 2 1 1 1 1 0 1 0 0 0 0 2 0 0 0 0 4 2 1 1 0 0 0 1 1 1 0 1 3 1 4 2 0 0 2 4 3 1 1 5 1 0 2 0 2 1 0 1 1 1 3 0 1 1 0 1 0 0 1 0 0 1 4 0 1 1 0 0 0 0 3 1 1 1 0 1 1 0 0 5 1 2 1 2 1
"graceful" 0 0 1 1 2 0 0 0 1 4 0 1 0 0 0 3 0 0 1 5 0 1 1 0 1 0 1 0 0 1 1 0 0 0 1 4 0 0 0 0 0 1 1 1 0 1 4 0 0 0 0 0 2 0 2 1 0 0 0 0 1 0 0 2 1 2 2 0 0 0 3 1 0 4 0 2 1 2 0 1 1 1 0 0 1 2 0 0 0 0 2 1 0 0 0 0 1 1 1 2 1 0 0 0 1 0 1 0 1 0 0 1 1 2 0 0 2 1 1 0
"gracious" 0 0 1 1 0 3 0 1 1 0 0 0 1 0 1 3 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 1 0 1 2 0 1 3 0 1 3 0 0 0 2 3 0 0 1 1 0 0 0 0 0 1 0 1 3 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 2 2 0 0 0 0 0
"gruff" 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 1 0 0 1 3 0 0 0 1 0 0 0 0 2 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0
"harsh" 1 0 0 1 3 3 0 0 0 1 0 1 1 1 1 2 0 0 4 4 0 1 0 1 3 0 0 0 3 3 0 0 3 1 1 1 3 0 1 2 1 0 0 1 0 0 2 4 0 0 0 0 1 0 1 1 0 0 1 1 1 2 0 2 0 5 1 1 0 0 1 0 1 0 5 0 0 2 0 1 0 0 1 0 3 3 0 0 0 1 1 0 1 1 0 1 3 3 0 1 0 0 0 0 2 2 0 0 1 1 0 1 0 0 3 1 0 0 2 0
