"abrupt" "active" "affectionate" "agreeable" "amiable" "anxious" "bitter" "boisterous" "bold" "bright" "calm" "careful" "careless" "cautious" "certain" "cheerful" "childish" "coarse" "cold" "constant" "cool" "cruel" "cunning" "curious" "deep" "distant" "dull" "eager" "earnest" "exact" "faithful" "fearful" "foolish" "friendly" "genteel" "gentle" "gloomy" "graceful" "hasty" "hearty" "honest" "humble" "impatient" "jealous" "kind" "loud" "malicious" "merry" "mild" "modest" "moral" "narrow" "natural" "noisy" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "restless" "rough" "rude" "serious" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vigorous" "violent" "warm" "wild" "wise"
"cool" 2 0 1 1 0 3 0 2 0 1 2 3 0 0 5 1 0 0 0 1 0 0 0 3 3 1 1 2 0 0 1 1 0 0 0 1 0 0 1 1 0 3 0 0 1 0 0 0 1 1 1 0 3 2 1 2 0 0 1 1 0 1 0 1 1 0 0 4 2 1 0 1 4 0 1 4 0 0 1 1 1 0 0 0 1 0 0 1 1 0 0 2 4 0
"cruel" 0 0 3 0 1 2 0 0 0 1 0 0 0 0 1 0 0 0 4 0 0 0 1 1 2 0 3 1 0 0 1 0 0 0 0 3 0 0 2 1 2 2 1 0 2 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 1 2 4 0 0 0 1 3 0 0 1 0 0 0 0 1 2 0 0 0 1 1 1 1 0 0 1 1 0
"cunning" 0 0 0 2 0 1 0 0 0 2 0 1 0 1 5 1 0 0 2 1 0 1 0 2 3 0 3 2 0 1 1 1 0 0 0 2 0 0 0 0 0 2 2 0 1 0 1 1 0 0 1 0 1 1 2 3 0 2 1 3 0 1 0 2 0 0 1 2 0 1 0 0 0 0 1 3 0 0 0 0 0 1 0 2 1 0 0 0 2 0 1 1 0 1
"curious" 3 0 1 1 0 4 0 1 0 3 1 1 0 1 4 0 2 1 0 2 3 1 2 0 3 1 4 0 2 0 1 3 0 1 1 3 1 0 1 0 0 3 0 0 2 0 0 0 1 0 0 1 2 3 0 3 1 0 0 1 0 0 0 2 1 0 3 2 2 2 0 1 4 1 0 6 0 1 1 1 1 2 0 1 1 0 1 0 2 0 1 1 3 1
"deep" 2 0 1 5 1 6 1 1 2 15 4 2 3 1 10 7 2 1 11 4 3 2 3 3 0 8 13 2 6 2 1 4 2 6 1 9 3 2 3 3 4 9 0 2 2 5 1 2 2 0 3 7 5 5 7 7 2 1 2 10 0 2 2 3 4 2 3 10 2 5 0 1 9 4 1 6 2 1 6 2 6 6 1 3 5 2 0 1 4 2 4 5 6 3
"distant" 0 1 2 1 1 4 0 1 1 9 2 1 2 2 5 4 1 2 13 3 1 0 0 1 8 0 6 1 4 1 0 4 1 3 1 6 3 1 0 2 4 7 0 0 1 3 0 1 1 2 3 5 1 4 4 2 1 2 1 7 1 0 1 2 2 1 3 7 1 5 2 1 5 2 0 5 1 1 4 0 3 4 2 1 2 1 1 0 1 0 1 4 5 0
"dull" 0 2 2 2 0 4 0 0 0 11 2 2 1 2 5 7 3 1 15 4 1 3 3 4 13 6 0 2 6 1 1 4 1 5 2 5 10 2 1 1 3 4 4 0 4 2 0 2 3 0 3 3 3 5 5 3 3 3 2 10 2 0 2 1 1 1 3 10 4 7 1 1 10 3 0 9 2 0 4 1 5 4 1 2 5 2 0 1 7 1 2 4 3 2
"eager" 0 0 0 0 0 4 0 0 0 1 1 0 0 0 2 2 0 0 3 0 2 1 2 0 2 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 0 2 1 2 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 1 1 0
"earnest" 1 2 2 1 0 4 0 1 0 7 1 1 1 0 5 5 3 0 6 1 0 0 0 2 6 4 6 0 0 0 1 3 5 4 1 6 5 0 1 1 2 4 2 2 7 0 1 2 2 1 1 3 4 3 2 5 3 1 0 7 0 0 2 1 1 0 3 9 2 0 0 0 4 3 1 1 1 0 1 0 2 3 1 2 4 0 2 0 1 2 0 1 1 1
"exact" 0 0 2 0 1 0 0 0 0 1 0 0 0 1 5 1 1 0 2 0 0 0 1 0 2 1 1 0 0 0 0 0 0 1 0 3 0 2 0 1 0 1 0 0 0 0 0 1 1 2 1 0 2 2 2 3 0 0 0 1 0 2 0 2 1 1 0 2 0 0 1 1 0 1 0 0 0 2 1 0 1 0 0 1 1 2 0 0 0 1 1 1 0 0
"faithful" 0 1 2 0 0 2 0 0 0 4 1 1 0 0 0 2 0 0 4 1 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 3 1 0 1 1 1 1 0 0 4 0 0 1 0 0 0 1 1 1 1 0 1 1 1 3 0 0 0 1 0 1 2 3 0 1 0 0 3 0 0 2 0 0 1 0 0 2 0 1 0 0 1 0 1 0 0 3 1 1
"fearful" 2 1 1 0 1 0 0 1 0 6 0 0 1 2 3 3 0 0 2 2 1 0 1 3 4 4 4 0 3 0 1 0 2 0 1 0 2 2 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 2 1 0 0 0 0 7 0 0 0 1 0 1 4 2 1 2 0 1 1 1 0 6 0 0 0 0 0 2 0 2 2 0 0 1 1 0 0 3 0 2
"foolish" 0 1 1 1 0 2 0 1 0 3 0 2 1 1 1 3 0 0 1 2 0 0 0 0 2 1 1 0 5 0 1 2 0 1 0 1 1 0 0 3 1 0 1 0 3 2 0 0 1 0 0 0 3 1 0 0 1 0 0 2 0 0 0 0 0 0 2 3 0 1 0 1 0 1 1 2 1 0 0 0 1 2 1 0 0 0 0 0 0 0 0 3 0 1
"friendly" 0 0 1 2 0 3 2 0 1 3 1 2 1 2 4 4 2 1 8 1 0 0 0 1 6 3 5 0 4 1 0 0 1 0 1 5 1 3 2 0 2 3 3 2 2 3 0 1 1 1 0 0 5 1 2 10 1 0 0 6 3 1 3 1 2 0 2 2 2 2 0 1 3 2 1 1 2 2 2 0 0 1 1 2 0 3 1 0 1 1 3 0 1 1
"genteel" 1 0 1 0 0 0 3 0 1 0 0 0 1 1 4 2 0 0 2 1 0 0 0 1 1 1 2 0 1 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 1 1 0 2 0 1 0 2 1 0 0 1 1 2 0 1 1 1 0 1 0 0 1 0 1 2 1 0 1 2 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0
"gentle" 0 1 3 1 1 5 1 1 0 7 4 0 1 1 10 5 3 2 10 4 1 3 2 3 9 6 5 0 6 3 3 0 1 5 1 0 5 2 1 2 3 5 1 1 6 1 1 1 3 2 1 4 2 3 2 6 3 1 1 4 1 3 2 1 1 2 1 7 4 3 0 1 10 5 1 3 1 0 3 1 5 3 2 1 4 2 0 1 3 1 1 4 9 0
"gloomy" 1 2 1 0 1 4 0 0 1 6 0 0 0 1 3 5 0 0 8 3 0 0 0 1 3 3 10 1 5 0 1 2 1 1 0 5 0 0 1 1 3 1 2 0 5 0 1 2 3 0 1 3 3 2 2 0 1 2 0 4 0 0 1 0 0 0 1 5 2 3 1 0 5 3 0 5 0 0 2 0 3 4 0 1 3 0 0 0 2 1 1 3 4 0
"graceful" 0 0 2 0 0 0 1 0 1 1 0 0 0 0 3 1 0 0 2 0 0 0 0 0 2 1 2 0 0 2 0 2 0 3 1 2 0 0 0 0 1 2 1 0 1 0 0 0 0 0 0 0 1 2 0 3 0 0 0 3 1 1 0 2 1 0 0 0 0 1 1 0 0 0 0 1 1 1 2 0 0 0 0 1 1 1 0 0 0 2 1 0 0 0
"hasty" 0 0 1 2 0 4 0 0 0 4 1 1 0 0 1 0 1 0 2 0 1 2 0 1 3 0 1 0 1 0 1 0 0 2 0 1 1 0 0 1 0 2 1 0 3 1 0 1 0 0 0 0 2 0 3 1 0 0 2 2 0 0 0 0 0 0 1 3 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 1 0 0 1 1 1 0 0 0 2 0
"hearty" 0 0 1 2 1 2 1 1 0 3 1 1 0 0 1 2 0 0 1 1 1 1 0 0 3 2 1 0 1 1 1 1 3 0 0 2 1 0 1 0 0 0 0 1 2 1 0 0 0 2 1 0 0 1 0 1 0 0 0 2 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 1 2 1 0 0 1 0 0 1 0 0 0 2 1 1
"honest" 0 2 4 0 1 1 1 1 2 3 1 2 1 1 6 3 0 0 5 1 0 2 0 0 4 4 3 1 2 0 1 1 1 2 1 3 3 1 0 0 0 2 2 0 3 4 1 1 2 1 2 1 3 0 3 6 0 1 1 6 1 0 0 2 1 0 3 4 0 0 3 0 3 1 1 3 1 0 2 0 1 1 1 1 1 1 0 2 1 1 1 5 4 0
