"active" "affected" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "calm" "careful" "careless" "cautious" "certain" "cheerful" "cold" "complimentary" "conciliatory" "constant" "cool" "cruel" "curious" "deep" "determined" "distant" "dull" "eager" "earnest" "elegant" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "firm" "foolish" "forgetful" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "hearty" "honest" "humble" "ignorant" "impatient" "indifferent" "intense" "jovial" "kind" "lazy" "lively" "loud" "manly" "merry" "mild" "moral" "musical" "narrow" "natural" "noisy" "original" "particular" "patient" "placid" "pleasant" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "rough" "rude" "serious" "silent" "simple" "slow" "smart" "solemn" "stable" "steady" "stern" "sullen" "talkative" "thorough" "thoughtful" "timid" "uncouth" "vague" "vain" "violent" "warm" "wild" "wise"
"deep" 1 4 2 0 0 2 0 3 2 6 3 11 1 1 1 2 2 9 5 14 1 2 3 2 1 2 0 0 8 10 2 4 0 3 1 2 2 0 3 2 1 0 3 5 0 1 0 5 3 2 2 1 1 8 9 2 1 2 2 1 2 3 2 2 6 3 3 1 3 1 1 5 4 3 8 1 1 5 0 7 1 3 2 3 17 1 0 1 2 1 6 1 3 11 3 3 1 4 4 3 5 1 1 0 3 3 1 1 3 3 4 5 1
"determined" 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 2 0 2 0 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0 2 0 1 1 1 0 0 1 0 1 2 0 1 1 0 1 1 1 0 0 1 0 0 2 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 2 1 0
"distant" 2 2 1 0 1 5 1 1 5 3 4 11 1 1 1 0 2 4 2 6 0 0 4 1 1 1 8 1 0 6 2 1 1 2 2 0 3 1 6 3 0 1 0 2 2 0 0 6 4 0 2 1 1 2 5 2 0 3 1 2 0 4 0 0 4 1 2 0 3 1 3 2 3 2 5 0 0 3 0 1 1 4 1 7 12 0 2 0 2 0 1 1 2 7 2 1 1 3 5 1 2 2 0 1 4 0 0 2 2 2 0 8 4
"dull" 4 2 4 1 1 3 2 3 0 8 2 13 2 2 1 2 2 9 10 12 2 1 4 3 3 2 10 1 6 0 1 2 1 0 2 1 1 1 3 2 0 0 0 5 1 1 2 2 5 1 0 1 4 4 5 3 1 1 3 0 2 2 2 1 3 0 3 1 3 2 2 4 1 4 4 2 2 7 0 1 3 5 1 3 11 0 1 1 5 2 5 0 1 13 1 3 1 3 3 4 3 3 1 1 1 1 2 3 1 3 7 5 3
"eager" 3 1 0 0 0 1 0 0 0 1 1 3 1 0 1 0 0 1 2 1 0 0 1 1 1 1 2 0 2 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 0 0 0 1 0 1 2 0 0 0 2 0 0 0 1 0 1 0 1 3 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"earnest" 0 0 1 3 1 2 2 0 0 3 1 1 0 1 0 0 0 5 1 1 0 1 1 4 0 1 4 1 1 2 0 0 0 0 1 1 0 0 0 0 2 0 1 1 0 0 0 1 2 1 0 1 1 0 1 0 0 0 1 0 0 2 1 0 1 1 0 1 1 0 0 4 0 2 2 1 2 1 1 5 0 6 0 2 1 1 2 1 1 1 3 1 0 4 0 1 1 2 1 2 1 0 0 1 0 0 0 0 1 0 2 1 1
"elegant" 0 0 0 1 0 1 2 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 2 0 0 0 0 1 0 2 1 0 1 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 2 0 0 1 2 1 1 0 0 0 0 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 1 0
"excessive" 1 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 3 1 2 0 0 0 0 1 1 3 0 2 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"expressive" 1 0 1 1 0 0 0 0 0 3 2 2 1 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 2 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 2 2 0 0 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 2 0 0 0 0 1 0 0 0
"faithful" 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 4 3 2 0 1 1 0 0 0 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 2 1 0 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 1 1 0 1 1 0 0 2 0 1 2 1 0 1 1 0 1 1 0 1 0 2 0 0 0 0 1 0 0 1 0 0 0 1 1 2 0 1 1
"fearful" 1 0 2 1 0 1 0 0 0 0 1 3 0 2 0 0 0 1 0 2 0 0 0 0 0 1 2 0 3 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 2 0 0 1 0 0 0 0 1 0 0 1 2 0 2 1 0 1 0 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0
"fickle" 0 0 1 0 0 1 0 0 2 1 0 2 0 0 1 0 0 1 2 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 2 0 2 0 1 0 0 0 2 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1
"fierce" 2 0 1 0 0 1 0 0 3 2 2 7 0 1 2 2 0 2 1 2 0 0 2 0 3 1 3 0 6 3 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 0 0 3 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 4 0 2 0 1 1 2 0 0 0 1 0 0 1 0 1 0 2 1 2 5 0 2 0 1 1 1 0 1 3 0 1 1 2 1 1 2 2 0 0 0 0 1 1 0 2 0 4 0
"firm" 0 1 0 0 1 0 0 0 0 0 2 4 1 0 0 0 0 1 0 1 0 0 0 0 0 1 2 1 3 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 4 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 2 1 0 1 1 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 2 1 2 0 0 0 0 0 2 0 1 0 0 0 3 1
"foolish" 0 0 0 1 0 3 1 1 1 3 0 3 0 1 0 0 0 3 2 1 0 0 0 0 0 1 1 2 0 0 1 2 1 0 0 0 0 0 0 0 0 0 2 0 0 1 1 2 0 0 1 0 2 0 0 0 0 1 1 1 0 2 0 1 1 1 0 1 2 0 1 4 0 2 3 1 1 2 1 1 0 2 1 1 3 0 0 2 1 0 1 0 2 1 0 0 0 3 1 2 1 0 0 1 2 0 0 0 0 0 2 0 0
"forgetful" 1 0 0 0 1 0 0 1 2 1 1 2 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 3 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 2 0 0 3 0 1 0 1 0 0 0 2 2 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1
"frank" 0 0 0 1 0 1 0 1 0 1 1 3 0 1 0 1 0 3 1 1 0 0 0 1 0 0 3 2 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 2 0 1 1 2 2 0 0 1 1 2 4 0 0 1 1 0 1 1 0 1 0 1 0 0 1 0 0 3 0 0 1 0 1 1 2 0 0 0 1 0 2 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0
"friendly" 0 2 2 1 0 1 0 1 1 3 2 5 0 0 0 1 2 4 2 4 0 1 1 1 3 1 5 0 2 5 0 1 0 0 0 0 0 1 1 0 0 0 2 0 0 0 1 0 1 0 1 0 0 2 4 1 0 0 2 0 0 1 0 0 4 0 1 1 0 0 2 1 1 2 3 1 0 2 0 1 0 1 0 2 2 0 1 1 1 1 1 2 1 6 0 3 0 0 1 2 0 2 1 0 0 0 0 0 0 2 1 0 1
"gallant" 1 0 0 0 0 1 1 0 1 0 3 2 0 0 0 1 0 4 1 2 0 0 1 0 0 0 0 1 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 2 1 1 1 1 0 1 0 1 2 0 1 0 1 0 1 1 0 2 1 0 1 0 0 1 1 2 0 1 1 1 0 0 1 0 0 0 0 4 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 1 1 2
"generous" 0 0 1 0 0 0 1 1 1 3 1 1 1 0 1 0 0 2 1 3 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 2 1 1 1 1 0 0 3 1 0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 1 0 1 1 0 0 2 0 1 0 2 0 0 0 0 0 2 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"genteel" 0 0 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 3 1 0 0 0 1 0 2 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1
"gentle" 1 0 2 1 0 0 1 1 2 2 2 10 1 1 0 1 0 4 5 8 1 0 3 1 1 2 5 1 6 2 0 1 2 3 1 0 1 1 3 1 2 3 2 0 1 2 0 0 2 1 5 1 1 1 10 1 0 1 2 0 0 2 1 1 1 3 1 4 1 2 2 4 0 1 4 1 1 8 1 0 2 3 1 4 10 1 2 0 1 0 2 0 3 6 1 2 3 1 3 1 1 0 0 0 3 0 0 1 1 1 2 4 2
"gloomy" 3 1 0 2 1 1 0 0 1 2 4 5 1 0 1 1 1 4 4 4 0 0 1 0 1 0 3 1 4 5 1 2 0 0 0 1 0 1 1 1 0 0 2 1 0 1 0 2 0 0 1 1 1 1 2 0 0 2 2 0 0 2 1 0 2 0 0 0 0 0 3 3 0 3 4 1 1 1 0 1 2 3 0 2 4 0 1 1 2 0 4 1 1 5 0 1 1 1 2 1 0 1 1 1 0 0 0 1 1 3 2 3 1
"graceful" 0 0 3 0 1 1 0 0 0 1 1 2 0 1 0 1 0 2 2 3 1 0 1 3 0 0 2 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 2 0 1 1 0 0 1 2 0 0 1 0 0 0 0 0 1 0 1 2 0 1 1 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0
"gracious" 1 1 2 0 1 1 0 1 0 1 1 1 0 1 0 0 0 2 3 4 0 0 2 0 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 2 5 1 1 0 0 0 1 1 0 0 0 2 0 0 2 0 1 2 1 1 1 1 0 1 2 0 0 2 2 0 3 0 1 0 2 0 1 0 1 0 0 0 0 1 1 2 2 1 0 1 2 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0
"harsh" 0 0 0 0 0 0 0 1 1 1 0 3 0 0 0 0 0 2 1 4 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0 1 0 0 0 2 1 1 0 0 1 0 0 0 0 0 3 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0
"hasty" 4 0 1 1 0 0 0 0 2 4 2 5 2 1 1 0 0 1 2 1 1 0 0 0 1 0 1 1 1 4 1 1 1 0 2 0 0 0 1 0 2 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 2 0 2 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 1 5 1 0 0 2 0 3 0 1 2 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 1 2 0 0
"hearty" 1 2 2 0 0 1 0 1 1 3 1 5 1 0 2 1 0 7 5 6 0 0 3 0 2 0 8 0 2 4 0 0 0 0 0 1 1 0 0 1 0 0 2 2 1 0 1 1 1 0 1 0 0 0 5 2 0 1 0 0 3 2 1 1 3 0 1 0 1 2 0 4 1 1 4 1 1 4 0 1 3 1 0 1 4 2 0 0 0 0 1 0 2 3 0 4 1 0 2 1 0 1 1 0 1 1 1 1 1 1 3 3 0
"honest" 1 2 2 1 1 1 1 3 1 5 2 4 1 1 2 2 1 7 5 7 0 2 1 0 1 0 9 0 5 5 0 1 2 2 0 1 2 0 1 4 0 1 4 4 1 3 0 10 2 2 1 2 1 5 0 3 1 0 2 0 2 4 1 0 2 2 1 3 4 3 1 3 1 2 4 1 0 5 1 3 3 8 1 3 7 1 0 2 1 1 3 0 1 7 1 2 3 2 2 5 1 0 1 0 1 2 0 3 3 2 2 6 1
