"abrupt" "abusive" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bold" "capable" "certain" "cheerful" "civil" "concise" "confused" "contrary" "cool" "cruel" "curious" "deep" "dependent" "determined" "distant" "dull" "eager" "earnest" "elegant" "faithful" "flighty" "foolish" "friendly" "generous" "genteel" "gentle" "hasty" "hearty" "hospitable" "humane" "humble" "ignorant" "impatient" "impertinent" "indifferent" "intimate" "kind" "lively" "loud" "modest" "natural" "obliging" "particular" "pleasant" "polite" "productive" "profound" "proper" "proud" "prudent" "quick" "quiet" "respectful" "rude" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "solemn" "spirited" "thoughtful" "uneducated" "vain" "violent" "warm"
"friendly" 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 2 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0
"generous" 0 1 1 0 1 2 2 0 1 3 2 1 0 1 1 1 2 4 0 0 2 3 1 2 2 1 0 1 1 1 1 0 0 1 1 0 0 3 3 3 1 4 0 2 2 1 2 2 3 1 1 1 2 3 2 5 2 0 1 0 0 0 2 0 5 1 0 0 0 0 0 0 2 2 5 0
"genteel" 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 2 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 2 0 1 1 2 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0
"gentle" 0 0 0 0 3 3 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 0 3 0 1 0 1 1 2 1 0 1 0 0 1 2 0 0 2 1 1 3 1 1 0 1 0 0 1 1 3 1 0 0 0 0 0 1 2 0 1 0 1 0 2 2 1 0 1 1 1 0 0 1 1 0
"hasty" 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 2 0 1 0 0 0 2 0 0 0 1 2 0 0 0 0 0 1 0 1 1 0 0 1 0 5 1 0 0 0 0 0 0 0 2 1 1
"hearty" 0 0 0 0 0 2 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 1 0 2 0 0 2 0 0 0 0 0 2 0 0 1 0 2 1 1 0 1 1 0 1 0 1 2 1 2 0 1 0 0 0 0 0 0 0 0 0 3 1 0 1 1 0 0 1 1 0 0 0 1 0
"hospitable" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0
"humane" 0 1 0 0 0 1 0 0 0 1 1 0 0 1 1 1 0 2 0 0 0 1 0 0 1 1 0 1 0 0 1 3 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
"humble" 0 0 0 0 1 3 1 1 1 2 2 0 0 1 0 0 0 1 0 0 0 3 2 1 1 0 0 2 0 1 0 3 1 2 1 2 2 0 0 3 0 2 1 1 0 2 2 0 3 0 1 0 1 0 1 2 1 0 0 0 0 1 1 0 2 1 1 1 0 1 0 0 0 2 2 0
"ignorant" 2 0 1 1 3 1 2 3 2 2 3 0 2 0 2 0 1 2 1 1 1 2 2 3 2 1 1 0 1 3 0 3 0 1 2 1 0 0 3 0 1 3 3 0 2 2 1 5 1 0 2 0 1 0 2 2 3 1 0 1 0 2 3 2 7 2 0 2 0 1 1 0 1 1 1 0
"impatient" 0 0 1 0 0 0 1 0 2 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 2 2 0 1 0 1 1 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 0
"impertinent" 1 0 0 3 3 1 0 2 4 1 5 0 3 0 0 0 0 7 0 0 1 2 1 2 4 3 2 0 1 4 0 4 0 3 1 0 0 1 2 3 1 0 0 1 1 3 6 1 4 1 2 1 2 0 1 3 2 0 3 2 1 2 0 0 6 1 0 0 2 0 1 0 0 5 4 0
"indifferent" 0 0 0 1 1 4 0 1 1 1 3 2 0 0 1 0 0 3 1 2 0 0 0 1 4 1 2 1 0 2 1 0 1 1 0 1 1 0 1 3 0 0 0 0 2 1 1 3 2 0 4 0 0 0 0 3 4 1 0 1 0 0 2 1 3 1 0 0 0 0 1 0 0 0 2 0
"intimate" 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 2 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 1 0
"kind" 0 0 0 1 2 1 0 2 2 2 1 2 0 0 1 0 0 2 0 0 0 1 1 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 2 0 1 2 0 0 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 0 3 1 1
"lively" 0 0 0 2 2 1 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 1 2 1 1 0 2 2 0 3 1 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 1 1 1 0 2 0 1 0 0 0 1 0 0 1 0 1 1 1
"loud" 0 0 0 0 0 0 1 2 3 0 2 0 0 0 4 1 0 1 0 1 0 2 0 1 3 3 2 0 0 4 0 2 0 0 0 0 0 1 2 1 1 6 1 0 0 0 0 0 1 0 1 0 1 0 1 5 0 0 2 4 0 1 0 0 4 1 1 0 2 0 1 1 0 3 4 3
"modest" 0 0 0 0 0 0 0 1 2 1 2 2 2 0 0 0 1 4 1 1 1 0 1 1 1 0 2 0 1 1 0 2 1 0 0 1 0 0 0 5 1 1 3 0 2 0 0 0 1 0 0 0 1 0 1 2 0 0 0 1 1 1 2 2 4 0 1 0 0 0 1 0 1 2 0 0
"natural" 0 0 0 2 0 4 0 0 2 2 4 0 1 0 0 0 0 1 0 1 2 2 1 1 3 2 0 2 1 0 0 3 1 1 0 2 1 1 3 1 0 4 2 1 0 1 1 1 0 1 3 1 0 0 0 2 2 0 0 0 0 0 2 1 5 1 1 0 2 1 1 0 0 1 0 0
"obliging" 0 0 0 0 0 1 0 0 0 1 2 1 0 0 0 0 0 2 1 1 0 1 2 0 1 0 0 0 1 1 0 1 0 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0
"particular" 2 1 0 1 4 3 1 1 2 2 3 2 1 0 3 0 0 3 0 1 0 1 1 2 4 1 1 1 2 2 0 1 0 3 2 2 1 0 1 2 0 2 4 0 1 2 1 0 3 2 0 1 0 1 2 2 2 1 2 1 3 0 5 1 7 0 0 2 2 0 1 1 0 1 5 0
"pleasant" 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0
"polite" 0 0 1 0 0 1 1 0 1 2 1 0 1 0 0 0 1 3 1 0 0 1 0 0 0 1 0 0 0 1 0 2 2 0 0 1 0 0 1 1 2 2 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 1 0 2 2 2 2 1 0 0 0 1 1 0 1 0 0 0 0 0
"productive" 0 1 1 0 0 1 2 0 1 0 0 2 0 1 0 1 1 3 0 0 0 1 0 0 1 1 0 1 0 0 1 3 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 4 1
"profound" 0 0 0 0 2 0 0 0 1 2 1 0 0 0 1 0 1 1 0 1 0 1 0 3 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 2 0 1 0 0 0 0 1 1 0 1 2 1 1 0 0 1 1 0 0 0 2 0 0 0 2 0 0 0 0 0 1 0 1 1 2 0
"proper" 0 1 0 1 0 4 0 0 0 1 1 1 0 2 2 2 1 6 0 2 2 0 0 0 2 1 3 1 1 3 1 5 1 0 0 0 1 2 2 2 1 3 3 1 0 0 5 2 2 0 2 1 1 1 1 0 1 0 1 2 1 0 1 1 4 0 1 0 0 0 1 1 1 4 3 1
"proud" 1 0 1 1 0 3 1 1 0 0 1 1 1 0 0 0 0 4 0 3 0 2 0 3 2 1 0 0 0 1 1 2 2 0 1 0 0 0 1 3 0 2 4 1 0 0 0 0 2 0 2 0 1 0 1 1 0 1 0 0 0 0 2 0 1 2 0 1 1 0 1 0 0 2 1 0
"prudent" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0
"quick" 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 2 0 2 0 2 0 0 1 0 1 0 1 1 0 1 0 2 1 0 0 0 0 0 1 3 0 1 0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 2 0 0 1 3 0 0 0 1 1 0 0 0 2 1 1
"quiet" 0 0 1 1 0 0 2 2 2 0 2 0 1 0 1 0 1 4 0 0 0 0 2 0 3 1 1 0 0 2 0 0 0 0 1 0 1 0 0 1 1 2 1 0 1 1 4 1 0 0 1 0 2 2 0 2 0 1 0 0 0 2 1 0 1 1 0 0 1 0 0 0 0 0 1 1
"respectful" 0 0 0 0 2 2 0 0 1 2 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 3 1 2 0 2 1 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 0 2 1 0
"rude" 0 0 0 0 2 1 0 0 0 0 1 1 2 0 0 0 0 3 2 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 2 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"serious" 2 0 2 0 0 2 2 0 1 2 2 1 1 0 3 0 1 3 1 1 0 0 1 0 2 0 1 1 0 1 0 2 0 1 1 3 1 0 1 3 2 0 2 0 1 2 0 2 2 1 5 0 2 1 0 1 2 1 0 1 0 0 0 2 6 1 0 1 1 0 2 1 0 0 2 0
"severe" 0 0 0 0 0 1 0 0 1 0 2 0 2 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 2 1 0 1 0 0 0 0 2 1 0 1 0 1 0 0 1 0 0 1 0 1 0 2 0 1 0 0 0 1 0 1 0 0 1 0 0
"silent" 3 0 1 2 2 3 2 0 2 3 3 5 1 1 4 1 2 8 1 4 2 3 4 2 4 1 2 0 3 5 1 5 0 2 5 0 1 1 2 7 0 6 3 1 2 1 4 4 5 2 7 1 0 0 2 4 1 0 3 1 0 1 6 1 0 2 1 2 0 1 0 2 1 5 3 2
"simple" 0 0 1 1 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 2 0 0 1 1 2 0 1 1 0 0 1 1 0 2 1 1 0 0 1 2 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 2 0 1 0 0 1 1 0 0 1 0 0
"sincere" 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 1
"slow" 1 0 2 0 0 1 1 1 1 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0
"smart" 0 0 0 0 1 0 0 0 0 0 1 0 2 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 2 0 2 0 2 1 1 0 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 3 1 1
"solemn" 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 2 0 0 1 0 1 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0
"spirited" 0 0 0 1 0 0 0 0 2 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0
"thoughtful" 0 0 0 0 0 2 0 0 0 0 0 2 0 0 2 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 2 0 1
"uneducated" 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"vain" 2 1 0 0 1 1 0 0 2 2 0 2 2 2 1 1 0 3 0 4 1 1 0 2 2 1 0 0 0 1 0 2 0 1 2 0 1 0 2 1 0 5 0 1 3 1 3 2 1 1 1 2 0 0 1 4 2 0 2 0 2 0 0 1 5 1 1 0 3 1 0 2 0 0 2 1
"violent" 0 2 0 1 3 1 1 1 3 1 3 0 0 1 0 2 1 5 0 2 1 2 0 2 3 2 1 1 1 2 1 5 0 1 1 1 0 1 2 1 1 4 2 1 1 1 4 0 0 1 5 0 0 4 2 3 1 2 1 1 1 0 2 0 3 0 1 0 1 1 0 0 1 2 0 1
"warm" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 2 0 1 0 1 0 0 1 0 1 1 0
