"accomplished" "affectionate" "agreeable" "amiable" "anxious" "bitter" "bold" "brave" "bright" "calm" "capable" "careful" "certain" "cheerful" "childish" "cold" "confused" "constant" "cool" "cruel" "curious" "deep" "determined" "devilish" "disdainful" "distant" "dull" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fierce" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "haughty" "honest" "humble" "indifferent" "jealous" "juvenile" "kind" "lively" "loud" "mild" "modest" "moral" "natural" "observant" "original" "particular" "patient" "pensive" "pleasant" "polite" "presumptuous" "profound" "proper" "proud" "quick" "quiet" "restless" "rough" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "social" "solemn" "steady" "stern" "sullen" "tender" "thoughtful" "tight" "timid" "tough" "vague" "violent" "warm" "wild" "worldly"
"certain" 2 3 7 4 3 1 2 0 15 5 1 2 0 5 2 13 3 2 1 1 1 8 1 4 3 3 5 6 0 0 0 7 3 5 3 4 1 3 2 8 1 0 6 3 5 4 2 1 1 6 3 2 6 2 3 9 2 0 10 4 3 9 1 0 3 2 13 6 8 2 2 3 2 2 3 14 2 6 4 4 3 1 1 2 8 2 3 1 3 4 3 7 1
"cheerful" 1 0 2 2 2 0 1 2 8 3 1 1 5 0 2 7 2 0 0 2 0 5 0 1 0 0 4 2 1 0 0 1 3 1 2 0 0 1 0 4 1 1 0 0 2 0 0 0 0 4 2 1 3 2 1 4 1 1 0 0 1 2 0 1 1 1 4 3 4 1 3 1 1 3 1 1 2 1 1 6 0 2 0 1 2 2 1 0 1 1 4 2 0
"childish" 1 0 0 0 2 1 0 0 4 1 1 0 2 2 0 4 0 2 0 2 1 6 1 0 0 0 1 3 0 1 0 0 1 2 1 0 0 0 1 2 0 0 0 1 0 1 1 2 1 3 2 2 2 2 0 2 1 0 3 2 1 1 1 2 0 1 2 0 4 1 0 0 2 0 0 1 0 1 0 5 0 0 1 0 3 1 1 0 0 0 2 3 1
"cold" 2 3 4 3 5 3 5 2 12 5 3 2 13 7 4 0 2 3 2 6 4 13 3 1 4 8 6 3 5 3 4 4 2 5 0 4 1 2 2 12 5 4 3 9 2 2 2 0 3 6 3 3 5 3 3 10 2 4 7 3 3 3 5 1 0 2 16 9 13 1 6 3 4 2 5 11 6 4 6 10 4 3 3 3 6 5 5 5 4 2 11 7 3
"confused" 0 2 0 0 2 0 1 0 1 1 1 0 3 2 0 2 0 1 0 0 1 5 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 2 1 0 1 1 1 0 2 0 0 2 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 3 1 1 1 1 0 0 1 0 1 0 3 2 1 0 0 1 0 0 0 0 0 0 1 0
"constant" 0 2 1 0 1 0 2 0 4 1 1 0 2 0 2 3 1 0 1 2 0 3 1 3 1 3 5 1 0 1 1 0 3 1 0 1 1 1 1 7 4 1 2 4 3 1 2 5 2 2 0 1 0 0 2 6 1 1 1 1 1 2 1 1 0 0 6 1 4 1 5 1 0 0 1 1 2 1 1 2 1 0 1 0 2 0 2 4 1 0 2 2 0
"cool" 1 1 1 0 0 1 1 1 1 4 2 0 1 0 0 2 0 1 0 0 1 0 0 1 0 1 1 0 1 1 0 1 2 0 0 1 2 1 2 1 0 1 1 1 1 0 2 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1 3 0 1 0 2 1 1 0 0 1 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 2 2 1 0 0
"cruel" 2 0 0 1 2 2 2 1 4 3 1 1 1 2 2 6 0 2 0 0 0 5 0 1 0 3 3 4 0 0 2 0 0 3 0 1 1 0 0 2 0 1 0 0 1 1 1 1 2 4 0 0 1 1 1 5 0 2 2 2 1 1 0 1 0 0 6 5 5 1 0 1 1 2 0 1 2 1 1 3 3 1 3 0 3 1 2 1 0 0 2 8 1
"curious" 0 0 2 0 3 1 3 1 1 1 2 3 1 0 1 4 1 0 1 0 0 6 0 1 0 3 1 2 1 1 2 2 0 0 1 0 0 0 3 2 0 1 4 1 1 1 0 0 1 6 0 1 1 4 1 4 0 1 4 0 0 2 1 1 0 0 6 0 5 2 1 1 0 0 1 5 0 1 0 2 1 1 0 3 1 1 1 0 2 2 3 2 1
"deep" 2 2 3 3 2 1 9 2 11 6 1 0 8 5 6 13 5 3 0 5 6 0 2 1 2 9 5 7 1 3 3 3 2 3 0 4 2 3 0 9 3 3 2 4 5 2 3 5 4 7 1 4 3 2 3 10 2 4 7 6 2 10 0 0 2 1 17 4 12 0 6 1 5 2 1 7 3 3 1 7 6 2 2 3 3 4 5 1 3 3 4 7 1
"determined" 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 3 0 1 0 0 0 2 0 1 0 2 3 0 0 0 0 0 0 0 0 1 1 1 0 1 2 2 1 2 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 1 0 1 0 4 2 1 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 1 2 0
"devilish" 7 1 1 4 1 0 2 1 1 2 0 1 4 1 0 1 0 3 1 1 1 1 1 0 1 0 1 3 1 0 0 0 2 0 1 1 2 1 1 1 3 2 1 2 0 0 1 2 2 2 4 1 2 1 1 1 1 1 3 0 1 2 0 0 1 0 9 0 2 1 1 2 0 2 1 6 1 1 1 1 0 0 0 0 2 3 1 2 1 1 1 1 0
"disdainful" 0 1 0 1 1 0 2 1 3 2 0 0 3 0 0 4 0 1 0 0 0 2 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 1 0 3 1 1 1 2 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 5 1 2 0 1 1 0 0 1 3 0 0 0 1 1 0 0 0 0 0 0 2 0 0 1 2 0
"distant" 0 2 2 0 6 1 2 0 8 2 3 1 3 0 0 8 1 3 1 3 3 9 2 0 1 0 8 2 1 1 0 1 0 5 0 0 0 1 3 5 3 3 0 8 2 1 0 1 0 0 0 2 3 1 1 4 1 2 1 2 1 0 2 1 1 0 9 5 10 2 3 2 2 1 0 6 2 2 3 5 4 1 3 3 1 1 2 1 4 1 4 8 0
"dull" 1 0 2 1 2 2 0 1 7 4 1 3 5 4 1 6 1 5 1 3 1 5 3 1 1 8 0 2 1 2 1 1 0 2 2 0 0 1 4 5 2 3 4 4 3 2 1 0 0 4 1 1 2 1 1 5 0 2 2 2 2 5 2 1 2 0 6 2 3 1 4 3 3 2 2 4 1 2 0 6 2 1 2 2 0 1 1 2 2 0 4 1 0
"earnest" 1 4 1 1 2 1 2 1 7 1 0 2 6 2 3 3 0 1 0 4 2 7 0 3 0 2 2 0 0 2 3 1 1 2 2 1 1 2 1 5 0 2 2 3 1 1 4 0 2 8 1 0 1 3 0 7 0 0 3 2 0 2 0 0 2 2 11 4 6 1 2 0 1 2 3 6 1 1 0 1 2 2 1 2 3 3 0 1 2 3 3 5 0
"elegant" 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 5 1 0 1 0 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 3 1 0 3 3 2 0 0 1 0 2 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 3 0 2 0 1 1 0 0 0 2 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0
"emphatic" 0 1 1 0 1 1 1 0 0 0 0 0 0 0 1 3 0 1 1 0 1 3 0 0 0 1 2 2 1 0 1 2 0 0 0 1 0 0 1 2 0 0 2 1 0 1 0 0 0 2 0 0 1 0 0 3 0 1 1 0 0 2 0 0 1 0 4 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0
"exact" 0 1 1 0 1 1 1 0 2 0 0 0 0 0 0 4 0 1 0 2 2 3 0 0 0 0 1 3 0 1 0 1 0 0 0 3 0 0 0 1 0 1 1 2 1 0 1 0 1 2 0 0 0 1 1 4 1 2 4 0 0 1 1 0 1 0 3 1 1 0 0 0 1 0 1 2 0 1 1 1 1 0 0 1 0 1 0 0 0 1 2 1 0
"expressive" 2 0 4 1 1 1 3 1 4 0 0 1 7 1 0 4 0 0 1 0 2 3 0 0 1 1 1 1 0 2 1 0 2 0 1 2 0 1 1 1 0 0 3 2 2 2 2 1 1 1 1 0 2 0 0 1 0 0 4 1 0 4 0 0 2 1 5 3 1 0 0 1 1 0 2 1 1 0 1 0 2 2 0 2 0 1 1 0 2 1 4 1 1
"faithful" 1 0 2 0 0 0 2 0 3 2 0 0 3 3 1 2 1 3 2 0 0 2 0 2 0 0 0 1 1 0 0 2 0 0 0 2 1 1 0 1 1 0 0 0 1 0 2 1 1 3 1 1 0 0 2 2 0 0 1 1 0 1 0 1 0 2 3 1 4 1 4 0 1 0 1 2 1 0 1 1 0 0 0 2 1 1 0 2 1 0 0 2 1
"fierce" 0 0 0 0 1 1 1 0 4 3 1 0 5 1 2 5 0 1 0 3 0 3 0 0 1 5 2 2 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 1 1 1 3 1 0 1 2 3 2 0 1 1 0 1 0 0 0 1 0 0 0 1 5 4 3 0 0 0 1 1 0 3 1 1 1 3 0 0 0 0 1 1 1 0 1 2 2 5 1
"frank" 2 0 1 2 1 1 1 0 6 1 0 0 3 2 1 0 0 0 0 0 1 0 0 1 0 0 2 2 0 0 0 1 0 0 0 0 0 2 1 1 0 0 1 0 2 1 0 0 0 2 0 0 0 1 1 3 1 0 1 1 1 3 0 0 1 0 5 1 0 0 0 1 1 0 0 3 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 2 0
"friendly" 1 0 4 1 2 1 1 0 3 0 0 0 4 0 0 4 0 1 1 1 0 4 1 1 0 0 0 1 0 1 3 2 2 0 0 0 0 1 1 2 0 1 3 0 2 0 1 0 0 3 3 0 0 0 2 3 0 0 7 1 0 2 0 1 2 0 7 5 3 0 3 0 3 2 2 4 1 1 3 0 2 0 1 1 1 2 1 4 0 3 4 0 1
"gallant" 2 2 0 1 0 0 2 1 2 3 0 0 1 0 0 1 0 1 2 1 0 2 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 2 0 0 0 2 0 1 0 2 2 0 0 0 0 0 2 0 0 0 1 0 2 1 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 2 2 0 0 0
"generous" 0 0 1 1 1 1 1 1 2 0 1 0 3 1 0 2 0 1 1 0 0 3 1 1 1 1 1 2 0 0 0 1 1 0 2 1 1 0 0 3 1 0 0 1 1 1 0 2 0 1 0 0 0 0 1 2 0 2 1 2 1 2 0 1 1 0 4 4 4 1 1 0 1 0 1 2 2 1 1 1 0 0 0 0 0 0 0 0 1 1 0 1 2
"genteel" 0 0 2 0 1 2 0 0 2 0 1 1 2 0 1 2 1 1 2 0 3 0 0 1 0 3 4 1 3 1 0 1 0 2 1 1 0 0 0 1 1 2 2 1 1 0 1 0 1 3 0 1 0 1 0 0 0 1 3 0 0 3 3 0 0 0 6 0 0 1 0 1 0 0 1 0 2 1 2 3 0 1 0 0 0 0 1 1 1 1 3 0 0
"gentle" 0 5 2 1 1 0 4 1 13 3 0 0 8 4 2 12 2 7 1 2 2 9 1 1 1 5 5 5 1 2 1 1 1 2 1 2 1 3 1 0 3 3 5 3 2 3 2 1 2 7 2 1 5 3 0 8 1 3 3 6 3 4 1 2 1 2 11 4 12 2 6 0 1 3 0 8 10 1 1 6 1 4 2 4 4 0 4 2 2 2 3 9 2
"gloomy" 0 0 1 0 2 0 3 1 5 1 0 0 1 1 0 5 1 4 0 0 0 3 2 3 1 3 2 0 0 0 0 0 1 2 0 0 2 1 1 3 0 1 0 1 0 1 0 1 2 0 2 1 1 0 0 1 0 0 1 1 0 3 0 1 1 0 5 3 1 1 2 0 0 0 0 4 0 0 0 2 0 0 1 0 0 1 3 2 1 1 0 2 1
"graceful" 0 0 1 0 3 1 0 1 2 1 1 1 0 1 0 4 0 1 1 1 1 3 2 2 1 3 3 2 3 0 1 0 0 0 0 1 0 0 2 3 1 0 1 3 1 1 1 0 0 2 1 0 0 2 1 2 1 1 4 0 0 3 1 0 0 1 5 1 5 0 0 2 0 0 1 4 3 2 0 4 2 0 1 1 0 2 0 1 2 0 1 1 0
"gracious" 0 1 1 1 3 1 1 0 3 1 0 2 6 0 0 3 1 2 1 0 4 2 1 1 0 0 4 2 3 2 1 3 0 0 1 3 0 0 2 5 0 1 0 3 1 2 0 0 4 4 1 0 2 0 0 1 0 0 5 1 2 2 0 0 0 1 3 1 3 0 0 0 1 1 1 5 2 3 0 2 1 1 1 1 1 2 1 1 0 2 0 3 0
"haughty" 0 2 2 0 2 0 2 0 3 1 2 0 3 0 1 9 1 4 1 0 1 4 2 2 3 8 4 3 2 1 2 2 0 1 0 0 0 1 1 3 1 3 3 0 2 2 2 1 2 0 1 0 2 1 2 5 1 1 0 0 1 0 1 1 1 2 12 1 2 0 2 3 0 2 0 2 0 0 3 3 2 2 2 0 0 1 0 1 1 1 2 3 0
"honest" 0 3 4 1 3 2 2 0 8 3 1 1 5 2 0 2 1 3 1 1 1 5 1 0 1 2 3 1 0 0 1 2 1 1 2 2 2 1 1 2 0 1 1 2 0 1 4 1 0 6 2 0 1 0 2 3 0 0 3 1 1 3 1 1 2 0 5 3 5 0 4 0 1 1 0 2 1 3 0 2 2 1 0 0 0 1 1 1 0 2 4 4 1
"humble" 0 0 0 0 1 1 3 0 4 0 0 2 4 0 1 2 0 1 0 1 1 2 1 0 1 1 2 1 0 1 0 2 0 1 1 0 0 1 0 3 1 1 2 2 1 0 0 3 1 2 1 0 4 1 0 4 0 0 3 0 0 1 0 0 0 3 7 2 5 0 0 0 0 1 1 3 1 1 0 2 1 1 2 0 1 1 3 0 4 1 0 2 0
"indifferent" 0 2 3 0 0 0 1 0 0 3 1 1 2 0 1 2 2 2 2 1 0 3 0 1 1 0 1 4 1 0 1 2 2 3 0 1 1 0 1 2 0 1 0 2 4 0 0 0 0 4 2 1 0 0 3 2 1 2 1 0 1 2 0 0 1 1 8 1 3 0 2 1 1 0 2 1 2 0 3 2 1 1 1 0 2 0 0 3 2 2 0 1 1
"jealous" 0 1 0 1 0 1 2 0 2 0 1 1 1 0 2 0 0 5 0 1 0 5 0 2 2 1 0 0 0 0 0 1 1 1 0 0 0 2 0 1 1 0 0 1 1 3 0 0 2 0 0 1 0 0 0 2 1 2 2 0 0 1 0 1 0 1 6 2 2 0 2 0 0 0 0 4 0 3 0 1 0 0 1 0 1 1 1 2 1 1 1 3 0
"juvenile" 1 0 0 1 0 1 1 0 1 1 0 0 1 0 1 3 0 2 1 2 1 4 0 2 0 0 0 2 2 0 1 1 1 0 0 0 2 0 1 2 2 0 4 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 3 1 0 1 0 0 0 0 3 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 2 1 0 0 0 2 0
"kind" 3 3 3 3 3 0 2 3 11 2 1 3 6 4 3 6 2 2 0 4 6 7 1 2 0 0 4 8 0 2 2 1 3 1 2 3 2 1 3 7 0 2 4 0 6 2 4 0 0 0 3 3 1 4 2 11 1 3 7 2 3 2 3 0 1 1 9 4 6 1 3 0 2 2 3 10 5 4 2 3 3 3 0 0 6 2 2 1 1 1 6 5 1
"lively" 2 1 1 2 1 1 2 2 3 1 0 0 3 2 2 3 1 0 1 0 0 1 0 4 1 0 1 1 0 0 0 1 1 2 0 3 0 0 0 2 2 1 1 1 2 1 2 0 0 3 0 0 1 0 0 2 0 0 3 0 0 1 0 0 0 0 3 1 0 1 1 0 0 1 0 2 1 0 2 0 1 1 0 0 1 2 1 1 0 1 1 0 1
"loud" 0 0 1 1 1 0 1 1 3 1 1 0 2 1 2 3 1 1 0 0 1 4 1 1 0 2 1 0 1 0 0 0 1 3 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 3 0 0 1 1 0 2 0 2 2 0 1 0 1 0 0 0 3 1 2 1 2 0 0 0 0 1 3 1 1 2 0 0 0 1 0 2 1 1 0 1 0 2 1
"mild" 0 1 0 3 2 0 3 1 2 1 0 1 6 3 2 5 0 0 0 1 1 3 0 2 1 3 2 1 1 1 0 2 0 2 0 0 0 0 0 5 1 0 2 2 1 4 0 0 0 1 1 1 0 1 1 3 1 1 5 2 0 1 0 0 1 2 7 2 5 1 0 0 1 2 1 4 1 3 1 2 1 0 2 0 5 1 0 1 0 1 2 2 0
"modest" 0 0 1 0 1 0 3 2 2 2 0 1 2 2 2 3 0 0 0 1 4 2 0 1 0 1 1 3 0 0 1 0 0 0 1 0 0 0 1 3 0 2 0 1 0 1 0 0 0 4 0 1 1 0 0 4 0 0 2 0 1 3 1 0 0 0 5 1 4 0 0 0 0 2 1 4 3 2 0 3 0 2 0 2 2 1 1 0 0 2 2 3 1
"moral" 0 0 1 1 1 1 1 0 2 2 1 0 3 1 0 3 1 2 1 1 1 3 1 1 0 1 1 0 0 0 1 0 2 1 1 2 0 1 0 0 0 1 0 2 2 0 3 0 0 2 0 0 1 0 0 4 1 3 3 0 0 2 0 0 0 0 4 1 1 0 3 1 0 0 0 1 2 0 4 1 0 0 0 0 0 0 1 2 0 4 2 2 1
"natural" 1 3 4 1 5 1 3 3 5 1 2 2 9 4 2 10 1 6 0 5 4 10 0 1 1 4 5 7 1 3 4 1 2 1 3 3 2 2 0 8 1 2 1 5 3 4 2 2 0 11 2 2 3 4 4 0 1 2 13 2 2 6 1 2 2 2 11 5 7 2 6 2 1 2 0 8 7 5 4 6 5 5 2 3 4 2 5 3 2 2 3 7 0
"observant" 0 0 1 1 0 0 1 0 4 1 0 0 2 1 1 2 0 1 0 0 0 2 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 0 2 1 1 2 0 0 0 1 0 2 2 0 0 0 0 0 0 4 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 2 0
"original" 0 0 0 1 2 1 2 0 1 0 1 0 0 1 0 4 1 1 1 2 1 4 0 1 0 2 2 0 1 1 2 0 0 1 0 0 0 2 1 3 0 1 0 1 0 0 2 2 0 3 0 2 1 0 3 2 0 0 2 0 0 0 1 0 0 1 3 2 2 0 0 0 0 2 0 2 2 2 3 1 0 0 0 1 1 0 0 1 2 0 2 2 1
"particular" 1 2 4 3 5 3 1 1 9 2 0 2 10 0 3 7 0 1 1 2 4 7 0 3 0 1 2 3 1 1 4 4 1 0 1 7 0 1 3 3 1 4 5 0 3 3 1 2 3 7 3 2 5 2 3 13 2 2 0 0 1 5 1 1 4 1 7 2 5 0 3 0 1 0 3 10 3 4 4 4 2 3 2 2 2 3 2 4 0 2 3 3 0
"patient" 1 0 0 0 1 1 4 0 4 2 0 0 4 0 2 3 0 1 0 2 0 6 0 0 0 2 2 2 0 0 0 1 1 0 1 1 1 2 0 6 1 0 1 0 1 0 0 0 1 2 0 0 2 0 0 2 1 0 0 0 2 2 0 0 0 0 3 4 4 2 1 0 2 0 0 3 1 1 2 1 1 0 2 1 1 1 2 1 1 0 1 2 0
"pensive" 1 0 2 0 1 1 1 0 5 3 0 0 3 1 1 3 0 1 0 1 0 2 0 1 1 1 2 0 0 0 0 0 0 0 1 0 0 1 0 3 0 0 2 1 1 0 1 0 0 3 0 1 0 1 0 2 1 0 1 2 0 2 0 0 0 0 1 0 2 0 2 0 1 1 0 1 3 3 0 3 0 0 0 1 3 0 3 0 0 1 1 2 0
"pleasant" 2 0 2 1 2 2 5 0 7 4 0 1 9 2 1 3 0 2 1 1 2 10 1 2 0 0 5 2 1 2 1 4 1 1 3 2 2 2 3 4 3 3 2 0 3 1 2 1 1 2 1 0 1 3 2 6 2 0 5 2 2 0 2 0 5 1 7 4 6 2 3 1 2 1 1 4 1 1 0 2 3 1 0 2 5 2 1 1 3 5 1 0 4
"polite" 0 0 1 0 3 0 1 0 1 0 1 0 1 0 1 5 0 1 3 0 1 0 1 0 0 2 2 0 1 0 1 0 0 0 0 0 1 0 3 1 0 1 0 1 1 0 0 0 0 3 0 1 0 1 0 1 0 1 1 0 0 2 0 0 0 0 4 0 1 2 0 1 0 1 2 1 0 1 0 2 0 1 0 0 1 1 0 1 1 3 1 1 0
"presumptuous" 0 2 0 0 2 0 0 0 2 1 0 0 0 1 2 1 0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 2 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 2 0 3 0 2 0 1 0 0 1 1 0 0 2 0 0 1 1 1 0 0 1 0 0 2 3 3
"profound" 1 2 3 0 0 0 3 0 6 0 1 0 3 1 0 0 0 0 1 0 0 2 1 1 0 1 2 2 0 1 1 2 0 0 1 2 1 1 0 1 1 0 0 1 2 0 1 0 0 1 0 0 1 0 0 2 0 0 4 0 0 5 0 1 0 0 3 0 2 0 2 1 1 0 0 3 0 1 0 1 0 3 0 0 2 0 0 0 1 3 1 0 0
"proper" 0 0 0 1 2 0 0 0 4 0 0 1 2 1 1 2 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 1 2 1 0 0 0 0 0 2 0 1 1 2 0 3 1 1 0 1 0 0 2 0 0 2 1 1 1 0 0 1 0 1 0 0 4 1 4 0 1 0 0 2 1 5 2 0 0 1 2 0 0 1 2 0 1 0 2 0 1 2 0
"proud" 3 3 7 5 6 2 9 1 13 3 4 4 13 4 2 16 1 6 2 6 6 17 4 9 5 9 6 11 3 4 3 5 3 5 5 7 1 4 6 11 5 5 3 12 5 7 8 6 3 9 3 3 7 5 4 11 0 3 7 3 1 7 4 2 3 4 0 12 18 2 6 4 1 7 4 14 6 4 3 2 5 4 3 4 6 6 3 9 5 4 5 8 4
"quick" 0 0 1 3 4 3 5 1 7 0 1 0 6 3 0 9 1 1 1 5 0 4 2 0 1 5 2 4 0 1 1 3 1 4 1 5 0 4 0 4 3 1 1 1 3 2 1 2 0 4 1 1 2 1 1 5 2 2 2 4 0 4 0 0 0 1 12 0 6 0 3 2 1 3 0 8 0 1 1 3 3 0 0 2 4 1 1 2 0 2 5 2 0
