"active" "adventurous" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bold" "bright" "calm" "capable" "certain" "cheerful" "childish" "chivalrous" "coarse" "cold" "confused" "constant" "contented" "cool" "cruel" "deep" "distant" "docile" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "firm" "gallant" "generous" "genial" "gentle" "gloomy" "harsh" "heroic" "humane" "ignorant" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "kind" "lifeless" "lively" "loud" "mild" "moderate" "moral" "narrow" "natural" "nervous" "passionate" "peaceful" "placid" "pleasant" "profound" "proud" "quick" "rough" "rude" "rugged" "saintly" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "thoughtful" "vain" "violent" "warm" "wild" "vivid"
"fearful" 0 0 1 0 0 2 0 0 1 1 2 1 0 2 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 1 1 0 1 1 3 1 1 2 0 0 2 1 0 3 0
"firm" 0 0 0 1 0 0 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1
"gallant" 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0
"generous" 0 0 2 0 2 0 1 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 0 2 1 0 0 1 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0
"genial" 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"gentle" 2 0 2 2 5 0 3 4 0 3 1 3 2 5 0 0 2 8 2 1 1 0 2 4 2 1 2 2 2 1 2 2 1 0 3 1 0 2 4 0 0 3 1 0 1 2 1 1 1 1 3 1 2 1 0 0 1 2 0 1 1 4 2 0 4 1 3 2 0 0 2 1 0 1 3 2 1 1 0 0 1 2 2 5 1
"gloomy" 0 1 1 1 1 0 1 1 0 1 2 2 0 0 1 1 0 0 0 0 0 0 0 1 1 0 2 1 1 0 1 0 0 1 1 0 2 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 1 0 2 1 2 0
"harsh" 1 0 1 1 3 0 4 1 0 1 0 1 0 2 0 0 1 3 1 0 0 0 1 2 0 1 0 0 0 1 1 0 0 0 0 1 4 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 2 0 0 3 1 2 0 1 0 0 2 0 0 1 0 1 0 0 0 0 1 0 0 0
"heroic" 0 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0
"humane" 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0
"ignorant" 0 0 1 0 1 1 1 2 1 0 1 0 1 1 1 0 0 4 0 0 0 1 0 0 0 0 0 0 1 1 0 2 0 0 2 0 3 0 0 0 0 0 0 0 0 1 0 0 1 1 2 1 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 0 1 2 0 1 3 1 0 3 0 1 2 0
"impatient" 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0
"indifferent" 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0
"inquisitive" 1 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"intense" 0 1 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 2 0 0 1 2 0 2 0 2 0 1 1 0 2 1 1 2 1 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 2 0 0 1 0 0 1 0 2 1 0 1 1 0 2 1 1 1 1 0 1 1 0 1 1 2 0 3 1
