"active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "benevolent" "boisterous" "bold" "bright" "calm" "careful" "cautious" "certain" "cheerful" "cold" "complicated" "confused" "constant" "contemplative" "cool" "critical" "cruel" "cunning" "curious" "deep" "determined" "devilish" "dignified" "distant" "dull" "eager" "earnest" "elegant" "eloquent" "emphatic" "enthusiastic" "excessive" "expressive" "facetious" "faithful" "fearful" "fierce" "firm" "foolish" "friendly" "gentle" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "hospitable" "humble" "humorous" "immovable" "indefatigable" "independent" "ingenious" "intense" "intimate" "kind" "lazy" "learned" "lively" "loud" "merry" "moral" "narrow" "natural" "nervous" "noisy" "original" "particular" "pleasant" "poetic" "practical" "precise" "profound" "proper" "proud" "quiet" "reasonable" "respectful" "restless" "rude" "sentimental" "serious" "severe" "silent" "slow" "smart" "solemn" "spirited" "stable" "steady" "stern" "strict" "surly" "suspicious" "talkative" "thoughtful" "tight" "vain" "verbal" "violent" "warm" "wild" "wise"
"confused" 0 1 0 0 1 0 0 1 0 0 1 0 1 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 2 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 3 0 1 0 1 1 0 0 2 1 0 0 0 3 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0
"constant" 0 0 1 1 1 0 1 3 0 0 3 1 0 0 1 2 5 2 0 0 0 1 0 1 0 1 1 0 0 1 3 1 1 0 0 1 1 0 0 2 0 1 0 2 0 1 1 0 0 0 0 1 0 0 2 0 0 0 1 0 1 1 1 2 0 1 0 0 0 3 0 1 1 2 2 0 0 3 4 0 0 0 1 2 1 3 1 0 0 0 0 1 0 1 0 1 2 0 0 1 0 0 0 0 2 0 0 1 0 3 2 1 0
"contemplative" 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 2 0 0 0 0 0 0 0 1 2 2 0 0 0 1 2 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 1 0 0 2 1 0 0 1 0 3 0 1 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"cool" 1 0 0 1 0 0 1 0 0 0 1 2 0 0 1 0 3 0 1 1 0 0 0 0 1 1 1 0 1 1 2 1 0 0 1 1 0 0 0 1 0 1 0 1 0 1 1 2 1 0 0 0 0 0 1 0 1 1 0 1 0 0 2 1 0 0 0 0 1 2 0 0 2 1 1 0 0 1 4 0 0 0 0 1 1 1 1 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1
"critical" 0 0 0 2 2 1 0 0 1 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
"cruel" 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 3 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"cunning" 0 0 1 0 0 2 1 0 0 0 2 0 0 1 1 0 4 0 0 0 1 1 0 0 0 1 0 1 1 0 0 2 1 2 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 2 1 0 0 2 2 0 0 2 1 0 0 1 0 0 2 1 0 0 1 0 1 1 1 1 1 0 2 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 2
"curious" 1 2 0 3 0 2 0 1 0 0 2 1 1 0 8 3 6 0 0 1 2 1 0 0 1 0 4 2 0 2 2 2 3 2 1 0 2 0 0 1 0 1 0 0 1 0 2 1 2 1 0 3 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 2 4 1 1 4 5 1 1 1 8 6 1 0 4 6 0 2 2 1 1 3 0 0 0 0 1 2 3 3 0 0 0 0 0 0 1 1 0 0 1 2 3 3 1 1
"deep" 0 1 1 5 4 4 0 2 2 3 5 3 2 1 8 4 11 0 0 1 2 1 1 0 0 4 0 0 1 0 4 1 2 3 0 2 2 4 2 2 0 2 3 4 2 0 2 6 1 1 0 2 3 0 0 3 0 3 1 1 1 1 1 4 3 3 0 1 4 9 5 4 4 4 0 0 1 6 7 1 1 3 3 2 2 7 1 0 2 2 0 2 1 4 1 2 3 1 2 0 0 0 0 0 1 0 1 1 0 3 7 6 2
"determined" 0 2 0 0 1 2 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 2
"devilish" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 3 0 0 0 0 1 0 1 2 3 0 0 0 2 0 2 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"dignified" 1 0 0 1 1 2 0 1 0 0 0 1 1 0 1 0 2 0 0 1 0 1 1 0 0 2 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 2 0 2 1 3 0 0 0 0 0 0 1 0 0 1 0 2 0 1 0 0 0 0 0 0 3 0 0 2 2 0 0 0 2 2 0 0 1 0 1 2 0 1 0 1 0 0 1 0 0 0 1 3 1 0 0 2 1 0 1 1 0 1 0 1 1 0 0 1
"distant" 0 0 2 2 1 2 0 1 0 0 4 1 0 0 1 2 7 1 0 3 1 2 0 0 0 2 4 0 0 1 0 2 0 1 0 1 0 2 0 1 0 1 1 1 0 0 1 4 0 0 0 2 0 0 4 0 0 0 1 0 1 0 1 2 0 0 0 1 1 4 1 0 2 3 1 0 1 3 3 0 0 3 2 1 1 6 0 0 1 2 0 1 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 2 1 2 0
"dull" 0 0 0 0 1 1 2 0 0 0 2 0 1 0 0 2 2 0 0 1 2 1 0 0 2 2 1 1 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 2 0 2 2 3 0 0 2 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
"eager" 0 1 0 1 0 1 1 0 0 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 1 3 2 1 0 1 0 1 0 0 1 0 0 2 2 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 2 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0
"earnest" 0 0 0 2 0 3 1 0 0 0 1 1 0 1 2 1 2 0 0 0 1 0 0 0 2 2 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 1 3 0 0 1 1 0 0 1 1 3 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 3 1 0 1 1 0 3 1 1 1 0 0 0 1 0 1 2 0 0
"elegant" 0 1 1 2 1 0 1 0 0 0 0 0 0 0 2 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 3 0 0 2 1 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 3 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"eloquent" 0 0 1 0 1 0 0 1 0 0 0 1 1 1 1 1 2 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 3 2 0 1 2 1 0 1 1 0 0 0 1 1 0 0 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1
"emphatic" 0 1 0 0 0 1 1 1 0 0 1 0 0 0 2 0 2 1 1 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 4 0 2 0 1 0 1 1 4 2 0 0 0 1 1 0 3 0 2 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 2 0 2
"enthusiastic" 1 0 0 2 3 0 0 0 0 0 3 0 0 0 4 0 4 1 0 0 0 0 0 0 0 0 4 0 1 0 2 0 2 0 0 1 1 0 3 1 2 3 1 0 1 1 0 2 0 0 1 0 0 0 1 0 1 1 0 0 0 1 1 2 2 2 0 1 0 5 0 0 0 0 0 1 1 2 3 1 1 0 2 2 1 3 0 0 1 0 0 1 0 3 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 3 2 0 0
"excessive" 2 1 0 2 1 2 2 0 0 1 3 1 1 0 1 2 2 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 2 0 1 0 0 3 0 1 1 0 0 1 0 1 1 2 1 3 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 2 0 0 1 1 2 2 0 2 0 1 2 1 1 0 0 1 0 0 2 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0
"expressive" 1 0 1 2 4 2 0 1 0 2 1 1 1 0 0 1 2 1 0 2 0 1 0 1 1 1 2 2 1 1 1 2 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 0 2 3 0 2 0 2 1 3 2 0 1 1 2 2 4 1 3 1 2 0 1 1 5 2 0 0 2 3 2 1 1 1 1 0 0 1 1 2 1 0 1 2 1 2 1 0 0 0 1 1 0 0 1 1 0 2 0 2
"facetious" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 0 2 0 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
"faithful" 1 0 2 0 0 0 1 0 0 0 1 2 1 0 1 1 5 1 1 1 1 1 0 1 1 1 2 0 1 0 1 0 1 0 0 0 1 3 0 1 0 0 1 1 0 0 2 1 0 0 0 0 1 0 1 0 2 1 1 0 0 0 2 3 0 1 0 1 1 5 0 0 0 0 1 0 1 1 4 0 0 0 1 5 2 0 1 0 1 0 0 0 0 2 0 2 1 0 1 2 1 1 2 1 0 0 0 0 2 1 1 1 1
"fearful" 1 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 2 1 0 0 1 0 0 0 0 0 3 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 2 0 0 1 1 0 0 1 1 1 1 0 0 0 1 2 2 2 0 0 0 0 0 0 2 1 0 2 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1
"fierce" 1 2 1 2 0 1 1 1 0 1 3 1 0 0 1 2 3 0 1 2 0 1 0 0 1 0 4 0 1 1 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 1 4 1 0 2 1 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 4 2 1 1 0 1 0 1 4 4 0 1 0 1 1 3 3 1 0 0 1 0 3 1 3 0 2 0 1 0 0 2 1 0 0 1 1 1 0 0 2 2 4 0
"firm" 1 0 0 1 1 1 0 0 0 1 2 1 1 0 0 0 2 0 1 0 0 0 0 0 0 1 2 0 0 2 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 4 1 1 1 2 1 0 0 3 0 0 0 0 1 1 1 0 0 0 1 0 0 0 2 1 0 0 1 0 0 1 0 1 0 0 0 0 0 2 0 1 0 1 0
"foolish" 0 2 3 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 3 0 0 1 1 0 2 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 0 1 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0
"friendly" 0 0 0 3 1 1 1 1 0 0 3 1 2 0 0 2 4 1 0 1 0 1 1 0 0 2 2 1 0 2 1 0 1 0 3 1 0 0 1 0 0 2 1 1 1 1 0 0 1 2 1 0 0 1 1 0 0 3 0 1 0 1 1 0 0 2 0 0 1 2 0 0 2 3 0 0 0 0 3 0 0 1 1 0 4 3 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 1 2 2 1 1
"gentle" 0 0 1 1 2 3 1 1 0 2 5 2 1 1 2 3 5 0 2 0 2 2 0 1 0 1 6 0 1 1 4 2 1 0 0 0 2 2 2 1 1 1 0 4 0 1 0 0 1 0 1 0 0 0 3 0 0 2 3 0 0 0 3 2 0 0 2 0 1 4 4 1 1 1 0 1 0 3 5 0 2 2 2 1 0 5 1 1 1 3 0 2 0 2 0 2 3 1 0 0 1 2 0 0 0 2 0 0 0 4 3 3 2
"gloomy" 1 0 1 0 0 2 1 1 0 0 3 1 0 0 2 1 3 0 1 0 0 1 0 0 0 2 1 0 0 3 0 1 0 2 0 0 1 0 1 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 5 1 0 4 1 0 0 0 3 2 0 0 0 1 2 1 2 1 0 0 0 0 0 0 1 1 2 1 1 1 0 1 0 1 1 0 2 0 1 1 2 1 1 0
"graceful" 0 0 0 2 1 2 2 0 1 0 0 0 1 0 0 1 0 2 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 2 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 3 0 1 1 0 0 0 2 0 0 0 0 0 0 1 0 3 0 1 0 2 1 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"gracious" 0 1 2 1 1 1 1 0 0 0 2 0 2 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 2 0 0 0 2 0 1 0 0 1 0 2 0 0 0 0 0 0 1 0 1 2 0 2 0 1 2 0 0 0 2 1 0 0 0 0 1 0 1 0
"harsh" 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 1 0 0 0 0 3 2 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 1 2 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 1 0 1 0 0 1 0 0 1 0 0 0 2 1 1 0
"hasty" 0 0 1 1 1 0 0 0 0 1 2 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 2 0 0 0 1 1 2 2 2 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1
"haughty" 0 0 0 2 1 1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1
"hearty" 0 1 0 1 1 1 0 1 0 0 3 0 1 0 3 1 4 1 1 2 0 1 0 3 0 1 0 0 0 0 4 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 3 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 2 1 0 2 1 1 3 2 2 1 4 2 0 1 1 2 0 0 0 4 2 0 4 0 0 0 1 1 1 0 1 1 2 2 0 1 0 1 2 0 0 0 1 3 1 0 2 2 0 1
