"active" "affectionate" "agreeable" "amiable" "anxious" "calm" "capable" "careful" "certain" "cheerful" "civil" "clever" "cold" "constant" "cruel" "deceitful" "deep" "dependent" "determined" "dignified" "distant" "dull" "eager" "earnest" "elegant" "excessive" "fearful" "foolish" "frank" "friendly" "generous" "gentle" "hasty" "honest" "ignorant" "impatient" "impertinent" "independent" "indifferent" "intimate" "invariable" "jealous" "kind" "lively" "narrow" "natural" "nervous" "noisy" "particular" "pleasant" "proper" "proud" "prudent" "quick" "quiet" "rational" "reasonable" "restless" "selfish" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "steady" "thorough" "unobtrusive" "vain" "violent" "warm" "wild"
"earnest" 2 0 2 3 4 2 4 1 1 2 1 0 3 4 3 0 1 0 0 0 2 1 1 0 0 0 2 0 0 1 0 1 1 0 1 1 2 2 2 2 1 0 1 3 2 8 1 1 5 1 3 2 0 1 1 0 2 3 2 6 3 6 3 3 0 0 1 0 0 0 2 1 0
"elegant" 1 2 3 1 1 1 1 1 2 0 1 0 1 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 2 0 0 0 0 0 0 1
"excessive" 1 0 3 0 0 0 0 1 0 0 2 1 1 2 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 2 1 1 0 0 1 0 1 1 2 0 0 1 0 2 0 3 1 0 0 2 0 0 1 0 2 0 0
"fearful" 1 1 0 1 1 3 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 2 0 2 1 2 0 0 3 0 0 0 1 1 0 0 0 1 0 0
"foolish" 1 1 1 2 1 0 0 0 1 0 1 0 1 1 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 1 2 0 0 0 1 1 1 1 0 1 0 1 1 2 0 0 0 0 1 0 2 0 0
"frank" 0 1 1 0 0 0 1 0 2 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0
"friendly" 1 0 1 0 3 2 1 0 1 0 2 0 2 1 0 1 0 1 1 0 2 1 0 1 0 1 0 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 2 0 1 3 0 1 3 2 0 0 1 1 1 0 2 0 0 1 0 2 4 0 1 1 0 0 1 0 2 1 0
"generous" 0 2 0 1 2 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 4 1 2 0 1 1 1 1 1 0 0 2 0 0 1 1 0 1 0 0 0 1 1 0 0
"gentle" 1 1 2 1 0 1 3 0 1 0 2 0 2 2 1 2 0 0 1 1 0 1 0 1 1 2 0 0 0 2 0 0 0 2 0 1 1 0 2 1 0 1 0 1 0 3 0 1 2 0 0 0 0 1 2 0 0 0 1 1 1 3 1 0 0 2 0 0 1 1 1 0 0
"hasty" 0 0 0 0 1 0 2 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 3 1 1 1 0 1 1 1 0 0 3 0 0 0 1 0 1 0 0 0 0 0
"honest" 0 2 0 0 2 1 2 0 2 1 0 0 1 2 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 1 2 0 0 2 0 0 4 1 2 0 0 0 0 0 1 0 1 0 0 3 0 1 0 0 0 0 0 2 0 1 0
"ignorant" 0 1 3 1 0 0 0 0 0 0 2 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 2 0 0 2 1 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 1
"impatient" 1 2 0 1 3 0 3 1 3 2 1 0 0 3 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 0 2 0 0 4 0 0 0 0 0 2 0 2 1 0 2 1 3 3 0 1 0 0 1 1 0 3 3 1
"impertinent" 1 0 2 0 1 0 0 1 1 0 2 1 0 3 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 2 0 0 2 1 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1
"independent" 0 2 2 2 0 0 3 0 2 2 1 0 3 2 2 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 3 3 0 1 2 0 1 1 1 0 2 0 1 1 1 0 1 3 1 0 0 1 1 0 0 0 0 0 0
"indifferent" 2 2 1 2 1 1 3 1 3 1 0 1 2 4 0 1 2 1 1 0 1 0 1 2 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 1 1 0 2 0 0 5 0 2 0 0 1 0 0 2 0 0 2 0 3 1 0 0 1 1 1 0 0 1 0 0
"intimate" 0 1 1 0 1 3 1 0 4 1 0 1 1 3 1 1 1 0 1 0 0 0 0 2 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 1 2 1 1 0 1 0 0 5 1 3 2 1 1 1 1 3 0 1 3 0 1 3 2 0 1 0 0 1 0 1 1 1
"invariable" 0 1 2 0 0 0 0 1 0 0 1 2 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 0 0 0 0 0 1 0 0 0 0 0
"jealous" 0 0 0 0 0 0 0 1 3 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 2 0 0 0 0 0 1 0 1 3 1 0 2 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"kind" 1 2 2 0 5 1 1 2 3 2 2 1 2 2 0 0 1 1 2 1 1 2 0 1 0 1 0 0 0 2 1 0 0 2 0 1 0 0 1 1 1 0 0 0 0 4 0 0 6 2 2 0 1 1 1 0 1 0 0 4 0 9 3 1 1 0 0 1 0 2 2 3 1
"lively" 0 3 1 1 0 2 2 1 2 0 0 0 2 2 0 1 0 0 0 0 0 2 2 3 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 3 0 0 2 0 1 1 2 1 1 0 1 0 0 2 1 3 1 1 0 0 0 0 0 0 0 0 0
"narrow" 0 1 1 1 0 0 1 0 1 2 1 0 2 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 1 4 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0
"natural" 2 5 4 5 6 2 6 1 6 0 2 1 4 3 3 1 0 1 1 2 4 3 2 8 0 2 0 0 1 3 0 3 0 2 2 2 2 3 2 1 1 1 4 3 0 0 0 2 7 2 5 1 1 2 3 0 2 0 3 5 1 11 8 3 1 2 0 0 1 3 3 4 2
"nervous" 0 1 0 1 1 0 1 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 0
"noisy" 0 0 2 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 2 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 2 0 0 0 0 1 0 0
"particular" 1 6 6 4 10 2 8 2 8 4 3 0 8 8 2 0 2 0 3 1 3 3 4 5 1 0 0 2 1 3 4 2 2 4 2 4 2 2 5 5 0 3 6 2 4 7 1 2 0 6 5 3 2 2 4 1 6 1 3 6 0 6 6 3 1 4 0 2 1 2 5 7 1
"pleasant" 0 1 3 1 3 1 1 0 4 0 2 1 2 1 1 0 0 0 3 1 2 1 2 1 0 0 0 1 0 2 1 0 0 1 1 0 1 0 0 1 0 1 2 0 1 2 0 0 6 0 0 0 0 1 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 2 2 1 1
"proper" 2 4 0 3 2 0 2 0 4 2 0 1 0 2 1 2 1 1 1 0 1 2 3 3 0 1 1 2 1 0 2 0 0 2 0 0 0 1 2 3 0 0 2 1 0 5 1 0 5 0 0 0 3 2 1 1 1 1 2 1 1 5 1 5 0 1 1 0 0 0 1 2 0
"proud" 0 0 0 0 1 1 2 1 1 0 0 0 0 2 1 0 0 1 1 0 0 0 1 2 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 2 0 2 0 1 0 1 0 0 3 0 0 0 1 1 1 1 2 1 1 0 0 3 3 0 0 0 0 0 0 0 0 0 0
"prudent" 0 3 0 1 2 2 1 0 2 0 0 1 1 3 0 0 0 1 2 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 2 1 1 0 0 2 0 3 1 0 0 1 0 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0
"quick" 2 1 1 0 2 1 2 1 2 1 1 0 3 3 0 1 1 1 0 0 2 1 0 1 1 1 0 0 1 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 2 1 0 2 1 2 1 0 0 0 0 1 0 1 1 0 3 1 2 0 2 0 0 0 0 3 0 0
"quiet" 0 3 2 2 1 2 3 0 3 3 2 0 2 1 2 1 0 0 0 0 0 1 1 1 0 2 2 1 0 1 1 2 1 0 1 2 0 2 0 1 0 0 1 1 0 3 1 1 4 0 1 1 1 0 0 1 1 2 0 2 1 7 1 1 1 1 1 1 2 0 3 3 0
"rational" 0 1 0 0 2 1 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 2 0 2 2 0 1 0 0 1 0 0 0
"reasonable" 2 2 0 1 4 4 2 0 1 1 0 1 2 2 1 0 1 1 1 0 1 1 1 2 0 0 2 1 0 2 1 0 1 1 0 2 0 1 2 3 0 0 1 1 0 2 0 0 6 0 1 2 1 1 1 1 0 1 1 2 0 3 3 2 1 0 1 0 0 0 1 1 0
"restless" 1 0 0 0 2 0 1 1 1 1 0 0 1 0 2 0 0 0 0 0 0 0 1 3 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 2 1 1 0 0 2 1 3 1 0 0 0 0 0 1 1 2 0 0
"selfish" 0 1 0 3 1 0 2 1 2 2 0 0 2 1 1 0 0 1 2 1 1 1 5 2 0 0 2 0 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 3 0 0 3 0 2 1 0 1 0 1 1 0 0 2 1 3 1 0 1 0 2 0 0 1 1 1 0
"serious" 2 3 5 2 4 1 2 1 3 5 2 2 3 4 1 0 1 1 1 0 0 1 3 6 1 2 0 1 1 1 2 1 0 0 2 2 1 0 2 3 3 0 4 2 0 5 1 0 6 0 1 0 0 1 2 1 2 2 2 0 1 8 2 1 2 1 0 1 1 1 3 1 2
"severe" 1 0 1 1 1 1 2 1 0 2 0 0 2 1 1 1 0 0 0 0 1 0 1 3 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 2 0 1 0 0 1 1 0 0 0 0 0
"silent" 2 5 6 3 6 4 5 3 6 6 3 2 4 5 3 2 2 2 5 1 2 6 5 6 0 3 3 1 2 2 0 3 3 3 2 3 1 3 3 1 2 1 9 3 1 11 1 3 6 2 5 3 2 3 7 2 3 3 3 8 2 0 4 4 2 2 1 4 1 3 3 4 1
"simple" 2 1 1 3 6 2 3 1 8 1 1 0 2 4 1 0 1 1 1 0 2 1 2 3 1 1 0 1 0 4 1 1 0 0 0 3 1 1 1 3 0 1 3 1 0 8 0 1 6 1 1 3 1 1 1 0 3 1 1 2 0 4 0 1 1 1 0 1 0 1 4 1 2
"sincere" 2 2 0 2 3 2 2 0 2 2 0 0 1 3 1 1 2 0 2 0 1 2 0 3 0 0 0 2 1 0 1 0 0 1 0 0 0 0 0 2 0 0 1 1 0 3 1 0 3 0 5 0 1 2 1 2 2 0 0 1 1 4 1 0 1 0 1 0 0 0 1 2 0
"slow" 1 0 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 1 2 0 2 1 1 0 0 1 0 0 0 0 1 0
"smart" 2 0 4 0 2 1 0 0 1 1 2 0 1 1 0 0 0 0 0 1 0 2 0 0 2 2 1 0 0 1 1 2 1 0 0 0 1 1 1 1 0 0 0 0 1 2 1 2 4 0 1 0 0 2 1 0 0 0 0 1 0 2 1 0 0 0 0 1 0 1 1 0 0
"steady" 0 1 0 2 2 2 1 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 2 0 1 1 0 1 1 0 0 0 0 0 1 0 0
"thorough" 0 0 1 0 0 1 0 0 1 2 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 1 4 1 0 0 1 0 0 0 0 0 1 0
"unobtrusive" 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 1 0
"vain" 0 2 0 0 2 1 1 0 2 0 0 0 1 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 2 0 0 3 0 0 2 2 0 0 0 0 0 1 0 1 1 1 0 3 1 0 0 1 0 0 0 0 0 0 1
"violent" 1 2 2 3 5 1 2 1 2 3 3 0 4 2 0 0 1 1 1 0 1 1 2 2 0 2 1 2 0 2 1 1 0 0 0 3 1 0 1 1 0 0 2 0 0 3 1 1 5 2 1 0 0 3 3 0 1 2 1 3 0 3 4 1 0 1 1 0 2 0 0 2 0
"warm" 2 1 0 2 2 0 1 0 3 2 1 0 2 2 1 0 0 0 1 0 2 1 1 1 0 0 0 0 0 1 0 0 0 1 0 3 0 0 0 1 0 0 3 0 0 4 0 0 7 1 2 0 0 0 3 0 1 0 1 1 0 4 1 2 1 0 0 1 1 0 2 0 0
"wild" 0 1 0 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 1 0 0 0
