"abrupt" "active" "affectionate" "agreeable" "anxious" "appreciative" "bitter" "boastful" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "certain" "cheerful" "clumsy" "coarse" "cold" "compassionate" "confident" "confused" "congenial" "cool" "courageous" "cruel" "curious" "dainty" "deep" "determined" "direct" "distant" "dull" "eager" "earnest" "elegant" "energetic" "expressive" "faithful" "fearful" "fervent" "fierce" "formal" "friendly" "gentle" "gloomy" "gracious" "harsh" "honest" "ignorant" "impatient" "indifferent" "intimate" "kind" "live" "loud" "merciful" "methodical" "moderate" "moral" "murderous" "narrow" "natural" "nervous" "observant" "original" "particular" "passionate" "peaceful" "persistent" "pleasant" "polite" "practical" "profound" "proper" "proud" "quick" "quiet" "reproachful" "responsible" "restless" "rough" "rugged" "shrewd" "silent" "simple" "slow" "social" "solemn" "stable" "steady" "stern" "studious" "submissive" "sunny" "thorough" "thoughtful" "timid" "vain" "vigorous" "violent" "warm" "wild" "wary" "wise" "worldly" "vague"
"bright" 1 0 0 0 4 0 2 0 2 1 0 1 2 1 1 1 4 0 2 1 5 0 1 1 1 1 1 0 2 0 4 1 2 2 2 1 2 0 0 3 2 0 0 0 2 1 4 1 2 0 1 2 1 0 0 2 1 1 1 1 0 0 2 3 3 0 0 2 0 0 1 1 2 1 1 1 0 0 3 6 0 1 0 2 0 2 3 1 1 0 5 1 5 1 0 1 0 1 0 1 0 0 0 1 4 0 0 0 0
"brisk" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0
"calm" 0 1 0 0 0 0 1 1 0 0 2 0 0 0 1 0 2 1 0 0 1 0 0 0 1 0 1 0 0 1 2 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 1 0 1 0 2 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"capable" 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"careful" 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0
"careless" 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 2 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0
"certain" 0 1 1 1 3 1 0 0 0 0 4 0 2 1 1 1 0 3 0 4 2 2 1 0 2 2 1 1 2 0 3 1 2 4 1 1 3 2 2 3 0 1 1 1 0 0 1 1 2 1 1 1 0 1 2 1 0 2 2 1 1 2 1 0 6 0 1 1 1 0 0 1 4 0 1 0 2 0 0 6 1 1 0 3 1 2 4 1 0 0 5 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 1 1 1
"cheerful" 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 2 0 2 0 0 0 0 0 0 4 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 0 0
"clumsy" 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"coarse" 0 0 0 0 1 1 1 0 1 1 1 0 0 1 0 1 4 0 0 0 2 0 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 4 0 0 0 0
"cold" 0 1 0 0 4 0 2 0 1 1 5 0 1 1 0 1 2 1 1 2 0 2 0 1 0 1 1 2 1 0 3 0 1 0 2 1 2 0 0 0 1 0 0 1 2 0 3 2 0 0 4 1 2 1 0 1 1 1 0 0 1 1 1 3 4 1 1 1 3 1 1 0 3 1 1 1 1 0 2 6 0 0 3 3 0 1 2 1 2 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 4 1 0 0 1
"compassionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 2 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"confident" 0 0 1 0 2 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"confused" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 2 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1
"congenial" 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0
"cool" 0 0 0 1 1 0 0 0 1 2 1 0 0 0 1 0 2 1 0 0 1 0 0 0 1 0 0 3 2 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 3 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 2 4 0 1 0 0 0 2 0 2 0 0 0 1 0 1 0 1 2 0 0 0 0 1 0 0 1 0 0 0 0
"courageous" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1
"cruel" 1 0 1 0 0 0 1 0 2 1 0 0 0 0 1 1 1 0 0 2 2 1 0 0 0 3 0 0 1 0 3 0 1 2 1 0 0 0 0 0 1 0 1 2 0 2 1 3 0 2 1 2 2 1 1 0 0 3 0 0 0 0 0 2 0 0 1 0 0 1 1 0 0 2 0 1 0 1 3 4 0 1 0 2 2 0 1 1 0 0 0 1 3 0 1 2 1 1 0 0 1 0 0 0 2 1 0 0 0
"curious" 0 0 1 1 3 0 0 0 0 1 2 0 0 1 0 0 2 0 0 0 1 0 1 0 0 2 0 1 0 0 2 0 0 1 1 0 2 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 2 1 1 0 0 0 0 2 0 0 0 1 0 0 1 3 1 1 0 0 0 0 2 1 0 0 2 0 2 0 1 0 0 0 0 2 1 1 0 1 0 1 0 1 0 0 0 2 0 0 0 0
"dainty" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"deep" 1 0 0 0 3 0 0 0 1 2 4 0 2 2 1 0 3 1 0 0 3 2 1 1 1 1 1 3 2 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 2 2 0 0 0 0 0 0 1 2 1 2 1 1 0 0 1 1 2 0 0 1 0 1 0 1 2 0 0 0 0 1 2 3 0 0 2 1 1 1 2 0 0 0 2 0 3 0 1 1 0 0 1 2 0 0 0 2 2 0 0 0 0
"determined" 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0
"direct" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 2 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"distant" 0 0 0 2 0 1 0 1 0 0 2 0 1 0 2 0 4 1 0 1 0 0 0 0 1 1 0 2 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 2 1 2 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 2 0 0 1 1 0 1 0 0 3 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0
"dull" 1 0 0 0 2 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 2 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 2 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 4 1 0 0 1 0 0 1 1 0 1 2 1 0 1 1 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0
"eager" 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 2 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"earnest" 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 2 3 0 0 0 1 0 1 1 1 0 0 1 0 2 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"elegant" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2 0 1 0 0
"energetic" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"expressive" 0 1 0 1 0 0 0 0 1 0 3 0 1 1 1 0 3 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 1 1 1 0 2 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0
"faithful" 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0
"fearful" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0
"fervent" 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"fierce" 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 1 0 0 1 2 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 2 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 2 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1
"formal" 0 0 0 1 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"friendly" 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 1 0 0 0 2 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 2 1 1 0 2 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 0
"gentle" 0 0 0 0 1 0 1 0 0 1 4 0 0 1 0 0 1 0 0 0 3 0 0 0 0 1 0 1 1 0 2 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 2 2 0 1 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"gloomy" 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 0 3 0 0 2 1 1 0 2 1 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 2 0 0 0 0 1 0 0 1 0 1 3 1 0 0 2 0 1 0 3 1 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0
"gracious" 1 0 1 0 2 1 0 0 1 0 2 0 0 1 0 1 2 0 0 2 0 1 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1
"harsh" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0
"honest" 0 0 0 0 1 0 0 0 0 0 1 2 0 0 1 0 1 0 0 1 4 0 0 2 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 2 3 0 0 1 3 1 0 0 0 0 0 1 0 0 0 3 0 1 0 1 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 1 0 0 1 0 2 0 1 0 1
"ignorant" 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 0 0 2 0 1 0 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
"impatient" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"indifferent" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0 2 0 0 0 1
"intimate" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"kind" 0 0 0 0 5 0 0 0 0 1 2 0 0 1 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 0 0 0 1 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 3 0 0 0 0
"live" 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"loud" 2 1 1 1 1 0 0 1 1 2 1 1 0 1 0 1 2 0 0 0 1 0 0 1 0 3 1 3 2 0 2 1 1 1 0 0 1 1 0 1 0 0 1 2 0 0 0 1 0 1 1 0 1 1 0 0 1 0 0 1 0 0 0 3 0 1 1 2 2 0 0 0 0 0 0 0 0 0 4 5 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 0 0 2 1 1 0 1
