"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "awful" "bad" "beautiful" "blind" "bold" "bright" "busy" "calm" "certain" "charming" "cheerful" "childish" "cold" "comfortable" "cruel" "curious" "delighted" "difficult" "excellent" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "graceful" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "hopeful" "innocent" "kind" "little" "lively" "lonely" "lovely" "modest" "natural" "nice" "old" "open" "original" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "proper" "proud" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "sensible" "serious" "short" "social" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thoughtful" "tired" "tough" "uncomfortable" "unhappy" "unusual" "violent" "warm" "weak" "well" "worthy" "young" "youthful"
"excellent" 1 5 3 5 2 2 1 3 2 4 1 2 4 2 1 4 1 3 2 7 2 0 1 1 2 0 2 1 3 0 0 2 1 1 7 20 1 1 2 15 4 4 5 0 0 4 1 17 1 3 0 0 3 1 16 3 1 2 1 3 9 1 2 2 1 9 2 2 2 0 1 3 2 2 4 1 4 3 0 3 0 1 2 0 1 3 0 1 2 2 4 0 3 13 0
"expressive" 0 2 4 2 1 1 0 1 3 4 0 3 4 0 0 7 1 1 0 4 2 0 2 2 2 2 0 4 1 2 1 0 2 1 5 17 0 3 3 13 1 6 3 2 0 4 1 18 1 1 2 0 1 1 17 3 0 1 4 2 7 0 1 4 1 5 1 1 1 0 1 1 1 0 5 1 3 2 1 3 1 0 0 0 0 0 0 0 1 4 3 0 3 14 3
"extraordinary" 2 10 3 8 2 3 1 3 0 5 1 1 11 3 2 11 2 3 2 8 5 0 6 6 2 1 4 0 8 2 4 3 4 4 9 32 1 5 2 33 5 14 1 5 1 3 7 40 3 2 3 5 8 0 27 5 4 6 5 1 11 2 5 5 1 10 11 5 4 3 2 5 3 3 16 2 7 5 3 11 5 3 5 3 1 0 2 8 3 2 3 2 2 21 0
"fair" 1 4 1 8 3 2 4 3 5 5 2 4 6 1 2 4 3 1 2 8 5 1 5 5 1 3 1 8 0 1 2 3 2 5 5 21 1 3 1 22 4 9 7 2 3 6 5 32 1 4 1 2 3 2 25 10 3 4 5 1 10 3 2 7 0 7 2 8 3 7 6 2 3 1 11 2 4 7 1 5 2 1 5 2 2 1 1 4 3 5 4 3 1 21 0
"faithful" 0 2 2 5 2 0 1 0 3 4 0 2 3 2 2 3 0 3 1 2 0 0 0 4 0 0 2 2 1 0 1 1 2 1 3 9 0 0 1 11 0 5 2 1 1 3 3 13 1 1 1 0 2 0 11 4 0 3 1 0 4 0 0 4 2 3 4 0 3 4 1 1 0 0 5 1 3 1 2 3 1 1 1 0 2 0 1 3 0 0 2 0 1 7 0
"familiar" 1 6 1 3 0 3 0 3 1 2 1 2 4 3 1 3 1 3 1 4 1 0 0 0 1 0 1 4 2 1 0 2 0 3 4 13 1 1 0 16 2 3 2 2 0 1 1 22 0 2 1 1 4 0 15 7 3 1 1 1 8 1 0 6 0 7 5 3 1 4 2 0 3 0 10 0 3 1 1 4 0 1 2 1 1 0 1 2 1 2 0 0 0 7 1
"fine" 2 8 0 1 4 2 2 0 0 3 1 2 2 2 2 3 1 1 1 4 2 0 1 0 1 2 0 3 3 1 2 0 2 2 7 15 1 1 1 18 1 9 0 0 1 2 2 20 1 3 1 2 1 2 16 5 3 1 3 0 7 1 4 6 0 6 2 0 4 0 2 1 0 3 9 2 3 4 1 1 2 0 2 2 2 1 1 1 1 5 3 2 0 13 0
"friendly" 0 4 4 4 2 2 1 0 2 0 1 1 3 3 0 4 0 0 0 4 4 1 0 5 2 1 2 4 2 2 0 2 0 2 4 15 1 3 3 19 1 6 1 2 0 3 3 18 3 0 1 0 3 1 15 3 0 4 2 2 7 1 0 3 0 7 3 0 2 3 2 2 0 2 5 3 2 2 1 2 0 1 1 0 4 1 0 2 3 4 3 0 1 8 0
"gentle" 5 11 2 10 2 1 1 1 3 13 2 4 13 6 3 8 1 4 2 12 0 2 2 2 2 1 1 4 5 1 3 2 2 0 10 24 3 5 4 26 4 15 5 2 3 6 7 36 2 6 2 3 8 3 34 11 3 2 4 3 20 3 5 3 2 11 12 2 6 6 2 0 2 3 8 1 6 8 5 11 5 3 4 2 2 1 4 2 2 3 5 4 2 23 2
"glad" 5 18 3 9 5 4 2 8 9 16 4 1 19 9 2 18 4 9 4 11 3 4 3 5 3 7 5 9 5 3 4 7 4 10 0 53 2 4 9 59 3 26 14 11 3 11 19 71 5 8 2 1 14 4 52 17 3 7 6 6 26 2 10 12 2 16 14 5 4 7 6 6 4 4 25 5 13 12 6 14 8 4 5 2 2 4 2 5 2 8 14 7 6 48 0
"good" 11 52 15 40 20 19 12 15 27 43 8 16 42 18 10 43 13 16 11 38 13 13 14 13 13 20 17 32 21 9 13 15 15 24 53 0 9 18 15 155 22 62 36 20 10 38 30 191 13 19 11 7 36 9 157 42 11 20 25 12 92 14 23 22 11 52 34 21 25 17 11 16 14 8 66 11 33 36 18 39 9 18 15 11 13 10 12 16 15 16 24 8 12 119 10
"graceful" 0 1 1 1 0 3 0 1 1 7 0 0 2 1 1 0 5 1 0 4 0 1 1 1 0 1 0 1 1 0 1 1 1 3 2 9 0 1 1 8 3 5 2 1 0 3 2 11 1 0 2 2 2 1 10 3 1 2 3 1 4 2 0 2 1 5 5 1 1 0 1 0 0 0 5 0 2 2 1 5 1 0 0 2 1 0 2 0 0 1 3 2 0 5 0
"gracious" 1 6 1 2 1 3 1 1 2 2 1 1 3 3 1 6 2 0 0 3 3 0 4 3 1 1 3 5 3 0 1 1 3 5 4 18 1 0 1 14 2 9 3 1 1 3 4 18 1 1 0 0 1 1 15 2 0 2 2 2 7 1 0 2 1 3 3 2 2 0 2 0 0 1 8 0 4 2 1 9 2 1 1 1 1 2 0 0 2 0 3 0 1 14 3
"grateful" 0 3 1 4 4 3 1 1 2 4 1 1 5 1 0 4 1 4 0 2 1 0 1 2 2 2 3 2 1 1 0 1 3 4 9 15 1 1 0 16 0 8 3 2 0 4 4 20 0 0 2 1 2 1 14 7 0 3 4 0 10 0 3 4 1 5 5 0 3 1 3 3 3 1 9 0 3 5 1 6 1 0 2 1 0 2 1 1 1 3 4 1 2 11 2
"great" 9 43 15 37 20 22 8 17 32 47 14 19 44 22 14 39 11 20 11 46 11 15 15 17 15 15 13 33 22 11 16 18 19 26 59 155 8 14 16 0 19 59 42 16 12 31 33 215 13 17 11 9 42 7 170 49 14 23 23 14 81 14 18 29 12 53 36 22 31 15 15 21 14 9 74 14 45 41 16 37 15 17 16 14 14 12 10 21 15 21 29 14 12 129 13
"handsome" 1 5 4 7 2 2 1 1 6 10 1 3 5 2 2 8 4 1 1 11 0 4 1 1 1 4 1 5 4 0 2 1 1 4 3 22 3 2 0 19 0 8 5 2 0 6 3 24 0 5 1 2 3 2 24 9 2 2 2 3 10 3 3 3 3 18 7 2 6 1 0 2 3 1 4 4 6 8 3 4 6 7 5 1 0 0 0 3 5 2 2 3 0 13 2
"happy" 5 17 5 15 6 4 0 6 7 21 3 3 19 11 6 11 3 6 6 10 5 4 7 8 6 4 6 14 9 5 3 9 6 15 26 62 5 9 8 59 8 0 9 9 6 15 20 68 9 11 7 3 15 3 54 16 1 5 14 4 30 1 12 11 3 17 22 8 9 5 9 4 6 2 29 4 13 15 5 20 9 6 7 7 1 3 4 3 10 5 8 6 7 48 6
"hard" 2 10 1 12 5 5 1 6 10 10 4 5 10 3 0 9 2 2 7 16 0 6 1 0 6 5 3 1 7 2 2 0 1 5 14 36 2 3 3 42 5 9 0 1 2 10 7 49 0 9 0 0 7 4 41 8 3 6 2 4 22 3 2 6 4 9 7 7 5 5 4 6 1 2 18 4 8 13 0 11 2 5 3 2 1 3 2 2 2 5 7 3 4 33 1
"honest" 3 7 4 4 2 3 0 1 3 5 1 2 8 1 3 5 0 2 0 2 3 1 1 3 2 0 2 5 2 1 2 0 2 2 11 20 1 1 2 16 2 9 1 0 2 1 6 23 2 3 2 0 3 2 19 4 0 5 3 1 16 2 4 2 0 5 5 0 4 4 1 1 4 1 5 0 3 6 1 4 0 3 0 0 1 0 1 1 2 4 2 1 2 11 0
"hopeful" 0 1 1 1 1 2 1 1 1 2 0 3 5 1 2 2 1 3 2 2 0 3 3 1 3 0 0 1 3 1 0 1 0 3 3 10 0 1 0 12 0 6 2 2 0 3 2 10 0 1 2 1 1 1 11 5 0 1 2 0 7 2 1 1 0 3 2 1 4 1 2 0 2 0 3 0 1 4 3 3 0 3 1 2 0 1 0 0 1 1 1 1 0 6 0
"innocent" 1 10 4 11 3 2 2 4 4 11 1 4 10 4 2 6 3 5 4 9 2 4 3 1 3 4 4 3 6 3 1 2 3 6 11 38 3 3 4 31 6 15 10 1 3 0 11 45 5 2 4 4 8 3 32 11 3 1 7 2 20 1 5 7 3 14 7 4 6 4 5 1 3 3 9 2 7 14 3 10 3 3 5 3 2 0 2 5 4 2 5 2 2 31 4
"kind" 3 10 3 6 1 3 1 3 3 9 5 2 11 3 2 6 3 4 3 6 4 4 6 7 1 1 1 7 5 3 1 2 3 7 19 30 2 4 4 33 3 20 7 6 2 11 0 45 3 6 4 4 11 2 29 10 3 7 2 0 20 2 8 5 1 9 6 5 3 3 6 2 3 2 12 2 8 9 5 12 3 5 6 4 1 1 2 3 1 6 8 6 5 22 3
"little" 14 60 18 54 19 22 14 21 32 55 20 22 56 29 17 52 17 21 16 54 15 13 20 20 17 17 18 40 32 13 22 20 18 36 71 191 11 18 20 215 24 68 49 23 10 45 45 0 13 24 11 13 49 15 198 57 16 27 27 14 103 12 24 34 12 64 52 25 28 23 16 18 15 13 88 13 53 47 19 46 18 26 21 15 16 13 15 28 19 21 33 17 17 156 15
"lively" 1 4 1 2 2 1 0 2 4 2 1 2 3 3 1 3 0 2 2 3 1 0 0 2 2 1 1 3 1 1 0 1 3 2 5 13 1 1 0 13 0 9 0 2 0 5 3 13 0 1 2 0 2 0 15 3 0 1 1 1 6 1 1 1 0 3 0 3 3 1 2 2 1 1 5 2 4 2 1 2 3 1 1 0 1 0 2 2 1 1 3 2 1 10 2
"lonely" 3 6 0 6 2 1 1 2 3 5 3 3 8 2 1 4 0 1 1 7 0 3 0 0 2 3 1 2 4 1 2 3 0 6 8 19 0 1 0 17 5 11 9 3 1 2 6 24 1 0 0 0 6 2 19 5 1 4 1 3 9 1 6 5 1 7 7 1 3 4 3 0 1 1 8 2 10 5 3 6 0 1 3 2 2 1 1 2 0 2 4 2 2 16 0
"lovely" 1 3 2 1 0 2 0 0 0 5 1 2 2 2 2 2 2 2 0 2 0 0 0 2 1 0 2 3 1 1 1 1 1 2 2 11 2 0 2 11 1 7 0 2 2 4 4 11 2 0 0 1 2 0 10 5 0 1 3 0 3 1 1 3 0 5 2 1 4 1 1 1 3 0 3 0 4 2 1 2 2 1 2 2 1 0 1 1 0 1 2 1 1 7 1
"modest" 0 2 1 2 1 1 1 0 0 5 1 3 2 0 2 2 1 2 2 3 1 1 4 0 1 0 0 5 2 0 1 2 0 3 1 7 2 0 1 9 2 3 0 0 1 4 4 13 0 0 1 0 4 1 8 1 0 2 3 0 7 0 2 2 0 5 4 1 3 0 0 0 0 2 2 0 3 4 1 5 2 0 2 2 0 0 0 1 2 2 0 0 1 8 1
"natural" 3 12 4 12 4 5 3 5 2 13 2 3 5 5 1 9 3 4 2 10 3 5 4 3 3 3 1 8 3 2 4 1 3 8 14 36 2 1 2 42 3 15 7 3 1 8 11 49 2 6 2 4 0 3 32 10 2 5 6 2 19 3 7 9 2 11 7 5 3 6 4 5 2 2 14 4 9 8 8 8 2 5 4 2 3 2 4 3 2 3 3 5 4 27 3
"nice" 1 4 0 0 2 1 1 1 2 4 0 1 3 1 1 1 2 1 2 7 1 1 1 0 1 1 1 0 2 0 0 2 1 3 4 9 1 1 1 7 2 3 4 2 1 3 2 15 0 2 0 1 3 0 11 1 0 1 1 1 5 1 2 2 0 2 2 3 3 2 2 1 1 0 2 1 3 4 1 3 1 4 1 1 2 2 1 0 2 2 3 4 1 13 0
"old" 9 46 14 39 21 19 12 19 30 42 12 21 43 22 11 40 10 20 14 45 12 11 15 16 16 16 17 27 25 11 15 16 15 34 52 157 10 15 14 170 24 54 41 19 11 32 29 198 15 19 10 8 32 11 0 51 12 23 21 9 86 18 18 22 11 56 35 21 26 22 12 17 10 8 67 12 43 38 14 33 15 19 16 15 16 14 15 19 16 16 31 13 10 122 14
"open" 1 15 6 5 3 4 4 7 6 11 3 5 10 6 3 12 6 9 7 16 1 2 5 3 4 3 3 5 10 4 7 5 3 11 17 42 3 2 7 49 9 16 8 4 5 11 10 57 3 5 5 1 10 1 51 0 3 4 7 5 21 4 7 6 3 12 13 2 5 8 2 2 7 2 18 4 10 15 6 12 3 2 7 4 2 4 2 5 2 7 11 6 3 31 5
"original" 0 5 0 4 2 2 0 1 3 1 1 2 1 3 0 0 1 1 0 4 2 2 1 1 1 1 0 4 3 0 3 3 0 3 3 11 1 0 0 14 2 1 3 0 0 3 3 16 0 1 0 0 2 0 12 3 0 1 0 0 8 1 0 2 1 3 2 2 3 0 0 2 0 2 3 3 5 3 2 2 2 1 1 1 1 1 1 2 0 2 1 2 0 8 0
"plain" 2 3 5 10 3 3 1 1 5 6 2 2 6 1 0 3 3 1 1 3 1 2 2 3 1 2 1 6 4 3 1 1 4 2 7 20 2 2 3 23 2 5 6 5 1 1 7 27 1 4 1 2 5 1 23 4 1 0 1 1 9 0 1 6 1 12 7 1 6 5 0 2 2 1 11 1 5 4 2 3 1 4 3 2 5 2 3 5 1 2 3 1 1 12 1
"pleasant" 0 4 2 4 0 2 3 1 3 8 2 5 7 4 4 9 0 2 1 3 2 1 2 2 5 1 4 5 5 1 1 3 2 4 6 25 3 2 4 23 2 14 2 3 2 7 2 27 1 1 3 3 6 1 21 7 0 1 0 3 12 0 5 4 1 7 6 1 4 3 3 2 4 1 7 0 1 5 4 8 1 3 5 0 1 1 2 0 5 1 4 2 2 17 3
"pleased" 0 6 2 5 2 0 1 3 0 3 1 3 5 0 2 2 2 2 0 4 2 0 1 2 4 3 2 1 1 0 1 0 2 3 6 12 1 2 0 14 3 4 4 1 0 2 0 14 1 3 0 0 2 1 9 5 0 1 3 0 3 1 2 3 0 4 4 1 0 2 0 0 2 2 5 0 5 3 3 2 2 2 0 0 1 0 1 1 1 3 0 0 1 8 0
"poor" 8 29 5 19 12 11 3 8 17 22 7 10 21 12 7 18 7 9 5 25 4 6 7 4 11 9 7 11 10 4 8 7 7 20 26 92 4 7 10 81 10 30 22 16 7 20 20 103 6 9 3 7 19 5 86 21 8 9 12 3 0 9 14 10 4 30 21 4 13 7 7 11 6 4 32 6 21 22 11 23 7 5 7 5 5 5 6 5 6 10 15 6 7 64 7
"powerful" 1 3 2 3 6 4 1 0 2 2 0 2 2 2 0 3 0 2 2 5 0 1 0 1 0 1 0 2 3 0 1 1 1 3 2 14 2 1 0 14 3 1 3 2 2 1 2 12 1 1 1 0 3 1 18 4 1 0 0 1 9 0 0 2 2 6 1 0 3 2 2 5 1 1 6 1 6 5 2 1 0 3 4 2 0 1 2 2 0 2 1 0 2 8 2
"pretty" 1 8 2 2 3 0 1 2 4 5 0 0 9 3 3 5 1 5 1 4 0 2 2 1 2 2 1 5 2 0 0 4 0 5 10 23 0 0 3 18 3 12 2 4 1 5 8 24 1 6 1 2 7 2 18 7 0 1 5 2 14 0 0 1 0 8 9 2 2 3 1 3 2 1 6 1 4 6 3 7 3 1 2 2 0 1 2 2 3 4 5 3 4 16 2
"private" 2 3 3 3 3 6 1 2 2 5 0 2 6 4 1 7 1 5 0 5 4 3 1 8 1 2 4 5 7 4 6 6 3 3 12 22 2 2 4 29 3 11 6 2 1 7 5 34 1 5 3 2 9 2 22 6 2 6 4 3 10 2 1 0 4 9 7 2 3 2 1 1 4 1 13 3 8 6 2 6 1 0 2 1 1 1 3 4 0 8 4 0 2 18 1
"proper" 0 2 0 2 1 2 1 0 3 4 1 0 4 3 0 2 0 1 1 2 0 0 0 4 0 1 1 1 0 2 0 0 0 2 2 11 1 1 1 12 3 3 4 0 0 3 1 12 0 1 0 0 2 0 11 3 1 1 1 0 4 2 0 4 0 4 4 2 2 1 0 1 0 2 7 0 2 3 0 2 2 1 2 1 0 1 0 2 0 1 1 1 2 10 0
"proud" 3 14 7 22 6 6 3 3 11 19 5 9 13 10 3 13 5 4 2 16 1 6 6 4 1 9 5 10 7 3 7 6 7 11 16 52 5 3 5 53 18 17 9 5 3 14 9 64 3 7 5 5 11 2 56 12 3 12 7 4 30 6 8 9 4 0 18 4 13 6 4 5 5 7 14 3 12 11 4 11 4 5 6 4 9 1 7 6 4 5 7 5 4 29 4
"quiet" 5 13 1 11 3 3 2 2 4 12 6 1 16 10 6 8 2 4 4 13 1 5 5 3 2 2 1 11 2 4 5 2 3 12 14 34 5 3 5 36 7 22 7 5 2 7 6 52 0 7 2 4 7 2 35 13 2 7 6 4 21 1 9 7 4 18 0 1 7 4 1 5 2 2 12 1 17 9 4 16 2 4 9 5 0 4 1 2 5 3 7 3 5 23 2
