"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "awkward" "bad" "beautiful" "big" "blind" "bright" "busy" "calm" "careful" "certain" "cheap" "cheerful" "clean" "cold" "comfortable" "complicated" "curious" "decent" "delighted" "delightful" "devoted" "difficult" "elderly" "enthusiastic" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "important" "impressive" "innocent" "interesting" "kind" "little" "lively" "lonely" "loud" "natural" "neat" "nervous" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "professional" "proper" "proud" "quiet" "reasonable" "remarkable" "rich" "satisfied" "serious" "short" "smart" "stable" "strange" "strong" "surprised" "sweet" "tall" "thin" "tired" "unhappy" "unusual" "violent" "warm" "wise" "wonderful" "worthy" "young"
"curious" 0 1 3 1 4 2 0 1 0 4 4 0 1 2 2 1 1 8 1 3 3 6 1 0 0 2 0 2 1 2 1 0 1 2 1 4 5 1 1 7 2 1 0 21 0 19 3 5 3 1 2 0 1 2 0 18 2 1 4 5 0 1 3 19 6 2 1 6 0 5 1 2 6 4 0 2 2 1 4 4 3 0 10 3 0 5 1 2 3 3 2 2 1 1 3 3 1 2 1 15
"decent" 2 2 2 0 2 2 0 0 0 0 2 1 2 3 1 0 1 1 1 4 2 1 5 0 2 0 0 2 0 1 0 0 2 1 2 2 2 0 0 1 2 0 0 9 2 9 0 4 1 1 1 2 1 0 0 11 1 0 2 3 2 0 3 12 3 2 0 5 0 2 0 1 1 2 2 1 3 2 3 2 0 0 5 2 0 4 4 0 1 3 2 1 2 2 2 5 1 0 1 8
"delighted" 0 5 1 0 1 2 1 1 2 0 1 0 0 0 0 0 1 4 0 1 0 2 4 0 0 0 0 4 1 3 0 1 1 3 0 5 1 1 5 3 2 1 4 11 0 16 0 5 0 1 0 1 1 2 0 13 0 1 3 1 0 1 1 11 5 1 0 6 0 2 1 0 4 4 1 2 2 0 4 2 4 1 10 3 0 0 1 2 0 3 3 0 0 1 1 1 2 0 1 8
"delightful" 1 6 4 2 1 4 1 1 0 1 7 1 2 3 0 2 1 5 3 1 3 1 3 1 2 2 4 0 2 1 1 1 2 1 4 2 2 1 5 6 1 2 3 15 1 19 2 4 1 0 5 1 0 0 2 20 2 0 7 5 1 1 8 18 10 1 0 8 0 5 1 4 6 2 1 1 2 3 5 3 0 1 9 2 0 5 7 2 4 1 4 2 1 2 1 3 1 3 1 15
"devoted" 1 2 1 3 2 1 1 2 2 3 2 0 0 1 0 0 1 1 0 1 0 3 2 1 1 0 1 2 0 0 2 1 2 2 1 2 1 2 1 6 0 0 3 10 1 9 0 2 1 0 2 1 1 1 2 8 1 4 2 1 0 1 1 11 3 0 2 0 0 2 1 0 2 1 2 3 2 0 0 3 1 1 1 1 0 3 1 0 0 1 1 1 0 1 0 1 0 0 0 4
"difficult" 0 2 6 2 1 1 0 1 0 2 2 1 0 3 1 0 0 1 1 3 0 8 0 2 2 1 3 1 0 0 1 1 2 0 1 3 0 0 1 6 2 1 1 12 0 15 2 3 2 1 1 0 1 2 1 13 0 2 4 4 0 2 3 10 5 6 0 3 2 5 0 0 4 2 1 1 5 1 4 2 2 2 9 1 0 0 3 0 2 3 2 0 2 1 0 2 1 3 1 13
"elderly" 1 2 0 2 1 1 0 2 1 3 3 1 0 2 2 1 2 2 0 0 0 4 1 3 1 0 0 1 2 1 0 3 3 0 2 2 0 4 3 4 0 2 2 12 2 15 1 2 3 0 3 1 1 2 1 13 0 2 3 2 0 0 2 13 2 2 1 3 0 2 1 2 4 3 2 0 2 1 2 2 3 1 7 2 1 1 2 1 2 2 1 1 1 0 1 2 0 0 3 10
"enthusiastic" 0 0 2 1 1 0 0 1 0 2 1 2 0 3 1 0 0 4 0 0 0 4 2 1 0 0 1 1 1 1 3 0 2 2 1 3 1 3 4 0 0 2 2 10 0 14 0 4 2 0 3 0 1 4 2 9 0 2 5 0 2 0 2 11 1 2 2 3 0 2 0 3 1 1 2 1 3 0 1 4 2 1 8 0 0 2 1 0 3 1 1 1 1 1 3 2 0 0 2 8
"excellent" 0 2 5 4 4 4 3 3 1 7 3 2 2 1 0 2 4 4 1 2 3 6 7 0 1 2 1 2 2 2 3 2 0 0 5 6 3 3 9 7 3 2 3 25 3 26 3 7 3 1 3 4 3 2 3 23 3 0 4 3 1 2 3 22 7 5 5 9 2 7 0 1 2 2 2 4 5 0 6 1 3 4 14 2 2 5 0 4 0 3 3 3 2 2 1 5 3 0 3 19
"excited" 0 4 0 0 4 3 0 1 1 1 1 2 1 1 1 0 1 3 0 1 1 3 3 1 2 1 3 1 2 0 0 2 0 0 0 4 2 2 2 4 0 0 2 13 0 15 0 5 0 1 3 1 3 2 0 14 0 1 3 1 0 2 2 10 4 2 0 2 0 1 1 1 4 1 4 2 3 1 3 0 1 0 6 0 0 2 0 1 0 2 1 0 3 0 3 2 1 0 1 6
"expressive" 1 1 2 1 1 2 0 2 0 4 1 0 1 1 0 1 1 0 0 1 1 2 2 1 1 2 0 4 1 1 2 1 5 0 0 3 2 1 5 4 0 1 4 12 2 11 1 2 1 2 2 0 0 0 1 13 2 0 4 2 1 0 4 12 4 1 0 2 0 1 0 1 0 1 2 1 1 1 4 2 1 1 5 1 2 1 6 0 0 0 1 1 2 0 0 2 2 0 0 14
"extraordinary" 3 10 3 5 3 2 1 3 3 5 5 4 1 4 5 2 4 7 0 2 2 13 2 2 4 2 5 2 2 3 2 3 6 4 3 0 6 4 9 7 4 3 5 38 1 34 2 6 2 2 1 1 1 3 3 38 5 4 4 6 1 0 4 34 13 4 0 3 0 6 4 7 8 4 5 4 7 1 7 1 2 4 20 6 2 14 6 4 1 6 5 2 2 4 6 5 1 3 3 17
"fair" 2 3 2 1 2 5 1 0 0 1 1 1 3 4 1 4 1 4 0 4 4 5 4 0 5 2 1 2 1 0 0 1 3 2 2 6 0 0 4 7 1 1 2 17 0 21 0 3 1 3 3 3 1 3 1 15 2 0 6 5 1 1 6 14 5 3 0 4 1 5 2 3 4 3 0 2 1 2 4 3 1 2 7 2 1 4 6 1 2 4 0 1 0 1 1 3 3 2 1 13
"faithful" 2 0 0 1 0 0 0 1 1 3 3 1 0 1 1 2 1 1 1 1 0 5 1 1 1 0 1 1 2 0 4 3 3 2 1 4 0 0 5 4 2 1 4 14 0 13 1 4 2 0 3 1 1 2 1 9 1 1 5 0 1 1 2 14 6 3 1 4 0 1 1 3 1 1 5 2 0 1 1 1 2 0 7 2 1 2 2 1 1 1 1 2 1 1 1 1 1 0 2 6
"fat" 4 6 3 0 3 2 1 6 2 4 6 3 2 6 2 1 1 8 2 3 1 10 7 3 1 0 5 5 1 1 3 4 9 2 5 9 4 5 0 9 3 6 10 34 1 37 2 13 3 0 7 3 2 6 2 33 2 2 12 4 0 2 10 39 15 5 1 9 1 12 0 8 2 3 5 4 5 1 9 7 5 5 21 3 1 4 7 3 2 3 4 4 3 1 3 4 4 2 3 32
"fine" 2 8 7 10 5 7 1 2 1 10 12 4 2 13 4 3 2 6 5 6 1 16 4 1 7 1 3 6 6 6 4 0 7 4 4 7 7 4 9 0 4 7 10 41 1 44 3 9 7 3 5 3 1 2 3 46 3 6 11 6 2 3 8 48 18 7 1 7 2 10 5 9 6 3 2 8 10 1 9 9 3 2 16 6 4 10 7 4 2 8 6 1 4 3 3 8 3 3 4 34
"friendly" 0 2 3 1 0 1 0 0 1 2 1 0 1 3 1 1 2 0 0 2 2 4 2 1 2 2 2 1 0 2 0 0 3 0 0 4 1 2 3 4 0 0 2 10 1 13 0 5 2 0 2 1 1 0 2 10 1 0 2 3 1 0 1 10 3 1 0 3 0 2 2 1 3 4 0 4 3 0 3 0 3 0 10 0 0 4 2 0 0 2 0 1 1 1 2 2 1 0 0 10
"gentle" 1 2 1 4 1 3 0 2 1 5 2 0 1 5 0 2 1 2 2 3 0 5 1 0 1 0 1 2 0 1 2 2 2 0 1 3 1 1 6 7 0 0 5 19 1 17 2 4 2 0 3 1 1 1 0 20 1 1 4 1 0 0 2 19 2 3 2 5 2 6 1 3 2 1 1 0 5 1 1 8 2 2 10 2 0 4 5 1 4 1 2 1 2 2 4 3 2 2 1 13
"glad" 0 5 3 2 1 4 3 4 0 5 3 1 1 3 1 0 3 3 1 3 2 6 6 0 0 0 4 3 3 1 2 2 3 2 4 5 2 4 10 10 2 5 0 25 1 22 2 6 1 0 4 4 2 4 0 21 1 1 8 3 3 3 6 21 11 2 2 6 0 4 0 7 1 3 4 1 3 1 2 3 6 1 9 1 2 4 5 2 4 3 2 1 3 4 2 3 2 2 2 22
"good" 8 22 20 15 12 24 11 11 10 27 27 12 9 20 13 9 13 28 9 18 10 44 28 9 21 9 11 15 10 12 12 10 25 13 12 38 17 14 34 41 10 19 25 0 7 156 15 46 19 7 25 10 11 13 10 152 15 10 36 24 10 10 30 146 43 21 10 36 9 36 7 22 28 17 19 13 29 6 20 19 16 11 78 19 6 28 28 8 16 18 16 10 10 10 20 19 12 11 17 118
"grateful" 0 1 0 2 1 4 1 0 3 2 2 0 1 1 0 0 2 2 0 1 0 2 5 0 0 2 0 1 1 0 2 0 3 0 2 1 0 0 1 1 1 1 1 7 0 6 0 1 0 0 2 2 2 1 1 8 2 1 1 2 1 1 0 7 2 0 0 0 0 3 1 1 1 1 2 1 2 0 0 0 1 1 4 1 1 0 1 0 2 0 2 0 3 1 1 2 1 0 1 8
"great" 10 29 24 15 20 22 10 11 9 26 29 10 9 24 12 11 17 34 10 23 11 46 28 9 19 9 16 19 9 15 15 14 26 15 11 34 21 13 37 44 13 17 22 156 6 0 14 45 20 9 26 10 8 14 12 168 12 10 43 27 9 13 29 163 52 25 9 43 8 38 10 32 35 17 17 15 38 10 24 21 16 14 84 16 7 31 34 9 16 20 17 11 14 11 18 22 11 11 20 125
"handsome" 2 2 1 1 1 3 0 1 3 3 2 1 1 1 0 0 1 1 0 1 0 4 0 1 3 0 0 2 0 2 1 0 3 0 1 2 0 1 2 3 0 2 2 15 0 14 0 3 3 0 3 0 1 1 1 15 2 0 3 3 0 0 4 14 3 2 0 5 0 3 1 2 3 0 0 1 1 0 2 0 1 0 2 0 1 2 2 0 1 3 1 1 0 0 1 1 1 1 2 10
"happy" 3 4 6 2 4 7 4 4 4 3 5 1 3 6 4 5 5 4 2 10 3 19 9 3 5 4 5 4 2 3 2 4 7 5 2 6 3 4 13 9 5 4 6 46 1 45 3 0 9 2 7 4 3 6 4 44 3 5 12 6 4 4 10 44 11 8 2 16 1 15 2 11 8 4 3 10 9 0 9 9 4 4 18 6 1 3 7 2 4 3 9 1 6 2 7 8 2 0 4 32
"hard" 0 2 6 3 0 1 1 2 0 8 2 1 0 2 2 1 2 4 1 4 2 11 4 2 3 1 0 1 1 2 3 2 3 0 1 2 1 2 3 7 2 2 1 19 0 20 3 9 0 2 4 0 0 2 3 20 1 4 9 1 1 1 4 27 3 2 1 2 2 10 3 3 4 2 1 1 6 0 4 6 1 1 9 1 1 6 1 1 2 3 4 1 3 0 4 1 1 2 1 18
"honest" 0 3 3 0 0 3 0 1 0 2 0 0 1 0 1 1 2 1 0 0 0 2 1 1 1 1 1 0 0 1 0 0 1 1 2 2 3 0 0 3 0 0 0 7 0 9 0 2 2 0 1 0 0 0 0 10 0 0 1 2 1 0 1 7 1 1 0 1 0 2 1 2 1 0 1 0 2 0 1 1 1 0 2 1 1 3 0 0 0 3 1 1 1 0 2 2 1 0 2 6
"important" 3 5 4 2 2 5 2 1 0 5 4 1 1 3 3 0 2 4 1 2 2 7 2 1 2 1 0 5 2 1 3 3 3 3 2 1 3 3 7 5 2 3 4 25 2 26 3 7 4 1 0 4 0 3 3 24 3 2 5 3 3 4 7 18 7 2 0 8 3 6 1 6 4 4 4 0 1 0 2 2 2 2 9 4 0 6 4 1 5 0 1 2 4 2 2 2 4 3 4 18
"impressive" 1 4 1 0 0 1 2 1 1 1 3 1 1 1 1 0 1 1 1 1 1 4 3 0 0 2 1 1 1 0 1 0 4 1 0 1 3 1 3 3 1 1 4 10 2 10 0 4 0 0 4 0 1 1 0 10 0 0 5 2 0 0 5 8 2 0 2 2 0 3 0 2 1 1 0 1 2 0 1 1 0 0 4 2 0 1 0 0 1 1 0 0 0 1 0 1 0 0 1 7
"innocent" 0 2 0 1 2 2 0 1 2 0 2 0 1 1 0 1 1 2 1 0 0 1 1 0 1 1 1 0 1 1 1 1 3 3 0 1 1 1 2 1 1 1 2 11 2 8 1 3 0 0 0 1 0 1 1 12 0 1 2 4 0 1 1 7 3 2 0 1 0 5 0 1 2 2 2 2 3 1 2 1 0 0 3 0 0 2 1 1 2 2 1 0 2 0 0 0 1 0 1 8
"interesting" 1 1 2 0 1 1 0 2 1 1 4 0 0 2 0 1 2 6 0 0 0 7 3 1 2 0 2 0 1 2 2 4 2 2 0 3 3 2 6 2 0 1 4 13 1 14 1 6 2 0 3 1 1 0 1 10 2 2 6 2 1 5 4 11 5 2 1 3 0 3 0 2 1 0 1 1 3 0 1 2 2 2 6 0 0 1 3 0 3 1 0 0 2 0 3 3 2 1 3 9
"kind" 1 4 3 2 1 0 0 0 1 3 4 1 0 2 0 0 2 2 1 1 3 3 3 0 0 0 0 2 2 1 1 2 3 0 1 3 1 1 2 3 2 0 0 10 1 12 1 4 3 0 3 0 1 1 0 10 1 1 3 1 2 1 1 13 4 1 1 3 1 7 0 1 2 1 2 3 4 0 1 1 1 1 3 0 1 3 0 0 1 1 2 2 3 1 2 1 0 1 1 8
"little" 9 32 19 20 15 26 8 13 11 28 26 10 10 22 13 9 16 37 6 21 14 44 29 6 18 11 13 20 8 13 13 9 23 14 13 38 15 9 33 46 10 20 21 152 8 168 15 44 20 10 24 10 12 10 10 0 13 12 41 27 8 12 27 157 55 21 10 34 8 53 9 27 36 19 20 12 34 8 24 18 13 12 75 15 8 30 35 8 16 20 19 11 14 14 21 20 10 11 16 123
"lively" 0 3 4 1 2 1 0 1 2 2 5 0 0 4 0 2 5 2 0 4 1 5 4 0 2 1 0 2 1 0 0 0 3 0 2 5 2 1 2 3 1 1 1 15 2 12 2 3 1 0 3 0 0 2 1 13 0 1 2 1 2 1 3 10 3 3 1 1 1 0 2 1 1 0 4 1 3 0 2 1 1 2 4 2 1 4 3 0 1 2 0 1 0 4 1 2 0 3 1 8
"lonely" 0 2 0 4 3 0 1 0 1 4 2 1 0 2 1 0 0 1 0 2 0 7 0 2 1 0 1 0 4 2 2 2 0 1 0 4 0 1 2 6 0 1 1 10 1 10 0 5 4 0 2 0 1 2 1 12 1 0 3 0 0 2 2 12 2 3 0 2 1 5 1 2 1 1 2 2 4 1 0 5 2 1 7 1 0 5 2 0 1 1 1 1 0 1 2 0 0 0 2 11
"loud" 1 9 7 3 3 4 5 3 3 5 9 2 1 5 4 2 2 6 0 6 4 16 10 4 4 2 3 7 2 4 3 5 4 3 4 4 6 5 12 11 2 4 8 36 1 43 3 12 9 1 5 5 2 6 3 41 2 3 0 1 1 3 12 40 15 6 1 8 2 10 3 7 8 6 4 1 8 3 4 7 3 1 22 2 3 6 9 2 5 6 5 2 5 0 8 8 4 3 6 31
"natural" 3 4 3 2 2 4 1 3 1 5 0 2 3 2 2 1 8 5 1 2 1 4 7 0 5 3 1 5 1 4 2 0 3 1 2 6 5 0 4 6 3 1 3 24 2 27 3 6 1 2 3 2 4 2 1 27 1 0 1 0 2 4 6 22 8 3 2 3 1 8 1 5 5 4 3 4 5 1 3 3 1 1 12 2 2 5 3 1 1 6 2 1 2 2 1 1 2 0 4 22
"neat" 2 0 4 1 0 1 1 0 0 3 2 1 0 2 2 0 2 1 1 4 3 5 3 0 0 2 0 1 0 0 0 2 1 0 1 1 1 1 0 2 1 0 3 10 1 9 0 4 1 1 3 0 0 1 2 8 2 0 1 2 0 0 3 9 2 0 0 3 1 2 0 4 0 0 2 0 2 1 0 1 1 0 7 1 1 3 1 0 1 2 1 1 2 2 3 4 2 0 3 9
"nervous" 0 2 1 1 1 3 1 2 0 2 1 1 1 2 0 0 1 2 0 2 0 4 2 0 1 0 1 1 1 2 0 0 2 2 0 0 1 1 2 3 0 0 3 10 1 13 0 4 1 0 4 0 1 5 1 12 1 2 3 4 0 0 1 7 5 3 1 3 0 4 0 2 1 1 3 1 2 0 0 2 1 0 5 1 0 3 3 0 5 1 1 0 1 0 2 0 3 1 1 10
"nice" 3 5 6 2 1 3 2 0 1 5 6 3 0 4 1 2 4 5 2 4 2 8 6 1 3 3 1 8 1 3 2 2 3 2 4 4 6 2 10 8 1 2 6 30 0 29 4 10 4 1 7 5 1 4 1 27 3 2 12 6 3 1 0 29 6 2 0 10 1 8 1 7 5 1 1 2 3 2 9 5 3 1 13 3 1 5 7 1 4 7 3 1 1 3 3 3 2 2 4 25
