"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "attentive" "awful" "bad" "beautiful" "bitter" "blind" "brave" "bright" "busy" "calm" "careless" "certain" "cheerful" "cold" "compassionate" "confident" "confused" "cool" "cruel" "curious" "dangerous" "determined" "difficult" "direct" "eager" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "important" "innocent" "interested" "kind" "little" "lonely" "loud" "natural" "old" "open" "original" "plain" "pleasant" "polite" "poor" "popular" "powerful" "pretty" "private" "prosperous" "quiet" "remarkable" "rich" "rough" "satisfied" "short" "strange" "strong" "sweet" "tall" "terrible" "thankful" "thin" "troubled" "unhappy" "unusual" "useful" "violent" "weak" "well" "wonderful" "worthy" "young"
"bitter" 0 1 0 2 1 0 1 0 2 0 0 1 0 2 0 1 0 0 1 2 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 0 4 0 5 1 0 2 1 0 0 0 1 0 0 4 0 0 0 3 1 0 0 0 0 3 1 0 1 0 0 1 2 0 0 0 3 0 2 0 1 2 0 1 1 0 0 1 0 0 0 0 0 2
"blind" 0 0 0 2 0 0 0 2 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 6 0 0 1 0 3 0 0 1 0 0 3 1 2 0 3 3 0 0 0 0 0 0 0 0 1 0 2 2 0 0 0 2 0 3 0 0 2 0 1 0 0 0 0 0 0 0 0 1 3
"brave" 0 2 1 2 0 0 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0 0 0 2 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 5 0 5 2 1 2 0 0 1 0 3 0 1 7 0 2 1 6 3 1 0 0 1 4 0 0 1 1 1 1 4 0 0 0 1 0 4 2 1 2 1 2 0 1 0 1 0 1 0 0 0 1
"bright" 0 0 0 5 2 4 1 0 3 7 2 0 1 0 0 2 1 4 0 5 0 1 1 1 0 2 2 1 3 2 1 3 0 2 2 1 2 1 4 2 17 2 12 1 5 7 2 1 2 1 2 0 2 17 2 1 3 11 1 2 4 2 1 10 2 2 5 1 1 6 5 0 2 0 5 5 8 2 4 0 1 1 1 3 0 2 0 2 0 1 4 10
"busy" 2 2 1 0 1 1 0 0 2 0 0 0 1 0 0 0 1 3 0 1 0 1 1 0 1 0 2 0 2 1 1 0 0 1 0 0 1 0 0 0 6 0 5 0 2 2 0 1 0 2 2 2 1 8 0 1 2 5 2 1 1 1 0 1 2 0 1 2 0 1 1 0 1 0 2 2 5 0 0 2 0 1 0 1 2 0 1 0 1 1 0 4
"calm" 0 0 0 0 0 0 0 1 1 0 1 0 0 2 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 5 0 4 1 0 0 1 0 0 0 0 0 0 4 0 0 2 4 0 0 0 0 0 4 1 0 1 0 0 3 1 1 0 1 1 0 3 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1
"careless" 0 0 1 1 1 2 0 0 0 1 0 1 0 1 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 6 1 6 2 1 0 0 0 1 1 2 0 1 6 0 1 1 4 0 1 1 0 1 2 0 0 3 0 1 0 2 0 0 0 1 1 4 0 0 0 0 1 1 1 0 1 0 0 0 0 1 7
"certain" 1 2 1 2 4 3 0 0 5 2 0 0 0 4 3 2 1 0 3 2 2 1 0 2 1 2 1 1 3 2 1 3 1 3 0 1 3 0 1 1 16 2 15 1 2 1 2 1 1 3 4 1 1 16 2 2 6 17 7 1 4 4 0 7 1 1 3 1 0 6 2 5 3 2 9 3 5 2 0 1 1 1 1 2 1 2 1 0 1 4 0 11
"cheerful" 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 3 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 3 0 4 1 1 2 0 0 1 0 0 0 0 5 1 0 2 4 1 0 1 2 0 2 0 0 0 0 0 4 1 0 0 0 1 1 1 1 0 1 0 0 0 1 0 2 0 0 0 1 0 2
"cold" 0 2 0 3 1 4 0 0 4 3 2 1 1 5 1 1 1 2 1 0 2 0 1 1 2 1 2 0 4 1 1 0 0 2 1 1 2 0 3 1 17 0 17 3 2 5 0 4 1 0 3 3 1 19 1 1 4 13 6 1 0 3 1 10 1 1 5 0 0 6 3 0 3 0 9 4 8 3 3 4 1 1 1 1 0 2 1 1 0 0 1 11
"compassionate" 0 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 1 2 1 2 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 5 1 4 2 1 1 0 0 1 1 2 0 0 5 1 0 0 4 1 0 1 1 1 4 0 0 2 0 0 1 0 1 0 1 3 0 2 2 0 0 0 0 0 0 0 1 0 1 1 2 0 4
"confident" 1 0 0 0 0 2 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 2 2 3 0 1 1 0 0 0 0 4 0 0 3 0 0 2 3 0 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0 0 2 4 0 0 0 0 0 1 0 0 0 0 1 0 0 2 2
"confused" 0 2 0 0 1 0 0 0 0 3 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 2 0 0 1 0 1 1 2 1 0 0 0 0 0 3 0 3 0 3 2 0 2 0 1 0 0 1 6 1 1 1 4 4 0 1 0 0 3 0 0 0 1 1 2 0 0 0 1 1 1 3 0 0 1 0 0 0 0 0 1 0 2 2 2 0 4
"cool" 0 0 1 2 1 1 1 1 0 1 0 1 2 1 0 0 0 2 1 1 0 0 0 0 3 2 0 0 0 1 0 1 0 1 0 0 3 0 1 0 5 0 6 2 0 1 0 0 0 0 0 0 0 6 2 3 0 7 3 0 0 2 1 2 0 0 2 1 0 4 2 1 0 0 0 1 1 2 1 1 0 3 0 0 0 1 0 0 0 1 0 0
"cruel" 1 1 0 4 1 0 0 1 4 0 1 1 1 0 1 0 1 1 0 2 1 0 0 3 0 1 1 0 0 1 0 0 1 0 1 0 4 2 1 0 9 0 14 2 2 3 1 1 2 0 2 0 0 10 0 3 0 6 2 0 0 0 2 4 2 0 4 1 1 4 2 2 2 0 2 2 3 0 0 2 0 1 2 0 0 1 0 1 0 1 0 2
"curious" 1 1 1 2 1 3 2 0 2 2 0 0 1 2 0 0 0 2 0 1 0 1 0 2 1 0 1 0 1 0 0 0 0 3 0 2 0 1 1 1 8 1 9 1 0 1 0 0 0 0 3 2 1 10 0 2 2 7 3 0 2 3 1 4 1 2 2 1 0 2 1 1 2 0 1 4 6 1 0 2 0 1 2 0 2 1 0 1 1 2 1 3
"dangerous" 1 1 1 2 3 1 1 1 3 1 1 0 1 2 2 0 0 1 0 2 1 0 2 0 1 1 0 2 1 1 0 0 2 2 1 0 1 1 1 2 9 1 9 0 4 1 0 1 1 1 1 1 0 10 0 1 2 8 3 1 1 0 0 2 0 1 0 2 0 4 2 0 1 2 2 1 4 1 0 1 1 0 0 1 0 2 1 0 2 2 0 3
"determined" 0 0 1 1 1 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 1 0 0 1 0 0 1 3 0 3 0 0 2 1 0 0 0 0 0 0 3 0 1 1 3 1 0 1 0 0 2 0 0 0 0 0 2 0 0 0 0 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2
"difficult" 2 3 0 1 1 3 2 0 2 0 1 0 0 3 2 0 1 3 1 4 0 0 0 0 0 1 1 0 0 3 1 0 2 0 0 3 1 0 1 1 7 1 6 0 3 3 1 0 1 0 2 1 2 11 1 1 2 5 4 0 1 1 0 4 0 0 2 0 0 2 4 0 0 0 5 4 5 0 1 1 2 1 3 1 0 2 2 1 0 1 1 8
"direct" 0 0 0 1 2 0 1 0 1 1 1 0 0 2 1 0 1 2 0 1 0 0 1 1 1 0 1 0 3 0 0 1 0 1 0 0 1 0 1 0 5 0 3 0 0 2 0 0 0 1 1 0 0 5 1 1 0 5 2 0 1 0 0 2 0 0 0 1 0 1 1 1 1 0 2 2 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 3
"eager" 0 2 0 0 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 2 0 0 0 3 0 6 0 1 1 1 0 0 0 0 0 0 4 0 0 1 5 3 0 0 0 0 1 0 0 1 0 0 2 0 0 1 0 3 0 4 0 1 2 0 0 0 0 0 0 1 0 0 0 0 5
"expressive" 0 0 1 0 0 0 0 0 0 2 0 0 0 3 0 1 0 3 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 4 1 2 1 0 2 0 0 0 0 0 0 0 5 2 1 1 5 2 0 0 1 0 2 1 0 0 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 3
"extraordinary" 1 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 2 0 2 0 0 0 0 2 1 0 0 0 0 0 5 1 4 1 3 1 1 0 0 2 0 0 0 4 0 1 1 4 2 1 0 0 0 2 0 0 0 0 0 0 2 0 1 1 1 0 2 0 1 1 1 1 0 1 0 2 1 0 1 1 0 1
"fair" 0 1 1 2 1 2 0 1 2 3 0 0 0 2 1 1 2 3 0 2 1 1 2 1 0 3 2 1 0 1 1 0 2 0 1 1 2 0 1 0 14 0 5 0 2 2 0 0 0 4 2 0 0 9 0 0 4 9 4 1 5 2 0 2 1 1 2 1 1 1 1 1 2 2 4 5 3 1 0 3 0 1 0 1 0 1 0 2 1 2 1 6
"faithful" 0 0 0 2 1 0 0 0 1 2 0 0 1 2 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 2 0 6 1 2 0 4 3 0 0 1 1 0 0 0 5 0 0 1 4 0 1 0 0 0 3 0 0 0 0 1 0 1 0 0 1 0 0 2 2 0 2 0 0 0 1 1 2 0 1 0 0 1 3
"familiar" 1 1 1 0 0 3 1 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 2 0 0 3 0 0 0 0 1 0 0 0 1 0 0 3 1 3 0 1 1 0 0 0 0 1 0 1 4 1 0 2 3 4 0 1 1 0 2 1 1 0 1 0 0 1 0 0 0 1 1 2 0 0 0 0 0 1 0 1 1 0 2 0 1 1 3
"fine" 0 2 2 0 2 1 0 0 2 0 1 0 0 2 1 1 0 3 1 2 0 1 0 3 4 0 1 1 1 1 2 1 0 2 0 0 0 1 1 0 14 1 8 1 3 1 1 1 0 0 1 0 0 13 1 2 4 8 5 0 2 1 2 1 0 0 4 1 1 3 1 3 3 1 4 1 5 0 2 0 0 3 1 1 0 2 1 1 0 2 0 3
"friendly" 1 0 1 1 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 5 2 5 1 2 1 0 0 0 1 1 0 0 5 0 0 1 4 1 1 1 0 1 1 0 0 1 1 1 2 0 1 2 1 1 1 4 0 0 0 0 0 0 1 0 2 0 1 2 1 1 1
"gentle" 0 0 0 4 1 1 1 1 3 3 1 1 1 4 0 0 0 1 0 3 0 0 0 1 1 1 1 0 1 1 0 0 0 1 2 0 1 0 0 0 8 0 6 0 2 4 0 1 2 0 1 0 0 8 1 0 1 6 1 0 1 1 0 6 0 0 2 0 1 1 3 0 0 0 1 1 3 4 0 1 0 1 0 1 0 2 0 1 0 0 0 3
"glad" 0 1 0 0 0 1 0 1 2 1 0 0 0 2 0 0 1 1 0 1 0 0 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 5 0 2 1 1 0 0 0 0 0 1 1 1 5 0 2 0 3 1 1 0 0 0 3 0 1 1 0 0 3 1 0 1 1 0 2 3 2 0 1 1 0 0 1 0 1 0 0 1 0 0 4
"good" 3 10 4 12 9 10 3 3 19 8 4 1 5 17 6 5 6 16 3 17 5 2 3 5 9 8 9 3 7 5 3 4 5 14 6 3 14 5 8 5 0 5 51 8 13 15 5 8 5 6 12 5 4 70 4 6 14 52 21 4 11 7 4 31 4 4 12 6 3 14 13 4 11 6 23 10 32 8 4 10 4 7 5 9 4 9 2 10 6 3 6 31
"gracious" 1 1 0 1 2 2 0 0 2 1 0 1 0 2 0 0 1 2 0 0 1 2 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 2 0 0 5 0 6 0 1 2 0 0 0 1 3 0 1 4 0 0 1 3 1 1 0 0 0 1 0 0 1 0 0 1 1 2 1 0 1 0 3 1 1 0 0 0 1 1 0 2 0 1 1 1 2 2
"great" 3 8 3 10 7 8 4 4 12 10 5 6 5 12 5 4 6 15 4 17 4 3 3 6 14 9 9 3 6 3 6 2 4 5 2 3 8 5 6 2 51 6 0 7 9 11 4 7 5 2 8 5 3 60 5 9 13 46 19 3 4 3 5 26 5 4 10 7 2 18 10 5 9 3 20 8 32 7 5 8 3 7 5 4 4 7 4 8 5 6 4 30
"handsome" 0 0 1 1 0 1 1 0 1 1 1 0 2 1 0 1 2 1 1 3 2 0 0 2 2 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 8 0 7 0 0 1 0 0 1 0 2 1 1 10 1 1 1 8 1 1 0 0 2 7 0 0 3 0 0 1 6 0 1 0 0 0 5 0 1 1 0 3 0 2 0 2 1 0 0 0 0 4
"happy" 1 1 0 2 1 2 0 1 0 4 0 0 1 5 2 0 1 2 1 2 1 1 3 0 2 0 4 0 3 0 1 0 3 2 4 1 3 2 2 1 13 1 9 0 0 2 0 0 3 1 2 0 1 17 0 0 3 9 2 2 4 1 3 8 0 1 4 1 3 6 3 2 2 2 2 5 7 1 1 0 0 0 1 4 1 3 1 1 1 3 1 7
"hard" 3 3 1 4 5 2 2 0 4 4 2 1 2 7 2 0 0 1 2 5 1 1 2 1 3 1 1 2 3 2 1 2 1 2 3 1 1 1 4 0 15 2 11 1 2 0 0 3 1 1 2 0 1 20 1 3 3 15 7 3 1 2 1 11 2 1 2 0 1 5 6 0 0 0 8 4 7 4 2 5 1 1 1 1 0 1 1 2 1 1 1 10
"healthy" 1 2 0 1 0 1 0 0 1 1 1 0 0 2 0 1 0 2 0 0 0 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 5 0 4 0 0 0 0 0 0 0 1 0 0 5 0 2 1 2 1 0 1 0 0 2 1 0 2 0 0 1 0 0 0 0 3 0 3 0 0 1 1 0 1 0 0 1 1 0 1 0 0 2
"honest" 0 2 0 1 1 1 0 1 3 0 0 3 0 1 1 0 0 1 0 4 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 8 0 7 0 0 3 0 0 0 0 0 0 0 9 1 1 3 7 3 1 0 0 0 4 2 1 0 2 0 3 0 0 1 0 5 1 3 1 0 2 0 2 0 0 0 0 1 0 0 1 0 6
"ignorant" 0 0 0 2 0 0 0 0 1 1 0 0 1 2 0 0 1 1 1 1 1 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 0 0 2 0 5 0 5 1 3 1 0 0 0 0 1 0 0 6 1 0 2 3 0 0 1 0 2 4 0 0 1 0 1 2 2 0 1 0 0 2 2 1 1 0 0 0 0 1 0 1 0 0 0 0 1 2
"important" 0 0 0 1 2 1 0 0 1 1 0 0 0 1 2 0 1 3 0 0 1 0 1 0 0 0 1 0 0 1 0 0 2 4 1 0 0 1 0 0 6 1 2 0 1 1 0 0 0 0 0 0 1 2 0 0 2 5 3 1 1 1 0 1 0 0 1 0 0 0 1 0 2 1 2 1 2 0 0 2 0 0 0 0 0 1 0 0 2 1 1 2
"innocent" 1 4 0 3 1 2 0 0 6 2 1 1 3 2 2 0 2 4 0 3 2 4 0 0 2 3 1 0 2 1 0 0 0 2 0 1 1 1 1 1 12 3 8 2 2 2 1 0 1 0 0 1 0 14 0 1 3 10 5 0 3 1 1 8 2 1 3 2 0 2 1 3 2 0 3 4 10 3 0 3 1 0 2 3 0 0 0 3 0 3 2 5
"interested" 0 0 0 1 0 2 1 0 2 0 0 0 0 0 2 0 0 1 0 3 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 5 0 5 1 0 0 0 0 0 0 1 0 1 5 0 1 1 2 3 1 0 0 0 1 1 0 0 0 0 0 2 0 0 0 2 1 3 0 0 1 1 1 1 1 3 0 1 0 0 0 0 1
"kind" 0 2 0 0 1 5 1 0 0 1 0 0 1 2 1 0 1 1 0 1 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 4 1 3 1 1 1 0 0 0 1 0 1 0 5 0 0 1 4 4 0 0 2 0 2 0 0 2 0 0 1 2 0 0 0 2 0 4 0 1 0 0 0 2 1 1 2 0 1 2 0 1 4
"little" 4 13 5 11 9 9 3 3 19 11 4 3 7 17 8 4 6 16 5 19 5 3 6 6 10 10 10 3 11 5 4 5 4 9 5 4 13 5 8 5 70 4 60 10 17 20 5 9 6 2 14 5 5 0 5 9 15 58 25 5 9 8 6 35 5 5 12 8 5 19 15 6 10 5 26 13 34 10 8 10 5 9 5 9 4 9 4 9 8 8 6 38
"lonely" 0 0 1 1 0 0 0 1 0 1 0 1 0 2 0 0 0 2 1 1 1 0 1 2 0 0 0 0 1 1 0 2 0 0 0 1 1 0 1 0 4 0 5 1 0 1 0 1 1 0 0 0 0 5 0 1 0 5 6 0 1 1 1 6 0 0 0 0 0 1 0 0 1 0 0 1 1 1 2 0 0 2 0 0 0 1 1 2 0 1 1 1
"loud" 1 1 1 1 1 1 0 2 1 1 0 2 2 1 1 0 1 2 0 1 0 0 1 3 3 2 1 1 1 1 0 1 1 0 0 0 2 0 0 2 6 0 9 1 0 3 2 1 0 0 1 1 0 9 1 0 0 8 5 2 2 0 0 2 1 0 1 1 1 5 2 1 1 0 1 2 4 2 2 3 0 2 0 0 0 0 0 0 1 0 0 6
"natural" 1 1 2 1 3 4 0 0 3 2 0 0 1 3 2 2 1 6 2 4 0 2 1 0 0 2 2 1 2 0 1 1 1 4 1 2 4 1 1 0 14 1 13 1 3 3 1 3 2 2 3 1 1 15 0 0 0 14 4 0 3 2 1 5 3 1 1 2 1 1 2 1 3 1 4 2 7 1 1 2 1 1 1 3 1 2 1 1 1 2 1 9
"old" 3 7 3 10 8 10 4 5 15 7 3 3 6 11 5 4 4 17 4 13 4 3 4 7 6 7 8 3 5 5 5 5 4 9 4 3 8 4 6 3 52 3 46 8 9 15 2 7 3 5 10 2 4 58 5 8 14 0 24 4 7 8 3 27 3 3 8 6 4 15 9 5 7 4 17 9 30 10 3 9 2 4 3 7 3 8 3 7 4 7 4 30
"open" 1 8 3 3 3 3 1 1 5 4 1 3 3 1 2 0 0 7 1 6 1 0 4 3 2 3 3 1 4 2 3 2 2 4 0 4 5 1 1 1 21 1 19 1 2 7 1 3 0 3 5 3 4 25 6 5 4 24 0 0 2 4 1 11 0 1 0 4 0 4 3 2 2 2 10 2 14 2 2 5 1 2 1 3 1 3 3 5 5 5 1 10
"original" 0 0 1 1 1 2 0 1 3 1 0 0 1 2 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 4 1 3 1 2 3 0 1 0 1 0 1 0 5 0 2 0 4 0 0 0 0 1 3 0 1 0 1 0 1 1 1 1 0 1 3 3 0 1 0 0 2 0 0 1 0 0 1 0 1 1 2
"plain" 0 1 2 3 1 1 0 0 2 1 0 0 0 4 1 0 1 4 1 0 1 1 1 0 0 2 1 1 1 1 0 0 0 5 0 1 2 1 1 0 11 0 4 0 4 1 1 0 1 1 3 0 0 9 1 2 3 7 2 0 0 1 0 3 1 1 2 2 2 2 0 1 1 1 3 5 2 0 0 2 0 0 0 3 0 0 0 3 1 1 1 5
"pleasant" 0 1 2 2 1 4 0 0 2 2 0 0 0 2 1 0 0 4 2 3 1 0 0 2 0 3 0 0 1 0 0 1 0 2 0 1 1 0 1 0 7 0 3 0 1 2 0 0 0 1 1 0 2 8 1 0 2 8 4 0 1 0 0 4 0 0 3 0 1 3 1 1 0 0 3 1 3 2 1 0 0 0 1 0 1 1 0 0 1 3 2 4
"polite" 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 4 0 5 2 3 1 0 0 2 0 1 0 0 6 1 0 1 3 1 1 0 0 0 3 0 0 3 1 1 1 2 2 2 0 0 2 3 0 1 1 0 1 0 0 0 1 0 0 0 2 1 2
"poor" 1 5 2 9 3 4 1 1 10 10 3 0 4 10 1 4 2 7 2 10 4 1 3 2 4 4 2 2 4 2 1 2 2 2 3 2 1 1 6 3 31 1 26 7 8 11 2 4 4 1 8 1 2 35 6 2 5 27 11 3 3 4 3 0 2 1 8 1 2 8 6 2 3 2 6 7 19 9 5 2 2 3 3 5 1 5 1 5 2 4 3 17
"popular" 1 1 0 1 1 1 0 0 3 1 1 0 0 2 2 1 0 1 0 1 0 1 0 0 2 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 4 0 5 0 0 2 1 2 0 0 2 1 0 5 0 1 3 3 0 0 1 0 0 2 0 1 1 1 0 0 1 0 0 0 1 1 2 0 0 1 0 0 1 0 1 0 0 1 0 0 1 5
"powerful" 0 1 0 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 1 0 0 0 1 4 0 4 0 1 1 0 1 0 0 1 0 0 5 0 0 1 3 1 1 1 0 0 1 1 0 0 1 0 2 0 1 2 0 0 2 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1
"pretty" 0 2 0 4 0 4 1 0 3 2 1 0 1 5 1 1 3 3 0 5 2 0 0 2 4 2 0 0 2 0 1 0 0 2 0 0 4 1 2 1 12 1 10 3 4 2 2 0 1 1 3 0 2 12 0 1 1 8 0 0 2 3 3 8 1 0 0 0 1 3 3 2 1 0 5 2 6 2 1 2 0 1 2 2 0 2 1 1 0 2 1 9
"private" 0 1 1 1 1 1 0 0 3 2 0 1 1 1 2 0 0 1 0 0 0 1 1 1 1 1 2 0 0 1 0 0 0 1 0 1 1 1 0 0 6 0 7 0 1 0 0 2 0 0 2 0 0 8 0 1 2 6 4 1 2 0 1 1 1 1 0 0 0 1 0 2 0 1 2 1 6 0 0 1 0 0 0 1 0 0 0 3 1 2 2 2
"prosperous" 0 0 0 1 1 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 3 0 2 0 3 1 0 0 1 0 0 0 0 5 0 1 1 4 0 0 2 1 1 2 0 0 1 0 0 1 1 1 1 0 0 2 3 1 0 1 0 0 0 0 0 2 0 0 0 1 1 2
