"afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "bad" "beautiful" "blind" "bright" "busy" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "delighted" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "innocent" "interested" "interesting" "kind" "little" "lovely" "modest" "natural" "neat" "old" "open" "original" "patient" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proud" "quiet" "remarkable" "respectable" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "strange" "strong" "suspicious" "sweet" "terrible" "thankful" "uncomfortable" "warm" "weak" "well" "wise" "wonderful" "worthy" "young"
"devoted" 2 1 1 2 3 2 0 0 2 1 3 2 0 6 2 0 1 2 1 2 4 0 0 0 3 2 3 2 1 1 1 2 1 2 1 8 0 0 13 0 5 3 1 1 2 0 2 15 1 0 2 2 11 3 3 1 2 0 3 4 2 0 2 1 1 3 4 1 1 0 2 1 4 2 1 0 3 1 0 1 1 1 0 1 1 0 7
"difficult" 4 3 0 3 1 2 0 5 2 2 2 1 1 7 4 2 2 1 4 1 2 0 0 0 1 3 2 3 1 1 3 0 2 1 7 16 2 3 15 2 5 8 3 1 2 3 3 20 2 0 1 1 12 3 1 1 4 3 4 9 3 0 2 5 5 1 4 2 0 2 2 2 11 4 6 2 0 0 2 0 2 1 3 0 0 1 10
"excellent" 2 1 2 2 2 1 0 2 0 1 1 0 0 7 0 0 1 2 1 3 1 2 3 1 0 1 1 1 1 1 1 1 1 0 3 11 1 1 6 2 3 1 1 0 3 1 3 14 0 0 1 1 6 6 0 0 0 1 3 7 3 0 0 4 0 1 3 2 1 1 1 1 5 0 3 1 0 0 0 2 0 1 0 1 1 2 9
"expressive" 6 2 2 2 0 1 2 9 2 1 1 0 0 8 2 2 0 1 3 1 0 0 2 3 1 0 0 3 0 1 1 3 0 1 4 18 2 2 10 4 3 3 1 1 3 0 2 20 4 1 3 1 14 8 3 1 1 3 1 16 3 1 1 2 3 3 2 4 1 2 2 0 10 1 6 0 1 1 2 0 3 4 3 0 0 3 12
"extraordinary" 3 3 4 2 3 2 1 5 1 0 1 1 1 1 2 1 2 1 0 3 0 0 3 2 1 0 0 2 0 1 3 1 2 0 2 13 3 0 7 0 4 2 1 1 0 2 1 18 1 0 4 0 6 3 1 0 2 2 1 3 0 0 3 1 5 3 0 2 1 0 0 2 12 3 3 1 2 0 1 3 1 2 1 0 1 1 5
"fair" 8 3 7 1 2 1 0 10 4 2 8 4 1 11 3 1 2 2 7 3 1 3 2 3 1 3 2 0 1 5 7 2 3 2 7 25 3 1 20 6 6 9 3 4 1 2 5 36 5 2 2 0 19 10 4 2 1 3 3 14 3 1 5 4 3 0 2 5 1 1 2 2 10 4 2 1 2 0 4 2 0 4 0 2 4 2 15
"faithful" 1 3 2 2 1 0 1 3 2 1 2 1 0 4 1 0 1 1 2 0 1 1 1 1 1 0 0 1 0 1 2 2 0 1 2 10 0 1 10 0 1 2 3 0 0 0 1 11 0 2 1 2 6 2 1 2 2 2 3 6 1 1 0 3 1 0 1 0 2 0 0 1 5 1 3 1 1 0 0 0 2 2 1 0 1 3 4
"familiar" 1 3 1 0 1 0 0 2 1 0 1 0 2 2 2 1 1 1 2 0 0 0 1 1 1 1 1 5 1 0 0 1 2 0 1 7 1 1 8 1 4 5 0 2 1 0 1 11 0 0 2 0 9 6 3 0 0 0 3 7 0 0 2 2 0 1 1 1 0 2 1 0 1 2 4 0 0 0 1 1 1 1 0 0 1 2 3
"fine" 3 2 4 1 2 2 1 4 5 2 6 2 1 9 3 2 2 1 4 0 1 1 1 3 1 1 3 7 2 0 0 0 1 2 3 15 4 0 14 3 3 6 3 0 0 1 2 23 0 0 4 2 13 7 2 1 2 4 2 10 2 2 2 3 2 1 3 5 1 1 1 2 8 2 2 3 2 0 1 1 1 1 2 3 1 3 14
"friendly" 2 5 2 0 3 0 0 4 2 1 2 1 1 9 3 0 0 1 1 1 0 2 2 0 1 3 1 2 2 1 0 0 1 0 5 13 0 0 12 2 2 4 2 1 2 1 1 16 0 1 1 1 15 6 0 1 1 2 2 3 2 4 2 2 3 0 0 1 1 0 0 0 2 2 4 0 3 0 0 2 1 3 0 1 4 0 3
"generous" 4 4 3 0 3 0 0 2 1 2 3 2 2 6 2 0 0 1 3 1 2 0 1 2 1 0 2 3 0 2 1 1 0 2 2 16 2 2 7 1 3 8 1 2 3 0 4 16 2 0 4 0 9 2 0 2 1 1 2 6 0 0 2 1 0 0 4 1 0 1 0 1 5 1 3 1 1 1 3 2 0 1 1 0 0 1 7
"gentle" 2 3 1 1 0 0 1 4 0 2 2 2 0 5 2 1 1 1 1 0 0 0 2 1 0 1 0 2 1 0 2 0 2 0 0 10 2 0 9 1 1 2 0 0 1 0 1 10 0 0 2 0 7 2 1 1 1 1 0 7 0 0 0 4 0 0 2 0 1 0 1 0 1 0 1 1 0 0 2 0 1 2 0 0 1 1 9
"glad" 11 4 7 4 6 4 1 13 7 5 7 0 5 10 5 3 2 5 4 2 1 2 1 7 3 4 2 7 2 1 3 5 2 0 0 34 5 2 25 3 5 10 6 5 3 5 7 45 3 1 8 1 24 7 3 2 5 8 6 24 6 2 5 8 3 2 6 2 3 4 5 1 16 6 8 1 7 2 2 5 4 6 6 3 2 3 19
"good" 35 21 23 21 12 10 11 56 22 11 28 12 11 69 15 14 11 20 22 11 13 7 8 16 11 18 13 25 10 7 15 13 16 10 34 0 19 16 99 15 27 40 28 16 7 7 19 184 13 10 27 6 120 48 25 11 13 13 16 79 27 8 13 31 17 11 19 13 11 13 10 12 63 20 43 13 18 11 15 8 10 23 13 10 17 24 89
"gracious" 2 4 2 3 3 0 1 5 5 1 4 0 1 6 4 3 1 2 2 0 1 1 0 2 1 2 3 3 0 1 4 0 2 2 5 19 0 1 11 2 4 5 2 2 2 1 1 22 4 1 5 1 13 5 2 1 1 1 3 10 3 0 4 4 4 0 3 0 0 3 1 1 9 3 4 1 3 1 1 0 1 3 2 1 1 4 12
