"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awake" "bad" "beautiful" "bold" "bright" "busy" "capable" "careless" "certain" "charming" "cheerful" "clean" "clever" "cold" "comfortable" "decent" "delighted" "delightful" "determined" "difficult" "disappointed" "distinguished" "eager" "embarrassed" "excellent" "extraordinary" "fair" "faithful" "famous" "fine" "foolish" "fortunate" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "harmless" "honest" "ignorant" "impatient" "important" "independent" "intelligent" "interested" "interesting" "jealous" "joyful" "kind" "liberal" "little" "lively" "loud" "lucky" "natural" "neat" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "positive" "pretty" "private" "proper" "quiet" "reasonable" "remarkable" "respectable" "rich" "sad" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stubborn" "stupid" "surprised" "sweet" "thin" "tired" "uncomfortable" "unhappy" "unusual" "useful" "violent" "warm" "well" "wise" "wonderful" "worthy" "young"
"bold" 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 2 0 1 0 1 1 2 0 2 0 1 0 0 0 0 1 0 3 1 2 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 1 3 1 0 0 1 0 0 1 2 2 2 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1
"bright" 0 1 0 2 1 1 0 1 1 2 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 0 4 0 0 0 0 0 3 0 4 2 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 4 0 0 0 0 1 0 1 2 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 2
"busy" 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 2 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1
"capable" 1 1 0 0 0 2 1 0 1 2 0 0 0 0 0 1 1 1 0 0 0 2 0 0 2 0 0 0 0 1 0 0 0 0 2 0 3 0 0 1 0 0 4 0 4 1 2 0 1 0 1 2 1 0 1 1 1 0 0 0 1 2 0 0 1 0 0 0 1 2 0 0 0 1 1 0 1 1 2 0 1 1 0 2 0 0 0 1 0 0 1 1 2 0 0 2 0 0 0 2 1 0 0 0 0 0 1 1 1 1 1 0 0 2
"careless" 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1 3 0 3 1 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 3 1 0 0 0 0 0 2 0 0 0 0 0 0 2 2 2 1 0 1 0 0 1 1 0 0 0 0 0 0 0 3 1 0 2 2 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 3
"certain" 2 0 1 1 2 1 1 0 1 2 1 1 0 1 0 0 1 1 0 0 0 2 1 0 1 0 0 1 0 3 1 2 0 2 0 0 4 2 0 0 1 1 8 1 5 1 6 0 2 0 1 1 2 1 1 0 2 1 1 1 0 9 2 0 1 1 0 0 2 4 0 1 2 2 1 0 4 3 2 1 0 3 0 1 0 2 0 0 0 1 2 0 4 2 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 1 1 0 0 5
"charming" 1 1 4 1 0 3 2 1 3 3 1 1 0 1 2 1 0 2 0 0 2 2 2 2 3 1 1 1 0 3 0 4 1 4 1 0 4 0 2 1 2 3 10 0 8 5 7 0 0 2 0 4 0 1 0 1 2 0 1 4 1 10 0 0 1 2 1 0 5 1 1 0 2 1 2 2 1 1 1 1 1 0 1 2 1 0 2 3 1 0 0 1 6 1 0 2 2 0 0 2 4 1 5 1 1 0 0 0 2 2 0 0 2 10
"cheerful" 2 0 0 1 0 0 0 1 1 1 0 0 1 1 2 1 2 0 0 1 1 4 0 0 1 0 0 0 0 3 0 1 0 0 2 1 1 1 0 0 1 3 5 0 5 2 5 0 1 3 1 0 1 0 1 0 3 0 0 2 1 6 0 0 1 1 0 0 4 2 0 0 0 0 1 2 2 1 1 0 0 1 0 2 1 0 0 1 1 0 1 0 4 1 0 2 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 3
"clean" 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 1 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 2 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 2
"clever" 1 2 1 0 0 1 2 0 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 2 2 2 0 0 1 2 4 0 4 0 3 1 0 1 1 0 0 0 0 1 1 0 0 1 0 4 0 0 0 1 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 2 0 0 0 0 0 2 1 0 0 1 1 0 0 1 0 1 0 1 0 0 4
"cold" 2 1 0 0 1 2 1 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 1 1 1 1 1 1 2 0 0 0 1 0 0 0 1 0 0 0 1 4 0 3 1 1 0 0 1 0 0 1 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 1 2 0 0 1 0 1 1 2 0 0 1 1 1 0 0 0 1 0 2 2 1 1 1 3 0 0 4 3 0 1 1 2 0 1 2 2 2 0 2 0 0 0 2 0 2
"comfortable" 2 0 2 1 0 4 1 1 3 1 0 1 1 2 1 2 2 4 0 1 0 0 1 0 1 0 1 0 0 2 0 1 1 1 2 1 4 1 0 0 1 3 5 1 7 1 5 0 1 2 1 1 1 1 1 0 2 1 1 1 0 9 1 0 1 1 1 1 3 3 0 0 0 0 1 1 4 2 1 0 0 2 1 1 1 0 1 0 1 0 2 1 5 2 0 4 0 0 0 2 0 0 2 1 2 0 0 1 1 1 2 0 0 3
"decent" 2 1 1 0 0 0 2 0 1 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 4 0 2 0 2 0 0 0 1 0 1 1 0 0 2 0 0 2 1 3 0 0 0 1 1 0 2 2 1 0 1 1 1 0 2 1 0 1 0 0 0 0 0 0 2 1 1 0 0 0 2 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 3
"delighted" 0 2 1 0 1 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 0 0 4 1 0 1 0 0 0 1 1 0 0 1 1 0 1 1 0 2 4 1 7 1 4 0 0 1 0 1 1 1 0 0 0 0 0 2 0 6 0 1 0 1 0 0 2 1 0 0 3 1 0 0 0 0 2 1 0 0 0 0 1 1 0 1 1 0 0 1 3 0 1 0 2 0 0 1 3 0 1 0 0 0 0 1 1 0 0 0 2 5
"delightful" 2 6 4 0 2 3 2 0 1 5 1 1 0 2 1 1 3 1 1 0 1 1 1 4 0 2 0 2 0 3 0 3 3 1 1 2 5 0 0 2 0 4 17 1 16 6 10 1 0 1 1 1 1 0 1 2 1 1 0 3 0 14 2 2 1 4 0 0 7 5 2 3 4 4 1 1 5 1 3 1 5 2 0 2 1 1 0 2 1 1 0 1 8 0 2 2 5 1 3 5 3 2 4 0 0 0 2 1 1 1 0 1 1 11
"determined" 1 2 0 0 0 2 0 0 1 1 2 1 0 0 0 0 1 0 0 0 1 0 1 1 2 0 0 0 0 2 0 2 1 2 0 0 1 0 0 0 0 3 5 0 3 3 2 0 0 0 1 0 1 0 0 0 1 1 0 0 1 5 0 0 0 1 1 0 0 2 2 2 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 1 1 2 0 0 1 2 1 2 1 0 0 0 0 1 0 0 0 1 5
"difficult" 0 1 0 2 0 1 2 1 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 1 2 0 2 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 0 0 2
"disappointed" 0 2 4 0 0 2 1 0 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 2 2 0 4 0 0 2 1 0 0 2 2 5 1 5 2 4 0 0 0 0 2 0 0 0 0 0 0 2 0 1 6 1 1 1 0 1 0 4 3 0 1 1 0 1 0 2 0 2 2 0 3 0 0 0 1 0 0 1 1 0 0 5 1 1 3 2 0 0 1 1 0 2 0 1 1 0 1 0 0 0 1 0 4
"distinguished" 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 2 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 2 1 1 0 0 2 0 0 2 0 0 0 2 1 1 1 0 0 1 0 0 0 0 2
"eager" 3 0 0 3 3 2 1 1 0 2 1 0 1 1 1 3 3 3 0 0 2 2 0 0 3 2 1 0 0 0 0 1 0 3 0 0 4 1 1 1 1 3 9 0 4 3 7 1 1 0 1 1 1 0 1 0 1 1 0 1 0 6 0 1 2 3 0 0 3 2 1 0 0 1 1 2 3 1 3 1 1 1 0 1 0 0 0 3 0 2 3 0 3 0 0 2 2 0 0 1 4 1 2 1 1 0 0 0 2 0 1 1 2 4
"embarrassed" 1 0 1 0 0 2 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0 1 0 0 0 2 0 1 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 2 1 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"excellent" 0 3 2 0 0 2 2 0 3 1 2 0 0 0 1 2 4 1 1 0 0 1 1 1 3 2 0 2 0 1 2 0 4 4 0 2 5 0 0 0 3 1 10 2 7 4 6 0 0 1 0 0 1 0 0 1 1 1 2 2 1 11 1 2 0 1 2 0 7 4 1 3 1 0 0 1 2 0 3 1 1 2 0 2 2 2 1 1 0 1 0 0 4 1 2 2 2 1 1 1 2 2 3 2 1 0 1 1 1 0 0 1 1 6
"extraordinary" 0 4 2 2 1 1 1 0 2 0 0 1 0 0 0 0 1 0 2 0 0 1 1 1 3 1 0 0 0 0 0 4 0 0 0 1 4 0 0 0 0 2 7 1 5 3 2 1 0 0 1 0 1 0 1 1 0 1 0 2 0 5 1 1 0 1 1 0 4 3 0 3 0 2 1 0 2 0 1 0 2 0 0 1 1 0 1 0 1 0 0 0 1 0 2 1 1 1 1 3 1 1 1 0 1 0 1 1 1 0 0 1 0 5
"fair" 1 2 3 0 0 5 3 0 1 3 2 0 0 0 0 2 4 0 0 1 1 1 0 0 1 2 1 4 0 3 2 4 0 0 0 0 2 0 2 1 3 3 6 1 5 3 5 0 0 0 0 3 0 0 0 1 1 1 3 1 0 9 1 0 1 1 1 1 5 2 1 1 1 0 2 0 3 0 1 2 0 1 1 0 0 1 0 2 0 2 0 0 5 1 0 2 1 0 1 1 3 1 2 2 0 0 0 1 1 0 2 0 2 6
"faithful" 0 0 0 0 0 1 0 0 1 1 0 0 0 2 1 0 1 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 3 0 3 0 2 0 0 1 0 2 0 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1 3 1 0 2 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1
"famous" 0 2 3 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 2 0 1 0 1 2 0 0 0 0 0 0 2 1 0 0 0 2 1 0 1 0 1 6 1 5 0 3 0 0 1 0 0 1 0 0 0 0 0 0 1 0 5 0 2 0 1 0 0 4 1 0 1 2 1 0 0 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 3 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 3
"fine" 2 5 4 5 4 7 5 2 4 7 0 4 0 3 0 4 4 1 1 2 0 4 1 1 5 1 2 2 1 4 1 5 4 2 1 2 0 2 1 2 3 7 18 0 16 7 11 1 1 0 2 2 2 0 1 0 2 1 1 1 0 17 0 2 2 2 2 0 11 5 1 2 6 2 1 0 6 3 7 1 0 4 2 6 1 4 1 2 1 0 4 1 9 0 3 3 1 1 2 6 2 1 3 1 1 0 2 1 4 2 1 1 1 14
"foolish" 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 2 0 1 0 2 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 1 2 0 0 0 0 2 4 0 3 0 3 1 1 1 1 0 0 1 0 0 0 1 0 1 0 4 1 0 0 1 0 0 2 1 0 0 0 1 0 0 2 1 1 0 0 1 1 1 0 0 0 1 1 0 2 0 1 1 0 2 0 1 1 0 1 0 2 0 0 1 0 1 1 0 0 1 0 2
"fortunate" 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 2 1 1 1 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 1 1 0 2 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 3
"generous" 0 1 1 1 1 2 2 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 1 1 1 2 0 2 0 0 1 3 0 3 0 3 0 0 0 0 2 0 1 0 1 0 0 1 1 0 4 0 1 0 2 0 0 1 1 0 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 3 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 4
"gentle" 0 1 2 0 0 2 2 0 2 2 1 0 1 0 1 1 2 1 0 1 0 1 0 0 0 0 0 2 0 1 2 3 0 3 0 0 3 0 1 0 0 1 4 1 2 1 5 0 0 2 0 0 0 0 0 0 1 1 2 1 1 6 2 0 1 0 1 0 4 1 0 1 0 1 0 0 3 1 1 1 0 1 0 0 0 1 0 1 1 1 0 0 5 2 0 0 0 0 0 0 1 0 0 2 1 0 1 0 1 0 0 0 1 5
"glad" 3 5 5 4 3 3 4 1 1 3 0 0 0 0 1 1 3 3 1 2 1 3 1 2 4 3 1 2 2 3 0 1 2 3 2 1 7 2 1 1 1 0 15 1 13 2 11 1 0 3 0 1 0 1 0 1 3 0 1 4 0 17 1 2 2 1 0 3 9 6 0 1 3 3 1 0 7 3 2 1 2 2 2 1 1 1 1 2 3 0 5 1 10 1 1 6 2 0 3 4 4 0 3 2 1 2 0 0 2 0 1 0 1 14
"good" 9 13 11 4 6 7 7 0 6 7 3 3 1 4 3 8 10 5 2 4 4 5 4 4 17 5 2 5 2 9 1 10 7 6 3 6 18 4 1 3 4 15 0 4 39 15 27 3 2 5 3 3 5 3 2 3 5 3 2 9 2 40 4 4 3 7 2 1 18 12 2 7 8 8 5 2 16 4 8 3 8 4 2 6 2 5 3 8 5 3 6 3 25 3 3 13 9 2 5 10 7 2 10 6 4 2 3 1 6 3 1 2 3 33
"grateful" 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 2 1 1 0 1 0 0 0 0 1 1 4 0 3 1 3 0 0 1 0 0 1 1 0 0 0 0 2 0 0 3 1 1 0 0 0 1 2 2 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 2 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 2
"great" 7 11 13 3 7 10 6 2 6 9 2 4 2 4 3 5 8 5 2 4 3 7 2 7 16 3 2 5 2 4 1 7 5 5 3 5 16 3 1 3 2 13 39 3 0 12 26 3 2 4 3 4 7 3 2 4 6 2 2 6 2 40 3 3 2 7 3 3 17 10 3 5 7 8 3 2 14 4 9 3 6 5 3 7 4 5 2 4 4 1 3 2 21 2 2 14 7 2 4 8 5 2 10 2 2 1 3 5 4 3 3 3 4 31
"handsome" 2 4 3 1 1 3 1 0 3 2 1 2 0 1 1 1 5 2 1 0 1 1 0 1 6 3 1 2 0 3 0 4 3 3 0 0 7 0 0 0 1 2 15 1 12 0 8 0 0 2 0 1 2 0 0 0 2 1 0 2 1 10 0 0 0 1 1 0 7 2 2 3 3 0 1 1 1 1 3 0 1 0 0 3 1 1 0 3 1 0 0 0 7 0 3 2 3 1 1 4 1 2 5 2 0 0 1 2 1 0 1 1 1 11
"happy" 6 4 6 3 3 6 6 2 4 6 2 1 3 2 2 6 7 5 0 3 1 5 2 4 10 2 1 4 1 7 2 6 2 5 2 3 11 3 2 3 5 11 27 3 26 8 0 2 2 5 2 3 3 4 1 1 2 1 3 4 0 27 2 4 3 7 1 1 9 8 1 2 3 3 3 2 10 4 5 4 4 6 3 5 1 3 2 3 3 2 4 2 17 3 1 6 4 1 2 4 3 1 6 1 2 1 2 1 3 1 1 0 4 19
"hard" 1 0 0 1 2 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 3 0 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 1 0 0 0 2 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 2
"harmless" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 2 0 2 0 0 0 1 0 1 1 1 0 1 1 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2
"honest" 1 0 0 0 0 0 1 0 2 0 0 0 1 0 1 0 2 3 0 1 1 2 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 2 3 5 1 4 2 5 0 0 0 0 0 0 1 0 0 1 0 1 2 1 7 0 0 0 0 0 1 3 0 0 0 2 0 0 0 3 1 0 0 1 0 1 1 0 0 0 2 2 0 1 0 3 0 0 2 1 0 0 0 2 0 2 1 1 0 0 0 0 0 0 0 0 2
"ignorant" 2 1 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 2 1 0 0 0 0 3 0 3 0 2 1 1 0 0 0 1 0 2 1 1 0 0 0 1 3 1 0 1 2 0 0 0 2 1 1 0 1 2 0 3 1 1 0 1 1 1 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 0 1 0 0 4
"impatient" 0 1 2 1 2 2 2 1 1 2 0 1 0 2 0 1 4 0 0 0 0 1 0 1 1 0 1 2 0 1 0 0 0 3 2 0 2 0 1 2 0 1 3 0 4 1 3 0 0 0 0 0 0 0 0 1 1 0 1 3 0 5 0 0 0 1 0 0 1 2 0 0 2 3 2 0 0 0 2 1 1 0 1 1 1 1 0 2 0 0 0 2 3 0 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 2 0 0 1 5
"important" 2 1 0 0 1 0 0 0 1 0 0 1 0 1 0 2 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 2 0 0 0 0 0 5 1 7 2 3 0 1 0 1 0 0 0 1 0 3 0 0 1 0 4 0 1 1 0 1 0 2 2 1 1 0 0 1 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 3 0 0 1 0 0 0 0 1 0 1 0 0 0 0 3 1 1 1 2 0 5
"independent" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 3 1 3 0 4 0 1 1 0 0 0 0 0 0 0 1 1 1 0 3 1 0 0 2 0 1 0 0 0 0 0 1 1 0 2 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 2 0 2 1 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 4
"intelligent" 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 2 0 2 0 1 0 1 0 2 0 1 0 0 1 1 0 0 0 0 2 1 0 1 1 0 0 0 1 0 1 0 1 2 0 2 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2
