"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awkward" "bad" "beautiful" "bitter" "bold" "bright" "busy" "calm" "careful" "careless" "certain" "charming" "cheerful" "cold" "comfortable" "cool" "cruel" "curious" "decent" "delighted" "difficult" "excellent" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "independent" "innocent" "interested" "interesting" "kind" "little" "lively" "loud" "natural" "neat" "nice" "old" "open" "plain" "pleasant" "pleased" "poor" "popular" "private" "professional" "proper" "proud" "quiet" "remarkable" "rich" "ridiculous" "rough" "sad" "satisfied" "selfish" "serious" "short" "smart" "social" "strange" "strong" "surprised" "sweet" "terrible" "thoughtful" "tired" "uncomfortable" "unhappy" "unusual" "violent" "warm" "weak" "well" "wonderful" "worthy" "young"
"bold" 1 6 3 6 3 2 1 4 0 3 0 3 2 1 2 0 10 4 4 3 2 1 1 1 1 3 1 1 2 3 1 2 1 1 1 2 6 24 3 1 18 1 7 4 0 1 1 2 1 1 20 3 2 3 2 2 18 6 2 7 1 2 1 5 3 1 4 6 2 0 0 0 0 0 0 2 11 1 0 7 2 0 5 0 2 1 0 2 2 1 1 1 2 1 1 18
"bright" 1 9 7 5 5 4 3 7 7 2 3 0 3 4 3 1 18 4 9 12 6 4 3 4 1 4 4 1 7 8 3 5 4 2 3 10 21 39 6 6 42 2 15 8 4 4 5 4 0 3 42 8 7 7 3 0 35 13 1 16 2 15 0 3 1 5 5 12 7 6 2 5 5 3 1 6 20 3 2 11 17 9 6 4 5 4 3 0 2 2 4 1 6 5 5 27
"busy" 1 2 5 3 0 4 2 2 3 0 2 3 0 1 2 1 7 1 5 2 3 1 1 3 1 4 4 2 3 5 2 2 3 2 2 4 7 16 2 6 15 0 3 1 5 0 0 3 0 4 21 2 1 6 3 0 18 5 4 6 3 6 1 4 0 1 2 9 3 3 0 0 1 1 1 2 10 1 2 4 4 3 1 6 1 2 3 0 0 0 2 0 0 2 1 12
"calm" 1 0 1 0 0 0 0 2 4 0 1 4 1 0 0 1 5 0 1 0 1 4 0 0 2 2 0 1 1 4 0 4 0 0 1 2 4 8 0 3 10 2 3 2 1 3 0 0 1 1 10 0 0 1 0 0 7 4 2 4 0 1 2 4 0 1 3 3 1 1 0 2 1 0 1 1 3 1 1 4 4 2 1 2 3 1 0 1 0 0 1 0 1 1 1 6
"careful" 1 3 1 1 0 1 1 5 1 0 2 3 2 0 0 0 7 0 3 2 1 1 0 1 0 2 2 0 2 4 2 3 1 3 1 3 3 15 2 1 8 0 3 2 1 1 0 2 0 0 11 4 2 4 3 0 9 3 2 3 0 3 0 2 1 2 2 1 6 7 0 0 1 0 1 2 6 0 0 4 2 0 4 0 2 1 2 0 2 1 0 0 1 1 1 11
"careless" 0 2 1 2 1 1 0 3 2 1 0 1 1 1 0 0 5 0 0 1 0 1 0 1 2 1 2 2 0 1 2 1 1 3 1 1 3 10 3 2 9 2 1 2 1 1 0 1 0 2 10 2 0 5 0 0 7 4 2 1 0 5 0 2 0 1 2 3 0 0 1 3 0 1 2 1 7 2 1 1 2 3 2 1 1 0 1 0 0 0 1 0 0 1 0 9
"certain" 7 15 7 12 7 10 1 17 12 2 10 18 7 5 7 5 0 6 17 12 13 6 5 6 4 8 7 7 14 12 8 9 2 8 4 11 30 77 8 11 78 6 17 11 10 4 7 8 6 11 71 8 10 16 1 4 66 14 7 21 2 27 6 13 11 5 11 15 14 12 4 7 2 2 2 10 35 7 5 21 29 7 11 8 9 2 6 2 6 6 8 6 7 4 9 59
"charming" 1 3 2 3 3 3 2 2 4 0 4 4 1 0 0 0 6 0 1 2 1 1 2 2 0 1 1 2 2 3 1 2 2 1 0 2 4 14 4 1 10 2 7 2 0 0 4 0 1 0 13 2 2 3 1 0 10 4 3 6 2 4 0 3 2 0 2 4 3 0 1 1 1 1 0 2 7 0 1 3 5 2 6 0 3 0 0 2 1 1 1 0 2 0 1 13
"cheerful" 1 4 4 4 3 5 1 6 2 2 4 9 5 1 3 0 17 1 0 4 3 1 2 4 1 2 4 2 4 9 0 2 2 4 1 8 14 26 0 8 28 0 11 3 4 2 0 2 2 1 33 7 4 4 3 1 24 6 1 13 2 13 0 1 3 3 4 7 4 4 3 2 1 2 1 5 12 1 2 6 9 4 1 2 4 1 2 3 2 0 1 1 0 1 3 15
"cold" 0 11 7 6 5 0 3 8 8 4 3 12 2 0 2 1 12 2 4 0 6 2 0 7 1 4 5 5 5 10 4 6 0 4 1 6 17 32 3 6 31 4 9 5 3 3 3 3 3 9 34 3 5 7 2 3 32 8 5 7 3 13 1 3 5 7 0 12 9 11 0 2 2 3 3 3 15 0 2 14 11 1 4 3 3 0 1 0 2 3 8 2 1 3 3 20
"comfortable" 2 6 9 2 2 7 1 4 5 1 2 6 3 1 1 0 13 1 3 6 0 3 3 2 0 2 2 4 6 2 3 3 1 4 3 3 11 28 2 1 27 3 5 2 5 1 2 4 1 6 30 2 3 3 1 3 21 7 3 11 2 7 2 2 5 3 1 2 5 3 3 2 0 2 2 2 18 0 1 6 11 1 6 2 1 2 3 0 1 1 5 3 3 1 4 20
"cool" 0 2 3 0 1 1 0 2 5 1 1 4 1 4 1 1 6 1 1 2 3 0 0 0 1 0 0 2 2 2 2 3 1 1 0 2 4 14 1 3 17 4 4 4 2 1 1 4 0 2 16 2 0 5 0 1 11 6 2 4 1 5 3 4 1 1 2 3 1 2 2 2 1 0 1 1 6 1 1 2 3 4 3 3 3 2 1 0 0 2 3 2 2 1 1 13
"cruel" 1 1 0 7 6 3 0 7 1 1 1 3 1 0 0 0 5 2 2 0 3 0 0 3 0 0 3 0 0 1 1 2 0 0 0 2 4 12 3 3 9 0 3 5 2 0 1 1 1 1 13 2 2 4 0 0 9 2 2 4 1 5 1 3 1 1 1 3 3 1 2 1 1 0 0 2 4 1 0 4 6 1 3 2 1 1 0 2 0 1 0 1 1 0 2 10
"curious" 2 3 4 2 4 3 2 4 4 1 1 4 3 0 1 1 6 2 4 7 2 0 3 0 0 2 3 1 1 3 1 1 1 2 0 3 8 15 2 2 13 0 4 2 5 2 0 1 2 3 21 2 2 3 1 1 21 6 3 6 2 10 0 2 3 1 2 3 11 1 2 1 1 3 2 3 9 0 0 6 7 2 4 2 1 1 1 2 1 2 3 0 1 2 3 13
"decent" 0 2 0 0 1 1 1 3 1 2 1 1 1 2 0 2 4 0 1 1 0 1 0 0 0 1 1 1 1 2 0 2 0 1 1 1 6 13 0 4 12 0 5 2 3 2 0 0 0 1 10 1 2 4 0 0 8 2 1 4 0 5 2 3 0 2 1 2 1 1 1 1 2 0 0 0 2 1 1 5 5 4 0 1 1 0 1 0 1 0 0 0 0 2 1 10
"delighted" 1 7 5 3 1 2 2 6 2 0 3 4 4 2 2 1 8 1 2 4 2 0 0 2 1 0 1 3 4 2 1 4 0 3 0 4 13 21 3 2 21 1 4 4 4 3 0 2 2 5 25 1 1 3 2 1 20 5 3 5 1 11 0 3 0 0 5 5 7 4 0 1 1 2 2 3 12 1 2 5 3 2 2 2 1 2 1 0 2 1 1 2 3 1 1 14
"difficult" 0 4 1 4 4 5 0 9 3 0 1 4 4 0 2 2 7 1 4 5 2 0 3 3 1 1 0 1 4 7 1 0 0 2 1 3 7 21 3 5 18 2 4 4 1 2 0 2 2 2 19 3 1 4 0 0 16 8 0 7 0 10 3 4 0 3 1 6 6 2 2 1 3 1 1 5 7 1 2 6 7 0 4 2 3 1 3 1 1 0 1 1 3 1 1 12
"excellent" 3 10 3 2 2 2 0 2 5 1 1 1 2 1 0 2 7 2 2 5 4 2 0 1 1 3 1 0 0 2 1 1 0 2 2 1 2 20 1 4 18 3 6 3 2 1 1 0 0 3 19 0 2 4 1 2 18 2 0 4 0 6 1 4 6 2 4 4 2 1 3 0 1 0 1 5 8 1 0 4 4 3 3 0 1 3 1 0 0 3 0 1 2 3 4 13
"extraordinary" 1 8 4 3 2 7 3 7 5 2 2 7 3 1 2 0 14 2 4 5 6 2 0 1 1 4 4 0 0 5 5 2 2 0 1 5 7 30 4 0 30 3 8 5 3 3 1 4 2 4 28 2 4 5 3 2 24 6 2 5 3 11 2 2 3 4 3 6 7 3 1 3 0 1 1 5 14 0 1 13 13 4 3 4 0 0 3 2 2 0 2 1 2 3 2 17
"fair" 3 7 5 7 2 2 3 6 6 3 3 8 5 4 4 1 12 3 9 10 2 2 1 3 2 2 7 2 5 0 2 4 2 2 1 10 11 36 5 3 28 3 10 5 4 2 0 2 0 5 37 4 3 4 4 2 29 9 6 13 3 13 2 6 3 4 4 12 7 6 2 4 4 2 2 4 16 2 3 9 12 4 9 4 3 0 4 3 0 1 1 2 3 2 4 29
"familiar" 0 3 4 5 3 0 0 2 3 1 1 3 2 0 2 2 8 1 0 4 3 2 1 1 0 1 1 1 5 2 0 1 0 0 0 2 5 18 0 1 15 1 5 1 0 2 2 2 3 2 12 2 3 4 1 1 10 4 3 2 0 7 1 1 2 0 5 3 4 3 0 1 1 2 1 0 6 1 1 3 9 1 3 2 0 1 2 1 3 0 0 1 3 2 3 9
"fine" 0 8 4 6 2 3 0 6 5 0 2 5 2 4 3 1 9 2 2 6 3 3 2 1 2 4 0 1 2 4 1 0 0 0 0 4 7 25 3 5 24 2 5 7 0 3 0 1 1 1 24 5 3 6 2 2 22 11 3 8 3 8 1 1 2 2 3 4 7 4 0 0 0 0 3 2 10 2 1 8 10 5 3 1 1 1 2 1 3 2 2 2 1 3 0 24
"foolish" 1 1 2 4 1 2 1 0 2 0 1 4 3 0 1 1 2 2 2 0 1 1 0 1 0 0 0 0 2 2 0 0 0 1 0 3 3 9 1 1 7 0 5 3 4 1 3 1 0 3 10 1 0 4 3 0 9 2 1 3 0 4 0 3 0 0 1 1 0 2 1 0 0 0 0 0 9 0 1 4 4 5 1 0 0 0 1 1 1 0 0 0 0 1 1 7
"friendly" 2 5 4 0 2 2 0 3 1 1 1 2 2 0 3 3 8 1 4 4 4 1 0 2 1 3 2 2 0 2 0 0 1 0 2 3 8 13 3 1 16 2 2 4 6 1 1 1 2 3 16 2 2 3 1 2 14 8 0 3 1 4 1 1 3 1 2 6 2 2 1 0 2 0 2 2 10 0 0 2 4 2 1 0 1 0 1 1 2 0 4 1 3 1 2 12
"generous" 2 2 1 1 3 1 1 4 2 1 1 3 2 1 1 1 4 0 1 1 3 0 0 0 1 0 1 2 1 1 0 0 0 2 0 2 5 11 0 2 10 2 2 1 1 0 0 1 1 2 9 0 2 4 0 1 10 4 0 3 1 5 0 0 0 2 2 4 2 1 1 0 2 0 3 1 7 0 0 4 4 2 1 0 1 1 4 0 1 0 1 2 1 0 0 10
"gentle" 3 5 5 7 5 8 2 7 6 2 2 10 4 2 3 1 11 2 8 6 3 2 2 3 1 4 3 1 5 10 2 4 3 3 2 0 12 25 3 3 21 3 11 5 4 2 2 4 2 5 29 6 5 5 1 1 30 11 2 10 3 12 0 2 1 2 6 13 8 6 2 3 2 1 2 2 12 2 0 12 12 5 6 1 3 0 4 1 1 0 2 0 2 3 3 22
"glad" 5 14 8 12 10 10 4 19 13 4 6 21 7 4 3 3 30 4 14 17 11 4 4 8 6 13 7 2 7 11 5 7 3 8 5 12 0 69 8 11 62 3 17 14 7 2 5 5 6 11 73 8 8 14 3 4 59 21 7 20 3 26 3 7 4 5 6 18 11 5 5 4 6 7 2 10 37 4 3 14 20 7 10 5 9 5 4 1 4 1 8 6 8 4 8 46
"good" 13 45 24 38 18 23 8 49 32 11 24 39 16 8 15 10 77 14 26 32 28 14 12 15 13 21 21 20 30 36 18 25 9 13 11 25 69 0 19 24 184 18 46 39 21 8 9 15 11 28 193 23 19 37 11 12 170 51 19 54 11 80 10 24 19 15 27 41 36 24 8 11 11 12 10 20 94 10 12 53 69 20 30 16 16 13 12 11 16 9 20 16 20 14 23 154
"gracious" 2 7 2 5 2 3 2 2 4 2 3 6 2 0 2 3 8 4 0 3 2 1 3 2 0 3 3 1 4 5 0 3 1 3 0 3 8 19 0 0 17 1 4 8 2 0 2 0 3 6 23 7 1 2 0 1 17 6 2 8 2 10 0 4 1 3 1 5 4 1 1 2 1 1 0 2 12 2 0 6 5 2 6 1 2 1 0 1 2 2 2 2 2 1 3 16
"grateful" 0 4 2 4 3 3 0 7 2 1 1 6 6 3 1 2 11 1 8 6 1 3 3 2 4 2 5 4 0 3 1 5 1 1 2 3 11 24 0 0 26 2 7 9 4 2 1 2 3 5 26 1 0 3 0 1 19 7 3 7 2 14 1 2 1 2 4 6 4 6 1 1 3 1 0 2 9 1 1 7 14 4 3 3 6 3 2 3 0 1 4 1 2 2 4 20
"great" 7 41 25 30 20 20 6 38 32 8 18 42 15 10 8 9 78 10 28 31 27 17 9 13 12 21 18 18 30 28 15 24 7 16 10 21 62 184 17 26 0 15 43 40 20 12 8 13 14 24 178 18 15 33 8 9 145 49 16 47 10 72 12 24 17 14 23 35 38 21 11 12 7 10 10 21 80 8 10 46 73 22 21 15 13 11 11 11 10 10 17 18 17 11 20 131
"handsome" 1 3 2 1 1 3 0 4 6 1 1 2 0 2 0 2 6 2 0 4 3 4 0 0 0 1 2 3 3 3 1 2 0 2 2 3 3 18 1 2 15 0 3 2 1 1 0 1 0 2 19 2 1 3 0 2 13 9 2 1 1 10 3 2 3 2 2 1 3 3 1 2 1 1 1 0 7 1 0 3 6 1 1 1 4 0 0 1 0 0 4 1 0 0 2 16
"happy" 3 16 8 9 6 5 3 12 6 2 7 15 3 3 3 1 17 7 11 9 5 4 3 4 5 4 4 6 8 10 5 5 5 2 2 11 17 46 4 7 43 3 0 9 5 2 6 3 3 6 48 5 8 8 2 2 46 13 6 15 1 23 2 5 6 3 11 14 7 7 3 2 3 4 3 6 21 5 0 11 16 10 11 1 6 2 2 5 6 3 3 3 3 4 4 40
"hard" 3 7 2 8 4 7 1 8 7 5 4 8 1 2 2 2 11 2 3 5 2 4 5 2 2 4 4 3 5 5 1 7 3 4 1 5 14 39 8 9 40 2 9 0 3 2 3 2 6 6 36 5 4 6 2 0 31 11 4 11 3 16 3 3 3 5 5 4 8 4 4 3 3 1 5 6 19 1 1 12 16 3 5 4 5 2 0 3 4 3 3 3 6 1 5 31
"honest" 0 4 5 4 2 5 4 10 3 0 0 4 5 1 1 1 10 0 4 3 5 2 2 5 3 4 1 2 3 4 0 0 4 6 1 4 7 21 2 4 20 1 5 3 0 0 0 2 1 8 18 1 2 4 1 0 19 6 5 4 2 8 2 5 2 3 2 7 4 5 3 3 3 1 3 1 12 1 3 7 10 8 3 2 0 1 2 2 0 0 3 2 4 0 4 19
"independent" 0 1 4 1 2 0 1 1 1 2 1 4 0 3 1 1 4 0 2 3 1 1 0 2 2 3 2 1 3 2 2 3 1 1 0 2 2 8 0 2 12 1 2 2 0 0 0 0 2 0 14 1 0 2 1 0 8 1 0 1 0 4 2 4 0 0 3 1 4 1 0 2 0 2 0 1 5 2 1 3 7 1 0 0 1 0 3 0 1 0 1 0 0 2 0 5
"innocent" 1 0 0 2 1 1 0 0 2 1 1 5 0 0 0 0 7 4 0 3 2 1 1 0 0 0 0 1 1 0 2 0 3 1 0 2 5 9 2 1 8 0 6 3 0 0 0 3 2 1 9 0 1 3 1 0 10 2 1 1 0 3 0 3 3 0 1 4 0 1 0 0 0 1 0 1 4 0 0 4 5 3 3 2 1 0 1 0 2 1 1 0 1 2 1 8
"interested" 0 4 3 2 1 1 1 1 3 0 2 4 3 0 2 1 8 0 2 3 4 4 1 1 0 2 2 0 4 2 2 1 1 1 1 4 5 15 0 2 13 1 3 2 2 0 3 0 1 2 16 1 2 4 1 1 11 6 1 5 2 7 0 2 2 0 1 5 3 3 2 1 1 0 0 5 5 0 1 7 2 3 4 1 0 1 2 1 2 0 1 1 2 3 1 13
"interesting" 1 1 1 1 4 1 1 3 2 2 1 0 0 1 0 0 6 1 2 3 1 0 1 2 0 2 2 0 2 0 3 1 0 2 1 2 6 11 3 3 14 0 3 6 1 2 2 1 0 4 11 1 1 1 0 2 8 4 3 4 1 9 2 1 1 0 2 3 7 1 0 0 0 3 1 2 6 0 1 4 4 0 2 1 2 1 1 1 2 0 1 2 1 0 1 9
"kind" 3 5 7 1 2 3 1 10 3 1 1 3 4 1 0 2 11 0 1 9 6 2 1 3 1 5 2 3 4 5 2 1 3 3 2 5 11 28 6 5 24 2 6 6 8 0 1 2 4 0 32 1 0 5 1 5 25 7 2 6 3 20 0 5 4 1 1 7 4 7 1 2 2 1 5 1 17 0 3 6 11 5 6 2 3 1 2 1 0 3 1 2 1 1 4 21
"little" 10 37 30 29 21 24 9 47 31 10 20 42 21 10 11 10 71 13 33 34 30 16 13 21 10 25 19 19 28 37 12 24 10 16 9 29 73 193 23 26 178 19 48 36 18 14 9 16 11 32 0 28 18 34 10 12 173 57 18 57 15 78 10 26 19 14 25 46 39 22 9 11 11 13 10 23 96 11 8 46 65 20 35 20 14 13 10 13 9 14 13 16 16 14 26 143
"lively" 0 2 2 4 3 2 0 8 3 0 3 8 2 0 4 2 8 2 7 3 2 2 2 2 1 1 3 0 2 4 2 5 1 2 0 6 8 23 7 1 18 2 5 5 1 1 0 1 1 1 28 0 2 6 1 2 20 6 0 9 4 14 1 2 0 5 5 7 7 2 1 2 1 2 1 3 11 3 0 4 8 5 4 1 3 3 2 1 2 1 3 2 0 3 3 23
"loud" 1 4 4 3 3 3 0 2 2 1 2 7 1 0 2 0 10 2 4 5 3 0 2 2 2 1 1 2 4 3 3 3 0 2 2 5 8 19 1 0 15 1 8 4 2 0 1 2 1 0 18 2 0 3 1 0 13 5 4 8 1 7 1 2 4 3 4 4 3 3 0 0 1 1 1 0 7 1 0 6 6 2 4 2 0 1 1 1 1 2 2 1 5 0 2 16
"natural" 2 6 6 7 4 1 1 8 9 1 3 7 6 1 4 5 16 3 4 7 3 5 4 3 4 3 4 4 5 4 4 6 4 3 4 5 14 37 2 3 33 3 8 6 4 2 3 4 1 5 34 6 3 0 2 3 33 6 3 9 1 13 1 6 2 5 7 7 6 3 2 3 1 0 6 3 16 1 2 8 11 7 6 2 0 4 3 2 2 1 3 3 2 2 3 30
"neat" 1 2 4 1 1 2 1 2 1 0 2 3 3 0 3 0 1 1 3 2 1 0 0 1 0 2 0 1 3 4 1 2 3 1 0 1 3 11 0 0 8 0 2 2 1 1 1 1 0 1 10 1 1 2 0 0 8 5 0 2 0 2 0 1 2 1 1 2 4 4 0 1 1 0 0 2 5 0 0 1 1 2 0 1 0 1 0 0 2 0 0 0 0 1 0 8
"nice" 3 2 1 2 1 1 0 2 0 2 2 0 0 0 0 0 4 0 1 3 3 1 0 1 0 1 0 2 2 2 1 2 0 2 1 1 4 12 1 1 9 2 2 0 0 0 0 1 2 5 12 2 0 3 0 0 7 4 0 4 2 6 0 0 3 1 0 2 4 0 0 0 0 0 1 0 8 0 1 2 1 1 2 0 1 1 1 1 0 0 4 1 0 0 2 11
"old" 11 40 20 29 18 18 7 36 32 7 18 35 18 7 9 7 66 10 24 32 21 11 9 21 8 20 16 18 24 29 10 22 9 14 10 30 59 170 17 19 145 13 46 31 19 8 10 11 8 25 173 20 13 33 8 7 0 47 10 43 12 68 8 20 15 12 21 43 33 19 7 9 8 8 11 19 78 4 5 48 57 23 26 17 12 11 10 10 13 12 17 12 17 14 22 129
"open" 3 13 6 10 6 8 0 16 9 0 6 13 5 4 3 4 14 4 6 8 7 6 2 6 2 5 8 2 6 9 4 11 2 8 4 11 21 51 6 7 49 9 13 11 6 1 2 6 4 7 57 6 5 6 5 4 47 0 8 14 0 20 1 5 5 3 4 16 9 5 2 3 4 4 2 7 22 4 2 16 14 7 9 6 5 4 1 2 6 2 5 7 7 2 1 45
"plain" 1 6 3 8 3 1 3 5 4 0 2 1 4 2 2 2 7 3 1 5 3 2 2 3 1 3 0 0 2 6 3 3 1 0 0 2 7 19 2 3 16 2 6 4 5 0 1 1 3 2 18 0 4 3 0 0 10 8 0 5 1 3 1 1 3 2 2 5 3 1 0 1 0 3 0 2 8 1 2 4 8 0 5 1 2 0 0 0 0 0 0 2 2 0 0 15
"pleasant" 2 12 8 9 8 9 2 11 9 1 7 16 6 4 3 1 21 6 13 7 11 4 4 6 4 5 7 4 5 13 2 8 3 3 3 10 20 54 8 7 47 1 15 11 4 1 1 5 4 6 57 9 8 9 2 4 43 14 5 0 6 18 2 4 5 5 9 16 8 5 2 1 1 1 2 6 28 3 3 10 11 7 9 4 5 6 3 1 3 3 8 2 7 5 5 38
"pleased" 2 3 3 0 2 3 3 3 3 0 1 2 3 0 0 0 2 2 2 3 2 1 1 2 0 1 0 0 3 3 0 3 0 1 1 3 3 11 2 2 10 1 1 3 2 0 0 2 1 3 15 4 1 1 0 2 12 0 1 6 0 6 1 1 1 2 2 3 1 0 1 1 0 0 2 0 7 0 0 5 1 2 2 2 1 1 1 0 2 2 2 0 0 1 1 10
"poor" 4 12 10 14 10 7 1 16 13 6 2 15 6 1 3 5 27 4 13 13 7 5 5 10 5 11 10 6 11 13 7 8 4 4 5 12 26 80 10 14 72 10 23 16 8 4 3 7 9 20 78 14 7 13 2 6 68 20 3 18 6 0 2 7 8 5 13 16 13 14 6 6 6 6 7 5 34 4 2 21 28 10 10 4 8 5 6 8 5 5 8 9 5 7 9 65
"popular" 0 1 1 1 1 1 0 3 1 1 1 0 1 2 0 0 6 0 0 1 2 3 1 0 2 0 3 1 2 2 1 1 0 1 0 0 3 10 0 1 12 3 2 3 2 2 0 0 2 0 10 1 1 1 0 0 8 1 1 2 1 2 0 5 2 3 3 1 4 1 1 0 0 0 0 1 2 1 1 0 2 0 0 0 1 1 1 1 0 0 1 1 0 0 2 5
"private" 2 2 4 1 2 3 2 3 5 1 5 3 4 4 2 2 13 3 1 3 2 4 3 2 3 3 4 4 2 6 1 1 3 1 0 2 7 24 4 2 24 2 5 3 5 4 3 2 1 5 26 2 2 6 1 0 20 5 1 4 1 7 5 0 3 3 5 5 5 1 3 2 1 0 1 5 15 2 2 8 8 4 7 2 2 1 1 2 0 1 0 1 3 2 2 24
"professional" 2 6 4 2 1 1 0 2 4 3 3 1 0 0 1 0 11 2 3 5 5 1 1 3 0 0 0 6 3 3 2 2 0 3 0 1 4 19 1 1 17 3 6 3 2 0 3 2 1 4 19 0 4 2 2 3 15 5 3 5 1 8 2 3 0 1 1 2 5 4 0 0 1 1 0 3 7 0 1 6 4 0 4 0 0 1 1 1 1 2 3 2 2 1 5 13
"proper" 1 4 3 3 2 4 1 3 2 1 1 5 1 1 2 1 5 0 3 7 3 1 1 1 2 0 3 2 4 4 0 2 0 1 2 2 5 15 3 2 14 2 3 5 3 0 0 0 0 1 14 5 3 5 1 1 12 3 2 5 2 5 3 3 1 0 1 3 3 2 1 2 1 1 2 3 9 0 0 6 3 1 3 2 0 1 0 0 0 1 4 1 1 1 2 11
