"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "awake" "bad" "beautiful" "bitter" "blind" "bright" "busy" "calm" "careful" "certain" "cheap" "cheerful" "clean" "clever" "cold" "comfortable" "cruel" "curious" "difficult" "eager" "excellent" "expressive" "extraordinary" "fair" "familiar" "fat" "fine" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "helpless" "honest" "impatient" "important" "innocent" "interesting" "kind" "little" "lively" "lonely" "loud" "natural" "neat" "nice" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "powerful" "pretty" "private" "professional" "proper" "proud" "quiet" "remarkable" "respectable" "respectful" "rich" "rough" "sad" "satisfied" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thin" "tired" "troubled" "unusual" "useful" "violent" "warm" "weak" "wise" "worthy" "young" "youthful"
"eager" 0 1 2 0 1 2 2 0 0 1 0 0 2 0 1 0 1 1 0 1 0 4 0 0 0 0 0 2 1 0 0 0 2 0 3 1 6 1 6 1 2 0 0 0 2 1 0 0 3 5 0 2 2 0 1 1 9 1 0 1 1 1 3 0 0 0 0 1 0 2 0 0 0 1 0 2 0 0 6 2 2 0 1 1 1 2 0 1 0 1 4 2 1 0 2 9 0
"excellent" 0 0 1 0 2 0 2 0 1 0 1 0 0 0 0 2 1 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 1 1 0 0 5 0 5 0 2 0 0 1 0 0 0 0 0 3 0 0 1 0 0 0 5 0 0 0 0 0 3 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 2 0 1 0 0 1 0 1 1 0 0 1 3 2 0 0 3 4 0
"expressive" 0 0 1 0 3 2 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 4 0 5 0 0 0 0 0 1 0 0 0 0 5 1 0 3 0 0 1 8 2 0 1 0 0 2 2 0 1 1 0 0 3 0 1 0 0 1 0 1 0 3 4 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 6 0
"extraordinary" 0 0 1 1 1 0 3 1 1 2 0 0 1 0 1 1 3 0 1 1 0 2 3 0 2 0 0 0 1 0 2 0 3 2 1 3 8 1 9 1 3 3 0 1 0 1 0 1 3 6 1 1 0 1 2 1 9 1 2 1 0 2 3 1 2 0 0 1 0 2 0 2 1 0 1 1 0 0 4 1 3 0 1 0 1 2 0 1 0 1 1 1 1 2 1 7 1
"fair" 0 0 0 0 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 1 2 0 1 0 1 3 3 5 1 6 0 2 1 2 1 0 0 1 0 1 4 0 3 0 1 0 0 5 2 0 0 1 0 2 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 3 1 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 7 1
"familiar" 0 0 2 0 1 1 1 0 0 1 0 1 1 0 0 0 3 0 0 0 0 3 0 0 1 1 0 0 1 0 1 0 0 1 1 1 5 1 6 1 1 0 2 3 0 0 0 0 0 6 0 1 1 0 1 0 7 2 0 0 1 0 3 1 0 0 0 2 0 2 1 0 0 1 0 0 1 0 2 1 3 1 0 1 1 1 0 0 0 0 1 0 1 0 0 7 1
"fat" 0 0 1 1 0 1 2 0 1 1 0 0 1 0 0 1 1 0 1 1 1 2 2 0 0 0 2 1 1 3 0 0 0 0 2 1 5 1 5 1 3 1 0 0 1 2 0 1 2 5 1 0 1 1 2 0 5 0 1 0 0 0 4 0 1 0 0 1 0 2 0 0 3 0 2 0 1 0 1 0 0 0 1 1 1 4 0 1 0 1 1 1 1 2 0 4 1
"fine" 1 1 0 0 1 0 2 1 3 1 1 1 1 1 0 0 1 1 1 1 2 2 0 0 0 0 0 1 1 2 1 1 0 0 1 3 9 0 10 3 5 1 0 0 0 0 0 0 0 9 0 2 1 0 1 0 11 5 0 1 1 1 6 1 1 1 0 0 1 2 1 1 0 1 1 0 1 1 7 3 2 1 4 1 0 0 2 0 0 0 1 2 0 0 2 10 0
"gentle" 1 1 3 1 3 1 4 0 4 6 1 1 1 1 3 2 3 1 2 4 1 8 2 0 1 2 3 0 0 1 3 1 2 1 0 4 23 4 18 2 10 8 1 1 2 3 2 1 8 21 3 3 1 2 3 1 22 2 2 2 6 1 14 0 2 0 1 1 4 5 0 0 2 2 1 4 1 1 6 5 6 1 9 1 0 2 1 3 2 1 3 7 5 1 3 23 2
"glad" 2 2 5 0 2 0 8 4 4 2 1 1 1 1 2 2 3 2 3 2 1 8 2 1 1 0 1 0 1 3 3 1 1 3 4 0 18 1 17 1 6 2 1 1 1 0 1 1 3 17 1 3 2 0 1 0 19 9 3 1 4 1 8 1 0 0 0 2 2 5 1 1 1 0 4 2 0 2 11 7 6 1 1 0 2 3 3 0 1 1 2 2 2 1 2 19 1
"good" 7 6 17 5 17 6 19 4 21 15 7 6 12 5 8 6 17 6 9 8 8 28 8 7 9 7 6 5 4 8 5 5 5 9 23 18 0 6 78 7 26 19 3 5 4 7 9 6 13 78 7 5 12 5 6 8 90 21 9 7 11 6 50 5 6 6 5 6 6 22 8 5 5 4 9 9 3 4 32 19 28 6 16 5 5 7 9 3 7 5 18 9 12 3 13 85 4
"grateful" 0 0 1 0 0 1 2 0 1 1 1 0 1 0 0 2 1 0 1 1 1 5 0 0 0 0 1 0 0 1 1 1 1 0 4 1 6 0 4 0 3 3 0 0 0 1 0 1 2 5 0 1 1 1 2 0 6 0 0 0 0 1 4 0 1 1 0 1 0 2 0 0 1 0 0 4 1 0 2 1 2 0 2 0 0 2 0 1 0 0 1 1 1 1 1 4 2
"great" 6 5 17 3 15 8 15 3 19 15 6 5 10 8 5 5 17 7 10 7 6 33 6 5 7 6 6 5 5 9 6 6 5 10 18 17 78 4 0 8 23 17 5 7 4 6 9 4 9 73 5 9 11 4 5 7 83 25 8 4 11 5 47 3 4 6 5 6 6 21 6 8 5 6 12 7 4 4 37 13 28 6 14 6 4 8 8 4 7 5 16 11 12 6 14 81 4
"handsome" 0 1 0 1 1 0 1 0 2 2 0 0 0 0 0 0 2 1 2 1 1 2 0 0 0 0 1 0 0 1 0 1 1 3 2 1 7 0 8 0 5 0 0 1 0 1 1 0 2 6 0 0 0 0 1 0 6 0 1 0 1 1 5 0 0 0 0 1 0 4 1 0 1 0 1 2 0 0 1 1 3 1 1 0 0 0 1 0 1 1 0 1 1 0 0 7 0
"happy" 0 2 3 1 3 1 6 3 10 9 2 2 2 1 4 2 5 1 7 3 2 9 2 3 1 0 2 2 0 3 2 1 3 5 10 6 26 3 23 5 0 7 1 2 0 3 4 1 8 25 2 3 2 1 5 3 25 4 4 1 4 3 15 1 2 0 0 1 3 9 3 2 2 3 2 3 2 0 11 3 12 2 7 2 1 4 3 3 1 3 2 6 6 2 3 24 2
"hard" 1 0 2 1 2 2 1 0 3 5 1 1 2 2 2 1 5 1 2 3 0 8 1 3 2 0 0 0 0 3 1 0 1 1 8 2 19 3 17 0 7 0 1 0 0 0 2 1 3 14 2 3 1 1 3 4 19 2 2 2 2 0 11 2 2 1 0 1 3 3 1 2 0 2 1 3 0 0 5 4 2 1 4 1 2 1 2 2 1 2 5 3 3 1 2 12 1
"helpless" 0 0 0 0 4 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 2 2 0 0 1 1 3 0 5 0 1 1 0 1 0 0 1 0 0 6 0 3 2 1 0 0 3 3 0 0 1 0 3 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 3 0 4 1 0 0 2 0 0 0 0 0 2 0 1 0 0 4 1
"honest" 0 0 3 0 2 0 0 1 0 1 0 1 2 0 1 2 2 0 3 0 1 0 1 0 2 1 0 1 0 1 1 3 0 0 1 1 5 0 7 1 2 0 1 0 1 0 0 0 1 7 0 0 0 0 0 0 6 1 1 0 1 1 2 1 1 0 0 2 1 2 1 1 0 0 2 1 0 2 4 0 3 1 0 1 0 0 0 0 0 0 0 1 1 0 2 7 0
"impatient" 1 0 1 0 0 2 2 0 0 1 0 1 1 2 0 1 1 0 1 0 2 2 1 0 1 2 2 0 1 0 0 0 1 0 2 1 4 0 4 0 0 0 0 1 0 0 0 0 1 6 0 1 1 0 0 0 7 1 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 2 1 0 0 2 3 0 2 1 1 1 1 1 0 1 1 0 1 2 0 0 2 7 0
"important" 1 0 0 0 0 0 4 0 3 2 0 0 0 0 0 2 1 0 1 1 2 1 2 0 1 1 1 0 0 1 0 0 2 0 3 0 7 1 6 1 3 0 0 0 0 0 2 0 3 7 0 0 0 1 2 2 7 2 0 2 4 0 3 0 2 1 1 0 0 3 1 1 1 1 0 1 1 0 3 1 2 0 2 0 0 1 0 1 1 1 1 2 2 1 0 6 1
"innocent" 0 0 1 2 1 3 1 0 4 3 0 2 2 1 0 0 2 0 1 1 1 2 1 1 1 1 0 0 0 0 1 0 0 0 2 1 9 0 9 1 4 2 1 0 0 2 0 0 2 9 0 1 0 1 0 2 10 1 1 1 2 0 5 1 0 0 0 0 2 2 1 1 0 1 0 2 0 0 1 2 2 0 4 0 1 0 1 0 0 1 3 0 0 0 2 10 0
"interesting" 0 0 1 0 1 0 0 0 3 1 0 1 1 0 0 0 2 1 0 1 1 4 1 1 1 1 0 0 0 1 0 0 1 0 1 1 6 1 4 0 1 1 0 0 0 0 0 0 0 5 1 0 2 0 1 0 4 0 0 1 0 1 6 0 1 0 0 2 0 0 1 1 1 0 0 1 0 0 3 1 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 5 0
"kind" 0 1 2 0 1 0 5 2 3 6 0 1 2 0 2 1 3 0 1 1 1 5 2 0 0 0 3 0 0 3 1 0 2 0 8 3 13 2 9 2 8 3 0 1 1 3 2 0 0 9 1 1 1 1 2 0 13 0 2 0 1 2 7 0 3 0 0 1 3 6 0 1 1 2 0 3 1 0 4 3 4 0 5 0 1 3 2 2 1 1 2 4 3 1 2 12 2
"little" 5 4 20 5 14 8 16 5 17 14 4 6 13 6 8 7 21 5 12 10 9 27 8 5 6 9 5 3 5 6 4 6 5 9 21 17 78 5 73 6 25 14 6 7 6 7 9 5 9 0 5 7 14 5 6 7 87 29 8 8 13 3 45 4 6 4 4 8 6 22 10 6 4 6 9 7 3 3 41 17 26 4 15 8 5 6 7 4 7 5 13 8 11 5 11 82 5
"lively" 0 0 2 0 3 1 0 1 1 2 0 0 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 0 1 1 0 0 1 0 3 1 7 0 5 0 2 2 0 0 0 0 0 1 1 5 0 0 2 0 0 1 7 1 1 1 0 0 2 0 1 1 1 1 0 0 0 1 0 0 1 0 0 0 2 2 2 0 1 1 0 1 0 0 1 1 2 1 2 1 0 6 0
"lonely" 0 0 2 0 2 0 4 0 1 1 0 0 0 1 2 1 2 0 0 1 0 7 0 1 0 1 2 0 0 1 3 1 0 2 3 3 5 1 9 0 3 3 3 0 1 0 1 0 1 7 0 0 2 1 1 0 9 4 1 1 1 1 5 1 0 0 0 0 1 2 0 0 0 2 2 1 0 0 7 2 3 0 1 2 3 1 1 1 0 0 3 2 1 0 2 10 2
"loud" 1 0 3 2 3 4 1 3 2 0 1 1 3 2 1 1 3 1 0 0 2 10 0 2 0 2 2 1 3 0 0 1 1 1 1 2 12 1 11 0 2 1 2 0 1 0 0 2 1 14 2 2 0 1 1 1 15 6 0 0 0 2 7 0 1 1 0 4 1 3 2 1 0 1 0 1 2 0 9 4 5 0 1 2 3 0 1 0 0 1 6 2 2 0 0 11 1
"natural" 0 0 3 3 2 0 1 0 2 0 0 0 1 0 0 1 1 0 0 1 2 1 0 0 1 2 0 0 0 1 1 0 1 0 2 0 5 1 4 0 1 1 1 0 0 1 1 0 1 5 0 1 1 0 2 1 5 1 0 1 0 0 4 0 2 1 0 1 0 1 1 1 1 0 0 0 2 0 1 0 2 1 3 0 0 1 0 1 1 0 1 2 1 1 0 6 1
"neat" 0 0 1 1 1 1 1 0 1 3 0 0 0 0 1 1 1 0 0 3 1 5 1 0 1 0 1 0 0 2 0 1 2 1 3 1 6 2 5 1 5 3 0 0 0 2 0 1 2 6 0 1 1 2 0 2 6 0 0 2 2 0 5 0 2 0 0 1 0 3 0 0 2 1 0 1 1 0 3 0 2 1 2 1 1 3 0 2 0 0 0 4 3 1 0 7 1
"nice" 0 1 0 2 2 2 0 0 4 3 0 1 0 0 2 1 3 1 2 0 2 7 2 1 2 2 1 0 1 1 0 0 0 0 1 0 8 0 7 0 3 4 0 0 0 2 2 0 0 7 1 0 1 1 2 0 8 2 0 2 2 0 2 0 2 1 0 0 0 2 0 0 0 1 0 0 0 1 3 1 2 1 1 1 1 0 1 1 0 2 1 1 1 0 1 8 0
"old" 8 5 20 5 18 10 20 4 20 19 8 8 15 7 8 7 17 3 9 7 10 34 7 6 9 9 9 5 8 9 5 7 5 11 22 19 90 6 83 6 25 19 3 6 7 7 10 4 13 87 7 9 15 5 6 8 0 26 8 12 10 5 52 6 8 6 5 6 7 24 8 10 4 9 11 11 6 5 43 24 33 5 18 6 6 7 10 4 7 5 19 13 10 3 16 97 5
"open" 3 2 5 1 4 2 7 2 6 3 0 3 5 3 1 0 5 1 5 0 2 10 2 1 0 1 1 0 2 1 2 2 0 5 2 9 21 0 25 0 4 2 3 1 1 2 1 0 0 29 1 4 6 1 0 2 26 0 2 3 3 0 9 2 1 0 3 2 1 3 2 3 0 1 4 0 1 0 16 7 9 3 1 3 4 2 3 0 3 0 3 2 4 0 1 26 1
"ordinary" 0 2 2 0 1 0 4 1 2 2 0 0 2 1 3 0 3 0 2 0 0 4 2 1 0 1 0 0 0 2 0 0 1 0 2 3 9 0 8 1 4 2 0 1 1 0 1 0 2 8 1 1 0 0 0 0 8 2 0 0 1 2 2 0 1 0 0 0 0 2 1 1 0 0 2 1 0 1 3 1 4 1 1 0 1 1 1 0 0 2 1 2 3 1 0 3 0
"plain" 1 0 0 1 1 0 1 0 3 0 1 0 1 1 0 1 1 0 0 1 1 2 0 0 2 1 1 0 1 1 0 0 0 1 2 1 7 0 4 0 1 2 0 0 0 2 1 1 0 8 1 1 0 1 2 2 12 3 0 0 1 0 4 2 3 0 0 0 0 1 0 1 0 1 0 0 0 0 5 4 3 0 1 1 0 0 0 0 1 1 2 1 0 0 0 8 0
"pleasant" 1 1 1 0 1 0 2 1 1 4 1 0 1 1 1 0 2 1 2 2 1 1 2 0 1 1 1 0 0 0 1 1 0 1 6 4 11 0 11 1 4 2 1 1 0 4 2 0 1 13 0 1 0 0 2 2 10 3 1 1 0 0 4 0 0 0 2 0 0 4 2 0 1 3 2 2 0 1 6 0 4 1 2 1 0 0 0 0 2 0 1 3 1 0 2 11 0
"pleased" 0 0 2 0 1 0 1 1 2 1 0 0 1 0 2 0 1 1 1 0 0 3 1 1 0 0 1 0 0 2 0 0 0 1 1 1 6 1 5 1 3 0 0 1 0 0 0 1 2 3 0 1 2 0 0 0 5 0 2 0 0 0 4 0 1 0 0 2 1 1 0 0 0 0 1 1 0 0 4 0 4 0 1 0 1 0 0 0 0 0 1 0 1 0 0 3 0
"poor" 5 2 13 3 8 3 8 0 13 8 5 4 5 2 2 3 12 5 3 8 8 18 2 4 4 4 3 3 2 3 2 3 4 6 14 8 50 4 47 5 15 11 3 2 3 3 5 6 7 45 2 5 7 4 5 2 52 9 2 4 4 4 0 3 2 5 0 4 3 10 3 3 4 4 5 4 3 3 16 8 18 4 11 3 1 6 5 2 5 3 11 6 3 3 8 51 2
"powerful" 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 2 0 0 0 2 1 1 1 0 1 0 1 5 0 3 0 1 2 1 1 0 0 1 0 0 4 0 1 0 0 0 0 6 2 0 2 0 0 3 0 0 0 0 1 1 2 2 1 0 0 0 0 0 0 3 1 0 0 0 1 0 1 0 0 0 0 2 1 0 0 0 5 0
"pretty" 0 0 1 1 1 0 1 2 2 2 0 1 3 1 1 2 1 0 1 0 3 2 1 0 1 2 0 0 0 2 0 0 1 1 2 0 6 1 4 0 2 2 0 1 1 2 0 1 3 6 1 0 1 2 2 2 8 1 1 3 0 1 2 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 3 1 2 0 1 0 0 1 0 1 1 1 1 2 2 1 0 6 1
