"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awkward" "bad" "beautiful" "blind" "capable" "cautious" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "curious" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "embarrassed" "excellent" "extraordinary" "fair" "fine" "foolish" "fortunate" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "ignorant" "impatient" "important" "intelligent" "interested" "interesting" "kind" "little" "lively" "lucky" "mean" "natural" "nervous" "nice" "old" "open" "original" "plain" "pleasant" "pleased" "pleasing" "polite" "poor" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respectable" "rich" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "thankful" "uncomfortable" "unhappy" "unlucky" "unreasonable" "useful" "valuable" "violent" "warm" "weak" "well" "young"
"bad" 0 2 6 3 2 0 4 1 1 0 0 1 1 2 1 5 1 1 3 0 1 0 0 0 1 0 0 3 0 1 2 0 2 1 0 3 0 2 1 0 1 4 10 0 1 10 2 6 1 1 2 2 0 0 0 2 9 1 1 0 2 0 0 0 0 1 1 2 3 3 0 4 2 1 1 2 2 0 0 3 0 3 0 0 1 1 4 1 0 2 2 1 0 2 1 2 0 1 0 2 4 1 2 1 6
"beautiful" 0 2 3 4 1 2 3 0 1 2 1 0 2 0 1 4 3 0 1 1 0 0 1 2 3 3 0 0 0 0 0 0 2 1 1 4 1 4 0 1 0 0 9 1 1 8 3 4 0 1 1 0 1 0 1 1 9 3 1 0 4 0 1 1 0 1 1 3 2 4 0 1 4 1 0 4 0 2 1 2 1 1 1 0 2 1 3 0 1 0 0 1 1 0 2 0 0 0 1 0 2 2 1 0 5
"blind" 0 1 1 2 1 0 1 1 0 1 1 2 0 1 1 3 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 2 0 1 3 1 3 0 0 1 1 0 0 0 1 4 1 0 1 3 0 0 0 0 0 0 1 1 2 1 0 1 2 0 2 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1
"capable" 0 1 4 3 2 1 2 2 2 1 2 0 1 0 1 6 1 1 1 2 2 2 1 0 2 2 2 1 2 0 4 1 0 0 3 1 0 1 0 2 0 3 8 0 1 8 3 5 1 1 1 1 0 4 3 2 10 2 0 0 1 0 0 2 0 0 0 2 5 1 1 5 1 1 1 4 1 0 0 1 2 2 1 1 2 2 2 0 0 2 4 0 0 1 1 1 3 2 0 3 1 0 1 0 9
"cautious" 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 2 2 0 0 0 0 0 1 3 0 0 2 1 2 0 0 1 0 0 0 1 3 2 1 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 0 2 2 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 3
"certain" 0 2 11 11 2 6 5 2 2 3 5 4 3 6 1 0 4 1 0 4 4 1 2 2 2 7 4 5 1 2 5 1 7 5 4 7 0 4 2 1 2 8 24 3 4 21 6 16 1 1 2 3 1 2 2 5 22 2 0 2 6 0 2 7 4 1 3 7 8 5 1 6 4 3 3 3 2 2 2 5 5 5 4 2 6 5 11 3 3 4 5 1 2 1 3 5 3 3 2 4 3 1 2 3 20
"charming" 1 2 5 6 1 0 3 1 2 2 1 3 1 1 1 4 0 1 1 2 1 0 1 2 1 2 2 0 0 0 0 0 2 2 0 4 1 4 0 1 0 2 10 2 1 12 8 8 0 0 1 3 0 1 2 2 10 1 1 1 1 0 0 1 1 1 2 1 6 6 0 1 2 1 2 4 0 0 1 3 4 3 1 0 5 3 3 2 3 0 3 2 0 0 1 0 2 0 1 0 0 0 1 0 8
"cheerful" 0 0 1 0 1 0 2 2 1 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 2 4 0 0 6 1 2 0 1 1 1 0 0 1 1 3 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 2
"clever" 0 1 1 2 1 0 1 0 1 1 3 1 1 1 1 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 5 0 2 5 1 3 0 0 1 0 0 0 1 1 3 1 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 2 1 1 0 0 0 2 0 3 0 0 3 0 1 0 0 2 2 0 0 0 1 1 1 0 0 0 2 0 2 0 4
"cold" 0 0 3 9 1 0 3 2 3 1 0 1 0 2 0 4 2 1 0 0 1 0 0 1 0 3 0 1 0 0 2 1 2 0 2 0 2 1 1 0 0 6 8 1 0 6 1 5 0 0 1 1 0 1 1 3 10 0 0 0 1 0 1 1 1 1 0 3 3 1 1 2 1 2 0 2 0 2 0 0 1 1 1 0 1 2 6 1 0 1 4 1 1 1 1 2 1 1 1 0 0 0 1 0 4
"comfortable" 0 1 3 5 0 0 3 3 3 2 1 0 1 2 0 4 1 1 2 1 0 1 1 1 0 1 0 1 0 0 1 0 4 0 1 0 1 2 2 0 1 3 9 0 2 9 2 7 0 0 2 0 0 1 3 1 5 0 0 1 1 0 2 1 0 0 0 3 3 1 1 2 1 1 1 1 0 0 0 1 1 2 0 0 5 0 3 0 2 4 4 0 0 0 0 0 1 1 0 0 1 0 1 2 5
"concerned" 0 0 1 0 1 1 0 2 1 1 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 1 0 0 2 0 1 0 0 1 0 1 0 1 0 0 0 2 6 0 1 3 1 1 0 0 0 0 0 0 2 1 4 1 0 0 2 0 1 2 0 0 0 1 2 2 2 2 0 0 1 2 1 1 0 0 0 1 0 0 2 2 0 0 0 0 2 0 0 0 0 1 1 1 0 2 0 0 0 0 2
"cruel" 0 1 1 2 0 0 0 0 1 1 0 1 1 1 0 2 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 3 0 1 3 3 2 1 0 2 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 1 1 1 4 1 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 2 0 1 0 2 0 0 0 1 0 0 0 0 0 1 0 1 0 2
"curious" 0 0 3 2 0 1 1 0 1 1 0 2 0 0 0 2 2 0 0 1 1 0 0 0 1 2 1 1 0 0 0 0 1 0 1 0 1 2 0 0 0 0 2 0 1 3 0 1 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 4 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 1
"delighted" 0 1 3 2 0 1 3 0 1 2 1 3 0 2 1 2 1 1 0 0 0 0 0 1 0 2 3 3 2 0 1 0 1 2 2 3 1 2 0 0 0 4 7 1 0 8 3 5 1 2 1 0 0 1 1 2 8 3 3 1 1 2 0 3 0 1 0 1 1 1 0 1 1 1 2 2 1 1 1 3 2 0 1 0 1 1 1 0 1 0 2 0 0 0 0 1 1 0 0 0 2 1 0 0 9
"delightful" 0 1 5 5 0 4 3 3 1 2 0 3 0 2 0 7 2 0 0 3 1 1 0 2 2 0 0 0 0 2 1 1 2 1 4 3 0 3 0 1 0 2 14 0 1 11 4 5 1 1 0 0 0 2 0 2 9 2 0 1 2 0 1 3 0 0 1 4 1 1 0 1 4 1 1 3 1 2 1 0 1 4 0 0 2 1 6 1 1 3 4 0 2 1 2 0 4 0 0 0 2 0 0 1 8
"desirable" 1 1 2 4 2 1 0 0 1 1 0 0 0 2 1 4 2 1 0 0 0 0 1 1 3 0 0 0 2 0 1 0 2 1 3 1 1 0 0 0 0 4 5 0 0 6 2 7 1 2 1 0 1 1 1 1 5 2 1 0 1 2 0 2 2 0 1 0 2 1 1 1 1 1 3 0 0 0 2 2 2 3 1 0 3 2 2 2 3 1 2 0 1 1 0 1 1 0 1 0 1 1 1 0 8
"determined" 0 1 2 3 0 0 3 0 1 1 3 0 0 1 0 5 0 1 0 1 1 0 0 1 3 0 0 0 1 1 2 0 2 3 1 2 0 1 1 0 1 4 7 0 1 6 1 3 1 2 1 0 0 1 1 2 7 1 1 1 0 1 0 1 0 0 0 0 2 1 0 2 0 0 0 1 1 3 0 3 1 0 0 1 1 0 2 0 0 1 2 0 0 1 0 1 0 3 0 1 2 1 0 2 7
"difficult" 0 1 1 2 1 2 1 0 0 1 0 0 0 2 0 1 0 0 0 0 0 2 0 0 2 0 2 1 0 0 2 1 1 1 1 2 0 1 1 0 1 3 7 0 1 8 2 3 0 2 0 1 0 1 1 3 9 3 0 1 2 1 1 1 0 0 1 1 2 1 2 4 0 0 2 1 0 0 0 2 1 3 0 0 1 2 1 1 1 1 1 0 2 1 0 1 1 0 0 2 0 0 0 0 7
"disappointed" 0 0 1 2 1 2 2 1 1 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 0 1 0 2 1 0 0 1 0 1 1 5 0 0 6 2 3 2 1 0 0 0 0 0 0 4 0 1 0 1 0 0 1 0 1 0 0 1 2 0 1 0 1 1 0 0 0 1 1 0 2 0 1 2 2 3 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 3
"eager" 0 1 1 3 1 1 3 4 2 0 2 0 0 4 0 5 0 0 0 2 1 1 0 0 1 1 1 2 2 1 0 2 0 2 3 0 0 1 1 0 1 2 8 1 2 9 1 6 0 0 1 2 0 4 3 4 8 2 0 0 2 0 0 1 1 0 1 0 5 1 0 1 0 0 2 1 0 1 1 2 1 2 0 1 2 2 4 2 0 0 2 0 1 1 0 1 2 2 1 1 0 0 1 0 7
"embarrassed" 1 1 2 1 1 0 3 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 2 0 0 0 2 0 0 0 1 1 1 0 5 1 0 1 1 3 0 0 0 0 0 1 1 1 5 1 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 2 0 2 0 0 0 1 1 1 1 2 3 1 0 0 0 0 2 0 1 0 1 0 1 1 0 0 0 0 2
"excellent" 2 2 4 9 2 1 4 2 0 1 2 2 0 0 0 7 2 0 0 2 4 0 0 1 1 2 2 2 1 1 0 0 0 2 2 4 1 4 1 4 3 4 12 0 2 16 1 8 1 3 1 3 2 0 1 1 9 2 1 0 1 1 2 2 3 2 1 5 5 3 1 5 3 1 1 1 1 1 1 4 1 1 0 1 8 2 4 2 2 4 3 3 0 2 0 1 1 0 3 3 1 2 1 1 12
"extraordinary" 0 0 5 0 0 3 2 3 0 1 1 1 0 0 1 5 2 1 0 0 0 1 0 0 2 1 1 3 1 0 2 0 2 0 2 5 0 0 0 1 1 3 10 3 2 8 4 4 0 2 3 2 1 0 2 3 10 1 2 2 2 1 1 3 2 1 1 1 6 0 0 3 0 0 3 2 1 4 2 3 2 2 1 2 5 2 4 2 0 1 2 0 2 0 0 0 0 1 0 1 1 1 1 1 9
"fair" 2 4 4 6 2 2 3 2 3 3 0 1 0 3 2 4 0 0 1 2 1 0 0 1 2 4 3 1 1 2 3 2 2 2 0 1 0 1 1 1 0 5 12 0 1 12 2 9 2 0 1 0 1 3 2 4 14 0 1 0 2 2 0 2 0 1 1 0 2 1 0 3 2 2 4 1 0 1 1 2 0 1 2 0 7 2 7 1 0 3 3 0 1 1 1 1 4 1 3 0 1 1 0 0 12
"fine" 1 1 4 4 2 5 4 0 0 2 3 4 1 1 2 7 4 0 1 0 0 1 1 0 3 3 1 2 2 1 0 0 4 5 1 0 0 2 0 2 1 3 12 0 2 15 10 6 1 1 3 1 1 0 2 2 14 5 2 1 3 1 2 6 2 2 3 6 4 5 0 5 5 2 5 5 3 1 3 3 1 5 0 0 3 2 3 0 1 2 2 1 3 1 0 1 0 0 1 2 2 1 1 1 12
"foolish" 0 0 2 2 2 0 2 0 0 0 0 1 0 0 0 0 1 1 1 2 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 2 5 0 0 2 0 3 0 0 0 0 0 0 2 1 3 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 2 0 2 1 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 2
"fortunate" 0 1 5 5 0 1 1 1 1 0 2 4 1 1 0 4 4 0 1 1 2 1 1 2 2 3 0 1 1 0 1 0 4 0 1 2 1 0 0 2 0 2 12 0 3 9 4 9 0 1 2 3 0 1 1 0 12 2 0 0 1 1 0 0 0 1 0 2 5 4 1 1 2 0 3 3 0 1 1 1 1 1 0 0 4 1 3 0 0 1 1 1 1 1 1 0 2 0 1 1 3 0 3 1 9
"friendly" 0 1 2 6 0 1 1 0 0 1 1 0 1 0 0 2 0 0 1 1 2 0 0 0 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 2 1 5 0 1 3 1 2 0 0 0 0 1 0 1 0 4 1 0 1 1 0 0 0 0 0 0 1 3 1 0 1 1 1 1 2 0 1 0 1 1 2 0 0 1 0 3 1 1 2 1 0 1 0 0 0 0 0 0 2 0 1 0 1 3
"generous" 0 2 2 0 1 0 3 1 0 0 0 1 1 2 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 1 1 2 0 2 0 0 1 0 6 0 1 5 1 6 0 2 1 1 1 0 1 1 8 0 1 0 0 0 0 1 1 1 0 0 3 1 0 2 0 0 1 2 0 1 0 0 0 0 0 1 1 0 3 0 1 1 0 1 0 1 0 0 0 0 2 2 1 1 1 1 5
"gentle" 0 0 0 3 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 3 1 0 1 1 0 2 1 0 0 5 0 1 3 1 1 0 0 1 0 1 0 2 1 2 1 1 0 0 0 0 2 1 1 0 0 2 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 2 0 1 0 0 1
"glad" 1 2 8 7 4 1 4 3 2 1 4 0 1 3 1 8 2 2 0 6 3 2 1 0 4 2 4 4 3 1 2 0 4 3 5 3 2 2 1 0 0 0 14 1 1 15 5 7 3 1 3 2 1 2 1 5 17 1 2 2 3 2 2 5 2 2 2 5 5 4 2 6 4 2 3 3 3 1 2 1 1 2 1 1 4 4 3 0 2 3 6 0 0 2 0 2 4 1 1 2 2 1 1 2 18
"good" 2 12 25 22 8 9 18 12 6 6 10 9 2 8 3 24 10 4 5 8 9 6 3 2 7 14 5 7 7 5 8 5 12 10 12 12 5 12 5 6 5 14 0 4 10 59 16 39 3 11 5 7 3 3 10 10 65 10 6 4 16 3 4 10 3 2 2 10 20 15 2 19 8 6 11 11 5 9 2 11 7 17 4 4 22 11 28 7 4 8 13 4 5 4 6 11 8 2 4 7 8 5 7 5 49
"gracious" 0 1 2 0 0 1 2 1 0 0 0 1 0 0 0 3 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 3 0 0 0 0 0 0 0 1 4 0 1 5 2 5 2 0 0 1 0 0 0 1 5 0 0 1 0 0 1 0 2 0 1 0 3 1 0 0 0 0 0 1 0 1 1 0 1 0 2 0 0 2 2 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 3
"grateful" 0 2 1 4 0 1 0 0 0 2 1 1 1 1 0 4 1 0 2 0 2 1 1 1 0 1 0 1 1 0 2 0 2 2 1 2 0 3 1 1 1 1 10 1 0 6 0 5 0 0 2 0 1 0 1 1 8 0 2 0 2 0 0 2 2 1 1 0 2 1 1 2 0 1 2 1 0 1 1 0 0 3 0 0 1 0 4 0 0 3 3 0 0 0 2 1 1 0 0 2 2 0 2 1 5
"great" 3 10 19 23 8 10 16 11 7 8 10 8 3 8 2 21 12 6 5 6 9 3 3 3 8 11 6 6 8 6 9 1 16 8 12 15 2 9 3 5 3 15 59 5 6 0 15 34 6 9 6 10 4 4 7 11 59 11 5 2 10 3 3 8 7 3 6 12 16 15 4 17 9 7 13 11 3 4 6 10 8 13 3 2 21 11 23 5 8 9 15 5 5 7 3 6 5 3 4 5 7 4 6 3 48
"handsome" 1 2 5 9 1 3 6 1 3 3 2 3 1 3 1 6 8 1 1 1 2 1 3 0 3 4 2 1 2 2 1 1 1 4 2 10 0 4 1 1 1 5 16 2 0 15 0 10 4 1 1 2 0 1 4 2 15 4 1 1 4 1 0 4 1 0 2 6 10 7 1 4 4 1 3 7 1 0 4 3 3 7 2 0 5 1 4 1 3 1 3 1 3 0 0 0 1 0 2 1 1 1 1 1 14
"happy" 1 9 13 16 6 5 11 6 3 5 6 4 3 5 2 16 8 2 3 5 7 1 2 1 5 5 7 3 3 3 6 3 8 4 9 6 3 9 2 6 1 7 39 5 5 34 10 0 4 7 3 6 0 5 4 8 34 4 2 1 7 1 2 4 2 0 0 4 13 6 0 2 1 6 10 4 1 6 3 5 7 12 4 0 12 9 14 5 4 7 7 3 1 5 2 5 4 3 4 0 5 2 6 3 29
"hard" 1 2 2 2 1 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 2 0 0 1 0 2 1 0 0 0 0 0 3 3 2 0 6 4 4 0 1 0 0 1 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 2 1 0 3 2 0 0 1 1 1 1 0 0 2 0 0 2 0 1 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 0 0 4
"ignorant" 0 4 3 0 1 1 2 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 2 1 2 2 2 1 0 0 3 2 0 1 0 1 0 2 0 1 11 0 0 9 1 7 1 0 0 2 0 0 1 2 9 2 1 1 1 2 0 1 1 0 0 0 1 1 0 5 0 3 2 1 0 4 0 3 2 2 0 0 4 2 2 3 1 1 2 2 0 2 0 1 0 2 1 1 2 1 1 1 10
"impatient" 0 1 3 2 0 0 2 0 1 0 2 1 1 1 1 2 1 1 1 1 2 0 2 0 1 0 1 1 0 0 1 0 1 3 1 3 0 2 0 1 1 3 5 0 2 6 1 3 0 0 0 0 1 1 3 2 5 0 2 0 1 0 0 2 1 2 1 0 0 2 0 2 0 1 1 1 0 1 0 0 1 0 0 0 3 0 3 0 1 0 1 0 1 0 1 0 1 1 0 1 3 0 2 0 6
"important" 1 0 3 2 0 1 1 2 0 0 2 0 1 1 0 3 3 1 0 1 0 0 0 0 0 0 0 0 1 0 2 0 3 2 0 1 0 3 0 1 0 2 7 1 0 10 2 6 0 2 0 0 0 1 0 0 5 1 0 0 2 0 1 0 1 0 0 1 3 1 0 3 0 0 3 2 2 0 1 2 1 3 1 0 1 2 3 2 0 0 2 2 0 3 0 1 0 0 0 1 0 0 1 1 5
"intelligent" 1 0 0 2 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 1 0 0 1 1 1 1 3 0 1 4 0 0 1 0 1 0 0 0 1 0 4 0 1 0 1 1 0 1 1 1 0 1 1 1 0 3 3 0 0 2 0 0 1 0 2 0 1 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 1 0 0 0 3
"interested" 0 1 1 3 0 0 1 1 1 0 0 0 0 4 0 2 1 0 0 1 1 0 0 0 1 2 1 1 1 0 4 1 0 0 3 0 0 1 0 0 0 2 3 0 0 4 1 5 0 0 1 1 0 0 2 2 4 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 1 0 1 1 1 1 0 0 0 1 2 1 1 0 0 2 0 0 1 0 0 2 2 0 0 0 0 0 0 6
"interesting" 0 0 2 4 1 0 2 2 3 1 0 1 0 3 1 2 2 1 1 1 3 2 1 1 1 0 1 1 1 0 3 1 1 2 2 2 2 1 1 1 2 1 10 0 1 7 4 4 0 1 3 0 1 2 0 3 9 1 1 0 3 0 0 1 2 2 1 1 3 2 1 4 0 0 0 5 0 0 1 2 1 4 0 0 5 2 3 0 0 0 2 0 2 1 0 2 2 3 0 1 0 1 0 1 7
"kind" 1 3 4 3 3 1 3 1 3 1 2 1 1 2 3 5 2 1 1 3 1 1 0 0 2 2 1 2 3 0 4 1 1 3 4 2 1 0 0 1 1 5 10 1 1 11 2 8 0 2 2 0 0 2 3 0 11 2 1 0 3 0 0 1 2 0 2 1 1 2 0 4 1 2 0 2 0 2 1 1 3 2 1 0 3 4 3 2 3 0 3 1 1 2 0 2 2 2 1 0 2 0 0 0 10
"little" 3 13 24 20 10 13 16 9 6 6 9 9 4 10 2 22 10 3 3 10 5 4 2 4 8 9 5 7 9 4 8 5 9 10 14 14 3 12 4 8 2 17 65 5 8 59 15 34 4 9 5 5 4 4 9 11 0 12 5 3 11 4 4 9 7 4 5 12 20 14 4 20 7 8 12 14 4 9 6 5 8 10 3 4 18 10 24 5 6 10 14 4 7 3 7 7 7 4 5 5 9 4 5 6 52
"lively" 1 2 1 5 2 3 4 2 1 2 1 3 1 2 1 2 1 0 1 0 0 1 0 0 3 2 2 1 3 0 2 1 2 1 0 5 0 2 1 0 1 1 10 0 0 11 4 4 0 2 0 1 0 0 1 2 12 0 1 0 1 1 1 2 1 0 0 4 4 2 1 3 3 3 2 5 3 1 0 2 3 2 0 0 3 1 0 0 1 1 0 0 3 2 0 2 0 0 0 1 3 0 0 0 8
"lucky" 0 1 2 1 1 0 1 0 2 2 1 1 0 0 0 0 1 1 0 0 0 0 0 0 3 0 1 1 0 1 0 0 1 2 1 2 0 0 0 1 1 2 6 0 2 5 1 2 0 1 2 0 1 0 1 1 5 1 0 0 1 1 0 2 1 2 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 5
"mean" 0 1 3 0 0 1 1 1 0 0 0 0 1 0 0 2 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 2 0 1 0 0 1 0 0 2 4 1 0 2 1 1 0 1 0 0 0 0 0 0 3 0 0 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 1 3
