"afraid" "agreeable" "alone" "anxious" "big" "calm" "certain" "cheerful" "cold" "comfortable" "difficult" "eager" "excellent" "fair" "faithful" "fine" "firm" "foolish" "furious" "glad" "good" "great" "handsome" "happy" "hard" "honest" "ignorant" "impatient" "little" "natural" "old" "open" "ordinary" "plain" "pleasant" "pleased" "poor" "proper" "quiet" "religious" "remarkable" "rich" "sad" "satisfied" "secure" "sensible" "serious" "short" "sincere" "strange" "strong" "surprised" "terrible" "thankful" "unhappy" "useful" "violent" "weak" "wise" "wonderful" "young"
"difficult" 0 0 0 1 1 0 0 0 2 0 0 1 0 1 0 2 0 0 0 1 6 5 1 1 1 0 0 1 6 0 2 1 0 1 1 0 3 2 0 0 0 0 0 0 1 0 0 2 0 1 1 4 3 1 0 0 1 0 0 0 1
"eager" 1 0 0 0 2 2 2 0 1 0 1 0 0 0 0 0 0 0 2 0 4 7 1 1 0 0 1 1 5 0 0 2 1 0 2 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 3 2 3 1 0 1 1 0 0 0 0
"excellent" 1 3 0 1 1 1 1 0 0 0 0 0 0 1 1 3 0 1 0 3 5 8 0 3 2 1 0 0 7 1 3 0 1 1 2 1 2 0 2 0 0 2 0 3 1 0 1 2 0 1 4 2 0 1 2 1 0 0 1 0 4
"fair" 0 1 0 2 1 1 3 2 0 1 1 0 1 0 1 0 0 1 1 2 10 11 1 2 1 3 0 0 11 1 5 2 2 1 0 0 7 4 3 1 0 2 0 2 1 0 0 4 2 1 2 4 1 1 0 2 2 0 0 0 2
"faithful" 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 0 0 1 5 7 1 0 0 3 0 0 6 0 3 0 0 0 1 1 3 3 3 1 0 1 0 1 2 0 0 0 2 0 2 1 0 1 0 1 0 0 0 1 1
"fine" 2 1 0 0 3 2 0 1 2 0 2 0 3 0 0 0 0 0 0 0 10 9 2 1 3 1 0 0 7 1 3 1 0 0 3 2 3 1 0 0 0 1 1 2 1 0 1 2 0 4 5 3 1 2 1 1 0 0 1 0 5
"firm" 1 1 0 2 3 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 4 7 1 0 2 0 1 0 6 0 2 2 1 1 0 0 1 3 2 2 1 0 1 0 2 0 2 1 0 1 4 2 1 0 1 1 1 0 0 0 2
"foolish" 0 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 2 4 6 2 4 1 1 0 0 4 0 2 0 2 1 1 0 1 2 2 0 0 1 0 1 0 1 1 1 1 0 1 2 1 0 0 0 0 0 0 0 3
"furious" 1 0 0 0 1 0 1 1 1 0 0 2 0 1 0 0 0 0 0 2 6 6 0 0 1 0 0 0 7 0 0 1 1 0 1 0 3 2 1 1 1 0 1 0 0 1 0 0 1 1 1 2 4 0 0 0 0 0 0 0 0
"glad" 2 2 1 1 1 1 3 2 0 0 1 0 3 2 1 0 1 2 2 0 14 15 0 1 1 2 0 1 13 0 1 0 1 3 1 1 7 3 1 1 0 1 0 1 1 2 0 3 0 2 3 5 2 3 1 1 0 0 0 1 2
"good" 6 8 5 6 9 7 9 6 5 4 6 4 5 10 5 10 4 4 6 14 0 77 8 10 13 12 3 4 70 4 20 13 5 11 7 6 24 20 4 6 5 7 7 9 5 6 6 16 5 13 19 23 12 16 4 8 7 4 4 3 22
"great" 9 8 5 7 17 13 13 5 5 7 5 7 8 11 7 9 7 6 6 15 77 0 9 16 16 11 5 6 90 6 23 17 9 13 11 10 30 24 9 9 6 7 8 11 9 8 9 25 5 17 28 27 17 18 5 10 9 6 5 4 27
"handsome" 1 1 0 0 3 0 1 0 1 0 1 1 0 1 1 2 1 2 0 0 8 9 0 1 4 2 1 0 7 0 4 1 0 1 1 0 5 3 2 0 1 2 1 1 0 0 2 1 1 2 4 3 0 4 0 0 1 1 0 0 5
"happy" 0 2 0 0 2 2 1 1 0 2 1 1 3 2 0 1 0 4 0 1 10 16 1 0 1 2 1 1 14 1 6 1 2 5 4 2 5 3 2 0 0 3 1 3 1 2 2 2 2 5 5 6 1 4 2 1 0 1 1 2 8
"hard" 1 2 1 1 5 1 2 0 1 0 1 0 2 1 0 3 2 1 1 1 13 16 4 1 0 1 1 0 11 2 3 3 2 0 1 1 4 3 0 0 1 0 1 2 1 1 3 1 0 1 6 6 2 2 0 1 1 1 2 0 6
"honest" 1 0 1 0 2 0 2 1 0 1 0 0 1 3 3 1 0 1 0 2 12 11 2 2 1 0 0 0 11 0 7 1 2 2 0 0 7 3 3 2 0 4 0 3 0 2 1 2 2 1 2 2 1 2 0 0 1 0 0 1 4
"ignorant" 0 0 0 0 3 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 3 5 1 1 1 0 0 0 5 1 3 1 0 0 1 0 2 1 0 1 0 0 2 0 0 0 0 0 0 0 2 1 1 1 0 0 1 1 0 0 3
"impatient" 0 1 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 4 6 0 1 0 0 0 0 5 1 3 1 0 1 1 2 1 0 0 0 1 0 0 0 0 0 0 2 0 1 0 2 1 2 0 0 0 0 1 1 2
"little" 6 7 5 7 13 12 12 6 7 6 6 5 7 11 6 7 6 4 7 13 70 90 7 14 11 11 5 5 0 3 25 15 8 11 10 8 28 21 9 9 5 6 8 9 7 8 4 26 4 14 29 22 18 16 4 8 9 6 5 5 23
"natural" 1 2 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 4 6 0 1 2 0 1 1 3 0 2 1 0 1 1 0 2 1 0 1 2 0 0 1 0 0 2 1 0 1 0 3 0 0 1 0 0 0 2 0 4
"old" 1 2 0 2 4 2 3 1 2 3 2 0 3 5 3 3 2 2 0 1 20 23 4 6 3 7 3 3 25 2 0 6 3 1 3 3 9 5 3 2 2 4 1 5 1 2 1 7 1 4 7 5 1 3 1 1 1 1 0 2 16
"open" 3 1 1 1 1 5 1 0 1 2 1 2 0 2 0 1 2 0 1 0 13 17 1 1 3 1 1 1 15 1 6 0 2 3 1 2 4 4 2 2 2 1 0 1 1 1 2 5 0 4 5 5 4 2 2 3 3 1 0 0 5
"ordinary" 2 0 0 0 1 1 2 1 1 0 0 1 1 2 0 0 1 2 1 1 5 9 0 2 2 2 0 0 8 0 3 2 0 1 2 0 0 2 1 1 1 0 0 1 0 1 1 3 0 0 0 1 3 2 1 1 2 0 1 0 4
"plain" 2 4 0 0 2 1 0 1 0 1 1 0 1 1 0 0 1 1 0 3 11 13 1 5 0 2 0 1 11 1 1 3 1 0 3 3 3 4 1 0 1 2 0 0 1 0 1 5 2 3 2 6 0 3 2 2 0 0 0 0 3
"pleasant" 2 3 0 1 2 2 1 1 2 0 1 2 2 0 1 3 0 1 1 1 7 11 1 4 1 0 1 1 10 1 3 1 2 3 0 1 4 1 0 0 1 2 1 0 1 1 1 5 1 2 6 4 2 1 2 1 0 0 1 0 4
"pleased" 1 0 0 0 2 1 0 0 0 1 0 0 1 0 1 2 0 0 0 1 6 10 0 2 1 0 0 2 8 0 3 2 0 3 1 0 4 2 0 0 0 0 0 2 0 0 0 3 1 2 3 2 0 1 0 2 0 1 0 1 3
"poor" 3 2 1 5 5 0 4 1 2 3 3 1 2 7 3 3 1 1 3 7 24 30 5 5 4 7 2 1 28 2 9 4 0 3 4 4 0 6 3 3 1 5 0 4 1 1 1 5 3 4 9 11 3 6 0 2 0 4 0 3 8
"proper" 2 1 0 1 5 2 3 1 1 1 2 1 0 4 3 1 3 2 2 3 20 24 3 3 3 3 1 0 21 1 5 4 2 4 1 2 6 0 3 3 1 2 1 1 4 2 1 5 2 3 7 8 2 3 1 4 0 0 0 1 6
"quiet" 1 1 0 1 1 3 1 1 0 1 0 1 2 3 3 0 2 2 1 1 4 9 2 2 0 3 0 0 9 0 3 2 1 1 0 0 3 3 0 2 0 2 0 2 1 0 1 0 2 2 3 2 2 1 0 1 2 0 0 0 3
"religious" 1 0 2 0 1 1 2 0 0 1 0 0 0 1 1 0 2 0 1 1 6 9 0 0 0 2 1 0 9 1 2 2 1 0 0 0 3 3 2 0 2 1 2 1 2 0 2 0 2 5 0 1 3 1 1 0 1 0 1 1 2
"remarkable" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 5 6 1 0 1 0 0 1 5 2 2 2 1 1 1 0 1 1 0 2 0 1 1 0 1 0 2 1 1 2 1 1 1 0 2 0 0 1 1 0 3
"rich" 0 1 0 0 1 0 1 0 0 0 0 0 2 2 1 1 0 1 0 1 7 7 2 3 0 4 0 0 6 0 4 1 0 2 2 0 5 2 2 1 1 0 0 1 1 1 0 1 2 1 3 2 0 0 2 0 0 1 0 1 4
"sad" 0 0 1 0 1 2 2 1 1 0 0 0 0 0 0 1 1 0 1 0 7 8 1 1 1 0 2 0 8 0 1 0 0 0 1 0 0 1 0 2 1 0 0 0 0 0 1 3 1 2 3 0 4 1 0 0 1 2 2 1 2
"satisfied" 1 1 0 0 0 1 5 0 0 1 0 1 3 2 1 2 0 1 0 1 9 11 1 3 2 3 0 0 9 1 5 1 1 0 0 2 4 1 2 1 0 1 0 0 0 1 3 1 1 1 1 1 0 3 0 1 0 0 1 0 3
"secure" 1 0 0 0 1 1 2 0 0 1 1 0 1 1 2 1 2 0 0 1 5 9 0 1 1 0 0 0 7 0 1 1 0 1 1 0 1 4 1 2 1 1 0 0 0 0 1 3 0 2 4 3 2 0 1 1 1 0 0 0 3
"sensible" 1 0 0 0 1 0 2 0 1 0 0 1 0 0 0 0 0 1 1 2 6 8 0 2 1 2 0 0 8 0 2 1 1 0 1 0 1 2 0 0 0 1 0 1 0 0 1 2 0 1 3 2 3 1 0 0 1 0 0 1 2
"serious" 2 1 0 0 1 2 3 1 0 1 0 1 1 0 0 1 2 1 0 0 6 9 2 2 3 1 0 0 4 2 1 2 1 1 1 0 1 1 1 2 2 0 1 3 1 1 0 1 1 1 1 1 2 2 2 1 1 0 3 0 2
"short" 0 3 0 3 2 3 1 2 2 1 2 0 2 4 0 2 1 1 0 3 16 25 1 2 1 2 0 2 26 1 7 5 3 5 5 3 5 5 0 0 1 1 3 1 3 2 1 0 0 2 8 6 5 3 1 1 2 0 1 0 6
"sincere" 0 0 0 0 0 0 1 0 0 1 0 0 0 2 2 0 0 1 1 0 5 5 1 2 0 2 0 0 4 0 1 0 0 2 1 1 3 2 2 2 1 2 1 1 0 0 1 0 0 1 1 1 1 1 0 2 0 0 0 0 1
"strange" 4 3 2 1 3 2 3 1 1 2 1 1 1 1 0 4 1 0 1 2 13 17 2 5 1 1 0 1 14 1 4 4 0 3 2 2 4 3 2 5 2 1 2 1 2 1 1 2 1 0 6 6 3 4 3 1 1 0 2 1 4
"strong" 1 3 0 2 10 7 1 2 2 2 1 3 4 2 2 5 4 1 1 3 19 28 4 5 6 2 2 0 29 0 7 5 0 2 6 3 9 7 3 0 1 3 3 1 4 3 1 8 1 6 0 6 3 3 2 4 3 2 1 1 8
"surprised" 1 3 0 5 3 0 3 1 1 2 4 2 2 4 1 3 2 2 2 5 23 27 3 6 6 2 1 2 22 3 5 5 1 6 4 2 11 8 2 1 1 2 0 1 3 2 1 6 1 6 6 0 7 5 1 1 4 1 0 1 10
"terrible" 2 0 1 1 1 3 4 1 2 1 3 3 0 1 0 1 1 1 4 2 12 17 0 1 2 1 1 1 18 0 1 4 3 0 2 0 3 2 2 3 1 0 4 0 2 3 2 5 1 3 3 7 0 0 0 1 7 2 3 1 3
"thankful" 4 2 2 0 2 1 3 2 1 3 1 1 1 1 1 2 0 0 0 3 16 18 4 4 2 2 1 2 16 0 3 2 2 3 1 1 6 3 1 1 0 0 1 3 0 1 2 3 1 4 3 5 0 0 0 3 2 0 1 1 3
"unhappy" 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0 1 1 0 0 1 4 5 0 2 0 0 0 0 4 1 1 2 1 2 2 0 0 1 0 1 2 2 0 0 1 0 2 1 0 3 2 1 0 0 0 0 0 0 1 0 2
"useful" 1 1 1 1 0 3 0 0 0 1 0 1 1 2 1 1 1 0 0 1 8 10 0 1 1 0 0 0 8 0 1 3 1 2 1 2 2 4 1 0 0 0 0 1 1 0 1 1 2 1 4 1 1 3 0 0 2 0 0 0 0
"violent" 1 0 0 1 0 2 1 0 1 0 1 1 0 2 0 0 1 0 0 0 7 9 1 0 1 1 1 0 9 0 1 3 2 0 0 0 0 0 2 1 0 0 1 0 1 1 1 2 0 1 3 4 7 2 0 2 0 1 0 0 2
"weak" 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 4 6 1 1 1 0 1 0 6 0 1 1 0 0 0 1 4 0 0 0 1 1 2 0 0 0 0 0 0 0 2 1 2 0 0 0 1 0 0 0 1
"wise" 1 1 2 0 0 2 3 1 0 0 0 0 1 0 0 1 0 0 0 0 4 5 0 1 2 0 0 1 5 2 0 0 1 0 1 0 0 0 0 1 1 0 2 1 0 0 3 1 0 2 1 0 3 1 1 0 0 0 0 1 2
"wonderful" 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 3 4 0 2 0 1 0 1 5 0 2 0 0 0 0 1 3 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 3
"young" 0 2 0 0 5 3 0 1 1 3 1 0 4 2 1 5 2 3 0 2 22 27 5 8 6 4 3 2 23 4 16 5 4 3 4 3 8 6 3 2 3 4 2 3 3 2 2 6 1 4 8 10 3 3 2 0 2 1 2 3 0
