"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "bright" "busy" "careful" "certain" "cheerful" "cold" "comfortable" "confused" "cool" "curious" "delightful" "devoted" "difficult" "distinguished" "excellent" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "gracious" "great" "handsome" "happy" "hard" "honest" "hopeful" "important" "innocent" "interested" "joyful" "kind" "little" "natural" "neat" "old" "open" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "private" "professional" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sensible" "serious" "short" "strange" "strong" "surprised" "sweet" "thin" "tired" "troubled" "unhappy" "unusual" "useful" "warm" "weak" "well" "worthy" "young" "youthful"
"cheerful" 0 2 4 4 2 0 4 2 2 0 1 9 5 6 1 5 0 3 2 1 0 6 3 3 2 0 2 2 0 3 2 3 2 4 5 21 1 17 2 9 0 3 4 1 1 1 3 1 25 2 0 17 8 5 5 0 9 1 2 7 0 4 0 2 9 0 1 2 3 4 2 10 3 2 3 1 2 4 2 2 1 1 1 2 0 3 11 1
"cold" 3 1 5 6 7 3 4 6 3 7 10 7 13 4 0 4 3 0 6 2 2 8 1 3 4 4 5 2 4 1 7 7 2 1 8 34 3 32 5 9 6 0 1 3 4 3 2 5 46 7 2 31 11 5 5 3 22 6 0 11 4 3 4 7 11 2 2 5 2 3 1 13 8 7 6 5 5 6 1 5 3 3 9 5 2 4 21 2
"comfortable" 0 1 6 4 3 1 4 2 3 0 4 4 10 5 0 0 2 6 0 0 1 3 5 1 2 1 2 1 3 0 0 5 1 2 3 19 4 16 2 6 1 1 3 0 2 2 2 3 21 4 1 16 7 4 3 6 14 1 0 7 3 2 1 1 9 3 1 1 5 2 2 12 2 6 5 4 1 2 2 2 1 1 4 1 0 2 12 1
"confused" 0 1 2 2 3 2 2 2 2 0 3 3 1 1 2 3 1 2 0 0 0 5 0 2 0 1 2 0 1 3 1 1 0 3 3 12 1 14 4 6 2 0 0 0 2 1 2 3 17 0 1 10 5 2 5 0 5 1 2 3 3 0 0 4 3 1 1 1 0 0 2 7 4 5 0 2 0 1 2 3 0 1 0 1 0 1 10 1
"cool" 2 1 2 1 1 2 2 1 2 1 2 2 3 2 0 4 0 2 1 0 0 0 1 0 1 1 3 1 3 0 1 4 3 3 1 11 0 12 0 0 4 1 1 1 3 1 2 2 14 4 1 10 5 1 3 0 6 1 1 3 1 2 1 0 5 1 2 0 2 2 0 3 1 0 3 1 1 1 1 2 0 0 3 0 1 1 10 0
"curious" 1 5 10 7 4 3 7 5 3 0 13 8 12 7 5 4 6 8 3 5 0 0 4 3 9 3 6 4 3 3 4 9 1 2 9 42 3 37 7 17 3 2 3 4 3 8 0 7 44 9 4 35 12 7 7 3 21 2 3 6 6 2 3 4 13 2 4 9 3 2 2 18 10 11 7 1 2 5 3 1 2 1 2 6 1 3 27 2
"delightful" 1 1 3 3 3 0 4 0 1 1 2 6 8 3 1 0 3 1 5 0 1 4 0 1 2 0 4 1 2 1 2 6 3 2 6 16 1 15 3 6 1 0 1 0 1 2 0 2 16 3 1 15 8 1 5 4 7 0 1 3 1 1 1 0 1 3 0 2 1 3 2 6 6 3 5 1 0 1 0 0 1 1 0 0 2 1 12 2
"devoted" 0 0 6 4 3 1 2 0 0 0 1 5 4 1 2 2 3 3 1 2 0 3 1 0 2 2 4 1 0 4 1 5 0 3 4 18 2 14 3 9 3 0 1 1 2 0 2 2 19 6 1 14 3 1 3 3 9 2 1 2 0 3 0 3 2 0 2 0 0 2 2 8 3 5 1 2 1 4 1 3 0 1 1 3 1 2 8 1
"difficult" 2 5 7 3 3 2 5 3 1 1 6 5 5 5 3 7 2 4 2 0 1 9 2 2 0 2 6 2 1 0 3 8 1 1 3 28 1 21 3 8 2 1 0 2 3 3 1 2 32 8 2 23 9 4 4 2 14 1 2 3 3 0 1 3 7 3 4 4 1 2 2 8 6 5 6 4 1 0 1 3 3 3 2 3 2 0 19 2
"distinguished" 1 2 3 1 0 1 0 0 2 0 5 4 2 1 1 5 0 4 1 1 1 3 0 2 2 0 2 1 1 3 2 5 0 0 5 12 2 14 2 3 3 0 0 1 2 2 0 0 13 7 1 14 2 1 1 1 4 3 0 6 1 2 1 3 2 1 1 1 0 0 2 2 2 3 2 1 2 0 2 0 1 0 1 4 1 1 8 2
"excellent" 4 3 7 5 4 2 8 3 1 3 8 7 5 4 3 7 2 5 2 2 3 6 4 4 6 2 0 0 3 1 2 6 2 1 9 25 3 23 3 10 4 3 1 1 2 2 2 2 31 10 1 20 9 2 7 2 14 1 5 4 1 3 1 3 5 2 5 2 1 4 1 12 3 4 1 3 2 5 1 2 0 1 4 2 4 2 20 2
"extraordinary" 1 1 3 2 1 0 1 1 1 0 1 2 0 3 1 2 2 2 1 0 1 4 1 1 2 1 0 0 0 1 1 2 0 2 1 11 0 14 1 9 5 0 0 0 0 0 1 2 14 1 1 13 5 1 1 0 10 3 0 2 2 1 0 1 3 1 1 3 2 1 2 5 3 5 4 1 0 2 0 2 1 0 0 1 0 0 5 0
"fair" 1 2 5 2 2 4 1 3 0 4 7 3 5 4 3 5 0 4 3 1 3 3 2 0 1 1 3 0 0 2 2 9 3 2 7 25 3 24 6 4 4 0 0 0 2 3 1 3 31 5 0 22 10 3 4 0 8 1 0 4 4 4 3 1 7 2 1 4 2 5 4 13 0 5 3 2 1 2 1 1 1 1 4 3 2 3 15 2
"faithful" 2 3 3 3 4 2 1 2 0 0 4 6 2 1 2 8 3 1 0 3 0 3 1 4 0 3 1 1 2 0 1 5 0 3 3 12 1 19 3 5 2 1 0 1 1 2 0 1 16 6 0 16 3 0 2 0 6 0 0 4 1 0 0 3 3 0 0 2 1 1 2 5 3 5 1 2 0 0 1 3 1 1 0 1 0 4 8 1
"familiar" 1 1 3 3 4 1 4 2 3 3 7 6 8 4 1 12 2 7 0 1 1 4 2 1 3 2 2 1 2 1 0 4 5 0 5 26 1 19 3 4 5 0 1 2 6 3 1 2 28 5 2 22 6 2 3 0 6 5 1 4 2 2 1 2 6 0 2 3 4 1 3 5 6 3 4 2 1 0 2 1 0 3 3 2 1 2 5 0
"fine" 5 3 7 13 8 2 2 4 1 3 10 10 16 8 4 12 3 7 5 1 4 9 6 5 8 5 6 2 9 5 4 0 3 4 16 47 5 42 8 9 8 2 3 1 6 6 2 2 54 11 1 43 12 8 11 1 19 5 3 11 7 5 1 3 10 4 5 6 1 3 3 13 8 13 10 6 0 3 2 2 3 2 4 5 3 2 33 4
"friendly" 0 1 7 2 2 2 2 3 1 1 6 2 3 1 1 3 2 2 1 0 3 1 3 0 1 0 2 0 3 0 5 3 0 0 9 22 0 15 2 3 5 3 2 0 2 4 0 2 24 6 0 18 6 6 4 0 6 3 1 3 4 2 1 1 1 0 2 1 3 5 1 9 2 0 5 1 2 0 3 2 1 0 0 1 1 2 8 1
"gentle" 0 3 2 3 2 0 3 2 2 0 0 4 5 5 1 2 4 1 2 3 3 2 2 3 1 0 1 2 2 3 0 4 0 0 2 12 1 12 2 6 1 1 1 1 1 1 2 3 16 2 2 14 5 4 1 2 4 0 0 4 0 1 0 0 5 1 0 3 1 1 4 7 2 3 3 0 2 1 0 3 1 0 2 1 0 2 6 0
"glad" 6 11 16 13 8 7 9 7 4 6 14 11 16 12 5 13 5 8 3 3 1 9 6 4 3 5 9 1 7 3 5 16 9 2 0 61 9 53 12 24 11 2 4 2 5 7 3 8 73 14 3 48 16 10 12 4 32 2 2 14 6 8 5 7 12 4 4 8 3 7 2 24 9 10 9 6 5 6 3 5 5 5 5 4 4 6 47 5
"good" 14 17 52 39 37 25 27 21 11 12 53 39 48 34 17 42 21 34 19 12 11 42 16 18 28 12 25 11 25 12 26 47 22 12 61 0 16 181 30 68 35 13 12 10 19 21 12 28 254 47 11 170 53 26 42 14 103 13 13 40 26 25 11 21 47 18 23 27 17 23 13 67 41 48 28 12 14 20 12 14 8 13 18 25 17 14 129 9
"gracious" 2 2 4 1 1 3 2 1 2 2 4 1 3 2 0 3 1 3 4 1 0 3 1 2 1 2 3 0 3 1 1 5 0 1 9 16 0 16 4 4 4 0 2 0 4 1 1 1 18 5 0 11 5 1 2 2 8 0 0 4 2 0 1 2 3 1 0 1 0 2 0 5 2 4 3 1 2 0 1 2 1 1 1 0 3 1 12 3
"great" 13 19 40 34 29 18 25 16 13 12 39 41 45 31 14 33 17 32 16 14 12 37 15 14 21 14 23 14 24 19 19 42 15 12 53 181 16 0 32 62 26 10 9 10 17 19 10 25 220 44 10 156 45 22 36 10 88 13 10 37 21 16 10 15 46 13 16 18 13 21 15 70 37 35 26 16 11 17 12 17 13 12 17 17 13 11 112 12
"handsome" 1 2 5 7 4 2 7 2 4 2 9 9 11 7 1 11 2 5 2 4 0 7 3 3 3 2 3 1 6 3 3 8 2 2 12 30 4 32 0 10 4 1 2 1 6 4 2 9 38 8 3 35 6 6 4 2 12 1 0 12 5 1 3 7 4 2 2 8 0 4 3 11 6 4 5 4 1 2 4 0 3 2 1 2 1 4 17 2
"happy" 4 8 17 13 9 5 14 10 0 2 9 15 18 16 8 12 9 9 6 6 0 17 6 9 8 3 10 9 4 5 4 9 3 6 24 68 4 62 10 0 9 5 6 3 6 9 5 13 77 15 5 59 20 8 12 6 41 2 2 19 4 7 3 8 13 4 5 13 2 9 4 21 12 9 10 11 4 11 0 13 3 8 2 8 6 5 43 2
"hard" 0 2 6 2 5 4 4 1 3 1 12 3 4 4 0 7 0 6 1 2 4 3 1 3 2 3 4 5 4 2 5 8 5 1 11 35 4 26 4 9 0 1 1 2 2 2 2 0 38 9 1 27 8 6 9 0 20 5 1 8 4 1 2 3 6 2 3 2 6 3 1 7 3 10 1 2 1 3 4 5 1 2 0 4 6 1 25 3
"honest" 1 1 4 0 5 0 5 3 1 0 5 5 5 4 1 4 3 0 1 0 1 2 0 0 1 0 3 0 0 1 0 2 3 1 2 13 0 10 1 5 1 0 3 2 4 1 1 1 15 5 1 12 8 4 2 1 3 1 1 1 0 1 0 1 3 0 1 1 1 1 1 6 5 4 1 2 0 0 1 1 1 2 0 2 1 3 5 0
"hopeful" 1 0 4 3 0 1 3 2 1 0 2 5 5 2 1 4 4 1 3 0 1 3 1 1 0 0 1 0 0 0 1 3 2 1 4 12 2 9 2 6 1 3 0 0 1 0 0 1 15 4 0 8 4 4 1 0 7 0 0 2 1 1 0 2 3 1 1 1 0 3 1 5 3 1 1 2 1 2 0 2 1 1 1 1 0 0 4 0
"important" 0 0 2 2 1 0 3 2 2 1 4 3 3 1 2 3 1 3 0 0 1 4 0 1 2 1 1 0 0 1 2 1 0 1 2 10 0 10 1 3 2 2 0 0 4 1 0 2 16 3 2 9 1 1 0 1 5 0 0 3 1 2 1 2 4 1 1 2 1 2 2 4 2 1 1 1 0 1 0 3 1 1 1 3 1 2 6 0
"innocent" 1 1 2 2 5 0 2 2 3 1 3 4 6 2 1 8 1 4 2 2 3 3 1 2 3 2 2 0 2 1 6 6 2 1 5 19 4 17 6 6 2 4 1 4 0 1 3 2 24 9 3 18 8 4 2 1 7 2 2 2 3 1 0 3 4 0 1 5 1 4 1 9 6 3 4 1 1 0 2 4 2 3 2 1 0 2 11 2
"interested" 1 1 4 5 1 4 2 2 0 0 9 5 4 3 2 2 1 3 2 1 1 8 2 0 3 2 2 0 3 2 3 6 4 1 7 21 1 19 4 9 2 1 0 1 1 0 0 4 20 9 2 15 8 4 6 2 10 0 3 5 4 2 3 2 3 2 1 2 1 1 1 6 2 2 6 2 0 1 0 2 3 2 3 3 2 2 11 1
"joyful" 0 1 3 1 2 1 2 1 0 0 2 4 6 2 1 4 3 2 2 2 2 0 0 2 1 0 2 1 1 0 1 2 0 2 3 12 1 10 2 5 2 1 0 0 3 0 0 3 13 3 1 8 2 1 5 2 6 1 0 4 2 2 2 2 3 1 1 1 1 2 0 2 2 2 0 3 2 1 1 2 0 0 1 0 0 0 10 1
"kind" 1 4 9 4 5 4 6 3 2 1 7 4 9 5 1 8 1 5 3 3 2 7 2 2 2 0 2 2 3 1 2 2 2 3 8 28 1 25 9 13 0 1 1 2 2 4 3 0 31 9 3 22 5 2 8 3 14 1 1 7 3 0 2 5 7 0 2 3 1 4 2 14 5 5 3 0 2 2 1 4 2 0 3 2 0 1 13 0
"little" 18 22 55 45 45 23 34 23 17 16 57 47 56 39 19 52 25 46 21 17 14 44 16 19 32 13 31 14 31 16 28 54 24 16 73 254 18 220 38 77 38 15 15 16 24 20 13 31 0 58 11 209 66 34 49 12 119 15 15 44 30 25 13 25 64 19 22 28 18 27 16 89 41 47 33 19 16 23 16 22 14 16 25 24 15 17 153 16
"natural" 4 3 16 6 5 5 6 3 4 1 13 12 14 2 2 15 2 7 4 0 4 9 3 6 8 7 10 1 5 6 5 11 6 2 14 47 5 44 8 15 9 5 4 3 9 9 3 9 58 0 2 47 15 5 7 4 23 4 4 13 6 4 4 4 10 1 2 5 2 10 4 18 9 12 7 3 1 5 2 4 2 2 4 4 5 4 31 4
"neat" 0 3 0 0 0 0 1 3 0 0 5 5 6 4 2 6 0 2 1 1 1 4 1 1 2 1 1 1 0 0 2 1 0 2 3 11 0 10 3 5 1 1 0 2 3 2 1 3 11 2 0 11 2 1 1 2 5 0 0 4 2 1 1 2 5 1 0 3 0 0 0 5 2 2 2 1 1 0 2 2 1 0 2 0 0 1 6 1
"old" 11 17 38 24 26 11 20 15 13 13 45 34 45 24 12 40 17 31 16 10 10 35 15 14 23 14 20 13 22 16 22 43 18 14 48 170 11 156 35 59 27 12 8 9 18 15 8 22 209 47 11 0 44 25 31 13 80 12 5 36 18 12 7 18 47 11 12 24 14 16 12 60 22 35 20 15 9 15 12 9 9 11 12 19 12 16 105 11
"open" 5 7 11 11 9 5 6 5 4 3 15 8 12 10 4 10 8 11 7 5 5 12 8 3 9 2 9 5 10 3 6 12 6 5 16 53 5 45 6 20 8 8 4 1 8 8 2 5 66 15 2 44 0 11 11 2 26 1 3 12 4 7 3 4 14 5 4 4 7 4 4 17 13 9 13 3 4 6 4 6 1 5 5 5 3 6 32 5
"plain" 1 2 5 6 4 1 5 1 3 1 4 6 6 3 1 5 5 5 4 2 1 7 1 1 4 1 2 1 3 0 2 8 6 4 10 26 1 22 6 8 6 4 4 1 4 4 1 2 34 5 1 25 11 0 2 0 14 1 1 5 1 2 3 2 8 1 0 1 2 1 1 8 9 7 6 2 1 2 2 2 5 1 2 3 3 2 17 3
"pleasant" 1 3 8 12 2 4 8 2 0 3 4 8 11 8 5 13 5 5 3 5 3 7 5 3 4 1 7 1 4 2 3 11 4 1 12 42 2 36 4 12 9 2 1 0 2 6 5 8 49 7 1 31 11 2 0 3 13 1 6 6 6 1 2 3 9 6 3 4 2 5 3 14 8 10 4 2 5 0 4 2 3 2 4 6 2 2 25 4
"pleased" 0 2 4 1 2 2 4 0 1 1 2 2 3 1 2 1 0 3 6 0 0 3 4 3 2 1 2 0 0 0 0 1 0 2 4 14 2 10 2 6 0 1 0 1 1 2 2 3 12 4 2 13 2 0 3 0 6 1 0 3 2 3 1 1 1 1 0 2 0 1 1 7 2 1 3 1 1 1 1 0 2 2 2 2 0 3 9 0
"poor" 5 10 31 19 15 13 11 11 5 5 20 18 25 15 9 12 9 22 14 5 6 21 7 9 14 4 14 10 8 6 6 19 6 4 32 103 8 88 12 41 20 3 7 5 7 10 6 14 119 23 5 80 26 14 13 6 0 6 5 20 12 10 6 7 29 8 7 11 11 8 7 31 15 18 13 8 5 15 3 8 4 7 11 12 7 4 65 7
"powerful" 2 1 3 2 2 1 0 0 1 0 3 3 2 1 1 0 1 6 1 1 1 2 0 2 1 3 1 3 1 0 5 5 3 0 2 13 0 13 1 2 5 1 0 0 2 0 1 1 15 4 0 12 1 1 1 1 6 0 0 2 2 2 0 1 0 1 3 1 2 4 2 3 1 3 0 0 1 1 0 1 0 0 3 0 0 3 10 0
"practical" 1 1 2 7 2 3 3 0 0 0 3 1 3 2 1 5 2 0 0 2 1 3 1 1 2 0 5 0 0 0 1 3 1 0 2 13 0 10 0 2 1 1 0 0 2 3 0 1 15 4 0 5 3 1 6 0 5 0 0 0 1 0 1 0 2 1 2 2 3 0 0 1 1 2 2 1 0 0 0 0 0 2 1 1 0 0 9 3
"pretty" 5 3 8 10 2 1 5 8 2 1 9 13 10 7 3 11 7 11 7 3 3 6 3 2 3 6 4 2 4 4 4 11 3 4 14 40 4 37 12 19 8 1 2 3 2 5 4 7 44 13 4 36 12 5 6 3 20 2 0 0 7 3 4 5 11 4 3 7 5 4 3 10 4 7 10 7 3 4 3 5 0 0 4 5 3 3 30 2
"private" 2 0 4 4 3 3 5 1 1 0 6 4 4 3 1 5 0 4 3 3 1 6 1 0 3 1 1 2 4 1 2 7 4 0 6 26 2 21 5 4 4 0 1 1 3 4 2 3 30 6 2 18 4 1 6 2 12 2 1 7 0 4 3 2 3 1 4 2 2 1 1 8 4 5 2 1 1 1 3 1 3 1 0 2 1 1 15 1
"professional" 3 3 3 2 1 2 3 1 3 2 5 2 2 2 2 4 4 3 2 0 2 2 1 3 0 2 3 1 4 0 2 5 2 1 8 25 0 16 1 7 1 1 1 2 1 2 2 0 25 4 1 12 7 2 1 3 10 2 0 3 4 0 1 0 3 1 4 5 0 2 0 8 2 3 1 2 4 2 2 4 1 1 1 2 2 2 13 1
"proper" 1 2 2 2 1 0 4 0 1 4 4 1 2 2 1 2 0 4 1 0 1 3 1 0 1 1 1 0 3 0 1 1 1 0 5 11 1 10 3 3 2 0 0 1 0 3 2 2 13 4 1 7 3 3 2 1 6 0 1 4 3 1 0 2 4 0 1 0 0 3 0 1 1 1 2 1 0 1 1 0 1 1 2 2 2 2 7 0
"proud" 2 0 2 3 3 2 2 3 3 2 2 10 8 3 0 5 2 7 1 4 0 4 0 3 3 3 3 1 1 3 2 3 1 0 7 21 2 15 7 8 3 1 2 2 3 2 2 5 25 4 2 18 4 2 3 1 7 1 0 5 2 0 2 0 7 0 0 2 0 4 0 5 2 5 1 5 0 1 2 4 1 4 1 0 0 4 14 0
"quiet" 5 5 15 7 11 2 7 5 4 6 12 12 11 4 6 15 9 11 9 3 5 13 1 2 7 2 5 3 7 3 6 10 1 5 12 47 3 46 4 13 6 3 3 4 4 3 3 7 64 10 5 47 14 8 9 1 29 0 2 11 3 3 4 7 0 3 2 5 7 6 3 18 8 6 4 7 3 8 1 7 5 4 6 6 4 3 30 3
"remarkable" 3 1 3 3 3 0 1 0 1 0 3 2 0 3 2 1 0 2 3 1 1 2 3 0 3 1 2 1 2 0 0 4 0 1 4 18 1 13 2 4 2 0 1 1 0 2 1 0 19 1 1 11 5 1 6 1 8 1 1 4 1 1 0 0 3 0 4 1 2 0 0 2 3 6 3 1 2 0 0 1 1 2 3 1 1 0 12 1
"respectable" 2 4 4 6 1 2 6 0 0 0 6 2 4 2 2 5 1 2 1 1 2 4 0 2 4 1 5 1 1 0 2 5 2 0 4 23 0 16 2 5 3 1 1 1 1 1 1 2 22 2 0 12 4 0 3 0 7 3 2 3 4 4 1 0 2 4 0 2 2 4 3 3 3 3 1 0 4 2 0 1 1 0 3 0 1 1 16 2
"rich" 1 4 3 5 1 1 4 4 1 1 6 7 9 6 3 5 2 5 1 1 0 9 2 0 4 1 2 3 4 2 3 6 1 3 8 27 1 18 8 13 2 1 1 2 5 2 1 3 28 5 3 24 4 1 4 2 11 1 2 7 2 5 0 2 5 1 2 0 1 1 1 12 3 2 1 3 4 1 0 3 3 2 1 5 0 1 13 2
"rough" 0 2 2 3 1 3 0 1 1 0 5 1 3 2 0 5 3 2 5 0 2 3 1 0 1 0 1 2 2 1 4 1 3 1 3 17 0 13 0 2 6 1 0 1 1 1 1 1 18 2 0 14 7 2 2 0 11 2 3 5 2 0 0 0 7 2 2 1 0 1 2 6 0 3 3 3 0 1 1 1 1 1 2 2 0 2 10 3
"sensible" 1 2 5 4 3 1 4 3 2 2 4 7 6 2 3 3 4 3 2 0 2 2 3 2 2 0 4 1 5 1 1 3 5 1 7 23 2 21 4 9 3 1 3 2 4 1 2 4 27 10 0 16 4 1 5 1 8 4 0 4 1 2 3 4 6 0 4 1 1 0 1 8 4 1 4 1 2 4 0 3 1 1 2 1 0 2 11 0
"serious" 0 2 3 2 1 1 2 0 2 2 2 1 2 1 2 3 2 1 2 2 0 2 2 2 2 2 1 2 4 2 3 3 1 4 2 13 0 15 3 4 1 1 1 2 1 1 0 2 16 4 0 12 4 1 3 1 7 2 0 3 1 0 0 0 3 0 3 1 2 1 0 8 2 2 3 0 0 1 0 1 0 0 1 1 0 3 3 1
"short" 7 7 17 13 10 4 11 8 6 7 20 15 14 10 7 13 10 13 12 7 3 18 6 8 8 2 12 5 13 5 5 13 9 7 24 67 5 70 11 21 7 6 5 4 9 6 2 14 89 18 5 60 17 8 14 7 31 3 1 10 8 8 1 5 18 2 3 12 6 8 8 0 12 17 11 7 6 8 5 8 9 4 8 9 3 5 40 7
