"active" "admirable" "affectionate" "agreeable" "alone" "annoying" "anxious" "awful" "beautiful" "bitter" "blind" "bold" "bright" "busy" "calm" "capable" "certain" "cheerful" "childish" "clean" "clever" "cold" "confused" "cool" "cruel" "dangerous" "delighted" "delightful" "dependent" "depressed" "devoted" "difficult" "disappointed" "distinguished" "eager" "enthusiastic" "evil" "excellent" "expressive" "fair" "familiar" "feminine" "fine" "firm" "fortunate" "furious" "generous" "gentle" "glad" "good" "grateful" "great" "happy" "hard" "harmless" "helpless" "ignorant" "impatient" "innocent" "interested" "interesting" "kind" "little" "lively" "loud" "lovely" "modest" "natural" "nervous" "old" "open" "original" "passionate" "patient" "peaceful" "plain" "pleasant" "pleased" "poor" "powerful" "practical" "pretty" "proud" "remarkable" "rich" "romantic" "rough" "rude" "sad" "satisfied" "secure" "selfish" "sensitive" "serious" "short" "sincere" "strange" "strong" "surprised" "sweet" "tall" "terrible" "terrific" "thin" "unfair" "unhappy" "unusual" "valuable" "violent" "warm" "weak" "well" "wonderful" "young" "worthy" "useful" "youthful"
"capable" 0 1 0 1 2 0 0 2 3 5 1 1 1 3 1 0 0 2 1 1 0 5 2 0 0 1 1 0 2 0 0 0 0 0 2 0 1 1 0 2 0 0 2 1 1 0 0 3 2 4 0 6 6 1 0 2 0 0 3 1 0 2 2 0 1 2 0 2 1 3 4 0 1 0 1 0 2 0 3 0 0 0 0 0 1 0 1 1 1 3 0 0 0 2 3 0 2 0 2 3 1 2 0 0 0 1 0 1 1 1 0 1 1 3 1 0 1
"certain" 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 2 0 0 0 3 4 0 0 0 1 0 1 0 1 1 2 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 1 1 0
"cheerful" 1 0 1 0 0 0 1 0 3 0 3 0 2 0 0 2 2 0 0 1 0 2 0 0 0 0 1 2 0 1 1 0 1 0 0 0 0 4 0 4 2 0 1 0 1 1 0 5 1 4 1 4 9 0 0 0 1 0 0 0 0 2 5 0 1 5 0 1 0 5 1 0 0 1 0 0 2 2 2 0 0 0 0 1 1 0 0 2 2 0 0 1 0 1 2 0 3 1 0 2 0 2 1 0 0 2 0 0 0 1 0 2 2 4 1 0 0
"childish" 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 2 0 1 1 2 0 0 1 0 1 0 0 1 2 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 0 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"clean" 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"clever" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"cold" 0 1 0 2 3 1 0 1 2 5 1 0 1 1 5 5 1 2 0 2 1 0 2 0 1 0 3 0 0 2 1 1 0 0 1 1 4 3 2 3 0 0 1 1 1 1 1 8 1 8 1 9 8 1 2 2 4 0 3 0 0 2 6 3 2 3 1 2 4 5 4 2 1 1 1 0 5 1 5 2 1 1 1 0 1 0 1 0 2 4 1 1 1 1 5 0 7 1 3 5 1 4 3 1 1 2 2 1 2 2 0 0 2 3 1 1 0
"confused" 0 1 0 0 0 0 0 0 1 1 0 0 1 2 1 2 0 0 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 2 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0
"cool" 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"cruel" 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 1 1 1 0 1 0 0 0 0 0 0 0 0 0 2 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 2 2 1 0 0 0 0 1 0 1 1 1 0 0 0 2 0 0 0
"dangerous" 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 2 2 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 2 2 0 0 0
"delighted" 1 0 0 0 0 0 0 0 1 0 0 0 2 1 0 1 0 1 0 1 0 3 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 3 1 2 0 1 1 0 0 1 0 0 0 0 1 0 2 1 0 3 0 0 1 2 1 1 0 1 0 0 1 1 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 1 3 0 1 0 0 0 1 0 1 0 1 0 0 1 3 0 1 0
"delightful" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 1 0 2 0 3 3 0 0 0 0 1 0 0 1 0 2 1 1 1 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0
"dependent" 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"depressed" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 2 0 2 2 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0
"devoted" 1 0 0 0 3 0 1 0 2 3 2 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 1 1 1 0 0 0 0 1 1 2 0 2 0 3 3 1 0 1 1 0 1 0 0 0 2 0 1 3 0 2 0 0 0 0 0 0 1 1 1 1 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 2
"difficult" 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 2 1 2 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"disappointed" 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0
"distinguished" 1 0 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 2 0 0 1 0 2 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1
"eager" 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 1 0 1 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
"enthusiastic" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 2 1 2 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0
"evil" 0 1 0 2 0 0 0 1 1 2 1 0 0 0 1 1 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 0 0 1 2 0 5 0 4 4 1 2 0 1 0 2 0 0 1 3 1 0 0 0 1 0 2 0 1 1 0 1 0 1 0 1 1 1 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 2 0 0 1 0
"excellent" 1 0 3 0 3 1 1 0 3 3 3 0 0 1 1 1 0 4 0 1 1 3 0 0 1 1 1 2 0 1 1 1 0 1 0 0 0 0 1 3 2 1 0 0 0 0 3 5 1 4 2 7 3 0 1 1 0 1 3 0 0 1 4 1 1 5 1 3 1 6 0 0 0 1 1 0 2 1 4 1 0 1 0 1 1 1 1 2 3 1 0 1 0 0 2 1 4 0 1 2 1 0 0 0 0 2 0 0 1 1 0 0 6 4 1 0 1
"expressive" 0 0 0 0 1 1 0 0 1 1 0 0 0 0 2 0 0 0 1 0 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 4 1 2 3 1 0 0 0 0 0 1 1 1 3 1 0 1 1 2 1 1 0 0 0 0 0 0 0 0 2 2 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 2 2 1 0 0 1 1 1 0 0 2 0 2 1 1 2 0 0 0
"fair" 1 0 0 0 0 0 0 1 5 2 1 0 1 0 2 2 1 4 1 1 0 3 0 0 0 0 1 1 0 0 1 1 0 1 1 1 1 3 1 0 1 0 1 0 0 1 1 4 0 3 1 4 4 1 1 1 0 0 3 0 0 2 5 1 0 4 0 1 1 4 0 0 1 1 0 1 2 1 6 1 0 0 1 0 1 0 0 1 2 0 0 2 0 0 2 1 1 0 0 4 0 0 1 1 1 1 0 0 1 1 0 1 1 2 2 0 0
"familiar" 0 0 0 0 1 0 0 0 1 0 2 0 2 0 2 0 1 2 0 0 0 0 0 0 0 0 0 2 0 1 1 0 1 1 0 0 1 2 0 1 0 1 1 0 1 0 0 1 0 3 0 3 4 2 0 0 0 1 1 0 0 0 6 0 1 2 0 2 0 3 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 2 1 0 0 0 0 1 3 0 2 1 0 1 0 1 2 0 0 2 0 0 1 0 0 0 2 1 0 0 0
"feminine" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"fine" 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 2 0 2 4 0 2 0 0 0 1 0 1 1 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0
"firm" 0 1 0 1 1 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0
"fortunate" 0 0 1 0 1 0 3 0 0 0 0 1 1 2 3 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 1 3 3 1 0 0 1 0 0 0 0 2 4 0 1 1 0 1 1 2 3 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 1 2 0 2 0 0 2 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0
"furious" 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
"generous" 0 1 2 0 2 0 0 0 0 3 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 3 0 1 0 1 0 0 0 0 0 3 1 4 1 4 2 1 1 0 2 1 4 0 0 2 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 5 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 1
"gentle" 2 3 2 2 2 1 0 0 4 4 4 0 3 1 1 3 2 5 0 1 1 8 2 0 2 0 3 1 1 1 2 0 0 0 2 2 2 5 2 4 1 1 2 1 0 1 3 0 1 7 1 10 7 1 1 2 3 1 2 2 1 1 11 3 1 9 1 1 2 7 1 2 0 1 1 0 4 2 6 1 0 1 0 1 2 1 1 3 2 0 0 0 2 0 5 0 7 0 3 6 2 1 0 0 1 6 1 1 2 2 1 2 5 8 1 2 2
"glad" 1 0 1 0 2 0 0 0 1 1 1 0 1 0 1 2 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 2 0 2 4 0 0 0 0 0 1 0 0 2 2 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 1 0 1 0 1 0 2 1 1 0 1 0 0 0 2 0 0 0
"good" 1 1 2 2 4 1 1 0 4 4 6 2 0 2 4 4 0 4 2 0 1 8 1 1 1 2 2 2 0 2 2 2 0 1 1 1 5 4 4 3 3 0 2 1 2 1 4 7 2 0 2 12 11 3 2 0 4 2 4 0 3 6 14 3 3 8 1 5 3 10 3 1 1 0 1 0 2 0 7 3 1 1 1 0 3 1 1 3 3 3 1 0 1 0 5 1 8 1 4 4 1 4 0 2 1 2 1 2 2 0 2 1 4 7 0 1 1
"grateful" 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 0 0 0 1 0 1 1 0 2 0 2 1 0 1 0 0 0 1 0 0 2 3 1 0 0 1 1 1 2 1 0 0 0 0 0 0 1 2 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0
"great" 0 2 1 3 4 0 3 1 7 8 4 1 1 3 6 6 3 4 1 1 0 9 1 0 0 2 1 3 0 2 3 2 1 1 2 2 4 7 2 4 3 1 2 1 3 2 4 10 2 12 2 0 14 2 2 1 3 3 5 1 4 7 16 1 3 6 0 7 2 9 7 2 1 1 2 0 6 3 9 2 2 0 1 2 0 2 0 2 4 3 0 2 2 1 5 1 13 2 3 2 1 2 0 3 0 4 1 2 2 4 3 4 8 3 2 3 2
"happy" 1 2 1 2 5 0 1 1 7 6 4 0 3 1 6 6 4 9 1 1 0 8 2 1 1 2 1 3 1 2 3 0 1 0 0 0 4 3 3 4 4 1 4 2 3 2 2 7 4 11 1 14 0 3 2 1 2 0 5 1 2 6 13 2 4 6 0 3 1 6 3 0 1 0 2 1 3 1 8 2 0 0 0 1 2 0 0 2 5 5 0 1 0 2 2 1 8 2 4 6 0 3 2 1 0 7 1 1 2 4 2 4 5 7 1 1 0
