"affectionate" "afraid" "agreeable" "alone" "angry" "awful" "awkward" "bad" "beautiful" "big" "bright" "busy" "certain" "charming" "cheerful" "childish" "clean" "cold" "confident" "confused" "conscientious" "cool" "curious" "dangerous" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "fine" "firm" "friendly" "generous" "gentle" "genuine" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "healthy" "important" "innocent" "kind" "liberal" "little" "lovely" "modest" "natural" "neat" "nice" "noisy" "old" "open" "ordinary" "original" "passionate" "pathetic" "pleasant" "pleased" "polite" "poor" "powerful" "pretty" "private" "proud" "quiet" "remarkable" "respectful" "responsible" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "social" "strange" "strong" "sweet" "sympathetic" "tired" "troubled" "unhappy" "unusual" "violent" "warm" "weak" "well" "wise" "wonderful" "worthy" "young" "youthful"
"confused" 0 2 0 1 0 1 1 1 0 0 2 1 1 0 1 0 1 2 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 1 5 0 0 5 0 0 1 0 1 0 1 0 5 0 0 1 0 0 0 2 2 0 0 1 0 1 0 0 2 1 1 0 0 1 0 0 0 0 0 1 0 1 0 3 0 2 3 0 0 0 0 0 0 2 0 0 0 0 1 1 3 0
"conscientious" 1 1 0 2 0 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 3 0 0 1 1 1 0 0 0 0 0 0 4 1 0 1 0 1 0 3 1 0 0 0 0 0 0 0 0 0 2 1 1 3 0 1 0 1 1 0 0 0 0 1 0 3 3 0 0 0 1 0 0 0 1 0 1 2 0 0 3 0
"cool" 1 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 3 0 1 1 2 1 0 0 1 0 1 0 5 0 1 5 0 1 1 1 1 1 0 0 6 1 2 2 1 1 0 2 3 0 0 0 0 0 1 0 3 0 1 0 2 2 0 1 0 1 0 0 2 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 1 0 1 5 0
"curious" 2 0 0 3 3 0 0 2 1 0 2 1 2 1 0 1 0 1 1 0 0 1 0 0 0 1 0 2 1 2 0 0 0 1 1 0 1 9 1 0 5 1 1 2 0 0 0 2 0 9 0 1 1 0 0 0 6 5 0 0 1 1 1 1 1 2 0 0 0 1 4 2 0 1 0 0 0 0 0 1 2 0 1 1 1 1 0 0 0 1 1 2 0 0 0 1 1 5 1
"dangerous" 0 2 1 0 1 2 0 3 1 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 3 0 0 0 0 0 0 1 1 1 0 0 6 0 0 4 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0 3 1 1 1 1 1 2 0 0 2 0 0 0 0 2 1 0 0 0 0 0 0 1 0 2 0 0 3 1 0 0 1 0 0 1 0 0 1 0 0 1 5 0
"devoted" 1 2 0 1 0 0 0 1 1 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 1 3 0 0 1 0 0 1 0 0 2 0 0 4 1 0 1 0 0 0 2 2 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0
"difficult" 1 0 2 4 3 1 2 3 2 1 1 0 3 2 1 0 0 1 1 1 0 3 1 3 1 0 1 3 0 0 2 1 1 2 0 0 2 10 1 1 7 0 1 2 1 1 2 1 1 10 1 1 3 0 2 1 4 5 2 1 2 1 2 2 1 8 1 1 0 3 2 1 1 1 0 1 1 0 2 1 2 0 2 4 4 0 0 1 0 0 1 0 0 1 0 1 1 7 0
"excellent" 1 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 3 1 0 2 0 0 1 0 0 1 0 0 2 0 0 1 0 1 1 2 2 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0
"expressive" 2 0 0 3 3 0 2 2 1 0 1 1 0 1 0 1 0 0 0 0 0 1 2 0 0 3 1 0 0 0 1 0 0 0 0 0 1 4 1 0 3 1 1 0 0 1 0 1 0 5 1 2 2 0 2 0 4 3 0 0 1 0 0 1 1 3 0 0 0 2 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 5 0
"extraordinary" 1 1 0 0 0 0 0 2 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 2 4 0 0 5 0 0 2 0 0 0 1 1 6 0 0 0 1 1 0 3 2 0 0 1 0 0 0 0 3 0 2 0 0 1 0 1 0 1 0 0 1 1 0 3 0 1 0 0 1 2 0 0 0 0 2 0 0 0 0 0 2 0
"fair" 0 2 0 2 0 0 0 2 1 0 1 0 2 0 1 0 2 3 1 2 0 2 2 0 1 0 0 0 0 0 0 0 0 1 0 1 1 7 0 1 5 1 0 2 0 1 1 2 0 8 1 2 1 0 0 0 4 4 0 0 0 0 2 1 0 2 1 1 0 1 2 0 0 0 1 0 1 0 0 0 0 1 2 2 1 0 0 0 2 1 0 2 0 1 1 0 1 5 0
"fine" 0 0 0 2 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 1 3 2 1 4 0 2 3 0 2 1 0 0 5 1 1 2 0 1 0 1 3 1 0 0 0 0 0 0 4 0 1 0 3 2 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 3 1
"firm" 1 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 3 0 0 0 0 2 0 0 0 0 0 0 4 0 0 2 0 1 1 2 1 0 0 1 0 0 0 0 2 1 2 0 3 2 0 1 0 0 1 1 0 2 0 3 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 5 0
"friendly" 2 1 2 0 1 0 0 3 3 2 2 1 3 0 1 0 0 3 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 1 0 4 8 0 1 4 3 2 1 1 0 0 1 0 7 0 1 2 0 0 0 5 3 1 0 0 1 0 0 0 6 0 0 1 1 0 1 0 0 2 0 1 1 0 0 2 0 0 3 0 1 2 2 0 0 0 1 0 2 0 1 0 9 0
"generous" 2 2 0 1 3 0 0 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 2 0 0 0 1 0 1 0 0 1 0 0 5 0 0 1 0 2 2 1 0 2 0 1 7 1 0 2 0 1 1 2 1 0 1 1 1 0 0 1 4 1 2 0 1 4 0 0 1 0 1 1 1 2 2 1 0 1 2 1 0 0 0 2 0 0 1 0 0 1 0 2 7 2
"gentle" 2 0 0 1 1 1 0 1 0 0 1 0 2 1 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 3 0 0 1 0 2 2 0 1 0 0 0 4 0 0 2 0 0 0 4 1 0 0 0 1 1 0 0 2 0 2 0 1 3 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1 0 1 5 1
"genuine" 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 3 1 0 0 0 0 0 0 0 4 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 2 2 0
"glad" 3 2 2 1 0 1 2 3 1 1 6 1 5 3 1 2 2 2 1 1 0 0 1 0 1 2 1 1 2 1 1 0 4 0 1 0 0 12 2 3 8 3 3 5 0 1 0 4 0 16 0 0 0 1 1 0 6 4 0 2 0 0 1 1 2 4 0 1 0 0 1 2 1 2 2 1 1 0 0 0 6 2 5 2 1 0 1 1 1 0 0 0 2 2 1 0 0 11 1
"good" 4 8 2 14 6 3 3 13 8 5 19 5 17 4 7 4 5 12 5 5 3 5 9 6 3 10 3 4 4 7 3 3 8 5 3 3 12 0 4 3 39 5 4 14 3 2 4 5 4 55 3 6 8 3 5 2 33 21 3 4 4 3 6 3 3 25 2 6 4 10 15 7 2 1 6 4 3 3 6 3 18 3 10 17 7 4 3 3 4 3 4 7 5 6 4 6 6 38 2
"gracious" 1 0 0 0 0 0 1 0 0 1 4 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 2 0 0 0 0 0 2 4 0 1 3 0 1 1 0 0 0 1 1 4 0 0 0 0 2 0 2 3 0 0 0 0 0 1 0 3 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0 4 0
"grateful" 1 0 1 1 0 0 0 1 0 0 2 0 3 2 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 3 3 1 0 3 0 0 3 0 0 0 1 0 5 0 0 0 1 0 0 2 3 0 1 0 0 1 0 1 3 0 2 0 1 0 0 0 1 0 0 0 1 0 0 1 3 3 1 1 0 2 0 0 0 0 0 0 1 0 0 0 3 0
"great" 1 5 2 11 2 3 3 9 5 6 14 3 11 4 3 1 4 9 4 5 1 5 5 4 1 7 2 3 5 5 4 0 4 1 1 3 8 39 3 3 0 4 2 13 3 2 2 1 3 39 1 5 7 4 4 1 21 15 1 2 2 1 5 3 4 23 1 4 3 8 10 2 2 2 5 1 2 3 3 0 15 3 8 8 5 4 5 2 1 3 4 4 2 3 3 6 3 25 1
"handsome" 2 2 2 1 1 0 0 1 2 1 3 1 1 1 0 1 1 2 0 0 1 0 1 0 0 0 0 1 0 1 0 0 3 0 0 1 3 5 0 0 4 0 1 1 0 0 0 2 0 7 1 1 1 1 2 0 4 2 0 1 0 0 0 0 0 4 0 1 0 1 1 1 0 1 2 1 1 0 0 0 2 0 2 2 0 0 1 1 0 0 0 0 0 2 1 1 0 7 0
"happy" 2 0 0 3 2 1 0 1 1 0 3 0 1 1 0 3 0 0 0 0 1 1 1 0 0 1 0 1 0 0 2 2 2 2 2 0 3 4 1 0 2 1 0 3 0 2 0 0 1 8 1 1 4 0 0 0 4 2 1 1 0 1 0 0 0 5 0 2 0 3 3 1 2 1 1 0 0 1 1 2 1 0 3 0 1 0 0 1 1 0 0 1 0 1 2 0 1 9 3
"hard" 2 2 1 4 1 1 1 2 3 0 7 0 7 4 1 1 2 1 1 1 0 1 2 1 1 2 1 0 2 2 3 0 1 2 2 0 5 14 1 3 13 1 3 0 1 2 1 1 1 18 0 0 3 2 1 0 8 6 2 2 0 1 1 0 2 10 0 2 0 3 4 0 0 1 1 0 2 1 1 1 5 3 5 1 1 1 2 1 1 0 0 2 1 1 0 1 1 11 3
"healthy" 1 0 0 1 0 0 0 1 0 1 2 0 1 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 3 0 0 3 0 0 1 0 0 1 0 0 4 0 0 1 0 0 0 2 0 0 0 0 1 1 0 0 3 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 1 0 0 0 1 0 0 0 0 3 0
"important" 0 1 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 2 0 0 0 1 0 1 2 0 0 2 0 2 2 0 0 0 1 0 5 1 1 1 1 0 0 1 3 0 0 0 0 0 0 0 4 1 2 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 4 1
"innocent" 2 1 0 1 0 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 2 1 0 0 1 1 0 0 2 0 0 0 4 0 0 2 0 0 1 1 0 0 0 0 5 1 1 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 2 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 3 0
"kind" 1 2 1 1 1 0 0 3 0 0 4 1 1 1 1 0 0 1 0 1 0 0 2 0 0 1 0 1 1 2 0 0 1 0 0 0 4 5 1 1 1 2 0 1 0 1 0 0 1 7 0 0 0 0 0 0 2 2 0 0 0 0 1 1 0 3 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 1 2 3 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0
"liberal" 0 0 0 1 0 0 0 1 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 4 1 0 3 0 1 1 0 0 0 1 0 2 0 0 1 0 0 0 2 2 0 0 0 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 0 0 0 0 0 0 0 1 0 0 2 0
"little" 8 10 5 17 6 4 3 12 8 4 21 5 21 6 7 4 6 10 2 5 4 6 9 5 4 10 2 5 6 8 5 4 7 7 4 4 16 55 4 5 39 7 8 18 4 5 5 7 2 0 3 5 10 4 8 2 35 22 4 6 4 3 4 3 5 33 3 9 5 10 17 6 4 3 4 4 3 4 6 3 24 4 18 16 6 4 5 4 5 3 3 6 4 7 5 3 6 50 4
"lovely" 1 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 3 0 0 1 1 1 0 0 1 1 0 0 3 0 1 1 0 1 0 0 2 0 0 0 0 0 0 0 1 0 2 0 1 2 0 1 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0
"modest" 0 0 0 1 1 0 0 0 0 1 0 1 2 0 0 0 1 2 0 0 0 2 1 0 0 1 0 2 0 2 1 0 1 0 0 1 0 6 0 0 5 1 1 0 0 1 1 0 0 5 1 0 3 0 0 0 3 2 0 0 0 0 0 1 1 3 0 0 1 4 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 1 3 0
"natural" 2 0 0 7 1 1 1 2 0 1 3 1 3 1 1 1 1 1 0 1 1 2 1 0 1 3 1 2 0 1 2 2 2 2 2 1 0 8 0 0 7 1 4 3 1 1 1 0 1 10 1 3 0 0 2 0 6 2 1 0 0 1 0 2 1 8 0 1 0 5 5 0 2 0 1 0 0 0 0 2 2 0 4 0 1 0 1 1 1 0 0 1 0 1 3 1 2 7 1
"neat" 1 0 1 1 0 0 0 0 1 0 1 0 1 2 0 0 2 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 1 4 1 0 2 0 1 0 0 0 4 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 2 0 2 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0
"nice" 2 1 1 3 1 0 2 1 1 1 4 1 0 2 0 1 0 2 0 0 1 1 0 0 0 2 1 2 1 0 1 1 0 1 0 1 1 5 2 0 4 2 0 1 0 0 0 0 0 8 1 0 2 2 0 1 4 3 0 0 1 0 0 1 0 5 1 1 0 1 3 0 0 0 0 3 1 1 2 1 3 0 1 2 1 0 1 0 1 0 0 1 1 1 0 0 1 6 0
"noisy" 0 0 1 0 2 0 0 0 0 0 0 2 1 0 0 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 1 0 0 1 0 0 1 0 2 1 0 0 2 1 0 0 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 2 2 0
"old" 4 4 2 9 5 4 2 9 6 6 11 3 14 2 5 4 1 9 2 2 3 2 6 3 2 4 2 4 3 4 1 2 5 2 4 0 6 33 2 2 21 4 4 8 2 1 0 2 2 35 0 3 6 1 4 2 0 11 1 1 1 2 5 2 3 18 1 5 1 6 11 3 1 2 5 1 3 5 2 1 12 1 12 9 6 4 3 3 4 1 0 4 4 5 4 4 1 25 2
"open" 3 4 1 7 2 0 1 0 1 3 5 2 8 3 0 1 1 7 1 2 1 3 5 1 2 5 2 3 2 4 3 1 3 1 1 0 4 21 3 3 15 2 2 6 0 3 1 2 2 22 2 2 2 1 3 1 11 0 1 1 3 0 1 0 2 12 2 4 1 5 5 3 2 0 1 3 3 2 1 0 5 2 5 6 3 0 3 1 1 1 1 2 1 3 0 2 1 14 0
"ordinary" 0 0 1 2 1 0 0 1 2 0 2 0 0 0 2 0 1 0 0 0 0 0 0 1 1 2 1 0 0 0 1 0 1 0 0 0 0 3 0 0 1 0 1 2 0 0 1 0 0 4 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 0 1 0 0 0 1 0 0 0 3 0
"original" 0 1 1 1 0 0 0 0 0 0 2 0 1 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 2 4 0 1 2 1 1 2 0 0 0 0 0 6 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 1 0 1 2 1 1 1 0 0 0 0 0 1 0 3 0 1 0 0 0 0 1 1 0 0 0 1 0 1 6 0
"passionate" 0 1 0 2 2 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 2 0 1 1 0 0 1 0 1 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 4 0 0 0 0 1 1 1 3 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 0 0 1 1 0 3 1 4 0 0 2 1 0 1 0 0 0 2 0 0 0 0 0 2 3 0
"pathetic" 1 0 1 0 2 0 0 1 1 1 2 0 0 1 2 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 1 0 0 3 0 0 1 0 1 1 1 0 0 0 0 3 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 1 1 0 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 3 1
"pleasant" 0 0 0 0 0 2 1 3 0 1 1 0 0 0 2 0 0 1 2 1 0 0 1 2 0 2 0 0 0 2 0 0 0 0 1 0 1 6 0 1 5 0 0 1 1 0 0 1 0 4 0 0 0 0 0 0 5 1 0 0 0 1 0 0 0 2 1 1 0 1 3 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 1 0 3 0
"pleased" 0 0 0 1 1 0 1 1 0 0 1 1 2 0 0 0 1 1 1 0 0 1 1 0 0 2 1 1 0 1 0 0 0 0 0 1 1 3 1 0 3 0 0 0 0 0 0 1 0 3 0 1 2 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 1 2 2 0
