"afraid" "agreeable" "alone" "anxious" "ashamed" "awful" "bad" "beautiful" "blind" "bright" "busy" "careful" "certain" "cheerful" "clean" "cold" "comfortable" "curious" "determined" "difficult" "dumb" "excellent" "expressive" "extraordinary" "fair" "familiar" "fine" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "helpless" "honest" "ignorant" "impatient" "innocent" "little" "lively" "lonely" "mean" "natural" "neat" "nice" "old" "open" "plain" "pleasant" "pleased" "polite" "poor" "powerful" "pretty" "private" "proud" "quiet" "remarkable" "rich" "ridiculous" "satisfied" "sensible" "serious" "short" "strange" "strong" "stupid" "surprised" "suspicious" "sweet" "terrible" "thoughtful" "tired" "uncomfortable" "violent" "warm" "weak" "wonderful" "worthy" "young"
"gentle" 1 0 1 1 1 0 2 1 1 1 1 1 3 2 1 1 1 2 1 1 0 1 0 1 0 0 1 1 0 1 8 0 5 0 2 3 1 3 0 0 3 9 0 0 1 1 1 1 9 2 0 2 1 0 5 2 1 1 0 4 0 1 2 2 0 0 3 0 3 0 0 0 1 1 0 1 2 1 2 2 1 2 3
"glad" 5 5 3 3 3 2 6 4 0 1 1 2 8 2 4 6 2 3 1 1 4 0 1 5 1 1 2 1 1 0 20 1 15 3 6 5 1 2 2 3 1 28 1 1 0 6 0 2 20 5 2 6 1 0 8 1 3 6 5 5 4 3 2 1 1 1 5 5 6 1 4 4 1 1 2 0 3 1 2 5 1 2 15
"good" 14 12 11 9 8 8 27 11 7 14 6 7 25 9 9 28 9 12 5 15 4 3 4 9 6 4 11 7 8 20 0 8 69 9 15 17 4 11 4 2 6 94 6 3 7 15 5 5 82 32 5 10 5 6 36 5 10 12 14 25 7 11 4 4 4 8 26 17 22 4 12 7 6 9 6 6 9 9 10 9 7 5 54
"grateful" 2 0 3 0 2 2 1 1 0 1 1 1 0 0 3 3 2 0 0 3 1 0 0 1 1 1 0 0 0 1 8 0 4 1 1 1 0 1 0 1 2 9 1 0 1 1 1 0 7 2 0 2 0 0 6 0 1 0 1 2 1 5 0 1 1 0 4 1 0 1 1 1 1 1 2 0 0 0 0 1 0 0 7
"great" 15 9 8 6 6 8 24 13 5 16 8 2 27 9 6 21 8 10 6 14 3 6 7 6 4 5 9 3 5 15 69 4 0 8 12 16 2 6 6 3 8 83 4 3 5 10 4 3 75 30 6 13 6 6 26 5 8 12 11 17 9 11 7 5 7 8 23 22 24 2 12 7 7 11 4 6 8 6 7 9 8 7 48
"handsome" 1 1 2 1 0 3 4 2 0 2 2 0 4 1 1 2 0 0 1 1 0 0 2 1 0 2 0 0 0 3 9 1 8 0 1 1 2 1 1 1 0 11 0 1 1 2 0 1 10 2 0 2 0 1 3 1 1 4 3 1 2 1 0 0 1 1 5 4 3 1 2 1 1 3 0 0 1 0 0 0 2 0 10
"happy" 2 2 1 0 3 1 2 3 0 2 1 0 4 1 2 3 1 1 1 1 0 2 1 1 0 0 4 1 2 6 15 1 12 1 0 1 0 2 2 0 1 15 0 1 1 1 0 0 10 4 1 3 1 1 4 0 2 4 4 6 1 0 1 1 2 0 5 3 4 0 2 0 1 0 1 1 3 0 5 1 3 1 9
"hard" 5 2 5 2 2 2 11 3 1 4 2 1 6 2 0 4 1 3 0 3 1 1 1 2 2 3 3 0 3 5 17 1 16 1 1 0 0 5 1 3 1 22 3 0 1 3 1 1 19 6 1 3 2 2 8 1 4 2 4 12 0 2 1 3 1 2 5 4 7 1 3 1 2 2 0 2 0 2 0 2 1 0 10
"helpless" 0 0 1 1 0 2 0 1 1 1 0 1 2 0 0 0 0 1 1 2 0 0 0 1 0 0 2 2 1 1 4 0 2 2 0 0 0 0 0 0 0 6 0 0 0 1 1 1 5 1 0 1 0 0 3 0 0 1 1 0 1 1 1 0 0 1 2 0 2 0 0 0 2 2 1 0 1 1 1 1 2 0 6
"honest" 2 1 2 1 2 2 2 0 1 3 0 0 7 1 0 2 1 0 0 2 0 0 0 0 1 1 2 1 3 2 11 1 6 1 2 5 0 0 1 0 1 12 1 1 0 1 0 0 11 1 1 2 0 0 8 0 3 2 1 4 1 0 1 2 0 2 4 2 4 0 3 2 0 1 0 1 1 1 0 1 0 1 5
"ignorant" 1 1 1 0 0 1 1 3 1 1 1 0 4 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 2 4 0 6 1 2 1 0 1 0 0 0 7 0 0 0 1 0 1 6 5 0 1 0 0 3 0 0 0 2 3 1 0 1 0 0 0 1 4 0 0 1 1 0 0 1 1 0 1 0 0 1 0 3
"impatient" 1 0 3 1 1 1 2 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 1 0 1 1 1 1 0 3 2 1 3 1 0 3 0 0 0 0 2 7 0 0 0 3 1 1 6 1 0 0 0 0 3 0 3 1 2 2 0 0 0 0 0 0 1 2 3 1 2 1 0 0 0 1 0 1 0 0 0 0 3
"innocent" 1 1 1 0 2 2 1 1 0 2 0 1 4 2 1 2 3 1 0 1 0 0 0 1 0 0 1 1 3 1 6 2 8 0 1 1 0 1 0 2 0 9 1 0 1 2 1 2 9 3 0 2 1 0 8 1 1 1 0 3 0 3 1 0 0 0 1 2 2 0 3 1 1 1 1 1 0 0 1 1 1 1 3
"little" 23 9 16 13 9 12 27 16 8 20 12 8 35 11 11 26 10 16 8 15 6 6 6 13 6 8 12 10 9 28 94 9 83 11 15 22 6 12 7 7 9 0 7 7 9 19 8 7 91 38 7 17 6 6 41 5 13 18 16 28 9 14 8 6 5 9 33 26 30 4 16 9 7 11 6 9 9 11 6 10 9 6 60
"lively" 1 3 2 1 0 0 3 0 0 1 0 0 2 0 0 1 0 0 1 1 1 0 0 0 0 1 0 1 0 1 6 1 4 0 0 3 0 1 0 0 1 7 0 0 0 0 0 1 6 2 1 0 0 1 3 0 1 1 2 0 0 1 1 0 1 1 2 0 2 0 1 0 0 1 0 0 0 0 0 1 0 1 7
"lonely" 2 0 1 1 0 1 2 1 0 3 0 0 1 0 0 2 2 0 1 0 2 0 0 1 0 1 1 1 0 1 3 0 3 1 1 0 0 1 0 0 0 7 0 0 0 1 0 0 6 6 2 0 1 0 3 1 1 3 2 1 0 0 0 0 1 0 3 2 2 0 2 1 1 1 0 0 0 0 0 0 1 0 2
"mean" 4 1 0 0 0 0 1 1 0 1 2 1 2 3 1 3 0 0 1 1 0 2 0 0 0 1 0 0 1 0 7 1 5 1 1 1 0 0 0 0 1 9 0 0 0 2 1 0 4 6 0 1 1 2 4 0 0 1 0 0 0 2 0 0 0 0 1 2 1 1 3 1 0 0 0 1 2 1 2 0 0 0 3
"natural" 2 1 0 3 1 0 4 3 2 2 1 1 3 2 2 5 3 1 1 3 2 0 0 4 2 2 0 2 1 6 15 1 10 2 1 3 1 1 1 3 2 19 0 1 2 0 0 4 16 4 0 5 1 1 9 1 3 1 5 7 3 3 2 0 0 0 5 3 6 1 3 2 0 0 1 1 2 1 0 3 1 0 7
"neat" 2 0 0 0 1 0 3 1 0 2 2 0 3 0 1 1 2 2 2 1 0 1 0 1 0 0 4 2 1 0 5 1 4 0 0 1 1 0 0 1 1 8 0 0 1 0 0 2 4 2 0 1 1 1 3 0 2 1 1 0 2 0 1 0 0 1 3 1 0 1 0 0 2 1 1 1 0 1 1 0 1 0 3
"nice" 2 0 0 1 0 0 2 2 0 0 0 0 2 0 0 0 1 1 2 1 0 1 0 4 0 1 2 2 1 2 5 0 3 1 0 1 1 0 1 1 2 7 1 0 0 4 2 0 6 3 0 1 1 0 2 0 1 2 3 1 1 1 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 2
"old" 21 8 13 10 7 9 29 12 6 17 6 3 24 10 9 24 8 13 6 11 5 5 5 10 6 7 11 6 9 20 82 7 75 10 10 19 5 11 6 6 9 91 6 6 4 16 4 6 0 34 5 15 5 4 33 7 11 9 15 26 7 14 6 7 5 10 26 19 25 3 12 5 7 10 7 6 9 9 7 12 8 4 49
"open" 10 3 6 5 1 2 10 5 0 9 2 2 10 6 3 12 2 5 3 5 3 1 1 4 2 2 5 2 2 5 32 2 30 2 4 6 1 1 5 1 3 38 2 6 6 4 2 3 34 0 6 5 3 3 14 5 3 4 7 11 0 5 1 4 3 2 9 11 10 2 5 2 4 4 1 4 5 2 6 4 6 2 18
"plain" 0 1 0 2 1 1 2 1 0 0 0 0 0 0 1 2 0 0 0 1 1 0 0 1 0 1 0 0 0 2 5 0 6 0 1 1 0 1 0 0 0 7 1 2 0 0 0 0 5 6 0 2 1 1 2 1 2 1 0 1 0 1 0 0 2 1 2 0 3 0 0 0 1 4 0 0 0 0 0 1 0 0 2
"pleasant" 4 3 1 4 2 2 2 3 1 2 1 1 6 3 4 3 3 3 1 1 0 1 0 3 0 1 0 0 2 6 10 2 13 2 3 3 1 2 1 0 2 17 0 0 1 5 1 1 15 5 2 0 2 0 7 2 5 3 2 5 4 5 0 2 0 0 8 1 6 1 3 2 2 0 1 1 2 0 1 2 1 2 4
"pleased" 2 1 1 0 0 1 3 3 1 1 1 0 1 2 2 1 1 1 1 1 0 2 0 1 0 0 2 0 1 1 5 0 6 0 1 2 0 0 0 0 1 6 0 1 1 1 1 1 5 3 1 2 0 0 4 0 2 3 1 2 0 1 0 0 0 0 2 0 0 0 2 0 1 0 0 1 1 0 1 2 0 0 3
"polite" 2 1 0 0 1 1 3 1 0 1 1 0 3 1 0 2 1 0 1 0 0 0 1 1 0 1 2 0 0 0 6 0 6 1 1 2 0 0 0 0 0 6 1 0 2 1 1 0 4 3 1 0 0 0 2 1 0 1 0 2 0 1 0 0 3 0 3 0 1 0 1 0 0 1 0 0 2 0 0 0 1 0 4
"poor" 10 5 4 4 2 5 11 7 3 10 4 3 12 3 3 12 8 4 4 7 0 0 1 4 1 1 5 4 5 8 36 6 26 3 4 8 3 8 3 3 8 41 3 3 4 9 3 2 33 14 2 7 4 2 0 2 4 4 6 13 4 9 4 2 1 4 9 10 8 3 9 4 5 5 3 3 5 4 4 5 2 2 20
"powerful" 2 0 1 1 0 2 2 1 0 0 1 1 2 2 2 1 1 0 0 0 1 0 0 0 1 1 0 0 2 1 5 0 5 1 0 1 0 0 0 0 1 5 0 1 0 1 0 0 7 5 1 2 0 1 2 0 1 2 0 2 0 2 0 0 2 0 3 1 4 0 0 0 1 2 0 1 1 0 0 0 1 1 5
"pretty" 2 0 2 1 3 0 5 2 2 1 1 0 5 1 4 4 2 1 0 2 0 1 1 1 1 2 2 1 1 3 10 1 8 1 2 4 0 3 0 3 1 13 1 1 0 3 2 1 11 3 2 5 2 0 4 1 0 2 4 4 1 0 0 1 0 0 4 4 7 2 3 1 1 0 1 2 0 1 1 0 0 0 4
"private" 4 0 2 3 1 2 4 2 0 1 3 0 8 3 3 0 0 2 2 0 1 3 1 3 0 2 2 1 1 6 12 0 12 4 4 2 1 2 0 1 1 18 1 3 1 1 1 2 9 4 1 3 3 1 4 2 2 0 2 1 2 0 2 0 2 1 6 2 6 0 3 1 0 2 0 1 3 0 2 0 1 1 10
"proud" 3 3 3 1 2 3 4 7 0 5 0 0 5 0 1 5 1 0 1 3 1 1 0 1 1 2 3 2 0 5 14 1 11 3 4 4 1 1 2 2 0 16 2 2 0 5 1 3 15 7 0 2 1 0 6 0 4 2 0 5 0 2 1 0 1 1 3 6 3 2 2 1 1 1 1 4 1 0 2 1 3 1 9
"quiet" 7 2 2 7 2 4 10 6 2 8 2 1 6 3 0 8 3 4 1 5 2 1 1 3 2 1 3 1 4 5 25 2 17 1 6 12 0 4 3 2 3 28 0 1 0 7 0 1 26 11 1 5 2 2 13 2 4 1 5 0 1 3 0 3 1 2 7 6 10 2 2 0 0 3 2 2 1 1 1 4 3 0 12
"remarkable" 0 1 0 2 1 0 1 1 0 3 2 0 5 0 2 3 2 1 2 1 2 0 1 4 0 0 0 0 0 4 7 1 9 2 1 0 1 1 1 0 0 9 0 0 0 3 2 1 7 0 0 4 0 0 4 0 1 2 0 1 0 1 2 0 0 3 4 6 3 1 1 2 1 0 1 0 0 1 1 0 0 1 5
"rich" 5 2 3 1 1 3 3 3 1 3 2 3 6 3 4 5 1 1 1 2 0 0 2 1 0 2 2 1 1 3 11 5 11 1 0 2 1 0 0 0 3 14 1 0 2 3 0 1 14 5 1 5 1 1 9 2 0 0 2 3 1 0 1 2 1 1 3 0 5 0 2 2 1 1 1 1 2 1 0 3 1 2 10
"ridiculous" 1 1 1 0 1 0 0 2 0 1 1 1 3 0 1 0 1 4 1 1 1 0 0 1 0 0 2 1 2 2 4 0 7 0 1 1 1 1 1 0 1 8 1 0 0 2 1 1 6 1 0 0 0 0 4 0 0 2 1 0 2 1 0 1 1 1 1 3 3 1 0 2 1 0 0 2 1 2 1 0 1 0 3
"satisfied" 3 0 0 0 0 0 2 1 0 2 1 0 1 1 1 0 0 3 1 2 1 0 0 0 0 1 1 1 2 1 4 1 5 0 1 3 0 2 0 0 0 6 0 0 0 0 0 0 7 4 0 2 0 0 2 0 1 0 0 3 0 2 1 0 0 0 2 0 2 0 1 0 0 0 0 0 1 0 0 2 0 0 5
"sensible" 2 1 1 1 1 2 2 1 1 1 0 0 1 0 1 2 0 0 0 0 1 0 2 1 0 1 1 0 0 1 4 1 7 1 2 1 0 0 0 0 0 5 1 1 0 0 0 0 5 3 2 0 0 3 1 2 0 2 1 1 0 1 1 0 0 0 3 1 2 0 0 0 0 2 1 0 1 0 0 0 0 1 5
"serious" 3 2 2 1 0 2 2 1 0 3 1 0 6 1 1 3 1 2 1 3 1 0 1 1 0 0 2 1 0 1 8 0 8 1 0 2 1 2 0 0 0 9 1 0 0 0 1 0 10 2 1 0 0 0 4 0 0 1 1 2 3 1 1 0 0 0 2 2 2 1 1 1 0 2 1 1 1 1 0 0 0 0 5
"short" 8 4 4 4 3 3 8 3 4 5 3 2 11 2 6 7 4 3 2 2 3 2 3 3 0 2 5 1 3 5 26 4 23 5 5 5 2 4 1 1 1 33 2 3 1 5 3 1 26 9 2 8 2 3 9 3 4 6 3 7 4 3 1 2 3 2 0 4 7 2 5 5 3 5 1 2 4 2 1 3 2 2 20
"strange" 1 1 5 1 2 2 4 2 1 7 2 0 10 3 2 6 3 1 2 4 3 0 3 2 3 2 1 2 0 5 17 1 22 4 3 4 0 2 4 2 2 26 0 2 2 3 1 0 19 11 0 1 0 0 10 1 4 2 6 6 6 0 3 0 1 2 4 0 8 2 1 3 2 0 0 1 1 5 2 0 3 0 11
"strong" 6 2 4 5 5 1 10 4 2 6 1 0 9 1 0 8 0 3 1 3 1 2 3 1 3 1 2 1 3 6 22 0 24 3 4 7 2 4 0 3 2 30 2 2 1 6 0 1 25 10 3 6 0 1 8 4 7 6 3 10 3 5 3 2 2 2 7 8 0 2 5 1 2 1 0 2 1 3 1 1 3 0 16
"stupid" 2 1 1 1 2 0 3 0 0 2 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 4 1 2 1 0 1 0 0 0 1 0 4 0 0 1 1 1 0 3 2 0 1 0 0 3 0 2 0 2 2 1 0 1 0 0 1 2 2 2 0 1 0 1 0 1 3 0 1 0 0 0 0 2
"surprised" 6 3 1 0 0 1 5 1 0 2 2 1 8 2 1 1 1 2 1 1 0 1 1 0 0 1 3 2 0 4 12 1 12 2 2 3 0 3 1 2 3 16 1 2 3 3 0 0 12 5 0 3 2 1 9 0 3 3 2 2 1 2 0 1 0 1 5 1 5 1 0 2 0 0 1 1 1 1 0 1 0 1 9
"suspicious" 2 2 1 0 1 0 2 0 0 1 0 2 4 0 2 2 2 0 0 1 1 0 1 0 0 0 1 0 0 4 7 1 7 1 0 1 0 2 1 1 1 9 0 1 1 2 0 0 5 2 0 2 0 0 4 0 1 1 1 0 2 2 2 0 0 1 5 3 1 0 2 0 0 0 0 0 2 2 0 2 0 0 1
"sweet" 0 0 2 0 2 1 3 1 0 3 2 0 0 0 1 3 2 1 0 1 0 0 0 1 1 0 1 1 1 1 6 1 7 1 1 2 2 0 0 0 1 7 0 1 0 0 2 0 7 4 1 2 1 0 5 1 1 0 1 0 1 1 1 0 0 0 3 2 2 1 0 0 0 0 2 0 0 2 2 2 1 0 5
"terrible" 2 1 0 1 1 2 4 1 1 1 1 1 3 0 2 4 2 0 0 2 1 0 0 0 1 1 0 0 1 1 9 1 11 3 0 2 2 1 0 0 1 11 1 1 0 0 1 0 10 4 4 0 0 1 5 2 0 2 1 3 0 1 0 0 2 2 5 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 9
"thoughtful" 1 0 1 0 2 2 1 1 0 2 1 1 0 0 2 2 1 0 0 1 0 0 0 2 0 0 2 1 0 2 6 2 4 0 1 0 1 0 1 0 1 6 0 0 0 1 1 1 7 1 0 1 0 0 3 0 1 0 1 2 1 1 0 0 1 1 1 0 0 1 1 0 2 0 0 0 2 0 1 0 0 0 2
"tired" 3 1 1 0 1 1 4 2 0 1 0 2 3 1 0 1 0 1 1 1 0 2 0 0 2 2 1 0 1 0 6 0 6 0 1 2 0 1 1 1 1 9 0 0 1 1 1 1 6 4 0 1 1 0 3 1 2 1 4 2 0 1 2 0 0 1 2 1 2 3 1 0 0 1 0 0 0 0 0 0 0 1 3
"uncomfortable" 2 1 1 0 1 1 0 2 0 2 2 1 2 1 2 2 1 1 0 1 0 1 1 1 0 0 5 1 2 3 9 0 8 1 3 0 1 1 0 0 0 9 0 0 2 2 0 0 9 5 0 2 1 2 5 1 0 3 1 1 0 2 1 1 1 1 4 1 1 0 1 2 0 1 2 0 0 1 2 2 2 1 6
