"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "attentive" "awful" "bad" "beautiful" "big" "blind" "bold" "bright" "busy" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "compassionate" "cool" "cruel" "curious" "dangerous" "decent" "devoted" "difficult" "dumb" "excellent" "exhausted" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "gentle" "glad" "good" "graceful" "grateful" "great" "handsome" "happy" "hard" "healthy" "honest" "ignorant" "impatient" "independent" "innocent" "interested" "interesting" "kind" "little" "loud" "mean" "modest" "natural" "old" "open" "patient" "plain" "pleasant" "pleased" "poor" "popular" "practical" "pretty" "private" "proper" "proud" "quiet" "reasonable" "remarkable" "respected" "rich" "ridiculous" "rough" "satisfied" "sensible" "sentimental" "serious" "short" "social" "strange" "strong" "surprised" "tall" "thin" "thoughtful" "tired" "troubled" "unhappy" "violent" "weak" "wonderful" "worthy" "young"
"beautiful" 1 1 0 2 0 0 1 0 0 1 0 1 0 0 1 0 0 2 1 0 3 0 0 1 2 2 2 0 3 0 1 0 0 1 0 0 0 1 1 0 0 2 5 2 0 4 0 1 2 1 1 0 0 1 2 2 1 1 7 1 1 0 1 6 1 0 0 1 0 2 0 0 0 0 0 3 1 1 2 0 1 1 0 1 0 0 0 3 0 1 0 0 0 0 1 0 1 1 0 0 1 0 4
"big" 0 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 1 1 2 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 3 1 0 4 0 0 1 0 0 0 0 0 1 0 0 0 4 1 0 0 1 3 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 3
"blind" 1 3 0 0 0 0 0 1 0 3 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 2 0 0 0 0 1 0 0 1 0 0 1 5 1 1 5 2 2 0 1 1 0 0 1 1 0 0 1 5 1 1 1 3 2 1 0 0 0 1 2 0 2 2 0 0 0 2 0 2 2 0 0 1 1 0 0 0 1 0 2 0 0 1 0 2 1 0 1 0 0 1 0 5
"bold" 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 2 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 2 0 1 0 0 2 0 0 3 0 1 2 1 1 1 0 1 0 0 0 0 4 1 0 0 0 3 0 0 1 2 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"bright" 1 2 1 5 0 2 0 1 1 4 1 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 1 3 1 0 1 1 0 1 0 9 0 2 6 1 3 1 1 0 0 2 0 0 0 0 0 9 1 1 0 0 5 0 0 1 2 0 4 1 1 1 1 0 1 4 0 0 1 1 0 1 0 1 0 0 2 0 0 1 3 1 0 1 1 0 0 0 0 0 1 4
"busy" 0 0 0 0 0 0 0 1 0 2 0 0 0 2 1 0 2 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 3 0 1 1 1 1 0 0 1 0 0 1 0 4 1 0 0 1 3 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2
"certain" 1 0 2 2 2 1 0 0 1 5 0 0 1 1 1 2 0 1 3 1 4 0 2 1 1 0 0 0 1 1 0 1 1 0 0 2 2 0 3 0 3 3 9 0 1 6 1 1 2 0 2 0 0 1 1 0 1 0 10 0 1 1 1 8 2 1 1 2 1 4 0 0 1 1 0 0 6 0 3 1 0 2 1 1 1 1 0 2 0 0 3 1 0 1 1 2 0 0 1 2 0 0 7
"charming" 0 0 1 2 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 4 1 0 2 0 0 1 0 0 0 0 1 0 2 1 0 4 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2
"cheerful" 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 3 0 0 1 4 1 3 1 1 3 0 1 1 3 1 1 0 0 1 0 0 2 2 1 1 5 7 1 1 6 1 5 2 1 1 1 0 1 1 0 0 0 7 0 1 1 4 7 1 0 0 1 0 4 1 1 1 0 0 1 4 0 2 0 0 0 0 0 2 2 0 1 0 2 1 1 0 1 1 2 2 0 0 1 1 1 6
"clean" 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 2 1 0 1 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 0 1 1 2 1 2 0 2 0 1 1 0 0 0 0 4 0 0 0 2 3 0 0 0 0 0 2 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2
"cold" 2 1 1 3 0 1 1 0 2 1 3 2 1 0 1 1 4 0 4 1 0 0 2 1 2 2 1 0 2 0 1 0 0 0 0 1 0 0 2 1 0 5 10 2 0 8 1 4 3 1 0 0 0 1 4 0 0 0 12 2 0 0 4 6 1 0 0 0 0 2 2 2 0 3 1 3 3 0 3 1 2 0 0 1 0 1 0 2 1 3 2 1 1 1 1 0 2 1 1 0 0 2 6
"comfortable" 0 2 1 0 1 0 1 0 0 4 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 5 0 0 3 1 2 1 0 0 0 0 0 0 1 0 1 5 0 0 1 1 2 0 0 0 0 1 4 1 0 1 1 1 1 1 0 0 0 0 1 1 0 2 0 0 2 1 0 2 0 1 0 0 0 0 1 0 1 1 0 4
"compassionate" 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 2 0 3 0 2 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 3 4 0 0 3 0 2 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 2 1 0 1 0 0 2 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 2
"cool" 0 1 1 0 1 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 4 0 1 4 0 0 2 0 0 1 0 0 0 0 1 0 4 1 0 0 0 5 1 0 0 2 1 2 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 0 3
"cruel" 0 0 0 1 1 0 0 0 0 2 2 1 1 0 0 0 1 0 1 0 2 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 2 3 1 0 1 0 0 2 1 1 0 0 0 1 0 0 1 4 2 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"curious" 0 0 1 2 0 1 0 1 0 3 2 2 0 0 0 0 0 1 3 1 2 1 1 0 1 0 2 2 0 4 1 0 0 0 0 1 0 2 2 2 1 2 8 2 1 8 1 2 2 0 1 0 0 1 1 2 1 1 9 0 1 1 2 7 1 1 2 0 0 6 0 1 0 0 0 2 2 0 1 0 0 1 0 1 2 1 0 3 0 1 2 1 0 1 0 0 3 0 1 1 0 0 9
"dangerous" 0 0 1 1 0 0 0 0 0 1 2 1 0 0 0 0 0 1 0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 2 2 0 3 0 0 1 0 0 0 0 1 2 1 1 0 4 0 1 0 0 4 0 1 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"decent" 0 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 1 0 1 1 1 2 0 4 0 1 2 2 1 2 0 1 0 1 0 0 0 0 0 3 0 0 0 2 3 0 1 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 3
"devoted" 0 0 1 1 0 0 0 0 0 1 3 0 0 0 0 0 1 0 1 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 1 1 0 0 0 0 1 0 0 0 4 1 0 0 1 2 2 1 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 0 1 1 0 0 0 0 1
"difficult" 0 0 1 1 0 1 1 1 0 2 0 1 1 0 1 0 1 0 3 0 0 1 1 0 0 4 0 1 0 0 1 0 1 0 0 1 0 1 2 0 3 2 8 1 1 7 0 2 2 0 1 1 0 0 0 0 1 0 9 0 2 1 3 5 1 2 1 2 0 3 0 1 1 0 0 1 4 1 2 0 0 2 1 1 3 1 1 3 1 1 2 1 0 1 0 1 1 0 1 2 0 1 7
"dumb" 1 1 1 1 0 0 0 0 0 0 1 1 2 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 4 2 1 3 0 2 1 0 0 0 0 0 1 0 1 0 3 1 0 0 1 1 1 0 0 0 0 1 0 2 2 0 1 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 3
"excellent" 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 0 2 0 0 2 0 0 1 0 0 1 0 0 0 0 1 0 4 0 0 0 0 3 3 1 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 0 0 1 0 2
"exhausted" 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 2 1 4 0 0 3 1 1 2 1 1 0 1 0 0 0 0 0 3 0 0 0 1 2 0 2 1 1 0 0 0 0 0 0 0 1 2 0 1 0 0 2 1 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 1 1 1 0 2
"expressive" 0 0 1 1 0 1 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 1 4 0 0 2 0 2 0 0 0 0 1 0 0 1 1 0 5 1 0 0 1 2 0 1 1 0 0 1 0 1 0 0 1 1 2 1 1 0 1 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 1 0 1 0 1 0 3
"extraordinary" 1 1 1 1 0 1 0 1 0 4 0 0 0 2 3 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 3 1 0 0 0 7 0 0 5 0 1 2 1 0 1 3 0 0 0 0 0 6 1 0 0 1 6 1 0 2 2 1 3 0 1 0 0 0 2 2 0 0 0 1 0 0 0 0 1 0 2 1 0 2 2 1 0 0 0 0 0 0 0 1 1 4
"fair" 0 1 1 1 0 1 0 1 1 3 0 0 1 0 1 1 2 0 0 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 2 0 1 0 6 1 0 4 1 0 1 0 0 0 1 1 0 0 2 0 8 0 0 1 0 6 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 1 0 0 4
"faithful" 1 1 0 0 2 1 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 5 1 1 2 0 0 2 0 1 0 0 0 1 1 0 0 3 0 0 0 1 3 0 1 0 0 1 3 0 1 1 0 0 1 2 0 0 0 1 1 1 1 0 0 0 2 0 0 2 0 0 0 0 1 1 0 0 1 0 0 4
"familiar" 0 0 0 1 0 1 0 1 0 1 1 0 0 2 1 1 0 1 2 0 0 0 0 1 0 2 1 1 0 1 0 1 0 0 3 0 0 0 0 0 0 1 3 1 0 4 0 2 2 1 0 1 0 1 0 1 1 0 5 1 1 0 1 4 0 0 1 1 1 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 1 0 0 0 1 0 0 1 2 0 4
"fine" 0 2 2 3 0 0 1 0 0 5 1 1 1 0 1 1 3 1 2 1 2 1 1 0 1 2 1 1 0 2 1 1 2 0 1 2 1 0 0 1 3 4 12 1 1 11 3 4 6 1 2 0 2 0 3 1 3 0 11 0 1 0 3 9 1 1 3 1 0 3 1 2 1 0 0 3 5 0 1 0 1 0 0 0 1 1 2 3 0 3 2 2 2 1 0 1 1 0 0 1 2 4 10
"friendly" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 0 1 3 1 1 2 0 2 0 0 1 0 0 0 0 3 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 0 2 0 1 0 0 2 0 1 0 0 1 1
"gentle" 0 1 0 2 2 1 0 1 0 4 0 0 0 0 1 0 3 0 1 1 0 1 1 0 1 1 0 2 0 3 0 0 2 0 0 1 2 0 3 0 0 1 7 0 0 5 1 0 1 0 2 0 1 0 1 1 1 0 7 0 1 0 1 6 0 3 0 1 1 4 0 0 0 0 0 3 5 0 1 0 0 1 2 1 0 0 1 2 0 1 1 0 1 1 0 2 0 0 1 2 0 1 6
"glad" 1 1 1 3 2 1 1 0 0 2 2 1 1 0 0 0 3 1 5 0 5 1 3 0 2 2 1 0 0 2 1 0 1 1 0 0 0 1 4 1 1 0 8 2 0 9 3 6 2 1 0 1 1 1 1 1 0 0 10 0 1 0 2 4 0 0 2 0 0 3 1 0 0 1 2 4 4 2 3 1 1 0 0 0 1 3 2 3 1 1 2 1 0 1 0 1 2 1 0 1 3 3 7
"good" 6 8 9 10 4 8 2 5 4 18 5 3 5 2 9 0 9 4 7 2 10 5 4 4 3 8 2 4 1 8 4 2 4 4 7 6 5 3 12 3 7 8 0 4 5 43 6 13 15 2 9 4 6 3 6 3 5 6 61 4 4 3 10 37 6 5 11 7 6 26 5 6 8 6 3 8 20 3 9 2 5 5 3 5 5 5 4 19 5 8 15 8 2 4 3 4 4 3 6 7 4 6 39
"graceful" 1 0 1 2 0 1 1 0 0 0 2 1 1 0 0 0 0 1 1 0 2 0 0 0 1 2 2 0 0 1 2 0 0 0 0 1 1 1 1 0 0 2 4 0 0 3 1 0 2 0 0 0 0 1 1 1 1 0 5 0 0 0 2 4 1 0 0 0 0 1 0 2 1 1 1 2 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 4
"grateful" 1 2 0 1 1 0 0 0 0 1 0 0 1 0 2 0 1 0 1 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 5 0 0 2 1 2 2 0 1 0 0 0 0 0 0 0 4 0 0 0 1 3 0 0 1 0 0 4 0 1 2 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 2 0 1 1 0 1 0 0 0 0 0 4
"great" 4 8 9 9 3 5 2 4 2 12 4 4 5 3 6 3 6 2 6 1 8 3 3 4 1 8 3 2 3 7 3 2 3 2 5 4 2 4 11 3 5 9 43 3 2 0 3 13 9 2 3 3 2 3 7 3 4 2 48 4 3 3 8 33 4 4 10 6 5 18 3 6 4 4 5 8 15 1 10 2 2 3 4 3 3 5 3 17 4 8 14 4 3 4 3 1 3 4 5 4 4 6 33
"handsome" 0 1 1 2 0 1 1 1 0 3 0 0 2 0 1 0 1 0 1 2 1 1 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 3 1 1 3 6 1 1 3 0 3 2 1 2 0 3 1 0 0 0 1 8 1 0 1 2 4 0 0 2 0 2 5 0 0 0 2 1 1 0 0 2 2 1 0 0 0 0 0 1 1 0 1 0 1 0 1 2 0 2 0 0 0 2 1 5
"happy" 2 3 2 1 1 2 0 1 1 4 1 0 2 1 3 1 1 0 5 1 4 2 2 0 0 2 0 1 1 2 2 0 1 2 1 0 0 2 4 1 0 6 13 0 2 13 3 0 2 3 1 3 1 1 3 0 1 1 15 2 1 1 2 6 0 0 4 1 0 5 1 2 2 1 2 1 4 1 2 1 0 1 0 0 2 2 2 4 2 4 4 1 1 1 2 1 2 0 1 2 2 1 7
"hard" 1 0 0 2 1 0 1 0 1 3 2 1 0 2 1 1 2 1 2 2 3 1 0 2 2 2 1 2 1 2 1 1 2 0 2 1 2 2 6 2 1 2 15 2 2 9 2 2 0 1 4 1 1 1 1 1 0 1 12 1 0 0 4 9 0 1 3 4 1 5 1 2 4 1 0 2 2 0 2 0 0 2 1 1 1 1 1 3 1 1 1 1 0 3 0 0 1 1 1 2 2 1 9
"healthy" 0 0 0 0 0 0 0 1 0 2 1 0 1 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 2 0 0 2 1 3 1 0 1 0 1 0 1 0 0 1 4 2 1 0 1 3 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 0 1
"honest" 1 0 0 0 0 0 2 3 0 4 1 0 1 1 0 1 2 0 1 2 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 0 2 2 2 0 9 0 1 3 2 1 4 1 0 0 1 1 1 0 0 4 8 1 2 0 1 7 1 1 2 1 0 4 0 0 1 0 0 0 5 0 3 0 1 2 2 2 0 0 0 4 0 2 1 1 0 2 1 2 1 0 2 2 0 1 4
"ignorant" 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 4 0 0 3 0 3 1 0 0 0 0 0 1 0 0 1 3 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 1 1 1 1 2 0 0 0 0 0 0 0 0 1 1 0 0
"impatient" 1 0 1 2 0 1 0 1 0 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 3 1 0 0 2 0 1 1 6 0 0 2 3 1 1 1 1 0 0 0 0 0 0 1 5 0 0 0 0 4 0 0 3 0 0 4 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 1 0 0 0 0 0 1 1 3
"independent" 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 3 1 0 3 1 1 1 0 1 0 0 0 0 1 1 0 4 0 0 1 0 3 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2
"innocent" 1 3 0 3 1 1 0 0 1 3 2 1 1 0 0 0 1 0 1 0 4 0 0 0 1 1 2 0 1 0 1 0 0 0 0 0 1 0 3 0 1 1 6 1 0 7 0 3 1 1 1 1 0 0 0 0 0 1 8 0 0 2 2 4 0 1 2 1 0 4 1 1 0 0 0 2 4 0 1 0 0 0 0 0 0 0 0 0 0 3 2 0 1 0 1 1 0 1 0 2 0 1 6
"interested" 0 1 0 2 1 0 0 0 0 2 2 0 0 0 0 0 0 2 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 3 1 0 3 0 0 1 0 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 1 0 1 2 0 2 1 0 0 2 0 1 1 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 5
"interesting" 0 1 3 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 1 0 2 0 1 3 0 1 0 5 1 0 4 0 1 0 0 0 0 0 1 0 1 0 0 6 1 1 0 0 5 1 0 0 0 1 0 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 0 0 1 4
"kind" 1 1 0 1 1 1 1 2 1 3 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 1 1 1 1 4 1 1 0 1 0 0 0 5 1 2 1 0 4 1 0 2 0 0 5 0 0 1 0 0 0 2 0 1 0 1 1 1 2 0 0 0 5 0 0 1 0 0 0 1 1 0 1 0 2 0 1 1
"little" 5 10 11 13 2 9 6 5 4 22 7 4 5 4 9 4 10 4 7 4 12 5 4 4 4 9 4 3 4 9 3 4 3 5 6 8 3 5 11 3 7 10 61 5 4 48 8 15 12 4 8 3 5 4 8 3 6 5 0 6 6 4 11 42 8 7 11 10 4 28 4 7 4 8 5 8 22 5 11 3 7 4 3 6 5 2 4 20 5 9 15 6 4 6 5 3 6 3 6 7 7 4 40
"loud" 0 0 1 0 0 0 0 1 0 3 1 1 1 1 1 1 0 0 0 0 2 0 0 1 2 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0 4 0 0 4 1 2 1 2 1 0 0 0 0 0 1 1 6 0 1 0 0 4 1 0 1 0 1 1 0 1 0 1 1 0 2 0 1 0 1 0 1 1 0 0 0 2 1 0 0 0 1 1 0 0 0 0 1 0 0 0 2
"mean" 1 0 1 1 0 1 1 0 0 3 1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 1 1 0 1 1 4 0 0 3 0 1 0 1 2 0 0 0 0 0 1 2 6 1 0 0 0 5 1 0 0 0 0 4 0 0 0 0 1 0 5 0 1 0 1 1 2 2 1 0 0 5 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2
