"active" "affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "bad" "beautiful" "busy" "calm" "capable" "careful" "certain" "charming" "cheerful" "clever" "cold" "comfortable" "concerned" "cruel" "delighted" "delightful" "desirable" "determined" "difficult" "disappointed" "eager" "excellent" "extraordinary" "fair" "fine" "friendly" "generous" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "ignorant" "impatient" "important" "independent" "interested" "interesting" "jealous" "kind" "liberal" "little" "lively" "lovely" "lucky" "natural" "nervous" "nice" "noisy" "old" "open" "ordinary" "pleasant" "pleased" "pleasing" "poor" "positive" "pretty" "private" "proper" "proud" "quiet" "reasonable" "respectable" "rich" "ridiculous" "satisfied" "secure" "selfish" "sensible" "serious" "short" "sincere" "smart" "strange" "strong" "stupid" "surprised" "sweet" "tall" "thankful" "thorough" "uncomfortable" "unhappy" "valuable" "violent" "warm" "well" "young"
"concerned" 0 0 1 1 1 0 2 1 2 0 0 0 2 0 0 1 0 0 2 1 0 2 1 2 0 0 0 0 1 0 1 0 1 1 1 0 1 5 1 5 1 2 0 0 0 0 1 0 0 0 0 1 0 4 0 0 1 1 2 2 0 3 1 0 1 1 0 1 1 2 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 2 1
"cruel" 0 0 0 1 3 1 1 0 1 0 0 0 4 0 1 0 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 6 1 5 0 4 0 0 1 1 2 2 0 0 0 0 0 6 0 0 0 3 1 1 0 3 2 0 1 0 0 3 2 1 1 1 1 2 1 2 0 0 1 0 1 1 1 5 1 0 0 0 0 0 0 0 0 0 2 1 1 0 1 1 2
"delighted" 1 1 3 5 1 2 2 0 0 1 1 1 3 1 1 4 0 1 2 4 1 0 0 2 0 1 0 1 2 0 0 0 3 0 0 2 8 11 1 8 2 6 2 0 1 0 1 0 1 0 0 0 0 8 2 0 2 2 1 1 1 4 2 0 1 5 1 1 0 2 0 1 0 0 0 3 1 0 0 0 0 3 2 4 0 1 2 4 0 3 0 0 2 1 1 1 1 1 0 1 8
"delightful" 1 1 1 4 1 1 4 2 2 3 0 1 1 0 3 4 0 0 2 3 2 1 2 0 2 1 0 2 2 3 1 1 2 2 2 1 6 10 0 11 4 8 2 1 0 0 1 0 1 3 2 2 0 8 0 0 2 4 0 3 0 3 5 1 3 3 3 3 1 4 0 1 1 0 2 1 0 3 2 2 1 1 0 3 2 0 0 0 1 1 4 0 1 0 0 1 0 2 1 0 8
"desirable" 2 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 2 0 0 0 0 0 4 1 0 1 0 0 0 1 3 0 4 3 1 0 0 0 0 2 0 0 3 1 1 0 4 0 0 0 1 0 0 0 4 0 0 1 2 1 0 0 1 0 0 1 0 0 1 2 1 2 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 1 2 1 1 1 3
"determined" 1 1 2 1 2 2 3 0 2 0 2 3 1 1 3 1 1 0 1 1 0 0 1 1 0 0 0 3 3 0 1 1 2 1 0 1 3 9 3 9 1 11 0 1 1 0 1 0 0 1 0 2 1 7 0 0 1 1 0 0 0 3 6 1 3 1 0 2 1 2 1 1 1 0 1 0 1 0 2 1 2 2 1 5 2 0 3 5 1 1 1 1 4 0 3 2 0 1 1 0 5
"difficult" 0 0 0 0 1 0 2 0 1 0 1 2 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 2 0 3 1 3 0 0 0 0 0 0 1 0 0 0 0 4 0 1 0 1 0 0 0 1 1 0 1 1 0 2 0 0 0 2 0 1 0 0 3 0 3 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 2
"disappointed" 0 0 2 2 0 2 1 1 1 0 2 1 1 1 2 2 0 1 1 1 0 1 1 2 0 3 0 0 3 2 0 0 2 1 1 2 3 6 1 8 1 5 0 0 0 2 0 0 2 1 0 1 0 6 0 0 0 2 0 1 0 3 2 0 2 2 2 2 3 2 2 1 0 1 0 1 0 1 1 1 1 2 3 4 0 1 1 2 1 2 2 1 1 0 0 0 0 1 1 1 6
"eager" 0 4 4 3 0 2 1 2 1 0 2 0 1 1 3 2 1 1 5 3 1 0 2 2 0 3 0 3 0 3 1 2 5 0 1 0 5 13 2 13 2 11 1 0 0 0 2 0 2 1 0 0 0 16 2 0 0 2 2 0 0 3 6 0 2 4 1 5 2 2 2 3 1 1 1 1 1 1 5 3 5 1 3 4 0 0 2 5 1 2 1 2 1 0 0 2 0 2 1 1 8
"excellent" 2 2 0 1 1 0 3 3 1 0 0 1 0 0 1 2 0 2 1 1 0 0 0 3 4 0 1 2 3 0 1 1 2 0 1 0 4 7 0 9 2 3 0 0 1 0 2 0 1 4 1 1 0 9 0 0 0 2 0 0 0 4 0 0 2 5 2 1 1 2 1 3 1 0 1 2 2 2 2 1 1 1 1 2 1 0 0 3 1 1 1 0 0 0 1 1 1 2 1 1 5
