"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "bad" "beautiful" "bold" "bright" "busy" "calm" "certain" "cheerful" "childish" "cold" "comfortable" "cruel" "curious" "delighted" "delightful" "difficult" "excellent" "extraordinary" "fair" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "innocent" "interested" "kind" "little" "natural" "neat" "old" "open" "plain" "pleasant" "pleased" "poor" "pretty" "private" "professional" "proud" "quiet" "remarkable" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "strange" "strong" "stupid" "surprised" "sweet" "terrible" "thankful" "thoughtful" "tired" "uncomfortable" "unhappy" "useful" "warm" "weak" "well" "wonderful" "worthy" "young" "youthful"
"comfortable" 5 7 6 3 3 4 1 2 6 5 2 5 3 1 7 3 3 4 0 5 3 2 1 4 3 4 0 2 1 1 4 3 5 21 0 2 19 0 8 1 5 1 0 7 29 3 3 25 2 4 5 1 9 5 2 2 2 5 2 0 2 1 4 4 7 6 9 0 3 3 0 1 0 0 4 2 1 2 2 1 4 3 11 0
"cruel" 3 6 5 3 1 2 0 1 8 7 0 2 2 2 2 3 3 3 5 0 1 1 2 1 2 3 2 1 2 2 2 1 4 19 1 1 13 1 6 2 3 2 1 4 23 4 0 17 3 2 7 2 10 7 0 0 2 7 0 3 0 2 2 4 6 6 7 1 5 2 3 2 1 1 3 3 1 0 1 1 1 5 6 0
"curious" 1 8 1 3 0 4 1 3 3 1 4 3 7 1 6 0 1 1 3 1 0 2 2 1 3 1 0 2 5 1 3 2 6 20 1 3 17 1 5 3 0 3 2 4 19 0 1 14 6 1 4 2 7 7 2 1 2 3 0 1 3 3 2 0 4 2 2 1 6 2 3 0 2 1 1 0 1 0 4 2 2 0 10 1
"delighted" 3 10 7 1 0 3 0 1 6 5 2 4 2 2 10 5 2 3 2 1 2 0 4 2 4 5 1 2 5 0 3 3 10 27 3 0 25 3 15 2 3 2 0 1 32 8 3 29 12 2 7 4 8 5 3 2 4 3 5 1 4 4 2 4 13 2 2 2 4 8 1 4 2 2 7 2 2 4 2 6 4 1 11 3
"delightful" 3 7 9 0 0 3 0 1 4 7 0 6 3 2 2 3 2 2 1 2 2 4 0 2 2 2 1 3 3 3 2 1 15 23 2 0 18 5 14 2 4 3 2 4 26 8 0 22 3 5 8 5 8 4 3 2 4 3 0 2 2 2 3 4 6 2 3 1 4 6 0 0 0 3 0 1 2 0 2 6 4 0 15 1
"difficult" 2 10 6 7 2 4 0 2 8 7 2 5 2 1 4 2 2 1 4 1 1 2 2 0 0 2 0 2 6 1 2 4 7 21 1 6 18 2 8 5 0 2 3 3 25 3 1 25 2 1 6 1 15 1 4 4 4 6 1 1 2 0 4 4 9 5 1 0 2 5 0 1 3 1 0 2 0 1 2 3 4 1 12 0
"excellent" 1 5 6 2 0 1 2 0 3 4 1 1 3 1 9 0 2 4 3 2 3 4 2 0 0 6 0 3 2 0 2 1 7 18 0 4 22 0 9 4 2 1 0 2 22 2 2 19 3 3 4 2 8 3 2 4 4 2 2 0 1 4 1 1 10 3 5 1 4 2 0 1 2 3 1 1 3 1 2 4 6 1 14 2
"extraordinary" 3 9 5 3 2 3 2 2 6 3 2 5 3 2 12 3 2 3 4 3 1 5 2 2 6 0 1 5 3 2 2 5 7 25 0 4 20 1 9 3 3 0 3 3 29 6 1 26 3 1 5 3 16 5 1 3 4 7 2 1 2 2 1 5 15 5 6 1 5 3 1 1 2 1 2 2 3 6 0 5 5 2 16 0
"fair" 1 4 3 2 0 0 2 0 3 4 4 2 2 1 7 2 1 1 0 2 0 1 1 0 0 1 0 2 3 2 2 3 3 14 3 0 11 3 2 2 2 1 1 2 16 6 0 12 2 2 1 1 6 2 1 1 2 4 0 1 2 0 0 1 6 1 6 0 2 2 1 1 2 0 2 3 0 0 0 1 1 2 9 0
"familiar" 2 8 1 5 0 2 1 1 0 5 3 4 3 5 8 5 2 2 2 1 2 2 3 2 3 5 2 0 3 0 4 3 7 19 1 2 19 4 9 4 1 2 0 7 27 5 3 24 6 3 4 7 12 8 4 2 3 9 2 0 2 1 0 0 12 4 7 0 1 5 2 2 1 1 3 3 1 1 1 4 2 2 15 4
"fine" 2 11 6 6 1 3 2 1 9 6 4 9 6 3 11 4 4 4 1 2 5 5 3 6 2 3 3 3 0 2 3 3 15 29 2 0 27 6 13 5 1 3 2 6 35 10 2 29 7 2 7 7 13 7 3 1 4 6 2 1 6 1 1 2 16 4 5 2 5 6 3 4 4 1 4 2 2 3 3 2 4 2 14 0
"foolish" 2 7 3 3 2 4 1 3 3 3 0 7 0 3 2 2 2 2 1 2 1 0 3 1 0 2 2 0 2 0 2 7 7 15 3 1 10 0 11 4 0 3 0 5 20 3 0 13 1 1 2 1 8 7 0 0 2 7 0 4 3 2 2 5 3 4 4 3 2 3 2 0 0 3 1 3 0 1 3 3 1 0 9 2
"friendly" 1 13 6 3 1 2 4 3 2 6 2 5 1 3 9 2 1 3 4 2 3 3 2 2 2 2 2 4 3 2 0 4 6 22 0 2 20 1 14 4 0 2 1 6 26 5 0 18 8 2 7 4 4 2 5 1 3 4 4 1 3 1 1 1 11 5 6 0 4 1 0 3 5 1 6 0 2 0 0 3 1 1 11 0
"gentle" 6 13 3 6 3 4 3 3 6 6 3 8 0 6 7 3 1 6 3 1 2 3 1 4 1 5 3 3 3 7 4 0 9 24 1 2 20 3 12 7 3 6 2 6 29 7 2 23 3 5 5 2 15 8 0 1 3 11 1 1 4 0 3 4 8 5 3 2 3 7 2 3 4 2 2 6 1 3 2 6 2 1 10 3
"glad" 5 25 15 13 5 9 3 3 16 17 6 18 7 7 13 14 8 9 5 4 6 10 15 7 7 7 3 7 15 7 6 9 0 66 4 4 67 8 36 12 3 7 5 12 88 18 2 70 12 7 11 12 27 16 6 5 8 19 5 6 6 2 5 5 28 11 16 6 16 12 3 4 8 8 10 10 6 8 6 14 11 8 42 2
"good" 16 57 32 24 10 24 17 13 46 42 14 44 21 19 53 27 15 24 21 19 20 27 23 21 18 25 14 19 29 15 22 24 66 0 11 18 164 14 84 38 14 21 14 38 225 40 10 176 44 17 35 25 92 47 16 14 27 52 8 11 18 15 20 19 78 35 41 12 31 29 13 13 10 16 24 22 18 13 19 24 22 17 100 9
"gracious" 1 3 2 2 0 3 0 3 3 2 2 2 4 1 1 2 1 0 0 1 1 3 2 1 0 0 3 1 2 3 0 1 4 11 0 0 14 1 5 1 1 4 2 2 15 4 0 12 6 1 3 1 7 1 1 4 0 1 0 1 0 1 2 1 3 4 5 1 3 3 0 1 0 0 2 2 0 1 0 2 1 1 6 0
"grateful" 2 7 3 0 1 2 3 2 2 2 3 4 0 1 6 1 1 2 2 1 3 0 0 6 4 4 0 2 0 1 2 2 4 18 0 0 11 0 12 4 0 3 1 4 19 3 2 16 0 2 4 2 12 5 0 1 3 8 1 2 3 1 1 3 9 2 1 1 3 3 0 2 1 3 1 1 1 0 1 3 3 0 7 0
"great" 18 63 33 25 12 22 13 16 31 38 14 36 18 14 48 20 15 18 19 13 17 25 18 18 22 20 11 19 27 10 20 20 67 164 14 11 0 16 68 35 15 20 17 32 205 36 9 161 41 17 25 19 76 33 17 12 18 43 13 11 18 8 22 15 67 31 43 6 35 25 8 14 14 12 25 25 11 12 13 17 26 15 108 10
"handsome" 3 6 2 2 2 3 1 0 4 2 2 8 4 3 5 2 1 2 0 1 1 3 5 2 0 1 3 4 6 0 1 3 8 14 1 0 16 0 8 3 2 1 4 6 24 5 3 18 4 3 4 3 9 8 2 1 5 7 1 1 5 2 1 2 12 1 5 1 4 7 2 2 1 3 3 2 0 2 0 2 1 2 9 0
"happy" 10 28 14 12 5 11 6 6 17 23 6 22 5 9 19 13 7 13 8 6 5 15 14 8 9 9 2 9 13 11 14 12 36 84 5 12 68 8 0 14 8 18 5 17 102 20 3 83 11 9 19 18 40 16 5 7 14 25 5 6 9 5 9 7 38 11 23 7 14 24 7 6 7 8 11 10 12 4 5 12 14 5 43 4
"hard" 3 7 4 5 3 3 4 2 8 12 4 7 2 4 7 2 5 6 1 2 3 2 2 5 4 3 2 4 5 4 4 7 12 38 1 4 35 3 14 0 3 3 4 7 40 2 3 34 10 5 3 4 18 8 3 0 7 11 2 1 6 0 3 2 12 8 4 2 4 6 3 2 2 2 7 6 4 1 6 8 4 2 20 5
"honest" 1 5 3 1 2 2 0 2 7 4 2 3 0 1 5 2 1 2 5 3 0 3 4 0 2 3 2 1 1 0 0 3 3 14 1 0 15 2 8 3 0 1 0 3 21 3 1 16 1 2 5 2 10 8 1 1 2 3 0 1 3 0 0 1 7 3 5 1 2 3 1 1 1 0 2 2 2 0 1 3 1 1 7 1
"innocent" 5 9 3 3 2 2 2 1 5 6 1 5 2 4 5 5 3 3 1 2 3 2 3 2 1 0 1 2 3 3 2 6 7 21 4 3 20 1 18 3 1 0 1 6 24 3 0 20 5 2 5 5 16 3 1 0 2 9 1 4 1 0 5 1 7 4 5 5 4 4 1 2 3 1 3 4 3 0 4 1 4 1 11 0
"interested" 0 4 3 0 0 2 0 0 6 2 0 3 3 1 2 1 0 2 0 1 2 0 2 3 0 3 1 0 2 0 1 2 5 14 2 1 17 4 5 4 0 1 0 4 18 4 1 16 3 3 3 1 6 3 3 2 4 4 1 0 2 0 1 2 3 3 5 0 4 3 1 0 1 2 1 2 1 0 2 0 2 0 8 1
"kind" 5 13 6 7 1 3 1 2 12 5 2 8 4 2 11 6 4 5 7 4 4 1 4 3 2 3 2 7 6 5 6 6 12 38 2 4 32 6 17 7 3 6 4 0 44 7 1 35 7 7 6 4 24 13 4 1 2 8 1 3 8 1 4 5 13 8 10 4 9 4 3 6 1 6 3 7 0 1 3 4 3 3 21 2
"little" 21 84 44 34 12 31 19 18 54 51 20 55 21 24 61 33 22 32 29 23 19 32 26 25 22 29 16 27 35 20 26 29 88 225 15 19 205 24 102 40 21 24 18 44 0 52 16 230 50 25 46 29 118 52 22 15 32 63 16 17 25 14 23 22 104 49 54 14 40 42 15 17 17 20 31 35 18 18 23 31 32 17 130 15
"natural" 4 16 13 6 1 4 5 1 9 6 3 14 4 4 11 7 1 5 3 4 0 8 8 3 2 6 6 5 10 3 5 7 18 40 4 3 36 5 20 2 3 3 4 7 52 0 2 44 7 5 7 7 19 12 1 1 4 11 2 2 3 4 4 5 20 7 11 3 4 7 4 4 6 3 7 8 2 4 3 4 3 5 22 2
"neat" 2 1 2 1 1 0 2 1 3 2 1 4 0 1 4 1 2 0 3 0 1 3 0 1 2 1 0 3 2 0 0 2 2 10 0 2 9 3 3 3 1 0 1 1 16 2 0 13 2 2 1 0 8 5 1 1 4 6 1 1 1 1 1 1 2 2 2 1 2 2 2 1 0 1 1 1 1 0 1 0 2 0 2 2
"old" 18 69 38 30 11 26 14 15 44 38 14 38 21 16 51 25 19 25 25 17 14 29 22 25 19 26 12 24 29 13 18 23 70 176 12 16 161 18 83 34 16 20 16 35 230 44 13 0 41 18 36 20 91 36 14 14 20 54 13 10 15 9 19 15 83 39 49 13 28 32 13 12 15 19 21 19 17 11 17 28 25 13 101 11
"open" 3 11 3 7 2 8 5 6 9 9 4 8 7 7 14 6 6 3 2 3 6 12 3 2 3 3 2 6 7 1 8 3 12 44 6 0 41 4 11 10 1 5 3 7 50 7 2 41 0 3 5 6 20 7 3 3 7 7 2 1 7 4 5 3 17 11 6 0 7 9 2 3 2 5 5 7 4 3 4 7 4 4 22 4
"plain" 1 6 3 1 0 2 0 0 3 4 2 6 0 0 7 3 2 3 4 2 1 2 5 1 3 1 2 3 2 1 2 5 7 17 1 2 17 3 9 5 2 2 3 7 25 5 2 18 3 0 5 2 10 3 1 1 3 5 2 1 4 1 2 5 8 0 9 1 5 6 2 2 2 0 1 3 3 0 0 2 3 2 5 2
"pleasant" 2 15 7 2 1 5 4 2 9 11 3 10 6 2 5 4 2 7 5 7 4 7 8 6 4 5 1 4 7 2 7 5 11 35 3 4 25 4 19 3 5 5 3 6 46 7 1 36 5 5 0 8 18 10 5 2 3 12 1 0 4 4 2 4 20 8 5 0 9 9 3 4 1 2 6 2 2 0 1 4 2 4 14 2
"pleased" 3 10 2 3 1 3 2 1 4 3 1 8 3 3 6 7 1 5 1 2 2 4 5 1 2 3 1 7 7 1 4 2 12 25 1 2 19 3 18 4 2 5 1 4 29 7 0 20 6 2 8 0 11 11 2 1 4 7 2 1 3 3 2 2 12 4 5 1 2 3 0 1 2 0 3 6 2 2 0 3 4 1 10 1
"poor" 8 32 16 11 5 12 11 7 25 27 8 20 8 9 19 16 9 14 9 10 7 8 8 15 8 16 6 12 13 8 4 15 27 92 7 12 76 9 40 18 10 16 6 24 118 19 8 91 20 10 18 11 0 28 7 6 11 27 2 8 11 2 10 9 45 26 20 7 13 15 4 10 6 9 5 15 8 7 11 14 12 8 51 3
"pretty" 6 20 8 6 1 5 3 3 15 12 3 16 4 3 11 9 6 5 5 7 7 5 4 1 3 5 2 8 7 7 2 8 16 47 1 5 33 8 16 8 8 3 3 13 52 12 5 36 7 3 10 11 28 0 4 2 5 18 1 5 6 6 2 7 15 10 8 7 7 10 3 2 2 5 6 8 2 2 3 5 5 2 21 3
"private" 2 7 1 4 0 1 0 1 5 3 0 3 3 1 4 2 0 3 2 0 2 3 3 4 2 1 1 4 3 0 5 0 6 16 1 0 17 2 5 3 1 1 3 4 22 1 1 14 3 1 5 2 7 4 0 4 3 3 1 1 1 0 0 1 9 3 1 1 6 1 0 1 1 1 2 1 2 1 1 2 5 1 12 2
"professional" 1 3 3 1 1 2 2 1 6 0 1 1 1 0 2 3 0 0 2 0 1 2 2 4 4 3 1 2 1 0 1 1 5 14 4 1 12 1 7 0 1 0 2 1 15 1 1 14 3 1 2 1 6 2 4 0 1 3 1 3 0 3 1 1 7 3 2 1 1 2 0 1 1 1 0 3 1 2 1 1 3 0 9 0
"proud" 1 6 2 3 1 1 1 0 6 8 0 9 2 5 7 2 4 3 2 2 2 4 4 4 4 4 2 3 4 2 3 3 8 27 0 3 18 5 14 7 2 2 4 2 32 4 4 20 7 3 3 4 11 5 3 1 0 9 0 1 4 4 4 0 9 8 8 1 5 4 2 1 0 3 0 4 3 1 2 1 4 1 12 3
"quiet" 9 23 7 9 3 4 6 5 10 13 10 15 2 8 14 11 5 7 5 7 3 3 3 6 2 7 4 9 6 7 4 11 19 52 1 8 43 7 25 11 3 9 4 8 63 11 6 54 7 5 12 7 27 18 3 3 9 0 2 5 5 5 5 5 18 15 14 4 5 11 4 2 5 4 8 15 6 2 4 8 7 4 24 4
"remarkable" 0 6 3 1 1 2 1 1 2 0 0 2 1 1 6 2 2 1 2 0 0 5 0 1 2 2 0 2 2 0 4 1 5 8 0 1 13 1 5 2 0 1 1 1 16 2 1 13 2 2 1 2 2 1 1 1 0 2 0 0 1 2 1 1 8 4 3 1 0 0 0 1 1 0 3 1 2 1 2 1 3 2 7 3
"ridiculous" 2 4 6 0 1 2 0 0 4 3 2 2 0 0 1 1 4 0 0 3 1 1 2 1 0 1 1 0 1 4 1 1 6 11 1 2 11 1 6 1 1 4 0 3 17 2 1 10 1 1 0 1 8 5 1 3 1 5 0 0 0 1 3 5 4 3 2 5 6 1 0 1 2 1 1 4 0 1 1 2 0 0 5 0
"rough" 2 5 0 3 0 1 1 0 1 2 5 6 2 2 3 1 3 4 2 0 3 4 2 2 1 2 2 2 6 3 3 4 6 18 0 3 18 5 9 6 3 1 2 8 25 3 1 15 7 4 4 3 11 6 1 0 4 5 1 0 0 0 0 1 7 3 5 0 2 2 2 5 1 2 2 0 0 1 3 1 2 0 6 0
"satisfied" 3 6 2 0 0 0 2 0 4 1 0 3 2 0 3 1 0 1 1 2 3 4 2 0 4 2 0 1 1 2 1 0 2 15 1 1 8 2 5 0 0 0 0 1 14 4 1 9 4 1 4 3 2 6 0 3 4 5 2 1 0 0 0 4 6 2 2 1 0 3 3 1 1 1 1 3 2 0 3 2 3 0 4 0
"sensible" 3 6 5 7 1 3 2 4 4 7 2 7 1 2 5 5 2 2 4 2 2 2 3 4 1 1 0 0 1 2 1 3 5 20 2 1 22 1 9 3 0 5 1 4 23 4 1 19 5 2 2 2 10 2 0 1 4 5 1 3 0 0 0 3 6 4 7 1 2 3 2 1 0 2 2 3 3 1 2 3 1 1 12 1
"serious" 5 8 4 3 2 3 2 2 4 2 2 9 1 1 5 3 3 1 4 4 0 4 4 4 1 5 1 0 2 5 1 4 5 19 1 3 15 2 7 2 1 1 2 5 22 5 1 15 3 5 4 2 9 7 1 1 0 5 1 5 1 4 3 0 9 3 4 2 3 3 0 1 1 3 2 4 1 2 1 1 3 0 10 0
"short" 10 39 16 2 5 15 13 7 23 17 6 22 11 6 22 10 8 14 7 6 4 13 6 9 10 15 6 12 16 3 11 8 28 78 3 9 67 12 38 12 7 7 3 13 104 20 2 83 17 8 20 12 45 15 9 7 9 18 8 4 7 6 6 9 0 12 16 2 17 15 5 9 10 8 14 11 7 7 4 15 9 9 47 4
"strange" 1 12 5 9 2 7 4 3 9 11 1 8 8 2 12 9 6 7 6 6 2 2 2 5 3 5 1 4 4 4 5 5 11 35 4 2 31 1 11 8 3 4 3 8 49 7 2 39 11 0 8 4 26 10 3 3 8 15 4 3 3 2 4 3 12 0 9 2 4 5 0 3 2 2 6 7 2 5 3 5 6 3 22 3
"strong" 6 13 4 14 4 4 3 3 11 8 6 6 9 4 11 6 3 5 9 7 2 2 3 1 5 6 6 7 5 4 6 3 16 41 5 1 43 5 23 4 5 5 5 10 54 11 2 49 6 9 5 5 20 8 1 2 8 14 3 2 5 2 7 4 16 9 0 2 11 4 2 2 3 7 6 9 2 3 3 4 5 4 24 3
"stupid" 1 3 3 1 2 1 0 0 6 5 1 5 0 1 1 1 1 2 0 1 1 2 1 0 1 1 0 0 2 3 0 2 6 12 1 1 6 1 7 2 1 5 0 4 14 3 1 13 0 1 0 1 7 7 1 1 1 4 1 5 0 1 1 2 2 2 2 0 3 3 2 0 2 3 2 4 1 0 2 2 1 0 5 0
"surprised" 3 13 8 1 3 4 6 5 10 6 2 9 5 1 8 1 2 2 3 5 6 4 4 2 4 5 2 1 5 2 4 3 16 31 3 3 35 4 14 4 2 4 4 9 40 4 2 28 7 5 9 2 13 7 6 1 5 5 0 6 2 0 2 3 17 4 11 3 0 5 2 1 4 3 4 5 2 1 2 4 5 2 20 0
"sweet" 5 11 11 4 3 3 1 4 7 11 1 15 4 4 8 5 3 2 3 2 2 8 6 5 2 3 2 5 6 3 1 7 12 29 3 3 25 7 24 6 3 4 3 4 42 7 2 32 9 6 9 3 15 10 1 2 4 11 0 1 2 3 3 3 15 5 4 3 5 0 3 4 3 5 6 3 2 1 3 10 6 1 17 2
"terrible" 1 4 1 0 0 1 0 1 4 2 2 4 2 1 3 0 1 1 0 3 3 1 0 0 0 1 1 2 3 2 0 2 3 13 0 0 8 2 7 3 1 1 1 3 15 4 2 13 2 2 3 0 4 3 0 0 2 4 0 0 2 3 2 0 5 0 2 2 2 3 0 0 1 1 1 2 2 0 3 1 1 1 0 2
"thankful" 2 3 4 1 1 2 1 1 0 2 1 1 0 1 6 1 1 1 1 2 0 4 0 1 1 1 1 2 4 0 3 3 4 13 1 2 14 2 6 2 1 2 0 6 17 4 1 12 3 2 4 1 10 2 1 1 1 2 1 1 5 1 1 1 9 3 2 0 1 4 0 0 1 1 2 1 1 2 1 1 0 4 8 0
"thoughtful" 1 9 4 4 1 5 2 0 3 4 3 3 0 0 6 2 0 1 0 1 2 2 0 3 2 2 2 1 4 0 5 4 8 10 0 1 14 1 7 2 1 3 1 1 17 6 0 15 2 2 1 2 6 2 1 1 0 5 1 2 1 1 0 1 10 2 3 2 4 3 1 1 0 0 3 3 0 1 2 2 1 0 3 0
"tired" 1 6 4 1 1 1 2 0 6 2 0 6 3 2 3 1 2 1 0 1 1 2 3 1 3 1 0 1 1 3 1 2 8 16 0 3 12 3 8 2 0 1 2 6 20 3 1 19 5 0 2 0 9 5 1 1 3 4 0 1 2 1 2 3 8 2 7 3 3 5 1 1 0 0 2 4 3 2 1 1 2 0 9 0
"uncomfortable" 1 8 9 2 3 6 2 2 7 6 3 7 1 3 5 6 3 7 4 3 1 7 0 0 1 2 2 3 4 1 6 2 10 24 2 1 25 3 11 7 2 3 1 3 31 7 1 21 5 1 6 3 5 6 2 0 0 8 3 1 2 1 2 2 14 6 6 2 4 6 1 2 3 2 0 1 2 5 0 1 4 3 12 2
"unhappy" 4 12 2 3 2 2 4 3 11 5 1 7 3 2 4 4 4 4 2 3 0 2 1 2 1 2 3 3 2 3 0 6 10 22 2 1 25 2 10 6 2 4 2 7 35 8 1 19 7 3 2 6 15 8 1 3 4 15 1 4 0 3 3 4 11 7 9 4 5 3 2 1 3 4 1 0 2 1 1 5 4 1 15 1
