"affectionate" "afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awkward" "bad" "beautiful" "bitter" "blind" "bold" "bright" "busy" "careful" "certain" "cheerful" "clean" "clever" "cold" "comfortable" "cruel" "delighted" "delightful" "difficult" "excellent" "excited" "expressive" "extraordinary" "fair" "faithful" "fat" "fine" "foolish" "fortunate" "gentle" "glad" "good" "graceful" "gracious" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "interesting" "jealous" "kind" "little" "lively" "loud" "lovely" "natural" "nervous" "nice" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proper" "proud" "quiet" "remarkable" "respectable" "rich" "rough" "sad" "serious" "short" "strange" "strong" "surprised" "sweet" "tall" "tired" "unhappy" "unusual" "violent" "warm" "weak" "worthy" "young"
"certain" 4 4 5 5 3 10 1 6 9 8 2 4 1 6 3 2 0 6 3 2 6 4 4 1 5 5 3 4 1 13 7 3 4 10 5 2 3 9 40 3 3 50 3 12 12 3 1 3 4 2 8 52 3 5 5 12 3 3 40 13 7 6 5 8 2 29 5 3 8 5 12 5 2 2 3 3 11 21 7 14 4 3 3 4 6 5 8 4 4 9 44
"cheerful" 2 2 1 0 3 2 0 2 5 5 1 1 0 4 4 0 6 0 1 1 5 3 0 0 0 4 3 1 1 6 2 3 0 4 0 0 2 3 13 0 0 16 1 9 2 5 1 6 1 1 3 18 2 2 2 2 0 2 13 6 2 3 1 5 1 13 1 3 3 3 7 0 0 3 0 1 1 3 1 5 3 2 1 1 1 3 1 7 2 5 15
"clean" 0 1 2 2 0 2 2 0 3 4 0 0 0 2 1 0 3 1 0 0 1 1 0 1 1 0 2 2 1 2 2 1 1 2 0 0 0 2 13 0 2 14 3 5 1 2 0 0 1 0 2 13 0 5 0 1 1 1 11 2 0 0 0 4 0 8 0 3 2 1 1 1 0 1 1 3 3 6 0 3 2 0 3 2 3 2 1 2 0 3 8
"clever" 1 1 1 0 0 0 0 1 1 2 0 0 0 2 2 3 2 1 0 0 3 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 3 11 0 0 12 0 3 2 3 0 2 0 0 1 11 1 3 0 0 1 2 8 1 3 2 1 0 1 6 1 3 3 1 0 1 1 1 1 0 2 3 1 5 2 1 2 0 0 2 1 0 1 1 8
"cold" 4 6 3 8 4 9 2 3 8 8 5 2 1 8 4 4 6 5 1 3 0 4 1 1 2 3 2 0 4 10 4 0 3 5 3 2 8 10 41 5 1 41 5 13 12 11 3 3 1 1 7 45 4 7 1 3 4 2 25 16 3 6 5 6 2 23 6 11 6 1 10 4 4 8 4 3 2 19 7 11 8 5 3 2 1 2 8 8 5 4 31
"comfortable" 3 4 2 2 2 3 0 3 8 4 1 1 1 6 1 1 4 3 1 1 4 0 1 2 2 1 1 0 0 4 3 1 1 5 1 1 3 7 15 1 0 20 3 8 5 3 2 1 0 0 2 21 1 3 2 3 1 3 17 8 0 3 0 4 2 8 0 4 2 4 6 2 1 8 0 0 1 6 2 8 2 1 0 1 2 3 0 2 1 1 17
"cruel" 1 0 0 0 2 1 1 1 3 4 1 5 1 0 0 0 4 0 0 0 1 1 0 0 1 0 1 0 0 2 2 1 0 1 1 1 0 1 9 1 1 11 2 6 8 1 1 0 2 3 3 14 1 0 1 2 2 0 12 3 1 0 2 1 0 10 2 2 2 3 3 1 2 2 0 0 1 6 1 5 0 1 0 1 3 0 3 0 2 1 13
"delighted" 1 5 4 1 3 5 0 2 1 5 0 1 2 0 2 1 1 0 1 1 1 2 0 0 2 0 1 2 1 4 1 3 1 1 0 0 2 7 14 1 1 13 3 6 2 2 0 0 1 1 4 14 3 2 3 3 1 2 11 4 1 0 1 3 3 7 4 2 3 6 0 2 3 1 0 0 2 5 1 3 1 1 0 0 0 1 3 4 0 2 8
"delightful" 0 3 3 0 1 1 2 2 1 4 2 0 2 2 1 0 5 0 1 1 2 2 1 2 0 1 1 0 1 5 3 1 3 1 2 2 0 6 15 3 2 15 2 5 5 2 0 2 3 1 3 17 0 2 2 3 1 1 11 2 3 0 1 2 0 12 3 6 2 5 1 2 2 1 0 2 4 13 0 7 2 5 1 3 1 0 2 2 3 4 17
"difficult" 2 2 3 0 1 3 0 0 2 3 0 1 1 3 3 2 5 4 0 1 3 1 0 0 1 0 0 0 0 7 1 2 0 2 1 0 3 1 12 1 0 14 1 6 2 4 1 3 1 1 2 11 1 3 0 2 0 0 12 4 1 2 3 4 1 8 0 0 2 0 4 1 0 4 0 0 1 7 2 3 1 1 1 1 0 2 1 2 3 2 9
"excellent" 0 0 4 1 1 0 2 2 2 4 0 1 0 1 0 0 3 3 2 0 2 1 1 1 1 0 0 0 1 7 1 2 1 3 3 3 1 2 17 0 2 14 3 7 2 5 0 1 1 1 6 15 2 2 1 1 0 0 9 2 4 2 2 4 1 8 4 6 0 3 5 3 1 1 0 1 1 6 3 5 0 1 0 0 0 2 1 0 1 2 10
"excited" 1 2 2 2 1 4 0 0 3 1 1 0 0 0 0 0 4 1 2 1 0 0 0 2 0 0 0 0 1 4 1 0 1 1 0 0 1 2 7 0 0 12 2 3 0 1 0 0 2 1 2 13 0 2 1 1 3 0 7 7 1 1 2 3 1 7 2 1 3 3 2 3 0 1 0 1 2 7 0 3 1 1 2 1 2 0 5 3 0 5 9
"expressive" 1 2 2 1 0 2 0 1 0 4 0 0 1 1 0 0 1 1 1 1 4 0 0 1 1 0 1 1 0 1 2 0 1 2 1 1 2 4 8 0 0 11 3 4 1 1 0 1 0 1 0 11 0 2 0 5 0 1 8 0 1 1 1 2 2 5 3 5 1 1 2 1 2 1 0 0 1 6 1 6 0 2 2 0 1 1 0 3 0 1 10
"extraordinary" 2 10 9 5 6 12 2 5 9 13 2 2 5 7 2 4 13 6 2 1 10 4 2 4 5 7 7 4 1 0 8 3 2 12 5 4 9 11 48 5 2 61 8 18 6 8 2 3 6 3 13 54 3 9 6 11 1 3 41 13 8 4 5 15 5 27 5 11 5 7 9 12 4 4 2 2 8 27 7 13 8 6 4 8 4 9 8 6 6 15 50
"fair" 1 5 4 0 3 4 2 2 7 5 1 0 3 6 2 4 7 2 2 1 4 3 2 1 3 1 1 1 2 8 0 0 3 10 1 1 3 6 24 3 2 32 1 11 11 2 2 2 1 4 2 26 1 3 3 6 3 0 21 6 3 4 6 14 1 10 4 6 3 7 9 3 0 6 4 3 4 16 3 9 2 1 4 3 3 2 6 3 1 3 27
"faithful" 0 1 0 0 1 2 0 1 0 5 2 2 1 1 3 0 3 3 1 1 0 1 1 3 1 2 2 0 0 3 0 0 1 0 1 0 1 3 9 0 0 13 2 9 3 5 0 1 0 0 4 14 0 1 0 3 1 0 12 0 0 1 1 1 1 10 1 0 1 3 3 0 0 0 1 2 0 6 2 4 0 2 0 0 0 2 1 3 1 2 8
"fat" 0 1 2 1 0 6 0 0 1 1 0 0 1 0 3 0 4 0 1 1 3 1 0 1 3 0 1 1 1 2 3 1 0 4 1 0 1 2 9 0 1 15 0 5 2 0 1 1 0 0 2 15 0 3 0 0 0 1 11 5 1 1 0 5 1 7 2 5 2 1 1 3 0 0 0 0 4 11 2 3 4 2 2 2 2 1 2 1 2 2 13
"fine" 2 6 4 3 2 9 1 2 6 5 3 1 2 4 0 2 10 4 2 1 5 5 1 1 1 2 3 1 2 12 10 0 4 0 2 2 8 6 29 2 3 33 6 10 7 3 0 2 1 3 7 38 2 5 3 8 1 2 34 12 5 6 7 11 1 22 3 8 5 4 9 7 0 6 2 4 0 15 6 6 2 4 1 2 5 3 5 10 5 8 31
"foolish" 0 6 3 1 1 7 3 3 1 4 1 2 0 1 1 2 5 0 0 0 3 1 1 0 2 1 3 0 1 5 1 1 1 2 0 1 2 4 14 1 2 13 1 6 2 0 1 0 0 3 4 14 0 4 2 2 1 1 16 3 1 1 1 1 4 14 2 3 0 3 3 5 0 2 1 1 3 10 4 3 1 1 1 0 3 0 3 1 3 3 14
"fortunate" 0 0 2 1 1 1 0 1 1 4 2 0 1 1 0 0 2 0 0 0 2 1 1 0 2 0 3 0 1 4 1 0 0 2 1 0 3 3 9 2 1 11 2 5 3 4 0 1 1 1 3 9 0 3 4 0 0 1 4 0 3 1 3 3 0 6 0 2 1 2 0 2 0 3 1 1 1 5 1 3 1 0 0 0 1 0 2 1 2 2 9
"gentle" 2 2 3 0 3 4 0 0 4 11 2 1 2 5 0 2 3 2 0 1 8 3 0 2 0 3 1 1 2 9 3 1 1 8 2 3 0 2 20 4 1 25 2 11 1 5 1 2 0 1 2 25 1 4 4 5 2 0 19 8 0 4 4 9 2 8 2 5 0 5 4 4 2 6 3 1 1 11 4 5 2 3 4 2 1 2 5 5 2 3 20
"glad" 6 9 6 7 2 7 1 3 4 9 2 2 5 4 4 2 9 3 2 3 10 7 1 7 6 1 2 2 4 11 6 3 2 6 4 3 2 0 37 2 5 42 3 15 6 4 2 1 3 2 6 43 3 7 5 8 4 4 30 10 2 4 4 8 3 26 6 3 4 9 9 5 2 5 4 6 5 19 8 15 7 2 5 3 3 4 3 4 3 8 32
"good" 13 28 19 21 15 27 12 16 36 40 10 11 10 18 10 12 40 13 13 11 41 15 9 14 15 12 17 7 8 48 24 9 9 29 14 9 20 37 0 7 9 169 26 55 42 28 9 10 10 12 32 187 10 31 11 34 14 12 132 41 20 20 20 34 10 99 24 25 26 20 30 26 10 23 14 10 23 74 21 43 21 15 12 15 16 12 28 18 21 32 141
"graceful" 1 1 1 1 3 0 0 0 1 6 0 0 1 4 0 0 3 0 0 0 5 1 1 1 3 1 0 0 0 5 3 0 0 2 1 2 4 2 7 0 0 10 3 2 1 2 0 0 0 0 2 11 1 2 4 3 1 0 6 3 1 4 2 2 0 4 1 2 1 0 2 1 2 2 2 1 0 5 0 2 0 2 1 1 0 0 0 2 1 1 7
"gracious" 1 2 1 1 1 3 1 0 1 2 1 0 1 0 1 0 3 0 2 0 1 0 1 1 2 0 2 0 0 2 2 0 1 3 2 1 1 5 9 0 0 13 0 6 0 0 0 0 0 0 1 14 1 3 2 1 2 1 8 3 0 1 1 3 0 5 3 1 2 3 1 3 0 1 0 1 3 7 1 2 3 0 2 2 1 1 2 0 2 4 10
"great" 20 26 22 21 18 38 9 16 33 36 9 6 11 21 11 15 50 16 14 12 41 20 11 13 15 14 14 12 11 61 32 13 15 33 13 11 25 42 169 10 13 0 26 59 37 26 15 14 13 13 35 209 9 40 17 35 13 12 145 53 18 23 18 44 14 109 24 29 21 27 35 28 14 27 11 15 26 90 23 49 22 21 15 14 20 13 39 22 16 40 164
"handsome" 2 2 5 6 8 2 3 0 7 7 2 1 2 6 0 1 3 1 3 0 5 3 2 3 2 1 3 2 3 8 1 2 0 6 1 2 2 3 26 3 0 26 0 4 6 2 0 0 0 0 3 30 1 4 4 6 2 2 23 5 1 3 1 3 1 11 5 3 3 3 3 4 1 7 2 2 2 8 1 8 3 1 1 3 2 3 4 3 3 3 21
"happy" 2 15 8 5 7 13 4 3 15 16 8 5 3 7 4 4 12 9 5 3 13 8 6 6 5 6 7 3 4 18 11 9 5 10 6 5 11 15 55 2 6 59 4 0 12 14 3 4 2 6 15 64 3 8 5 14 8 3 45 8 4 6 5 19 6 36 8 8 8 11 14 3 4 8 4 6 7 34 8 16 7 11 3 8 8 3 13 7 7 13 50
"hard" 0 4 3 7 4 8 1 4 10 9 4 5 2 7 4 4 12 2 1 2 12 5 8 2 5 2 2 0 1 6 11 3 2 7 2 3 1 6 42 1 0 37 6 12 0 8 2 1 2 3 7 49 2 7 2 7 3 2 40 10 6 4 6 3 1 33 6 7 6 6 8 7 2 11 5 4 1 20 11 6 2 2 1 1 10 3 7 6 5 5 34
"honest" 2 1 1 1 3 2 1 2 6 8 2 1 0 4 1 0 3 5 2 3 11 3 1 2 2 4 5 1 1 8 2 5 0 3 0 4 5 4 28 2 0 26 2 14 8 0 1 2 0 0 5 27 1 6 0 4 0 1 15 9 3 3 6 3 2 16 1 4 2 4 3 1 3 6 1 4 0 11 2 8 1 1 1 2 4 1 6 3 6 5 21
"impatient" 3 3 1 1 1 6 0 1 3 0 0 0 0 1 0 1 1 1 0 0 3 2 1 0 0 1 0 0 0 2 2 0 1 0 1 0 1 2 9 0 0 15 0 3 2 1 0 2 1 3 2 14 0 5 0 3 0 1 9 3 0 2 0 2 1 7 2 1 2 1 5 1 1 1 1 0 1 7 0 2 0 1 1 0 1 0 3 1 1 2 12
"important" 2 3 1 1 1 2 0 1 2 3 0 1 0 0 2 0 3 6 0 2 3 1 0 0 2 3 1 0 1 3 2 1 1 2 0 1 2 1 10 0 0 14 0 4 1 2 2 0 1 2 3 14 0 1 1 1 0 2 8 0 3 2 2 3 1 10 2 2 0 4 2 0 1 1 0 0 0 5 0 4 3 3 1 0 0 1 4 2 1 2 12
"interesting" 1 1 3 0 1 2 2 1 0 2 0 1 1 0 2 1 4 1 1 0 1 0 2 1 3 1 1 2 0 6 1 0 0 1 0 1 0 3 10 0 0 13 0 2 2 0 1 1 0 1 0 12 0 0 1 4 0 0 7 3 1 1 2 3 0 6 1 4 0 3 0 3 2 0 0 0 2 7 0 6 0 1 2 1 0 0 1 0 1 2 9
"jealous" 1 3 2 1 1 5 3 4 3 1 1 4 2 1 1 4 2 1 0 0 1 0 3 1 1 1 1 1 1 3 4 0 0 3 3 1 1 2 12 0 0 13 0 6 3 0 3 2 1 0 1 13 0 3 0 4 2 0 10 2 1 0 3 4 2 9 2 2 5 4 4 4 3 1 1 1 3 5 0 3 2 1 1 0 1 0 2 1 2 2 14
"kind" 2 7 2 7 2 7 2 1 7 9 3 2 1 4 2 0 8 3 2 1 7 2 3 4 3 2 6 2 0 13 2 4 2 7 4 3 2 6 32 2 1 35 3 15 7 5 2 3 0 1 0 35 2 6 2 6 2 1 22 8 7 1 0 9 3 27 4 4 1 4 7 4 2 4 1 3 2 22 5 6 4 6 1 4 4 2 4 4 1 12 25
"little" 17 31 21 26 24 38 13 14 42 43 13 15 12 21 13 14 52 18 13 11 45 21 14 14 17 11 15 13 11 54 26 14 15 38 14 9 25 43 187 11 14 209 30 64 49 27 14 14 12 13 35 0 7 44 19 40 16 12 167 57 19 22 21 39 13 118 30 29 29 27 38 29 12 27 14 14 24 93 26 52 26 18 18 16 19 13 42 26 20 40 171
"lively" 1 3 2 1 3 0 0 1 1 1 0 0 2 3 1 0 3 2 0 1 4 1 1 3 0 1 2 0 0 3 1 0 0 2 0 0 1 3 10 1 1 9 1 3 2 1 0 0 0 0 2 7 0 1 1 2 0 1 7 3 2 1 0 0 1 8 2 3 4 2 1 3 1 1 1 0 2 3 0 1 0 1 0 0 0 3 2 2 1 3 7
"loud" 2 2 1 9 3 7 2 4 10 6 2 4 2 3 1 2 5 2 5 3 7 3 0 2 2 3 2 2 2 9 3 1 3 5 4 3 4 7 31 2 3 40 4 8 7 6 5 1 0 3 6 44 1 0 1 4 2 2 32 10 4 5 4 7 1 18 4 4 3 0 10 6 1 7 4 1 3 19 2 6 5 1 7 2 3 2 5 5 5 6 29
"lovely" 1 3 4 1 3 2 0 1 3 7 1 0 4 2 0 1 5 2 0 0 1 2 1 3 2 0 1 1 0 6 3 0 0 3 2 4 4 5 11 4 2 17 4 5 2 0 0 1 1 0 2 19 1 1 0 2 0 2 11 3 0 2 1 7 1 7 2 0 3 3 5 3 1 3 1 0 0 3 2 3 4 2 2 0 1 1 5 2 1 3 15
"natural" 4 3 5 3 2 9 4 1 4 8 1 2 2 6 0 1 12 2 1 0 3 3 2 3 3 2 1 1 5 11 6 3 0 8 2 0 5 8 34 3 1 35 6 14 7 4 3 1 4 4 6 40 2 4 2 0 5 2 27 8 1 2 3 8 5 21 4 5 5 3 11 3 4 3 6 3 5 20 3 10 4 5 2 8 4 1 3 6 3 4 32
"nervous" 1 3 0 3 2 2 3 1 2 2 0 1 1 2 1 2 3 0 1 1 4 1 2 1 1 0 0 3 0 1 3 1 0 1 1 0 2 4 14 1 2 13 2 8 3 0 0 0 0 2 2 16 0 2 0 5 0 2 11 2 1 1 2 1 1 5 4 2 2 2 1 3 1 1 1 2 2 9 3 4 5 0 1 2 3 1 2 2 2 1 11
"nice" 2 1 1 1 1 2 1 2 2 2 0 0 0 2 1 0 3 2 1 2 2 3 0 2 1 0 0 0 1 3 0 0 1 2 1 1 0 4 12 0 1 12 2 3 2 1 1 2 0 0 1 12 1 2 2 2 2 0 9 3 0 1 1 2 2 7 1 3 4 3 0 2 1 1 1 1 4 1 3 2 4 1 1 2 0 1 2 1 1 2 10
"old" 16 23 13 21 15 28 6 9 29 29 7 12 11 19 12 10 40 13 11 8 25 17 12 11 11 12 9 7 8 41 21 12 11 34 16 4 19 30 132 6 8 145 23 45 40 15 9 8 7 10 22 167 7 32 11 27 11 9 0 41 11 16 16 28 12 87 22 26 16 19 33 20 6 21 13 10 16 72 22 38 18 13 13 12 14 14 28 23 14 30 125
"open" 8 8 5 8 5 8 4 3 13 5 3 4 0 6 3 1 13 6 2 1 16 8 3 4 2 4 2 7 0 13 6 0 5 12 3 0 8 10 41 3 3 53 5 8 10 9 3 0 3 2 8 57 3 10 3 8 2 3 41 0 3 10 7 13 5 22 5 9 8 9 15 4 5 11 2 1 7 24 5 15 2 5 2 4 6 3 13 8 4 8 33
"ordinary" 1 4 1 1 1 2 1 5 3 2 1 2 1 1 0 1 7 2 0 3 3 0 1 1 3 1 4 1 1 8 3 0 1 5 1 3 0 2 20 1 0 18 1 4 6 3 0 3 1 1 7 19 2 4 0 1 1 0 11 3 0 2 2 3 0 12 5 6 6 3 1 6 2 1 0 1 4 10 4 5 1 3 0 1 1 4 3 2 3 2 19
"original" 5 1 1 1 1 3 0 2 3 6 0 0 2 5 1 1 6 3 0 2 6 3 0 0 0 2 2 1 1 4 4 1 1 6 1 1 4 4 20 4 1 23 3 6 4 3 2 2 1 0 1 22 1 5 2 2 1 1 16 10 2 0 4 6 1 9 1 4 1 3 3 1 0 2 2 1 3 5 0 8 1 2 2 0 1 1 5 2 3 2 15
"plain" 0 3 4 1 3 1 1 3 3 4 1 0 1 1 0 2 5 1 0 1 5 0 2 1 1 3 2 2 1 5 6 1 0 7 1 3 4 4 20 2 1 18 1 5 6 6 0 2 2 3 0 21 0 4 1 3 2 1 16 7 2 4 0 5 1 12 2 3 4 3 6 3 1 3 2 1 2 6 4 5 4 3 0 2 2 1 3 3 1 3 13
"pleasant" 3 4 9 1 4 8 0 2 8 10 4 1 3 5 4 2 8 5 4 0 6 4 1 3 2 4 4 3 2 15 14 1 5 11 1 3 9 8 34 2 3 44 3 19 3 3 2 3 3 4 9 39 0 7 7 8 1 2 28 13 3 6 5 0 5 21 1 7 2 8 12 2 2 6 3 1 3 13 6 10 4 6 4 5 4 1 7 7 1 9 29
"pleased" 2 3 1 2 0 4 2 1 0 2 0 1 0 1 2 1 2 1 0 1 2 2 0 3 0 1 1 1 2 5 1 1 1 1 4 0 2 3 10 0 0 14 1 6 1 2 1 1 0 2 3 13 1 1 1 5 1 2 12 5 0 1 1 5 0 9 1 2 3 5 2 3 4 1 2 0 2 9 3 4 0 1 1 0 1 1 3 3 0 4 11
"poor" 8 21 10 14 6 22 4 9 19 19 9 8 8 10 9 8 29 13 8 6 23 8 10 7 12 8 8 7 5 27 10 10 7 22 14 6 8 26 99 4 5 109 11 36 33 16 7 10 6 9 27 118 8 18 7 21 5 7 87 22 12 9 12 21 9 0 17 13 16 11 24 15 6 13 7 12 12 48 18 26 11 12 3 8 14 8 17 14 12 27 91
"pretty" 2 7 4 2 2 6 3 4 3 5 1 4 2 2 2 3 5 1 0 1 6 0 2 4 3 0 4 2 3 5 4 1 2 3 2 0 2 6 24 1 3 24 5 8 6 1 2 2 1 2 4 30 2 4 2 4 4 1 22 5 5 1 2 1 1 17 0 6 6 3 4 4 3 2 1 2 2 14 2 3 2 3 1 1 0 1 3 1 2 6 22
"private" 2 4 7 3 2 5 4 1 1 6 0 2 2 4 0 0 3 3 3 3 11 4 2 2 6 0 6 1 5 11 6 0 5 8 3 2 5 3 25 2 1 29 3 8 7 4 1 2 4 2 4 29 3 4 0 5 2 3 26 9 6 4 3 7 2 13 6 0 5 6 4 8 4 4 2 3 6 17 5 8 4 3 1 1 3 2 3 4 3 7 25
"proper" 2 7 3 2 5 3 2 2 3 4 2 2 2 2 2 1 8 3 2 3 6 2 2 3 2 2 0 3 1 5 3 1 2 5 0 1 0 4 26 1 2 21 3 8 6 2 2 0 0 5 1 29 4 3 3 5 2 4 16 8 6 1 4 2 3 16 6 5 0 2 3 5 4 2 4 0 7 11 1 4 3 1 1 1 1 3 4 4 4 6 26
"proud" 2 5 3 3 2 7 1 3 2 7 1 2 0 2 1 1 5 3 1 1 1 4 3 6 5 0 3 3 1 7 7 3 1 4 3 2 5 9 20 0 3 27 3 11 6 4 1 4 3 4 4 27 2 0 3 3 2 3 19 9 3 3 3 8 5 11 3 6 2 0 1 5 3 4 0 2 8 11 1 12 1 5 2 0 2 2 8 4 2 7 21
