"affectionate" "afraid" "agreeable" "alone" "amazing" "angry" "anxious" "bad" "beautiful" "blind" "bright" "busy" "calm" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "difficult" "extraordinary" "fair" "faithful" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "modest" "natural" "nice" "noisy" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "popular" "pretty" "private" "professional" "proper" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "short" "smart" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "thoughtful" "tired" "violent" "warm" "weak" "well" "worthy" "young"
"plain" 3 5 5 6 2 3 5 4 4 1 5 1 0 4 10 1 5 2 6 5 3 1 4 8 3 0 3 1 4 4 5 8 22 4 25 4 8 3 2 2 1 2 3 30 3 0 2 2 2 1 29 9 2 5 0 10 3 11 2 4 3 2 2 3 6 5 2 2 2 11 2 3 10 6 1 2 2 1 2 2 1 3 6 0 1 19
"pleasant" 2 8 5 5 1 2 4 6 6 5 12 3 4 3 9 5 13 2 8 10 1 1 7 5 5 3 3 2 2 6 4 10 28 3 29 2 12 4 6 3 2 4 7 39 3 4 0 6 2 4 38 15 3 6 10 0 3 17 3 3 4 2 3 11 6 7 3 6 2 15 2 8 11 2 5 1 2 2 4 6 0 8 7 1 3 22
"pleased" 0 1 0 2 1 0 3 2 3 2 4 1 3 0 3 1 2 1 1 1 2 2 1 2 1 0 1 1 1 3 2 4 10 2 10 0 3 1 1 0 1 1 2 11 0 2 0 0 0 0 11 1 0 1 3 3 0 5 0 2 2 2 1 3 2 1 0 0 0 2 0 3 5 2 1 0 0 2 0 2 0 0 2 0 1 3
"poor" 7 13 9 17 1 9 17 12 14 3 19 11 6 10 22 5 15 3 27 17 6 8 7 10 9 7 9 6 4 4 13 20 66 15 62 3 25 13 6 5 3 5 17 85 9 4 0 12 2 10 77 30 4 13 11 17 5 0 0 6 8 5 5 22 7 9 7 15 2 30 4 19 21 5 8 5 5 9 10 16 4 13 12 4 6 42
"popular" 0 1 1 4 0 1 0 3 0 1 0 1 1 0 2 0 3 0 5 2 0 0 0 3 2 0 2 1 1 2 1 2 6 1 9 0 2 1 1 1 1 1 1 10 1 1 0 4 0 0 7 5 1 3 2 3 0 0 0 2 4 2 0 1 3 1 1 0 2 8 2 0 2 0 0 0 0 1 0 0 0 0 1 1 2 4
"pretty" 0 2 1 3 2 1 4 1 2 1 2 3 0 1 3 0 2 0 5 1 1 1 0 3 2 0 1 4 1 2 2 2 12 1 12 1 3 1 3 3 1 1 0 14 1 1 1 0 0 2 14 5 0 2 4 3 2 6 2 0 1 1 0 1 1 0 0 2 0 5 1 4 7 1 2 1 0 2 0 2 1 0 1 1 0 7
"private" 1 1 2 4 1 0 1 5 1 0 3 1 0 3 7 0 4 1 3 4 1 0 3 3 4 0 2 1 0 4 2 2 13 2 15 1 3 1 2 2 2 1 2 21 1 1 2 1 2 1 16 5 0 0 3 4 2 8 4 1 0 4 2 2 4 1 2 2 3 11 1 2 4 1 1 0 3 1 0 4 0 4 0 0 3 8
"professional" 1 1 1 2 0 0 2 4 0 0 1 0 0 0 3 0 1 1 0 2 1 1 0 1 2 0 0 0 0 2 1 6 11 1 9 0 0 0 0 1 0 2 1 11 1 2 0 2 1 0 6 2 0 0 2 2 2 5 2 1 4 0 1 0 3 1 0 1 0 5 0 1 3 1 0 0 1 0 1 3 1 2 3 1 2 4
"proper" 1 3 3 1 0 1 2 3 2 1 3 2 1 1 8 2 1 1 2 3 1 2 1 5 1 1 1 1 0 1 1 1 13 2 14 1 2 1 2 1 1 1 1 15 1 0 0 0 3 1 11 4 1 2 2 3 1 5 0 0 2 1 0 1 5 1 0 1 3 6 1 3 2 1 4 0 0 0 0 3 2 3 1 0 2 10
"quiet" 5 8 1 10 2 4 6 1 9 2 16 7 7 6 6 2 9 1 13 6 4 2 6 1 4 3 4 5 3 2 7 15 33 3 29 2 24 9 4 2 1 2 9 40 2 1 2 6 3 6 44 15 1 7 3 11 3 22 1 1 2 0 1 0 5 5 0 7 0 13 1 17 14 5 5 4 5 2 4 5 2 5 8 4 0 23
