"anne_page::stable—generally";"hugh_evans::stable—generally"
"barnaby::casual";"barnaby::patient"
"barnaby::casual";"barnaby::quiet"
"barnaby::casual";"barnaby::wildness"
"barnaby::patient";"barnaby::quiet"
"barnaby::patient";"barnaby::wildness"
"barnaby::quiet";"barnaby::wildness"
"barnaby::wiser";"varden::wiser"
"gabriel::mild";"gabriel::quiet"
"gabriel::forward";"gabriel::hasty"
"gabriel::forward";"gabriel::silent"
"gabriel::hasty";"gabriel::silent"
"barnaby::just";"varden::just"
"edward::accommodating";"edward::bold"
"edward::accommodating";"varden::accommodating"
"edward::accommodating";"varden::bold"
"edward::bold";"varden::accommodating"
"edward::bold";"varden::bold"
"varden::accommodating";"varden::bold"
"varden::alert";"varden::directions?'"
"barnaby::earnestly";"barnaby::just"
"barnaby::earnestly";"gabriel::earnestly"
"barnaby::earnestly";"gabriel::just"
"barnaby::just";"gabriel::earnestly"
"barnaby::just";"gabriel::just"
"gabriel::earnestly";"gabriel::just"
"mrs_varden::genteel";"mrs_varden::prejudices"
"miggs::acid";"miggs::shrewish"
"miggs::bold";"miggs::consideration"
"miggs::bold";"miggs::kindly"
"miggs::consideration";"miggs::kindly"
"miggs::spitefulness";"mrs_varden::spitefulness"
"martha::#-question";"martha::complain"
"martha::#-question";"mrs_varden::#-question"
"martha::#-question";"mrs_varden::complain"
"martha::complain";"mrs_varden::#-question"
"martha::complain";"mrs_varden::complain"
"mrs_varden::#-question";"mrs_varden::complain"
"varden::agreeable?";"varden::pleasant"
"barnaby::carefully";"barnaby::deep"
"george::quick";"tappertit::quick"
"tappertit::brave";"tappertit::condescended"
"tappertit::brave";"tappertit::gallant"
"tappertit::brave";"tappertit::warm"
"tappertit::condescended";"tappertit::gallant"
"tappertit::condescended";"tappertit::warm"
"tappertit::gallant";"tappertit::warm"
"tappertit::gentleman";"tappertit::profound"
"tappertit::companion";"tappertit::deliberately"
"curzon::gracious";"tappertit::gracious"
"stagg::#-exactly";"tappertit::#-exactly"
"joe::hasty";"joe::quarrels"
"joe::hasty";"joseph_willet::hasty"
"joe::hasty";"joseph_willet::quarrels"
"joe::hasty";"joseph::hasty"
"joe::hasty";"joseph::quarrels"
"joe::quarrels";"joseph_willet::hasty"
"joe::quarrels";"joseph_willet::quarrels"
"joe::quarrels";"joseph::hasty"
"joe::quarrels";"joseph::quarrels"
"joseph_willet::hasty";"joseph_willet::quarrels"
"joseph_willet::hasty";"joseph::hasty"
"joseph_willet::hasty";"joseph::quarrels"
"joseph_willet::quarrels";"joseph::hasty"
"joseph_willet::quarrels";"joseph::quarrels"
"joseph::hasty";"joseph::quarrels"
"miggs::earnestness";"tappertit::earnestness"
"miggs::gentle";"miggs::rough"
"john::gentleman";"john::placid"
"john::gentleman";"john::prime"
"john::placid";"john::prime"
"john::curtseying";"john::distracted"
"john::curtseying";"john::gentleman"
"john::curtseying";"john::questionings"
"john::distracted";"john::gentleman"
"john::distracted";"john::questionings"
"john::gentleman";"john::questionings"
"hugh_john::business";"hugh_john::kind"
"barnaby::bland";"barnaby::courteous"
"barnaby::bland";"john::bland"
"barnaby::bland";"john::courteous"
"barnaby::courteous";"john::bland"
"barnaby::courteous";"john::courteous"
"john::bland";"john::courteous"
"barnaby::question";"john::question"
"barnaby::lives";"john::lives"
"barnaby::lives";"mrs_rudge::lives"
"john::lives";"mrs_rudge::lives"
"john::gentleman'";"john::pleasure"
"john::determined";"john::opportunity"
"haredale::just";"john::just"
