"henry_dashwood::cheerfulness";"henry_dashwood::constant"
"elinor_dashwood::unkindly";"willoughby::unkindly"
"dashwood::constant";"dashwood::serious"
"elinor::particulars";"jennings::particulars"
"middleton::agreeable";"middleton::silent"
"brandon::companion";"brandon::pleasure"
"brandon::companion";"elinor::companion"
"brandon::companion";"elinor::pleasure"
"brandon::pleasure";"elinor::companion"
"brandon::pleasure";"elinor::pleasure"
"elinor::companion";"elinor::pleasure"
"brandon::consolation";"brandon::indifference"
"brandon::consolation";"elinor::consolation"
"brandon::consolation";"elinor::indifference"
"brandon::consolation";"marianne::consolation"
"brandon::consolation";"marianne::indifference"
"brandon::indifference";"elinor::consolation"
"brandon::indifference";"elinor::indifference"
"brandon::indifference";"marianne::consolation"
"brandon::indifference";"marianne::indifference"
"elinor::consolation";"elinor::indifference"
"elinor::consolation";"marianne::consolation"
"elinor::consolation";"marianne::indifference"
"elinor::indifference";"marianne::consolation"
"elinor::indifference";"marianne::indifference"
"marianne::consolation";"marianne::indifference"
"elinor::justify";"elinor::reasonable"
"elinor::amiable";"elinor::prejudices"
"marianne::considering";"marianne::stable"
"marianne::considering";"willoughby::considering"
"marianne::considering";"willoughby::stable"
"marianne::stable";"willoughby::considering"
"marianne::stable";"willoughby::stable"
"willoughby::considering";"willoughby::stable"
"elinor::warmly";"willoughby::warmly"
"john_i::lived";"willoughby::lived"
"margaret::communicated";"margaret::opportunity"
"margaret::communicated";"marianne::communicated"
"margaret::communicated";"marianne::opportunity"
"margaret::communicated";"willoughby::communicated"
"margaret::communicated";"willoughby::opportunity"
"margaret::opportunity";"marianne::communicated"
"margaret::opportunity";"marianne::opportunity"
"margaret::opportunity";"willoughby::communicated"
"margaret::opportunity";"willoughby::opportunity"
"marianne::communicated";"marianne::opportunity"
"marianne::communicated";"willoughby::communicated"
"marianne::communicated";"willoughby::opportunity"
"marianne::opportunity";"willoughby::communicated"
"marianne::opportunity";"willoughby::opportunity"
"willoughby::communicated";"willoughby::opportunity"
"elinor::certain";"marianne::certain"
"elinor::particular";"jennings::particular"
"elinor::particular";"margaret::particular"
"jennings::particular";"margaret::particular"
"margaret::sincerely";"marianne::sincerely"
"margaret::warmth";"marianne::warmth"
"elinor::inelegant";"marianne::inelegant"
"elinor::inelegant";"middleton::inelegant"
"marianne::inelegant";"middleton::inelegant"
"dashwood::bold";"dashwood::cold"
"dashwood::bold";"dashwood::considering"
"dashwood::bold";"elinor::bold"
"dashwood::bold";"elinor::cold"
"dashwood::bold";"elinor::considering"
"dashwood::cold";"dashwood::considering"
"dashwood::cold";"elinor::bold"
"dashwood::cold";"elinor::cold"
"dashwood::cold";"elinor::considering"
"dashwood::considering";"elinor::bold"
"dashwood::considering";"elinor::cold"
"dashwood::considering";"elinor::considering"
"elinor::bold";"elinor::cold"
"elinor::bold";"elinor::considering"
"elinor::cold";"elinor::considering"
"elinor::frightened";"whitwell::frightened"
"brandon::eagerly";"marianne::eagerly"
"elinor::pleasure";"marianne::pleasure"
"elinor::pleasure";"willoughby::pleasure"
"marianne::pleasure";"willoughby::pleasure"
"brandon::determined";"john::determined"
"jennings::business";"john::business"
"elinor::loud";"jennings::loud"
"elinor::loud";"marianne::loud"
"elinor::loud";"willoughby::loud"
"jennings::loud";"marianne::loud"
"jennings::loud";"willoughby::loud"
"marianne::loud";"willoughby::loud"
"marianne::#-companion";"smith::#-companion"
"marianne::#-companion";"willoughby::#-companion"
"smith::#-companion";"willoughby::#-companion"
"jennings::lives";"marianne::lives"
"marianne::#-justified";"willoughby::#-justified"
"brandon::determination";"brandon::kind"
"brandon::determination";"jennings::determination"
"brandon::determination";"jennings::kind"
"brandon::kind";"jennings::determination"
"brandon::kind";"jennings::kind"
"jennings::determination";"jennings::kind"
"brandon::melancholy";"jennings::melancholy"
"brandon::#-justify";"elinor::#-justify"
"brandon::#-justify";"jennings::#-justify"
"elinor::#-justify";"jennings::#-justify"
"john::complained";"john::lived"
"marianne::certain";"marianne::considered"
"barton::kind";"smith::kind"
"dashwood::just";"willoughby::just"
"dashwood::#-foresight";"willoughby::#-foresight"
"willoughby::directly";"willoughby::just"
"smith::business";"smith::dependent"
"smith::question";"willoughby::question"
"elinor::distrust";"elinor::just"
"marianne::considered";"marianne::reasonably"
"marianne::considered";"marianne::serious"
"marianne::reasonably";"marianne::serious"
"marianne::affection";"willoughby::affection"
"smith::proper";"willoughby::proper"
"smith::just";"smith::suspicious"
"smith::just";"smith::ungenerous"
"smith::suspicious";"smith::ungenerous"
"elinor::justice";"margaret::justice"
"marianne::consolation";"marianne::giving"
"marianne::consolation";"willoughby::consolation"
"marianne::consolation";"willoughby::giving"
"marianne::giving";"willoughby::consolation"
"marianne::giving";"willoughby::giving"
"willoughby::consolation";"willoughby::giving"
"marianne::affection";"willoughby::natural"
"marianne::natural";"willoughby::affection"
"marianne::natural";"willoughby::natural"
"willoughby::affection";"willoughby::natural"
"marianne::unreserve";"willoughby::unreserve"
"marianne::confidence";"marianne::direct\""
"elinor::#-controlled";"marianne::#-controlled"
"elinor::gentleman";"marianne::gentleman"
"edward_ferrars::abruptly";"marianne::abruptly"
"edward_ferrars::abruptly";"willoughby::abruptly"
"marianne::abruptly";"willoughby::abruptly"
"edward::coldness";"marianne::coldness"
"edward::directly";"marianne::directly"
"john::pleasant";"lady_middleton::pleasant"
"john::pleasant";"marianne::pleasant"
"lady_middleton::pleasant";"marianne::pleasant"
"elinor::coldness";"elinor::severely"
"barton::natural";"dashwood::natural"
"barton::expression";"dashwood::expression"
"elinor::steadfast";"marianne::steadfast"
"edward::reproach";"marianne::reproach"
"elinor::lively";"marianne::lively"
"elinor::ingenious";"elinor::kind"
"elinor::contrary\"";"elinor::expressively"
"elinor::contrary\"";"marianne::contrary\""
"elinor::contrary\"";"marianne::expressively"
"elinor::expressively";"marianne::contrary\""
"elinor::expressively";"marianne::expressively"
"marianne::contrary\"";"marianne::expressively"
"elinor::question";"marianne::question"
"elinor::shyness";"marianne::shyness"
"edward::#-knowledge";"edward::question"
"edward::#-knowledge";"marianne::#-knowledge"
"edward::#-knowledge";"marianne::question"
"edward::question";"marianne::#-knowledge"
"edward::question";"marianne::question"
"marianne::#-knowledge";"marianne::question"
"edward::kind";"elinor::kind"
"edward::fastidious";"elinor::fastidious"
"marianne::silent";"marianne::thoughtfully"
"dashwood::directly";"edward::directly"
"edward::inconsiderately";"marianne::inconsiderately"
"elinor::exactly";"elinor::opportunity"
"elinor::exactly";"marianne::exactly"
"elinor::exactly";"marianne::opportunity"
"elinor::opportunity";"marianne::exactly"
"elinor::opportunity";"marianne::opportunity"
"marianne::exactly";"marianne::opportunity"
"marianne::severely";"marianne::speedy"
"jennings::gentleman";"john::gentleman"
"john::certain";"willoughby::certain"
"edward::suspicions";"marianne::suspicions"
"edward::expressions";"marianne::expressions"
"edward::confused";"edward::quiet"
"edward::confused";"marianne::confused"
"edward::confused";"marianne::quiet"
"edward::quiet";"marianne::confused"
"edward::quiet";"marianne::quiet"
"marianne::confused";"marianne::quiet"
"dashwood::earnestly";"edward::earnestly"
"dashwood::quickly--he";"edward::quickly--he"
"dashwood::#-pleasure";"edward::#-pleasure"
"dashwood::kindness";"edward::kindness"
"dashwood::restraint";"edward::restraint"
"willoughby::candid";"willoughby::generous"
"columella::serious";"dashwood::serious"
"dashwood::#-communicated";"elinor::#-communicated"
"marianne::determination";"marianne::judiciously"
"edward::determined";"edward::meditation"
"edward::determined";"edward::tenderness"
"edward::determined";"elinor::determined"
"edward::determined";"elinor::meditation"
"edward::determined";"elinor::tenderness"
"edward::meditation";"edward::tenderness"
"edward::meditation";"elinor::determined"
"edward::meditation";"elinor::meditation"
"edward::meditation";"elinor::tenderness"
"edward::tenderness";"elinor::determined"
"edward::tenderness";"elinor::meditation"
"edward::tenderness";"elinor::tenderness"
"elinor::determined";"elinor::meditation"
"elinor::determined";"elinor::tenderness"
"elinor::meditation";"elinor::tenderness"
"edward::conversation";"elinor::conversation"
"edward::reflection";"elinor::reflection"
"jennings::gentleman";"lady_middleton::gentleman"
"john::gentleman";"lady_middleton::gentleman"
"lady_middleton::expression";"palmer::expression"
"lady_middleton::elegant";"palmer::elegant"
"palmer::civil";"palmer::contrary"
"middleton::conversation";"palmer::conversation"
"jennings::question";"palmer::question"
"jennings::anxious";"palmer::anxious"
"elinor::civil";"elinor::kind"
"elinor::merry";"marianne::merry"
"elinor::merry";"palmer::merry"
"marianne::merry";"palmer::merry"
"elinor::affectionately";"marianne::affectionately"
"elinor::affectionately";"palmer::affectionately"
"marianne::affectionately";"palmer::affectionately"
"elinor::just";"marianne::just"
"elinor::just";"palmer::just"
"marianne::just";"palmer::just"
"elinor::complaining";"marianne::complaining"
"elinor::complaining";"palmer::complaining"
"marianne::complaining";"palmer::complaining"
"palmer::determined";"palmer::thoroughly"
"elinor::kind";"elinor::soured"
"elinor::excessively";"palmer::excessively"
"palmer::excessively";"palmer::pleasant"
"john::eager";"john::lived"
"john::eager";"john::particular"
"john::eager";"lady_middleton::eager"
"john::eager";"lady_middleton::lived"
"john::eager";"lady_middleton::particular"
"john::eager";"marianne::eager"
"john::eager";"marianne::lived"
"john::eager";"marianne::particular"
"john::eager";"palmer::eager"
"john::eager";"palmer::lived"
"john::eager";"palmer::particular"
"john::eager";"willoughby::eager"
"john::eager";"willoughby::lived"
"john::eager";"willoughby::particular"
"john::lived";"john::particular"
"john::lived";"lady_middleton::eager"
"john::lived";"lady_middleton::particular"
"john::lived";"marianne::eager"
"john::lived";"marianne::lived"
"john::lived";"marianne::particular"
"john::lived";"palmer::eager"
"john::lived";"palmer::lived"
"john::lived";"palmer::particular"
"john::lived";"willoughby::eager"
"john::lived";"willoughby::lived"
"john::lived";"willoughby::particular"
"john::particular";"lady_middleton::eager"
"john::particular";"lady_middleton::lived"
"john::particular";"marianne::eager"
"john::particular";"marianne::lived"
"john::particular";"marianne::particular"
"john::particular";"palmer::eager"
"john::particular";"palmer::lived"
"john::particular";"palmer::particular"
"john::particular";"willoughby::eager"
"john::particular";"willoughby::lived"
"john::particular";"willoughby::particular"
"lady_middleton::eager";"lady_middleton::lived"
"lady_middleton::eager";"lady_middleton::particular"
"lady_middleton::eager";"marianne::eager"
"lady_middleton::eager";"marianne::lived"
"lady_middleton::eager";"marianne::particular"
"lady_middleton::eager";"palmer::eager"
"lady_middleton::eager";"palmer::lived"
"lady_middleton::eager";"palmer::particular"
"lady_middleton::eager";"willoughby::eager"
"lady_middleton::eager";"willoughby::lived"
"lady_middleton::eager";"willoughby::particular"
"lady_middleton::lived";"lady_middleton::particular"
"lady_middleton::lived";"marianne::eager"
"lady_middleton::lived";"marianne::lived"
"lady_middleton::lived";"marianne::particular"
"lady_middleton::lived";"palmer::eager"
"lady_middleton::lived";"palmer::lived"
"lady_middleton::lived";"palmer::particular"
"lady_middleton::lived";"willoughby::eager"
"lady_middleton::lived";"willoughby::lived"
"lady_middleton::lived";"willoughby::particular"
"lady_middleton::particular";"marianne::eager"
"lady_middleton::particular";"marianne::lived"
"lady_middleton::particular";"marianne::particular"
"lady_middleton::particular";"palmer::eager"
"lady_middleton::particular";"palmer::lived"
"lady_middleton::particular";"palmer::particular"
"lady_middleton::particular";"willoughby::eager"
"lady_middleton::particular";"willoughby::lived"
"lady_middleton::particular";"willoughby::particular"
"marianne::eager";"marianne::lived"
"marianne::eager";"marianne::particular"
"marianne::eager";"palmer::eager"
"marianne::eager";"palmer::lived"
"marianne::eager";"palmer::particular"
"marianne::eager";"willoughby::eager"
"marianne::eager";"willoughby::lived"
"marianne::eager";"willoughby::particular"
"marianne::lived";"marianne::particular"
"marianne::lived";"palmer::eager"
"marianne::lived";"palmer::lived"
"marianne::lived";"palmer::particular"
"marianne::lived";"willoughby::eager"
"marianne::lived";"willoughby::lived"
"marianne::lived";"willoughby::particular"
"marianne::particular";"palmer::eager"
"marianne::particular";"palmer::lived"
"marianne::particular";"palmer::particular"
"marianne::particular";"willoughby::eager"
"marianne::particular";"willoughby::lived"
"marianne::particular";"willoughby::particular"
"palmer::eager";"palmer::lived"
"palmer::eager";"palmer::particular"
"palmer::eager";"willoughby::eager"
"palmer::eager";"willoughby::lived"
"palmer::eager";"willoughby::particular"
"palmer::lived";"palmer::particular"
"palmer::lived";"willoughby::eager"
"palmer::lived";"willoughby::lived"
"palmer::lived";"willoughby::particular"
"palmer::particular";"willoughby::eager"
"palmer::particular";"willoughby::lived"
"palmer::particular";"willoughby::particular"
"willoughby::eager";"willoughby::lived"
"willoughby::eager";"willoughby::particular"
"willoughby::lived";"willoughby::particular"
"elinor::agreeable";"willoughby::agreeable"
"brandon::affection";"john::affection"
"elinor::active";"jennings::active"
"elinor::active";"john::active"
"elinor::active";"palmer::active"
"jennings::active";"john::active"
"jennings::active";"palmer::active"
"john::active";"palmer::active"
"jennings::directly";"john::directly"
"lady_middleton::civil";"lady_middleton::smart"
"lady_middleton::agreeable";"lady_middleton::enthusiastic"
"elinor::animated";"elinor::confidence"
"elinor::animated";"elinor::directly"
"elinor::animated";"john::animated"
"elinor::animated";"john::confidence"
"elinor::animated";"john::directly"
"elinor::animated";"lucy_steele::animated"
"elinor::animated";"lucy_steele::confidence"
"elinor::animated";"lucy_steele::directly"
"elinor::animated";"marianne_of_the_anne_steele::animated"
"elinor::animated";"marianne_of_the_anne_steele::confidence"
"elinor::animated";"marianne_of_the_anne_steele::directly"
"elinor::confidence";"elinor::directly"
"elinor::confidence";"john::animated"
"elinor::confidence";"john::confidence"
"elinor::confidence";"john::directly"
"elinor::confidence";"lucy_steele::animated"
"elinor::confidence";"lucy_steele::confidence"
"elinor::confidence";"lucy_steele::directly"
"elinor::confidence";"marianne_of_the_anne_steele::animated"
"elinor::confidence";"marianne_of_the_anne_steele::confidence"
"elinor::confidence";"marianne_of_the_anne_steele::directly"
"elinor::directly";"john::animated"
"elinor::directly";"john::confidence"
"elinor::directly";"john::directly"
"elinor::directly";"lucy_steele::animated"
"elinor::directly";"lucy_steele::confidence"
"elinor::directly";"lucy_steele::directly"
"elinor::directly";"marianne_of_the_anne_steele::animated"
"elinor::directly";"marianne_of_the_anne_steele::confidence"
"elinor::directly";"marianne_of_the_anne_steele::directly"
"john::animated";"john::confidence"
"john::animated";"john::directly"
"john::animated";"lucy_steele::animated"
"john::animated";"lucy_steele::confidence"
"john::animated";"lucy_steele::directly"
"john::animated";"marianne_of_the_anne_steele::animated"
"john::animated";"marianne_of_the_anne_steele::confidence"
"john::animated";"marianne_of_the_anne_steele::directly"
"john::confidence";"john::directly"
"john::confidence";"lucy_steele::animated"
"john::confidence";"lucy_steele::confidence"
"john::confidence";"lucy_steele::directly"
"john::confidence";"marianne_of_the_anne_steele::animated"
"john::confidence";"marianne_of_the_anne_steele::confidence"
"john::confidence";"marianne_of_the_anne_steele::directly"
"john::directly";"lucy_steele::animated"
"john::directly";"lucy_steele::confidence"
"john::directly";"lucy_steele::directly"
"john::directly";"marianne_of_the_anne_steele::animated"
"john::directly";"marianne_of_the_anne_steele::confidence"
"john::directly";"marianne_of_the_anne_steele::directly"
"lucy_steele::animated";"lucy_steele::confidence"
"lucy_steele::animated";"lucy_steele::directly"
"lucy_steele::animated";"marianne_of_the_anne_steele::animated"
"lucy_steele::animated";"marianne_of_the_anne_steele::confidence"
"lucy_steele::animated";"marianne_of_the_anne_steele::directly"
"lucy_steele::confidence";"lucy_steele::directly"
"lucy_steele::confidence";"marianne_of_the_anne_steele::animated"
"lucy_steele::confidence";"marianne_of_the_anne_steele::confidence"
"lucy_steele::confidence";"marianne_of_the_anne_steele::directly"
"lucy_steele::directly";"marianne_of_the_anne_steele::animated"
"lucy_steele::directly";"marianne_of_the_anne_steele::confidence"
"lucy_steele::directly";"marianne_of_the_anne_steele::directly"
"marianne_of_the_anne_steele::animated";"marianne_of_the_anne_steele::confidence"
"marianne_of_the_anne_steele::animated";"marianne_of_the_anne_steele::directly"
"marianne_of_the_anne_steele::confidence";"marianne_of_the_anne_steele::directly"
"elinor::learned";"elinor::understanding"
"anne_steele::indifference";"lucy_steele::indifference"
"elinor::agreeable";"elinor::civil"
"elinor::agreeable";"elinor::constant"
"elinor::agreeable";"elinor::judicious"
"elinor::agreeable";"elinor::kind"
"elinor::agreeable";"elinor::particularly"
"elinor::agreeable";"lady_middleton::agreeable"
"elinor::agreeable";"lady_middleton::civil"
"elinor::agreeable";"lady_middleton::constant"
"elinor::agreeable";"lady_middleton::judicious"
"elinor::agreeable";"lady_middleton::kind"
"elinor::agreeable";"lady_middleton::particularly"
"elinor::civil";"elinor::constant"
"elinor::civil";"elinor::judicious"
"elinor::civil";"elinor::particularly"
"elinor::civil";"lady_middleton::agreeable"
"elinor::civil";"lady_middleton::civil"
"elinor::civil";"lady_middleton::constant"
"elinor::civil";"lady_middleton::judicious"
"elinor::civil";"lady_middleton::kind"
"elinor::civil";"lady_middleton::particularly"
"elinor::constant";"elinor::judicious"
"elinor::constant";"elinor::kind"
