"thomas_--_thomas_gradgrind::exactly";"thomas_gradgrind::exactly"
"tom::coolness";"tom::particularly"
"sissy::questions";"tom::questions"
"bounderby::impatient";"sleary::impatient"
"bounderby::impatient";"tom::impatient"
"sleary::impatient";"tom::impatient"
"gradgrind::exclusively";"jupe::exclusively"
"stephen_blackpool::certain";"stephen_blackpool::kind"
"stephen_blackpool::certain";"stephen_blackpool::narrow"
"stephen_blackpool::certain";"stephen_blackpool::violent"
"stephen_blackpool::kind";"stephen_blackpool::narrow"
"stephen_blackpool::kind";"stephen_blackpool::violent"
"stephen_blackpool::narrow";"stephen_blackpool::violent"
"rachael::patient";"rachael::respectful"
"rachael::patient";"stephen::patient"
"rachael::patient";"stephen::respectful"
"rachael::respectful";"stephen::patient"
"rachael::respectful";"stephen::respectful"
"stephen::patient";"stephen::respectful"
"rachael::expression";"stephen::expression"
"rachael::honest";"stephen::honest"
"bounderby::curious";"bounderby::earnestly"
"bounderby::curious";"bounderby::expression"
"bounderby::curious";"bounderby::rugged"
"bounderby::curious";"bounderby::shrewd"
"bounderby::curious";"bounderby::tight"
"bounderby::earnestly";"bounderby::expression"
"bounderby::earnestly";"bounderby::rugged"
"bounderby::earnestly";"bounderby::shrewd"
"bounderby::earnestly";"bounderby::tight"
"bounderby::expression";"bounderby::rugged"
"bounderby::expression";"bounderby::shrewd"
"bounderby::expression";"bounderby::tight"
"bounderby::rugged";"bounderby::shrewd"
"bounderby::rugged";"bounderby::tight"
"bounderby::shrewd";"bounderby::tight"
"sparsit::gentle";"sparsit::moral"
"harry::deep";"stephen::deep"
"stephen::calm";"stephen::wild"
"stephen::bold";"stephen::hearty?'"
"stephen::bold";"stephen::outspoken"
"stephen::hearty?'";"stephen::outspoken"
"rachael::contentedly";"rachael::melancholy"
"rachael::contentedly";"rachael::quiet"
"rachael::melancholy";"rachael::quiet"
"stephen::certain";"stephen::merciful"
"rachael::cruel";"stephen::cruel"
"rachael::quietly";"stephen::quietly"
"mrs_blackpool::wiser'";"rachael::wiser'"
"mrs_blackpool::cautiously";"mrs_blackpool::greedy"
"stephen::assured";"stephen::disorder"
"gradgrind::understand";"louisa::understand"
"gradgrind::progress";"sissy::progress"
"gradgrind::progress";"young_thomas::progress"
"sissy::progress";"young_thomas::progress"
"louisa::bright";"louisa::quiet"
"louisa::bright";"louisa::reserved"
"louisa::quiet";"louisa::reserved"
"bounderby::understanding";"tom::understanding"
"tom::quickly";"tom::quiet"
"tom::fiery";"tom::kind"
"gradgrind::dispassionate";"louisa::dispassionate"
"bounderby::informed";"bounderby::particular"
"bounderby::informed";"bounderby::pleasure"
"bounderby::informed";"bounderby::progress"
"bounderby::particular";"bounderby::pleasure"
"bounderby::particular";"bounderby::progress"
"bounderby::pleasure";"bounderby::progress"
"bounderby::exactly";"louisa::exactly"
"bounderby::question—'";"gradgrind::question—'"
"louisa::demonstrate";"louisa::expression"
"louisa::demonstrate";"louisa::materially"
"louisa::expression";"louisa::materially"
"gradgrind::consideration";"gradgrind::question"
"gradgrind::consideration";"louisa::consideration"
"gradgrind::consideration";"louisa::question"
"gradgrind::question";"louisa::consideration"
"gradgrind::question";"louisa::question"
"louisa::consideration";"louisa::question"
"louisa::confidences";"louisa::deep-set"
"louisa::languid";"louisa::silently"
"gradgrind::lives";"louisa::lives"
"bounderby::steady";"bounderby::straight"
"bounderby::impatience";"gradgrind::impatience"
"gradgrind::affectionate";"gradgrind::worrying"
"gradgrind::solemnly";"louisa::solemnly"
"gradgrind::suggestion";"louisa::suggestion"
"louisa::cold—held";"louisa::impassive"
"louisa::cold—held";"louisa::proud"
"louisa::cold—held";"sissy::cold—held"
"louisa::cold—held";"sissy::impassive"
"louisa::cold—held";"sissy::proud"
"louisa::impassive";"louisa::proud"
"louisa::impassive";"sissy::cold—held"
"louisa::impassive";"sissy::impassive"
"louisa::impassive";"sissy::proud"
"louisa::proud";"sissy::cold—held"
"louisa::proud";"sissy::impassive"
"louisa::proud";"sissy::proud"
"sissy::cold—held";"sissy::impassive"
"sissy::cold—held";"sissy::proud"
"sissy::impassive";"sissy::proud"
"bounderby::abusive";"lady_scadgers::abusive"
"bounderby::courageous";"bounderby::direct"
"bounderby::courageous";"george::courageous"
"bounderby::courageous";"george::direct"
"bounderby::direct";"george::courageous"
"bounderby::direct";"george::direct"
"george::courageous";"george::direct"
"bounderby::cold";"bounderby::melancholy"
"bounderby::cold";"bounderby::tenderness"
"bounderby::cold";"sparsit::cold"
"bounderby::cold";"sparsit::melancholy"
"bounderby::cold";"sparsit::tenderness"
"bounderby::melancholy";"bounderby::tenderness"
"bounderby::melancholy";"sparsit::cold"
"bounderby::melancholy";"sparsit::melancholy"
"bounderby::melancholy";"sparsit::tenderness"
"bounderby::tenderness";"sparsit::cold"
"bounderby::tenderness";"sparsit::melancholy"
"bounderby::tenderness";"sparsit::tenderness"
"sparsit::cold";"sparsit::melancholy"
"sparsit::cold";"sparsit::tenderness"
"sparsit::melancholy";"sparsit::tenderness"
"jane_gradgrind::calculating";"jane_gradgrind::intellectual"
"bounderby::opportunity";"lyons::opportunity"
"sparsit::genteel";"sparsit::warm"
"sparsit::destruction";"sparsit::vague"
"sparsit::certain";"sparsit::communication"
"sparsit::certain";"sparsit::predatory"
"sparsit::communication";"sparsit::predatory"
"bitzer::understand";"sparsit::understand"
"sparsit::calculation";"sparsit::coldest"
"sparsit::calculation";"sparsit::principle"
"sparsit::coldest";"sparsit::principle"
"sparsit::philosophers";"sparsit::reasonable"
"bitzer::conversation";"sparsit::conversation"
"bounderby::business";"sparsit::business"
"sparsit::loudly";"sparsit::unconscious"
"bitzer::gentleman";"sparsit::gentleman"
"sparsit::certain";"sparsit::gallantry"
"bounderby::directions";"bounderby::intimated"
"bounderby::directions";"sparsit::directions"
"bounderby::directions";"sparsit::intimated"
"bounderby::intimated";"sparsit::directions"
"bounderby::intimated";"sparsit::intimated"
"sparsit::directions";"sparsit::intimated"
"jem::fraternally";"jem::jocular"
"gradgrind::political";"jem::political"
"harthouse::instructed";"harthouse::question"
"harthouse::pleasure";"tom_gradgrind::pleasure"
"bounderby::anticipate";"jem::anticipate"
"james_harthouse::indifferent";"james_harthouse::penetration"
"jem::graceful";"louisa::graceful"
"bounderby::punctual";"tom::punctual"
"bounderby::educated";"harthouse::educated"
"james_harthouse::negligent";"tom::negligent"
"bounderby::caustic";"james_harthouse::caustic"
"bounderby::caustic";"tom::caustic"
"james_harthouse::caustic";"tom::caustic"
"james::cooling";"loo::cooling"
"james::cooling";"tom::cooling"
"loo::cooling";"tom::cooling"
"james_harthouse::tense";"tom::tense"
"bounderby::warming-pan";"harthouse::warming-pan"
"bounderby::warming-pan";"tom::warming-pan"
"harthouse::warming-pan";"tom::warming-pan"
"mother_sparsit::affection";"tom::affection"
"castlereagh::quiet";"judas_iscariot::quiet"
"slackbridge::business";"stephen_blackpool::business"
"bounderby::rudely";"stephen::rudely"
"bounderby::rough";"stephen::rough"
"harthouse::direction";"harthouse::mischievous"
"blackpool::confidence";"bounderby::confidence"
"bounderby::confidence";"bounderby::consideration"
"bounderby::confidence";"bounderby::just"
"bounderby::consideration";"bounderby::just"
"chrisen::gentle";"chrisen::tender"
"louisa::natural";"stephen::natural"
"bounderby::straight";"stephen::straight"
"rachael::gentleness";"rachael::natural"
"rachael::anxiously";"rachael::quickly"
"rachael::anxiously";"stephen::anxiously"
"rachael::anxiously";"stephen::quickly"
"rachael::quickly";"stephen::anxiously"
"rachael::quickly";"stephen::quickly"
"stephen::anxiously";"stephen::quickly"
"pegler::calculation";"stephen::calculation"
"onny::nervousness";"pegler::nervousness"
"rachael::profoundly";"stephen::profoundly"
"rachael::abrupt";"rachael::timid"
"rachael::abrupt";"stephen::abrupt"
"rachael::abrupt";"stephen::timid"
"rachael::timid";"stephen::abrupt"
"rachael::timid";"stephen::timid"
"stephen::abrupt";"stephen::timid"
"rachael::kind";"stephen::kind"
"chesterfield::courtly";"chesterfield::expressing"
"bounderby::benevolence";"bounderby::philanthropy—never"
"harthouse::consistent";"harthouse::gentleman"
"bounderby::jocular";"bounderby::languidly"
"bounderby::elegant";"bounderby::live"
"louisa::confidence";"louisa::wise"
"bounderby::confidence";"harthouse::confidence"
"james_harthouse::#-complain";"james_harthouse::spirited"
"bounderby::graceless";"bounderby::worldly"
"bounderby::#-indifferent";"bounderby::consider"
"harthouse::suspicious";"tom_gradgrind::suspicious"
"harthouse::suspicious";"tom::suspicious"
"tom_gradgrind::suspicious";"tom::suspicious"
"harthouse::mercenary";"harthouse::sullenly"
"harthouse::mercenary";"tom::mercenary"
"harthouse::mercenary";"tom::sullenly"
"harthouse::sullenly";"tom::mercenary"
"harthouse::sullenly";"tom::sullenly"
"tom::mercenary";"tom::sullenly"
"harthouse::contrary";"tom::contrary"
"bounderby::disorder";"nickits::disorder"
"bounderby::disorder";"tom::disorder"
"nickits::disorder";"tom::disorder"
"bounderby::just";"nickits::just"
"bounderby::just";"tom::just"
"nickits::just";"tom::just"
"harthouse::companion";"harthouse::observant"
"james_harthouse::property";"thomas_gradgrind::property"
"harthouse::affected—but";"harthouse::thoroughly"
"harthouse::kindness'";"tom::kindness'"
"harthouse::exactly";"harthouse::selfish"
"harthouse::exactly";"tom::exactly"
"harthouse::exactly";"tom::selfish"
"harthouse::selfish";"tom::exactly"
"harthouse::selfish";"tom::selfish"
"tom::exactly";"tom::selfish"
"harthouse::agreeable";"harthouse::loving"
"harthouse::careless";"loo::careless"
"harthouse::careless";"tom::careless"
"loo::careless";"tom::careless"
"bounderby::alert";"tom::alert"
"bounderby::inwardly";"harthouse::inwardly"
"bounderby::giving";"james::giving"
"bounderby::giving";"bounderby::irritably"
"bounderby::giving";"sparsit::giving"
"bounderby::giving";"sparsit::irritably"
"bounderby::irritably";"sparsit::giving"
"bounderby::irritably";"sparsit::irritably"
"sparsit::giving";"sparsit::irritably"
"bitzer::petty";"tom::petty"
"bounderby::abstracted";"tom::abstracted"
"bounderby::defiant";"james_harthouse::defiant"
"bounderby::determination";"sparsit::determination"
"bounderby::brightness";"bounderby::cheerful"
"bounderby::curious";"gradgrind::curious"
"bounderby::modest";"bounderby::natural"
"bounderby::modest";"gradgrind::modest"
"bounderby::modest";"gradgrind::natural"
"bounderby::modest";"sparsit::modest"
"bounderby::modest";"sparsit::natural"
"bounderby::natural";"gradgrind::modest"
"bounderby::natural";"gradgrind::natural"
"bounderby::natural";"sparsit::modest"
"bounderby::natural";"sparsit::natural"
"gradgrind::modest";"gradgrind::natural"
"gradgrind::modest";"sparsit::modest"
"gradgrind::modest";"sparsit::natural"
"gradgrind::natural";"sparsit::modest"
"gradgrind::natural";"sparsit::natural"
"sparsit::modest";"sparsit::natural"
"bitzer::instructions";"tom::instructions"
"bounderby::fearful";"gradgrind::fearful"
"bounderby::fearful";"sparsit::fearful"
"gradgrind::fearful";"sparsit::fearful"
"bounderby::considerate";"gradgrind::considerate"
"bounderby::considerate";"sparsit::considerate"
"gradgrind::considerate";"sparsit::considerate"
"tom::#-reproach";"tom::certain'"
"bounderby::cheerful";"bounderby::persistent"
"bounderby::cheerful";"sparsit::cheerful"
"bounderby::cheerful";"sparsit::persistent"
"bounderby::persistent";"sparsit::cheerful"
"bounderby::persistent";"sparsit::persistent"
"sparsit::cheerful";"sparsit::persistent"
"bounderby::humble";"gradgrind::humble"
"bounderby::humble";"louisa::humble"
"gradgrind::humble";"louisa::humble"
"bounderby::unkind";"sparsit::unkind"
"louisa::coldly";"tom_gradgrind::coldly"
"josiah_bounderby::thoroughly";"loo_bounderby::thoroughly"
"bounderby::confidence";"james_harthouse::confidence"
"bounderby::confidence";"louisa::confidence"
"james_harthouse::confidence";"louisa::confidence"
"bounderby::affected";"bounderby::chaste"
"bounderby::affected";"bounderby::particular"
"bounderby::affected";"sparsit::affected"
"bounderby::affected";"sparsit::chaste"
"bounderby::affected";"sparsit::particular"
"bounderby::chaste";"bounderby::particular"
"bounderby::chaste";"sparsit::affected"
"bounderby::chaste";"sparsit::chaste"
"bounderby::chaste";"sparsit::particular"
"bounderby::particular";"sparsit::affected"
"bounderby::particular";"sparsit::chaste"
"bounderby::particular";"sparsit::particular"
"sparsit::affected";"sparsit::chaste"
"sparsit::affected";"sparsit::particular"
"sparsit::chaste";"sparsit::particular"
"gradgrind::hasty";"louisa::hasty"
"gradgrind::#-knowledge";"louisa::#-knowledge"
"bounderby::approached";"louisa::approached"
"bounderby::approached";"sissy::approached"
"louisa::approached";"sissy::approached"
"louisa::approach";"sissy::approach"
"gradgrind::solemnity";"gradgrind::vain"
"bounderby::consistency";"sparsit::consistency"
"bounderby::explosive";"louisa::explosive"
"bounderby::explosive";"sparsit::explosive"
"louisa::explosive";"sparsit::explosive"
"louisa::business";"sparsit::business"
"sparsit::intelligence";"sparsit::question"
"harthouse::distant";"harthouse::expression"
"harthouse::distant";"sparsit::distant"
"harthouse::distant";"sparsit::expression"
"harthouse::expression";"sparsit::distant"
"harthouse::expression";"sparsit::expression"
"sparsit::distant";"sparsit::expression"
"louisa::humble-virtue";"tom::humble-virtue"
"louisa::cleverness'";"louisa::reasonable"
"louisa::cleverness'";"louisa::thoughtful"
"louisa::reasonable";"louisa::thoughtful"
"bounderby::accomplished";"bounderby::patient"
"bounderby::accomplished";"sparsit::accomplished"
"bounderby::accomplished";"sparsit::patient"
"bounderby::patient";"sparsit::accomplished"
"bounderby::patient";"sparsit::patient"
"sparsit::accomplished";"sparsit::patient"
"bounderby::wary";"sparsit::wary"
"louisa::curious";"louisa::original"
"louisa::curious";"sparsit::curious"
"louisa::curious";"sparsit::original"
"louisa::original";"sparsit::curious"
"louisa::original";"sparsit::original"
"sparsit::curious";"sparsit::original"
"bounderby::agreeable";"bounderby::kind"
"bounderby::agreeable";"gradgrind::agreeable"
"bounderby::agreeable";"gradgrind::kind"
"bounderby::agreeable";"sparsit::agreeable"
"bounderby::agreeable";"sparsit::kind"
"bounderby::kind";"gradgrind::agreeable"
"bounderby::kind";"gradgrind::kind"
"bounderby::kind";"sparsit::agreeable"
"bounderby::kind";"sparsit::kind"
"gradgrind::agreeable";"gradgrind::kind"
"gradgrind::agreeable";"sparsit::agreeable"
"gradgrind::agreeable";"sparsit::kind"
"gradgrind::kind";"sparsit::agreeable"
"gradgrind::kind";"sparsit::kind"
"sparsit::agreeable";"sparsit::kind"
"bounderby::buoyant";"bounderby::business"
"sparsit::gentleman";"sparsit::kind"
"sparsit::gentleman";"tom::gentleman"
"sparsit::gentleman";"tom::kind"
"sparsit::kind";"tom::gentleman"
"sparsit::kind";"tom::kind"
"tom::gentleman";"tom::kind"
"sparsit::compliments'";"sparsit::nervous"
"sparsit::compliments'";"sparsit::respectful"
"sparsit::nervous";"sparsit::respectful"
"sparsit::agreeable";"sparsit::compliment"
"sparsit::agreeable";"tom::agreeable"
"sparsit::agreeable";"tom::compliment"
"sparsit::compliment";"tom::agreeable"
"sparsit::compliment";"tom::compliment"
"tom::agreeable";"tom::compliment"
"gradgrind::loudly";"sparsit::loudly"
"louisa::approached";"louisa::passive"
"louisa::approached";"louisa::timidly"
"louisa::approached";"sissy::passive"
"louisa::approached";"sissy::timidly"
"louisa::passive";"louisa::timidly"
"louisa::passive";"sissy::approached"
"louisa::passive";"sissy::passive"
"louisa::passive";"sissy::timidly"
"louisa::timidly";"sissy::approached"
"louisa::timidly";"sissy::passive"
"louisa::timidly";"sissy::timidly"
"sissy::approached";"sissy::passive"
"sissy::approached";"sissy::timidly"
"sissy::passive";"sissy::timidly"
"louisa::cooling";"sissy::cooling"
"louisa::anxious";"louisa::steady"
"gradgrind::mistrust";"gradgrind::slowly"
"gradgrind::mistrust";"louisa::mistrust"
"gradgrind::mistrust";"louisa::slowly"
"gradgrind::slowly";"louisa::mistrust"
"gradgrind::slowly";"louisa::slowly"
"louisa::mistrust";"louisa::slowly"
"louisa::silently";"louisa::slowly"
"louisa::placidly";"sissy::placidly"
"james_harthouse::jocular";"jem::jocular"
"james_harthouse::authorities";"jem::authorities"
"james_harthouse::demanding";"jem::demanding"
"bounderby::gentleman";"bounderby::quick"
"bounderby::gentleman";"harthouse::gentleman"
"bounderby::gentleman";"harthouse::quick"
"bounderby::gentleman";"tom::gentleman"
"bounderby::gentleman";"tom::quick"
"bounderby::quick";"harthouse::gentleman"
"bounderby::quick";"harthouse::quick"
"bounderby::quick";"tom::gentleman"
"bounderby::quick";"tom::quick"
"harthouse::gentleman";"harthouse::quick"
"harthouse::gentleman";"tom::gentleman"
"harthouse::gentleman";"tom::quick"
"harthouse::quick";"tom::gentleman"
"harthouse::quick";"tom::quick"
"tom::gentleman";"tom::quick"
"bounderby::live";"harthouse::live"
"harthouse::live";"tom::live"
"bounderby::hostile";"james_harthouse::hostile"
"bounderby::coolly";"bounderby::facetious"
"bounderby::fearfully";"bounderby::materially"
"james_harthouse::#-polished";"james_harthouse::silent"
"bounderby::progress";"sparsit::progress"
"bounderby::patient's";"sparsit::patient's"
"sparsit::considered";"sparsit::excessive"
"bounderby::temperate";"gradgrind::temperate"
"bounderby::temperate";"josiah_bounderby::temperate"
"bounderby::temperate";"louisa::temperate"
"bounderby::temperate";"tom_gradgrind::temperate"
"gradgrind::temperate";"josiah_bounderby::temperate"
"gradgrind::temperate";"louisa::temperate"
"gradgrind::temperate";"tom_gradgrind::temperate"
"josiah_bounderby::temperate";"louisa::temperate"
"josiah_bounderby::temperate";"tom_gradgrind::temperate"
"louisa::temperate";"tom_gradgrind::temperate"
"bounderby::abruptly";"bounderby::silently"
"bounderby::abruptly";"lady_scadgers::abruptly"
"bounderby::abruptly";"lady_scadgers::silently"
"bounderby::abruptly";"sparsit::abruptly"
"bounderby::abruptly";"sparsit::silently"
"bounderby::silently";"lady_scadgers::abruptly"
"bounderby::silently";"lady_scadgers::silently"
"bounderby::silently";"sparsit::abruptly"
"bounderby::silently";"sparsit::silently"
"lady_scadgers::abruptly";"lady_scadgers::silently"
"lady_scadgers::abruptly";"sparsit::abruptly"
"lady_scadgers::abruptly";"sparsit::silently"
"lady_scadgers::silently";"sparsit::abruptly"
"lady_scadgers::silently";"sparsit::silently"
"sparsit::abruptly";"sparsit::silently"
"bounderby::particular";"gradgrind::particular"
"bounderby::amiable";"gradgrind::amiable"
"gradgrind::patient";"gradgrind::submissive"
"bounderby::obstinate";"gradgrind::obstinate"
"bounderby::#-understand";"bounderby::determined"
"bounderby::informed";"gradgrind::informed"
"bounderby::informed";"louisa::informed"
"gradgrind::informed";"louisa::informed"
"bounderby::consideration—it—it";"bounderby::kindly"
"bounderby::consideration—it—it";"bounderby::tenderness"
"bounderby::kindly";"bounderby::tenderness"
"bounderby::bright";"bounderby::understands"
"bounderby::bright";"cecilia_jupe::bright"
"bounderby::bright";"cecilia_jupe::understands"
"bounderby::bright";"loo_bounderby::bright"
"bounderby::bright";"loo_bounderby::understands"
"bounderby::bright";"louisa::bright"
"bounderby::bright";"louisa::understands"
"bounderby::bright";"sissy::bright"
"bounderby::bright";"sissy::understands"
"bounderby::bright";"tom_gradgrind::bright"
"bounderby::bright";"tom_gradgrind::understands"
"bounderby::understands";"cecilia_jupe::bright"
"bounderby::understands";"cecilia_jupe::understands"
"bounderby::understands";"loo_bounderby::bright"
"bounderby::understands";"loo_bounderby::understands"
"bounderby::understands";"louisa::bright"
"bounderby::understands";"louisa::understands"
"bounderby::understands";"sissy::bright"
"bounderby::understands";"sissy::understands"
