"MR1";"MR9";"MR3";"MR5";"MR8";"MR7";"MR4";"MR6";"MR2";"MR10"
"delicate";0.260430015055216;0.0821637843585796;0.282733325130081;0.131588854172062;-0.106670457718469;0.666973737904691;0.0374400358118507;-0.00257073162621026;0.276539488794857;-0.123757997807408
"determined";0.077390941943785;0.0803340099999749;0.767927447210732;0.144890553006367;0.0631216333022566;0.129925814591808;-0.00543165021690504;0.201960983197785;0.016771411106122;-0.0433564936612088
"different";0.232221547552835;0.174501290625529;0.357146884552179;0.0484854488550302;0.534181806290409;-0.052357059173817;-0.135752885283104;-0.0706852606823131;0.166093725757057;0.226944404578993
"extraordinary";0.165067059557683;0.308557337665845;0.0290444711663349;0.715630728085029;0.0827237276010108;0.126527673350659;0.174161313459711;0.2718795169747;0.00817055618638441;-0.0595753634558936
"fair";0.376888579489032;0.0634907707579441;0.114406380840934;0.370011262163962;0.0835353156081878;0.323449192748947;0.374237059808431;0.269618742680942;0.109970049071632;0.0366997264437564
"faithful";-0.13417474987743;0.363603931267545;-0.159827990386684;0.575903947082451;0.496662441806221;-0.00363183665719116;0.144583684106055;0.0102911997371624;0.0808053955526116;-0.00517045119263214
"familiar";0.558505685443333;-0.151341091528806;-0.0190653384634783;0.289623666826292;0.181520419487978;0.324211444791905;0.259796707238371;0.140450806762853;0.118761825659578;0.0936078403448704
"free";0.276823036152713;0.530494796861983;0.358966713592342;0.307319807700855;0.0812397156395019;0.164966585206237;0.100534956342728;0.12823102790802;-0.0981695840976718;-0.303682256071281
"friendly";0.0744762832201692;0.700951106726692;0.316037537169117;0.134162269061792;0.327488498681135;0.233043394700461;-0.0461549880575025;0.163620320298762;0.130826625785759;0.138645424010323
"gentle";0.239084879458227;0.291448660187878;0.00681368027883788;0.290264417776392;0.655595695702669;0.00446957786208615;0.169294109336841;0.102471679144321;-0.0416046018858729;-0.198537150311144
"greatest";0.214596757023192;0.450955408024596;0.20537722103849;0.475318319454457;0.216201434437915;0.267314377528182;-0.259921282066471;0.12266201639649;-0.0112041074266218;-0.0646944249023728
"happy";0.170763169722443;0.423414927699329;0.339722917025481;0.179866047839072;0.457951954691627;0.0507238154829465;0.111727190711915;0.14469550095472;-0.216094765615096;0.127920259328389
"honest";0.222087765359386;0.1072117172967;0.558126696605192;0.0816408773731442;0.123992306649632;0.48915291544177;0.189051079374338;0.0195658918115033;-0.0520374867811969;0.118247668342942
"loose";0.309564130136981;0.366032285076828;0.122319659421153;0.375726581513656;0.381887704769042;0.0278130304457374;0.219006974416999;0.268597089984615;-0.0681290965814116;-0.114008012141419
"moral";0.171102610813155;0.215618749734919;0.347535599227265;0.0712641958325487;0.525577769268956;-0.00243891918809671;-0.0322474591061839;0.426288284406267;0.135804109693776;0.117068015142591
"mysterious";0.578590095561596;0.0519478375945318;0.314178334291386;0.0532521916601758;-0.0296883713703184;0.280386404888776;0.00702789667290296;0.259140891766752;0.135062423960709;0.11902697397482
"natural";0.690481027031265;0.0276892564405313;0.202710710559571;0.466348016863751;0.0306917654202786;0.110729324904084;-0.158014601495892;0.110754580624695;0.0555405056712163;0.0671077579018022
"neat";0.455201633313906;0.0688187690866249;0.0171166581709142;0.259705399039668;-0.280320801757802;0.232727403699649;0.292094222878502;0.0109716146385383;0.425388618440573;0.0322881816661825
"original";0.27143708063422;0.561809365962306;0.0115991068158153;0.325110438559935;0.274141688150796;-0.0666003357663567;-0.0761903067950995;0.108140259327866;-0.325842893166991;0.132365214956985
"peaceful";-0.00820401857826715;0.211291241404831;0.412163698504161;0.17106523396924;0.324327060684389;0.100601689288101;0.0265439148951319;0.0347477456639601;0.227376869946536;-0.309177916024331
"pleasant";0.72182532806228;0.0700021167918538;0.19548913987083;-0.00990949452691519;0.0315031933771414;0.105349184106669;0.394098309873171;0.0571781272340108;0.036087040261668;-0.115473637657511
"polite";0.057179870489834;0.867525479869789;-0.087187525608778;0.0884710476832488;0.0456294310654322;0.0555849494679628;0.0789704649246238;0.0824715049069069;0.20404930349175;0.0131032595263899
"popular";0.415882593457783;0.0752333027443615;-0.0070700837789779;0.0544657334651676;-0.0538632097011987;0.355278613274236;0.201218366924083;0.461564045605843;0.0284003822372936;-0.0583653998150336
"powerful";0.251674455811757;0.235538094778514;0.172540742253995;-0.0696019119538579;0.0345066483110525;0.225107747788639;0.415273060811319;0.122568454768519;-0.187042609554733;0.0886620132394028
"quiet";0.506779258512266;0.351466891197447;-0.0348611214444818;0.275634264586217;0.258223286874625;0.0491238198276875;-0.0121027222539066;0.189900676771195;0.100191197999702;-0.152939511628268
"rich";0.209100576945361;0.620418610195057;0.200282263268678;0.128249495478755;0.242467338546608;0.232607657993737;0.0523590875352979;-0.182880214013468;0.001261850215832;0.0935956475760831
