"accustomed" "afraid" "appropriate" "beautiful" "best" "calm" "careful" "cheerful" "clean" "clever" "comfortable" "cruel" "curious" "delicate" "delighted" "different" "extraordinary" "fair" "faithful" "familiar" "fancy" "free" "friendly" "funny" "generous" "gentle" "genuine" "greatest" "happier" "happy" "honest" "humble" "interesting" "married" "mighty" "mysterious" "natural" "neat" "official" "peaceful" "pleasant" "powerful" "professional" "proud" "prudent" "quiet" "rich" "safe" "smart" "special" "strong" "superior" "thoughtful" "threatening" "top" "weak" "wise" "worth"
"faithful" 0 0 0 1 3 0 1 0 0 0 0 0 0 2 0 0 0 2 0 1 0 4 0 1 1 2 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0
"familiar" 0 2 1 1 1 0 0 0 0 0 0 0 1 3 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 3 0 0 1 1 0 0 1 0 0 1 1 0 0 0 2 1 0 0 0 3 0 1 0 0 1 0 0
"fancy" 0 1 0 2 1 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0
"free" 0 2 0 1 7 0 3 0 0 0 1 1 2 1 0 1 2 3 4 0 1 0 1 2 1 2 0 1 0 4 1 2 0 1 1 0 1 1 0 0 1 1 0 2 2 3 0 4 0 1 3 0 0 0 0 1 0 2
"friendly" 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1
"funny" 0 0 0 1 0 0 0 1 0 0 1 0 2 1 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0
"generous" 0 1 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"gentle" 0 3 2 6 5 3 2 2 4 1 2 0 1 2 1 2 1 3 2 1 1 2 0 0 2 0 0 0 2 10 1 2 1 0 0 1 2 3 0 1 6 0 1 4 0 5 2 2 1 3 6 1 3 0 0 5 1 1
"genuine" 0 0 0 0 1 0 0 1 0 0 0 1 2 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 2 0 0 1 0 0 1 2 0 0 0 0 1 1 0 0 0 0 1 0
"greatest" 0 0 0 1 4 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 2 0 0 0 2 0 0 0
"happier" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 2 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0
"happy" 0 3 0 9 6 4 2 7 3 2 2 3 1 2 3 4 3 2 1 1 2 4 0 1 2 10 1 1 2 0 2 2 1 1 4 1 1 5 1 4 4 1 0 3 1 9 3 3 2 1 12 1 1 0 0 6 2 2
"honest" 0 3 1 1 5 1 2 3 0 1 1 0 2 2 0 0 1 1 1 3 1 1 0 0 0 1 1 2 1 2 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 2 0 1 0 0 3 0 0 1 1 1 0 0
"humble" 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1 2 0 0 0 2 0 0 1 2 0 0 0 0 1 0 0 1 1 2 2 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1
"interesting" 0 1 0 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2
"married" 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 1 0 1 1 0
"mighty" 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 4 0 1 0 0 0 0 0 1 2 0 1 0 0 0 1 2 1 0 0 0 2 1 0 1 1 0 0 0
"mysterious" 0 2 0 1 2 1 1 1 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 0 1 1 0 0 1
"natural" 0 3 1 0 2 0 1 0 1 2 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 1 0
"neat" 0 1 0 3 0 1 1 0 3 1 1 0 1 2 1 1 2 0 0 1 0 1 0 1 1 3 0 0 0 5 0 1 1 0 1 0 2 0 0 2 2 0 0 0 0 3 1 0 1 0 2 0 0 0 0 3 1 1
"official" 0 0 0 0 3 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 1 0 1 0 0 2 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 1 0 2 0
"peaceful" 0 1 0 3 1 2 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 4 1 2 0 0 0 0 0 2 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0 0 2 0 0
"pleasant" 1 1 0 4 5 1 0 2 2 1 2 0 1 4 1 1 0 1 1 1 0 1 1 1 0 6 0 1 1 4 1 2 0 1 1 1 0 2 1 1 0 0 2 0 0 4 3 1 1 1 4 0 1 1 1 1 0 1
"powerful" 0 1 0 1 1 0 0 0 0 0 0 0 2 2 0 2 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0
"professional" 2 1 0 1 4 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 1 0 1 2 0 1 0 0 0 1 0
"proud" 0 1 0 3 3 1 0 0 0 0 0 0 0 1 1 2 0 1 2 0 0 2 0 1 1 4 0 1 1 3 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0
"prudent" 0 1 0 0 2 0 1 1 0 0 0 1 1 0 0 2 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0
"quiet" 2 3 1 4 4 3 1 1 1 2 1 2 2 2 1 4 2 1 1 2 0 3 1 1 0 5 2 0 1 9 2 0 0 2 2 2 1 3 1 1 4 2 0 0 0 0 1 2 3 1 10 0 1 3 2 4 2 1
"rich" 1 1 0 4 2 0 0 1 1 1 2 0 1 1 0 1 0 0 0 1 0 0 0 1 0 2 0 1 0 3 0 1 0 0 1 0 0 1 0 1 3 0 1 1 1 1 0 2 0 0 3 0 1 0 1 0 0 0
"safe" 1 0 0 1 4 0 1 0 0 1 0 1 1 0 1 2 0 0 0 0 0 4 1 0 0 2 0 1 0 3 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 0 0 0 4 0 0 0 0 0 0 3
"smart" 1 0 0 2 4 0 0 0 1 2 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 3 0 0 0 0 3 0 0 1 1 1 0 0
"special" 0 2 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 3 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1
"strong" 2 8 3 8 10 3 1 4 2 3 2 2 4 5 2 0 3 1 0 3 1 3 0 1 2 6 1 2 1 12 3 0 1 0 2 0 2 2 1 1 4 0 2 0 0 10 3 4 3 0 0 2 3 1 2 3 2 3
"superior" 0 2 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 1 0 0 0 1 1
"thoughtful" 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 3 1 0 0 0 0 0 1
"threatening" 1 2 0 1 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 3 0 0 1 0 1 0 0 0 1 0 0 1
"top" 1 3 0 1 3 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 0 2 1 0 1 0 2 0 0 1 0 1 0 1
"weak" 1 3 1 3 2 3 1 1 2 1 3 0 0 1 1 1 1 0 0 1 1 1 0 0 0 5 0 0 0 6 1 0 0 1 0 0 1 3 0 2 1 0 0 0 0 4 0 0 1 1 3 0 0 0 1 0 1 0
"wise" 0 1 0 0 3 0 1 0 0 1 0 0 1 0 0 1 2 1 0 0 0 0 1 0 0 1 1 0 0 2 0 0 0 1 0 0 1 1 2 0 0 0 1 0 0 2 0 0 0 1 2 1 0 0 0 1 0 0
"worth" 0 1 1 0 4 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 2 1 0 0 1 0 0 0 2 0 1 2 0 0 1 0 1 0 0 1 0 0 0 0 1 0 3 0 1 3 1 1 1 1 0 0 0
