"MR1";"MR8";"MR9";"MR2";"MR6";"MR10";"MR4";"MR7";"MR5";"MR3"
"gentle";0.617265543375308;0.200029946841611;0.282836556769649;0.0537749410296876;0.075096313514685;0.227037700762864;0.0716221326073946;0.192287991809057;0.0377492109567628;-0.311509176311047
"greatest";0.51496047461916;0.338939341018346;0.0197803773391201;0.383671061402436;-0.0695389822939325;0.390185769369393;0.00431179570449735;0.318514342437349;0.156050353431001;0.0850199469221743
"happy";0.229060081590759;0.406661282218228;0.666419188116111;-0.0922437720941603;0.20832062460476;0.119768949561698;-0.151622245812518;-0.000279809436752999;0.21565540015281;-0.180936155868027
"humble";0.654103606608568;0.197915240719838;0.224287287467463;0.241251963784795;0.0483844669630258;0.0706071980927765;0.0891096636051934;0.103984589867819;0.310206885183104;-0.0870604508140249
"improper";0.361173816334266;0.474084884570765;0.403901631089489;-0.0522644385029432;0.358437255815187;0.166242628075279;-0.113547632932303;0.0710202466227351;-0.0549180748294484;0.0388734954417309
"interesting";0.519955433451066;0.384215040405265;0.154712385585199;0.196282207015104;0.00161448242161657;0.176813429889191;0.20326577011045;0.0667109816409158;0.267435432061734;0.0542778369390544
"modest";0.0992453902794973;0.0491614794407319;0.146638816003842;0.719952202170355;0.110307441222306;0.128933013033091;-0.0607221027391645;0.0889428458056647;0.0996348225623052;0.105190371910007
"natural";0.662374034717864;0.224981867079172;0.142519483469192;-0.0399357190000534;0.15085128199916;0.121715564592344;0.184432589104168;-0.0401888532904586;0.229316957757915;-0.0310315957442472
"polite";0.221815206226889;0.0981382427342777;-0.0842703965864579;0.210468383181441;0.243493391162819;0.5302501001452;0.161020640157979;-0.0671279156774819;0.0588573087238445;0.164555058784457
"productive";0.035735243015812;0.200964461283201;0.242512862984112;0.0919937432680207;0.153246427521471;0.776001954299841;-0.0832640051197755;0.0998805310373473;0.038140224759402;0.00695298794772885
"proud";0.155624661190976;0.312886841297879;0.271574455554943;-0.195464067577939;-0.0152494813566908;0.303805393203168;0.270839845518684;0.51838712927873;0.224321598839505;0.276798800916957
"quiet";0.0873843436250921;0.573963267721297;0.122432567054942;0.304312521801978;0.360561927367844;0.162136334836172;0.0825173607693452;0.0611885451388039;0.0941893164717908;0.0906364821975796
"safe";0.543413350477481;0.609564209502933;0.274066375247182;0.0401310170366173;-0.0330420844393365;0.159760003206904;0.291784983062133;-0.0750273497842729;0.0903019391732642;0.0408924078578814
"smart";0.266283491411587;0.2688042332329;0.18492019825445;0.10128602763509;-0.122114036474842;0.19813032274939;0.594303539912485;-0.0139900700939115;0.413697718266105;-0.234651048640298
"strong";0.166305978713301;0.522773294677765;0.532415369168236;0.241259556611725;0.0819130613538057;0.253665112698212;0.112841092763303;0.123364706122674;-0.013314911165662;0.138096297366371
"superior";0.254322817436956;0.669579437203306;0.0748674765599728;0.111885193809833;0.257254611836536;0.267473509647297;0.137467864747339;-0.146109303829448;0.169928932211076;0.29442891058218
"unpleasant";0.830376845000732;0.0860382152757315;0.158452546627263;0.188362397456468;0.199083619877529;-0.105582774534678;-0.0926473439807957;0.0428435084318933;-0.101856633569965;-0.0343912299456261
"weak";0.560538126131646;0.538923673705084;0.108144608527988;0.0663219466051383;0.135702287847254;0.272880420396241;0.0103351826214058;0.188538077951473;0.164240589102713;0.143072614645957
"welcome";0.279588493685903;0.343348368758833;0.324264658663454;0.324302327119503;0.0952512962708608;0.00609150677865133;0.590324273511948;0.15853700702456;-0.00378427940028152;-0.127226599438658
"worth";0.197607972969872;0.135227183766527;0.0294921886130931;0.0368105514440062;0.283111538416844;0.0661157462081314;0.154119028395669;0.122141580365561;0.696418873035666;0.0838711886692756
