"MR1";"MR2";"MR3";"MR4";"MR6";"MR7";"MR9";"MR5";"MR8";"MR10";"MR11"
"free";0.414822193460624;0.176410245347734;0.615501478731018;0.206334779984871;0.052818006083407;0.269372747397463;0.0710939979897068;-0.108040876904467;-0.0251261947399731;0.0384189088267555;0.0839938930379117
"friendly";0.380442547704541;0.270922371967082;-0.0974920688778216;0.311697716767413;0.0799563533703862;0.560481755083394;0.135495207573888;0.0448969207862291;0.0529108099372689;0.0901005139727643;0.0213395185182331
"gentle";0.0874942577131373;-0.019448781418917;0.213763004486965;-0.0178419919523504;0.211487710218269;0.024710285693056;0.0513741385392869;0.622827649969086;0.136370723221227;0.00232699402135417;0.210640070752208
"greatest";0.693820698238312;0.0970681110219287;0.0178373487697269;0.0181200081863368;0.128597185920559;0.117193324809285;0.0548060526326836;0.322670170811491;-0.02709376597516;0.0907885166784789;0.00849867830203026
"happy";0.568700378439241;0.313140440139393;0.223355265047619;0.0409972719181643;0.332228115032;0.231097339202794;0.179039303600419;0.184276466623394;0.0839574786496316;0.100800505649671;0.028080655076526
"honest";0.398223418789625;0.3244093455321;0.244610542865774;-0.00479711652274901;0.166136030297366;0.100273971592785;0.4382673832015;0.177419232878693;0.288317978852738;0.133291271613095;0.0595973391521724
"humble";0.516429894217931;0.299289713370121;0.0720513527204566;0.245310355465606;0.155938733706806;0.189514179028417;0.156766501611701;0.102881921906645;0.30458099555841;0.258836567296582;0.05686292150819
"legal";0.0612434575597589;0.279200104408018;0.0705842204150002;0.12293901677668;0.0122576396211203;0.0732297329559438;0.110974975181506;0.146108371663367;-0.076503257300483;0.123660394603071;0.790366101198372
"loose";0.203189175843133;0.0356600344994893;-0.0158442663753655;0.090627727368301;-0.127821021058538;0.0346358126445159;-0.00939815349476869;0.507889311693448;0.071041304261555;0.197831142289799;0.0792445783821521
"married";0.227250327960918;0.223015505704798;0.0381030154329515;0.131199057712696;-0.0151128355332554;0.066256797146815;0.200477800663192;0.163525900446973;-0.0186511825583905;0.543654000097974;0.165842476351523
"mysterious";0.394545015631477;0.0237144628926187;0.26212191115118;0.0756469373887441;0.0579389895599573;0.17104454592464;0.277864384862281;0.621610150999982;0.0640987024488147;-0.00599169870153387;-0.222917262876766
"natural";0.653208503123277;0.0224372770224007;0.383593466326391;0.0224804417718272;0.254764282266674;0.130684974871295;0.125767302105569;0.259036774333024;0.0669519168568318;-0.00155722940599616;0.116033347139978
"neat";0.170772936770318;0.692245876311383;-0.038611185240309;0.178844558070166;0.137966952112147;-0.0556637092330632;0.197259217292604;-0.0904973976263198;-0.0949280703443605;-0.0275735640889566;0.0988169055276618
"pleasant";0.316692535934887;0.275910089635325;0.385159340137953;0.348635012871631;0.33875549389116;0.399942864624764;0.0662792595161371;0.160507624441419;0.160242667631915;0.193927811623556;-0.00992031520806726
"polite";0.16794876065969;0.185844060109237;0.132752953923655;0.251059106153648;0.405043872297772;0.0815192627369554;0.0846275289053983;0.131072847173111;0.0489470168361015;0.287974406853165;-0.0846802097103235
