"MR1";"MR4";"MR7";"MR2";"MR3";"MR6";"MR8";"MR5";"MR9";"MR10"
"quiet";0.429765859307979;0.288938275837073;0.170597971434914;0.214517839975219;-0.146970115561744;0.0320478340340758;0.112167064816296;-0.0561783244205344;-0.105491247247319;0.376275197696342
"reasonable";0.083017873544117;0.106869068502076;0.137965787662528;0.0793744742925188;-0.0127148760406984;0.674862591515173;-0.0422276756825548;-0.000596453357553827;-0.0958591836632026;0.109334486080656
"respected";-0.13327538060666;0.0536247870038212;0.0490052065922371;-0.0182927133130157;0.117520162475379;0.491421503571105;0.0664019108294672;0.134832649220435;0.047068234508926;0.00571998799885445
"responsible";-0.0989663432018208;0.269896948313578;-0.108699140789218;0.00858334784353448;0.0446064361102249;-0.0326645553707187;-0.107010109423007;0.225087164675497;0.630042930921604;0.0403876807831766
"rich";-0.0367853764308551;0.0896307671073351;0.130983838351599;0.506931266232605;0.122508309348713;-0.0153029326320054;0.211359712388926;0.108606456414153;0.198494770136665;0.186947256635637
"sacred";0.11695263120095;0.0971540365842605;0.0464209147608486;0.025502666902271;0.0636965903182295;0.084261709080021;0.340678884254234;-0.0570045878109652;0.358482327795904;0.0513070363174582
"safe";0.501719061468126;0.0938184234351711;0.0330493248205112;0.0223517844521849;0.155354017532754;0.474115228139502;0.125736090047676;-0.0871923665768041;0.0653768794700151;0.00351347169285161
"smart";-0.00491489554464623;0.838594525022335;0.154985537044277;0.00318252116388129;-0.0156156067832441;0.0744014626512036;-0.0250267523618425;-0.00084412788685489;0.026865932801615;0.0216393670037849
"social";0.0183433804260108;0.032138237891902;-0.0198207438155401;0.144154207151621;0.713392699261322;0.114112799442034;-0.00055999260403205;0.294122672546331;-0.08232366663187;-0.0536099802545785
"special";0.164820009220958;-0.0745087823238977;-0.0833828190825049;-0.0668445847003122;0.110745952611068;0.0235634730646865;0.120291783558401;0.287788509608128;-0.0955123455974104;0.558296930758106
"strong";0.422802513841511;0.24961229542187;-0.0346991560597013;-0.0860485173112419;0.0680796699616561;-0.0353009394316471;0.552178555926016;0.118954730360152;-0.0672107571872523;-0.268083598006276
"sympathetic";0.430972975754479;0.199909265246818;-0.0402175731928838;-0.0251641983594882;-0.0371360037104587;0.11050381868254;0.726075081336412;0.0611056086985798;0.104827862185203;0.085228221085018
"weak";0.0955372942756501;-0.07852494364719;0.130499782931725;-0.0522038578905332;0.0153085840172662;-0.111503046813717;-0.104556137630402;0.623817863632888;-0.0275949171557403;-0.0320924817471831
"wise";0.0828555088931201;0.348742038696268;0.500785823995878;0.462087356736515;0.0233572513628886;0.0551862971432764;0.0469571669163579;-0.0156937968176986;0.0726768116070224;0.0403876568833361
"worth";0.36800934042127;0.387536997011684;0.224348245536174;0.0287803553296023;-0.113209045233245;0.0470033100722269;0.281612583439348;-0.0597555993212529;0.127936580353351;0.0832317768329576
"thoughtful";-0.0974401097107418;-0.0557024444749692;-0.089946158430276;0.0821806847023324;0.780008889533385;-0.0140930644931222;0.107685107906216;-0.0367422074419685;0.00767306494511754;0.0232080591734034
"uncertain";0.383052418056637;0.486295372202268;-0.063333735723731;0.0682786448599807;-0.120412163331946;-0.0823407589521099;-0.0905144267436198;0.157656037579717;0.195526909577936;0.0659055687944685
"welcome";0.125364844125495;0.252074258173458;-0.122654380860269;0.217554687563802;0.149029223767985;0.140981154226041;-0.0332899628841156;0.374644171484244;0.135867518379151;0.495091593523822
