"MR1";"MR2";"MR3";"MR7";"MR6";"MR5";"MR9";"MR11";"MR8";"MR10";"MR4";"MR12"
"quiet";0.41549684550044;0.354613251046418;0.0322832367593644;0.186311027449487;0.322769608498719;0.101900977947821;0.446404064525193;0.0567531414794234;0.0496347905643343;0.420571622177964;0.0964317292707007;0.0165221928014199
"rich";0.404754231682954;0.283493522400918;0.0671449859202223;0.534914627276246;0.322926583870644;0.14591270401926;0.0357878695095772;0.196329919888808;0.106743745592816;-0.0852174911052657;0.178256291377653;0.0222641665928245
"safe";0.120179738191549;0.193131766797105;0.582466105438828;-0.0609971996648255;0.00252897142375485;0.0841431605519223;0.207661680422319;0.139043752996708;0.0811428219896777;0.164881850519977;0.107026900145821;0.0831236986748149
"sincere";0.823847533389144;0.142653680685982;0.0478683770063672;0.0946883821367332;-0.043439900472635;-0.154020078349896;0.0213147066023161;-0.0206273577840291;0.0343201642964897;-0.0676939320943138;0.231005500871627;-0.0872679191370943
"smart";0.164114879037184;0.79710751865831;0.0798226924475548;0.0891360922002771;0.157834591756341;0.0423415501936895;0.263472638881332;-0.0130313256631129;0.0945410913725935;0.0585071614084999;0.123860751999135;0.00161801020230826
"stable";0.205702849064265;0.754162793859446;0.185991693612396;0.0762886211934312;0.124976640384319;0.0125424630722995;0.0902027823978859;0.0713005790732707;0.0343284093134074;0.0709637419566909;0.0846197051311615;0.208389676760018
"strong";0.392718905261826;0.243405260335654;0.28319387901976;0.15702931046622;0.140564481995914;0.201510517285178;0.123953113725352;0.216837269603333;0.169641546855269;0.108081311775876;0.643264765230518;0.0702963594687101
"surprising";0.145318783170715;0.472596982515699;0.389419405361084;0.357644033944339;0.165193071200649;0.117514271147506;0.373545868620249;0.0400395763333103;-0.0234245538255189;0.0689801733123297;0.000887275877801578;-0.0996261341616152
"thoughtful";0.486597412865558;0.135875812778988;0.0737888350452534;0.138761888384677;0.234726917074885;0.224266563298065;0.138049743438644;0.461604437114923;-0.0192423772195411;0.194104888116952;0.288687217846853;0.169510710976738
"uncertain";0.203634200666452;0.287774767140961;0.583716297918612;0.0571896758059611;0.415083876341903;0.0541352376134909;0.162704834951339;0.0777266308982371;0.0288417270605546;0.00616915873617882;0.319833122558665;-0.0732066031913859
"weak";0.443668594891661;0.269401518517844;0.368500677846877;0.366003749872931;0.328517169837911;0.0853406415763194;0.221245664752284;0.0255466055325522;-0.0760674076904687;0.0948252646942956;0.0546235931882902;-0.0126091347054429
"worth";0.427893120160781;0.151943835612503;0.119018712657589;0.182390620974915;0.255664074968407;0.183282505098179;0.0849075710847318;0.0866603845661243;0.215134063211499;0.119670301359768;0.476474245869837;0.0261477926836148
"unpleasant";0.157575827572885;0.144691012447156;0.066344146774502;0.189303010108051;0.0145379591267654;0.371604064569966;-0.0648918331145769;0.129320091591136;0.114195548867227;0.266004059174747;0.15072107804518;0.0412539435299655
"welcome";0.209692394080457;0.668845546583385;0.191796369715274;-0.00421552100061361;0.104022319066719;0.0456699095958636;0.142239645909404;0.0623041871470525;0.141010695619483;0.204041919806678;0.141118363976814;0.158389463017347
"wise";0.264114581361266;0.145706945630151;0.278338744951258;0.495825108436487;0.186691503349886;-0.027341710827535;0.191335575857427;-0.0236110124455103;-0.263921673518357;0.217009563741684;0.260105311770576;0.286834748250299
