"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"241","sarcastic",3,1,1,0,0,1,0
"242","spoiled",3,2,1,0,0,0,0
"243","straightforward",3,3,0,0,0,0,0
"244","unfriendly",3,1,1,1,0,0,0
"245","abusive",2,0,0,0,0,2,0
"246","alert",2,1,1,0,0,0,0
"247","bashful",2,0,0,0,0,1,1
"248","daring",2,0,1,0,0,1,0
"249","energetic",2,1,0,0,0,1,0
"250","enthusiastic",2,0,0,0,0,0,2
"251","exhausted",2,1,0,0,0,1,0
"252","experienced",2,0,0,1,1,0,0
"253","forgetful",2,0,1,0,1,0,0
"254","forward",2,0,1,0,1,0,0
"255","greedy",2,0,0,2,0,0,0
"256","involved",2,0,1,0,0,0,1
"257","responsible",2,0,0,0,2,0,0
"258","sentimental",2,0,0,1,1,0,0
"259","sociable",2,0,1,0,0,0,1
"260","adventurous",1,1,0,0,0,0,0
"261","annoyed",1,0,0,0,0,1,0
"262","argumentative",1,1,0,0,0,0,0
"263","arrogant",1,0,0,0,0,1,0
"264","brave",1,0,0,0,1,0,0
"265","casual",1,0,0,0,0,1,0
"266","clumsy",1,0,0,0,1,0,0
"267","complicated",1,0,0,0,0,0,1
"268","courageous",1,1,0,0,0,0,0
"269","creative",1,0,0,0,0,1,0
"270","disabled",1,0,0,0,1,0,0
"271","fascinating",1,0,0,0,0,0,1
"272","forgiving",1,1,0,0,0,0,0
"273","frightening",1,0,0,1,0,0,0
"274","furious",1,0,0,1,0,0,0
"275","gifted",1,0,0,0,1,0,0
"276","hostile",1,0,0,0,0,0,1
"277","humorous",1,0,1,0,0,0,0
"278","impolite",1,1,0,0,0,0,0
"279","impressive",1,0,0,0,0,1,0
"280","incompetent",1,0,1,0,0,0,0
"281","indecisive",1,0,0,0,1,0,0
"282","insane",1,1,0,0,0,0,0
"283","loyal",1,0,1,0,0,0,0
"284","passionate",1,0,0,0,0,0,1
"285","persuasive",1,0,1,0,0,0,0
"286","practical",1,0,1,0,0,0,0
"287","sensitive",1,0,0,0,0,0,1
"288","shallow",1,0,0,1,0,0,0
"289","slender",1,0,0,0,1,0,0
"290","tough",1,0,1,0,0,0,0
"291","traditional",1,0,0,1,0,0,0
"292","ungraceful",1,0,0,1,0,0,0
"293","wasteful",1,0,1,0,0,0,0
"294","abnormal",0,0,0,0,0,0,0
"295","adorable",0,0,0,0,0,0,0
"296","aggravating",0,0,0,0,0,0,0
"297","aggressive",0,0,0,0,0,0,0
"298","alcoholic",0,0,0,0,0,0,0
"299","annoying",0,0,0,0,0,0,0
"300","appealing",0,0,0,0,0,0,0
"301","appreciated",0,0,0,0,0,0,0
"302","appreciative",0,0,0,0,0,0,0
"303","artistic",0,0,0,0,0,0,0
"304","assertive",0,0,0,0,0,0,0
"305","athletic",0,0,0,0,0,0,0
"306","average",0,0,0,0,0,0,0
"307","awesome",0,0,0,0,0,0,0
"308","believable",0,0,0,0,0,0,0
"309","big",0,0,0,0,0,0,0
"310","bored",0,0,0,0,0,0,0
"311","boring",0,0,0,0,0,0,0
"312","bossy",0,0,0,0,0,0,0
"313","businesslike",0,0,0,0,0,0,0
"314","carefree",0,0,0,0,0,0,0
"315","caring",0,0,0,0,0,0,0
"316","childish",0,0,0,0,0,0,0
"317","chubby",0,0,0,0,0,0,0
"318","closed-minded",0,0,0,0,0,0,0
"319","cocky",0,0,0,0,0,0,0
"320","colorful",0,0,0,0,0,0,0
"321","comical",0,0,0,0,0,0,0
"322","competitive",0,0,0,0,0,0,0
"323","complaining",0,0,0,0,0,0,0
"324","compulsive",0,0,0,0,0,0,0
"325","confusing",0,0,0,0,0,0,0
"326","conservative",0,0,0,0,0,0,0
"327","constructive",0,0,0,0,0,0,0
"328","controlling",0,0,0,0,0,0,0
"329","controversial",0,0,0,0,0,0,0
"330","cooperative",0,0,0,0,0,0,0
"331","corrupt",0,0,0,0,0,0,0
"332","crabby",0,0,0,0,0,0,0
"333","cranky",0,0,0,0,0,0,0
"334","crazy",0,0,0,0,0,0,0
"335","cute",0,0,0,0,0,0,0
"336","dedicated",0,0,0,0,0,0,0
"337","defensive",0,0,0,0,0,0,0
"338","demanding",0,0,0,0,0,0,0
"339","democratic",0,0,0,0,0,0,0
"340","dependable",0,0,0,0,0,0,0
"341","dishonest",0,0,0,0,0,0,0
"342","disobedient",0,0,0,0,0,0,0
"343","disorganized",0,0,0,0,0,0,0
"344","dominant",0,0,0,0,0,0,0
"345","down-to-earth",0,0,0,0,0,0,0
"346","dumb",0,0,0,0,0,0,0
"347","easygoing",0,0,0,0,0,0,0
"348","educated",0,0,0,0,0,0,0
"349","effective",0,0,0,0,0,0,0
"350","efficient",0,0,0,0,0,0,0
"351","emotional",0,0,0,0,0,0,0
"352","employed",0,0,0,0,0,0,0
"353","ethical",0,0,0,0,0,0,0
"354","exceptional",0,0,0,0,0,0,0
"355","flexible",0,0,0,0,0,0,0
"356","frustrated",0,0,0,0,0,0,0
"357","frustrating",0,0,0,0,0,0,0
"358","funny",0,0,0,0,0,0,0
"359","giving",0,0,0,0,0,0,0
"360","glamorous",0,0,0,0,0,0,0
"361","good-for-nothing",0,0,0,0,0,0,0
"362","good-humored",0,0,0,0,0,0,0
"363","good-looking",0,0,0,0,0,0,0
"364","good-natured",0,0,0,0,0,0,0
"365","gorgeous",0,0,0,0,0,0,0
"366","grouchy",0,0,0,0,0,0,0
"367","grumpy",0,0,0,0,0,0,0
"368","handicapped",0,0,0,0,0,0,0
"369","hard-working",0,0,0,0,0,0,0
"370","heartbroken",0,0,0,0,0,0,0
"371","helpful",0,0,0,0,0,0,0
"372","hilarious",0,0,0,0,0,0,0
"373","homeless",0,0,0,0,0,0,0
"374","hot-tempered",0,0,0,0,0,0,0
"375","humiliated",0,0,0,0,0,0,0
"376","idealistic",0,0,0,0,0,0,0
"377","imaginative",0,0,0,0,0,0,0
"378","immature",0,0,0,0,0,0,0
"379","impulsive",0,0,0,0,0,0,0
"380","influential",0,0,0,0,0,0,0
"381","informal",0,0,0,0,0,0,0
"382","insecure",0,0,0,0,0,0,0
"383","insensitive",0,0,0,0,0,0,0
"384","insulting",0,0,0,0,0,0,0
"385","intimidating",0,0,0,0,0,0,0
"386","irresponsible",0,0,0,0,0,0,0
"387","irritating",0,0,0,0,0,0,0
"388","kind-hearted",0,0,0,0,0,0,0
"389","knowledgeable",0,0,0,0,0,0,0
"390","laid-back",0,0,0,0,0,0,0
"391","laughing",0,0,0,0,0,0,0
"392","level-headed",0,0,0,0,0,0,0
"393","likeable",0,0,0,0,0,0,0
"394","logical",0,0,0,0,0,0,0
"395","lonesome",0,0,0,0,0,0,0
"396","lovable",0,0,0,0,0,0,0
"397","loving",0,0,0,0,0,0,0
"398","masculine",0,0,0,0,0,0,0
"399","materialistic",0,0,0,0,0,0,0
"400","messy",0,0,0,0,0,0,0
"401","middle-aged",0,0,0,0,0,0,0
"402","middle-class",0,0,0,0,0,0,0
"403","moody",0,0,0,0,0,0,0
"404","motherly",0,0,0,0,0,0,0
"405","muscular",0,0,0,0,0,0,0
"406","naive",0,0,0,0,0,0,0
"407","narrow-minded",0,0,0,0,0,0,0
"408","needy",0,0,0,0,0,0,0
"409","neglected",0,0,0,0,0,0,0
"410","neighborly",0,0,0,0,0,0,0
"411","normal",0,0,0,0,0,0,0
"412","nosy",0,0,0,0,0,0,0
"413","obnoxious",0,0,0,0,0,0,0
"414","obsessive",0,0,0,0,0,0,0
"415","old-fashioned",0,0,0,0,0,0,0
"416","open-minded",0,0,0,0,0,0,0
"417","opinionated",0,0,0,0,0,0,0
"418","optimistic",0,0,0,0,0,0,0
"419","organized",0,0,0,0,0,0,0
"420","outgoing",0,0,0,0,0,0,0
"421","outspoken",0,0,0,0,0,0,0
"422","outstanding",0,0,0,0,0,0,0
"423","overrated",0,0,0,0,0,0,0
"424","overworked",0,0,0,0,0,0,0
"425","peaceful",0,0,0,0,0,0,0
"426","perceptive",0,0,0,0,0,0,0
"427","persistent",0,0,0,0,0,0,0
"428","phony",0,0,0,0,0,0,0
"429","possessive",0,0,0,0,0,0,0
"430","predictable",0,0,0,0,0,0,0
"431","preoccupied",0,0,0,0,0,0,0
"432","presentable",0,0,0,0,0,0,0
"433","procrastinating",0,0,0,0,0,0,0
"434","protective",0,0,0,0,0,0,0
"435","radical",0,0,0,0,0,0,0
"436","realistic",0,0,0,0,0,0,0
"437","rebellious",0,0,0,0,0,0,0
"438","reckless",0,0,0,0,0,0,0
"439","relaxed",0,0,0,0,0,0,0
"440","reliable",0,0,0,0,0,0,0
"441","resourceful",0,0,0,0,0,0,0
"442","retarded",0,0,0,0,0,0,0
"443","rowdy",0,0,0,0,0,0,0
"444","rushed",0,0,0,0,0,0,0
"445","scared",0,0,0,0,0,0,0
"446","seductive",0,0,0,0,0,0,0
"447","self-assured",0,0,0,0,0,0,0
"448","self-centered",0,0,0,0,0,0,0
"449","self-confident",0,0,0,0,0,0,0
"450","self-conscious",0,0,0,0,0,0,0
"451","self-sufficient",0,0,0,0,0,0,0
"452","self-supporting",0,0,0,0,0,0,0
"453","senile",0,0,0,0,0,0,0
"454","sexy",0,0,0,0,0,0,0
"455","short-tempered",0,0,0,0,0,0,0
"456","skilled",0,0,0,0,0,0,0
"457","skillful",0,0,0,0,0,0,0
"458","skinny",0,0,0,0,0,0,0
"459","sleepy",0,0,0,0,0,0,0
"460","slim",0,0,0,0,0,0,0
"461","sloppy",0,0,0,0,0,0,0
"462","snobbish",0,0,0,0,0,0,0
"463","soft-spoken",0,0,0,0,0,0,0
"464","sophisticated",0,0,0,0,0,0,0
"465","stingy",0,0,0,0,0,0,0
"466","stuck-up",0,0,0,0,0,0,0
"467","superstitious",0,0,0,0,0,0,0
"468","supportive",0,0,0,0,0,0,0
"469","talented",0,0,0,0,0,0,0
"470","temperamental",0,0,0,0,0,0,0
"471","tense",0,0,0,0,0,0,0
"472","thinking",0,0,0,0,0,0,0
"473","tiny",0,0,0,0,0,0,0
"474","tolerant",0,0,0,0,0,0,0
"475","troubled",0,0,0,0,0,0,0
"476","trusted",0,0,0,0,0,0,0
"477","trusting",0,0,0,0,0,0,0
"478","trustworthy",0,0,0,0,0,0,0
"479","truthful",0,0,0,0,0,0,0
"480","unattractive",0,0,0,0,0,0,0
"481","undependable",0,0,0,0,0,0,0
"482","understandable",0,0,0,0,0,0,0
"483","understanding",0,0,0,0,0,0,0
"484","uneducated",0,0,0,0,0,0,0
"485","unfaithful",0,0,0,0,0,0,0
"486","unforgettable",0,0,0,0,0,0,0
"487","uninhibited",0,0,0,0,0,0,0
"488","unpopular",0,0,0,0,0,0,0
"489","unpredictable",0,0,0,0,0,0,0
"490","unreliable",0,0,0,0,0,0,0
"491","unstable",0,0,0,0,0,0,0
"492","unsure",0,0,0,0,0,0,0
"493","upset",0,0,0,0,0,0,0
"494","warm-hearted",0,0,0,0,0,0,0
"495","weird",0,0,0,0,0,0,0
"496","well-adjusted",0,0,0,0,0,0,0
"497","well-known",0,0,0,0,0,0,0
"498","well-liked",0,0,0,0,0,0,0
"499","well-to-do",0,0,0,0,0,0,0
"500","wishy-washy",0,0,0,0,0,0,0
