"" "#-broad" "#-familiar" "#-hot" "#-large" "black" "broad" "calm" "chilly" "clean" "cloudy" "cold" "comfortable" "damp" "dry" "first" "fresh" "full" "green" "keen" "large" "little" "mere" "open" "painful" "present" "secret" "wrong" "warm" "round" "private" "ready" "safe" "strange" "thirsty" "future" "red" "vast" "wicked"
"dry" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"first" 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 5 1 0 4 7 0 0 0 2 0 0 0 0 0 3 1 1 0 0 0 0 0
"fresh" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"full" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 5 1 0 0 0 1 2 0 1 0 1 0 1 0 0 0 2 0 0 0 1 0 0 0
"green" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"keen" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"large" 0 0 0 0 1 1 0 0 0 0 0 0 0 1 4 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0
"little" 0 0 0 1 0 2 2 0 1 1 0 1 1 2 7 2 2 1 0 2 0 2 1 0 2 0 1 0 0 2 1 0 1 1 0 0 1 0
"mere" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"open" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"painful" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"present" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
"secret" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"wrong" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"warm" 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"round" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"private" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ready" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"safe" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"strange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"thirsty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"future" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"red" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"vast" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wicked" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
