"" "#-little" "admirable" "afraid" "alone" "ashamed" "bad" "big" "bitter" "blind" "bold" "bright" "capable" "childish" "cold" "conceited" "concerned" "corrupt" "curious" "dedicated" "delighted" "determined" "direct" "dishonest" "distinguished" "eager" "excellent" "familiar" "famous" "fat" "fine" "friendly" "gentle" "glad" "good" "gorgeous" "gracious" "great" "happy" "hard" "honest" "ignorant" "important" "innocent" "insulting" "little" "modest" "natural" "nice" "old" "open" "ordinary" "passionate" "patient" "plain" "pleasant" "pleased" "pleasing" "proper" "proud" "quiet" "reasonable" "rebellious" "rich" "rough" "sad" "serious" "short" "sincere" "slender" "strange" "strong" "sweet" "tall" "terrible" "thorough" "violent" "well" "wise" "ridiculous" "young" "troubled" "impatient" "thin" "superstitious" "wonderful" "tough"
"delighted" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 2 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"determined" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"direct" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dishonest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"distinguished" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"eager" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 2 0 0 2 1 2 0 0 0 2 0 3 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 2 0 1 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 0 0
"excellent" 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 1 1 0 1 0 1 0 0 1 0 0 0 1 2 5 0 1 6 1 1 1 0 0 1 0 5 0 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 1 1 1 0 0 0 0 0
"familiar" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 3 0 0 0 2 0 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"famous" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 3 0 0 0 1 0 0 0 3 0 0 1 1 1 0 0 0 1 1 2 0 0 0 1 1 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0
"fat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fine" 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 4 0 0 3 0 1 1 2 0 1 0 4 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"friendly" 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"gentle" 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 3 0 0 1 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0
"glad" 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 2 0 0 0 1 0 0 0 4 1 0 2 1 1 2 1 0 1 0 5 0 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"good" 0 1 2 1 1 5 2 1 2 0 0 1 1 0 0 0 1 3 0 0 0 1 1 1 2 5 3 1 1 4 0 2 4 0 0 2 16 1 4 4 5 1 3 1 15 2 1 1 4 5 2 1 2 0 1 2 1 3 0 1 2 1 7 2 1 1 6 0 1 4 2 4 0 1 3 2 1 2 0 8 2 0 1 1 0 1
"gorgeous" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"gracious" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
"great" 1 1 1 0 0 7 3 1 1 0 2 2 0 2 1 1 1 1 1 2 1 0 0 1 2 6 3 3 0 3 1 3 2 16 1 1 0 1 3 2 5 1 2 1 17 1 1 2 3 6 1 0 1 1 3 2 1 2 1 1 3 1 7 2 0 0 6 1 0 4 1 3 1 2 1 0 1 5 1 6 1 1 1 0 1 1
"happy" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hard" 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 0 0 1 0 0 1 4 0 1 3 1 0 0 1 0 2 0 2 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 3 0 0 0 1 1 0 0 2 1 0 1 0 1 0 1 0 0 0 0
"honest" 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 2 4 0 0 2 0 0 0 0 0 1 0 4 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0
"ignorant" 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 2 1 0 2 0 0 1 5 1 1 5 0 1 0 0 0 0 0 4 2 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 1 0 0 1 1 2 0 0 1 1 1 1 0 1 0 0 0 0 1 0
"important" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"innocent" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 3 0 0 2 1 2 1 0 0 0 1 3 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"insulting" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"little" 0 1 2 0 0 6 2 0 0 1 2 2 1 2 0 1 1 2 1 2 1 1 1 0 3 5 1 3 0 4 1 3 5 15 1 1 17 1 2 4 4 0 3 1 0 1 0 2 4 6 2 1 1 1 3 2 0 3 0 1 3 1 8 2 0 1 5 1 0 3 2 3 1 2 1 1 1 6 0 4 1 0 1 0 1 1
"modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0
"natural" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nice" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 2 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"old" 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 2 0 0 1 4 0 0 3 0 0 1 2 0 0 0 4 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"open" 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1 2 1 0 3 0 1 1 5 0 1 6 0 1 2 2 0 2 1 6 1 0 1 1 0 0 0 1 1 1 2 0 0 0 0 0 0 2 2 0 0 2 0 0 1 1 2 1 0 0 0 1 2 0 2 0 0 0 0 0 0
"ordinary" 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 0 0 1 1 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"passionate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"patient" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"plain" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"pleasant" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"pleased" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 1 0 2 0 1 2 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 1 0 0 0 0 0 0
"pleasing" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"proper" 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 3 1 0 2 0 1 0 1 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0
"proud" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"quiet" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"reasonable" 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 2 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1
"rebellious" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"rich" 0 0 0 0 1 3 0 0 0 0 1 0 1 0 0 1 0 0 1 2 1 0 0 0 2 2 0 2 0 0 0 1 0 7 0 2 7 0 1 2 2 0 1 0 8 0 0 2 1 2 1 0 1 1 3 1 0 1 0 0 1 1 0 1 1 1 3 0 1 2 1 0 0 0 0 0 0 3 0 2 1 0 1 0 1 0
"rough" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 2 1 0 0 1 0 0 0 0 0
"sad" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"serious" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"short" 0 0 0 0 0 1 2 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 2 1 0 0 0 1 0 0 1 6 1 0 6 0 3 1 1 1 1 0 5 0 0 1 0 2 0 0 0 0 0 0 0 2 0 0 0 1 3 2 0 0 0 0 1 0 0 1 0 1 2 1 1 3 0 4 0 0 1 0 0 0
"sincere" 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"slender" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
"strange" 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 1 0 4 0 0 4 0 0 1 1 0 2 1 3 0 1 0 2 1 0 0 0 0 0 1 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
"strong" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 1 0 1 1 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"sweet" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 2 1 0 0 0 0 0 3 4 1 0 3 1 1 1 2 0 1 0 3 1 0 0 0 2 1 1 1 0 0 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0
"tall" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"terrible" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
