"calm" "certain" "cheerful" "christian" "close" "cold" "constant" "contrary" "eager" "easy" "faithful" "firm" "free" "fresh" "general" "grave" "handsome" "heavy" "honest" "just" "melancholy" "merry" "natural" "open" "particular" "pensive" "pleasant" "quiet" "religious" "sad" "second" "sensible" "serious" "sincere" "smooth" "strong" "sudden" "sufficient" "sure" "swift" "thankful" "true" "ugly" "unhappy" "violent" "weak" "willing" "wise"
"heavy" 1 2 0 0 1 1 0 0 0 3 0 0 2 2 0 0 2 0 0 0 0 0 1 2 1 1 1 0 0 0 2 0 0 0 1 3 5 1 3 1 4 1 2 0 2 0 0 0
"honest" 0 2 1 1 2 0 0 1 0 3 3 0 1 2 2 1 2 0 0 2 0 1 0 1 2 0 0 3 2 0 1 2 1 2 1 2 1 1 5 0 2 3 0 0 1 0 4 0
"just" 0 2 0 0 0 1 2 0 0 0 1 0 0 0 2 0 1 0 2 0 0 0 1 0 2 0 1 1 1 2 2 1 0 2 0 1 0 0 1 0 1 0 0 0 1 1 1 0
"melancholy" 2 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 2 1 1 2 1 1 0 0 0 0 0 1 1 0 1 0 3 0 1 1 1 0 2 1 0 0 1
"merry" 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 2 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 1 1 0
"natural" 0 1 0 0 0 0 1 0 0 2 0 0 1 0 0 2 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 2
"open" 5 1 0 1 1 1 0 0 2 2 0 2 1 4 1 1 1 2 1 0 1 1 1 0 3 0 1 2 2 0 5 1 2 0 2 5 4 2 3 2 2 2 1 2 3 1 1 0
"particular" 1 5 1 1 2 0 2 1 1 6 1 1 0 2 2 2 4 1 2 2 2 1 1 3 0 1 2 1 3 4 4 0 1 1 2 2 3 5 7 3 6 5 0 2 1 1 1 2
"pensive" 2 2 0 0 1 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 1 2 1 1 1 1 2 2 0 0 1 1 0 0
"pleasant" 2 1 1 0 3 2 1 2 2 4 1 0 0 5 0 1 1 1 0 1 1 1 1 1 2 0 0 0 0 1 2 1 1 1 2 6 1 0 3 0 1 3 1 2 0 0 1 1
"quiet" 3 1 1 0 0 0 0 1 1 1 3 2 0 3 2 0 2 0 3 1 0 0 0 2 1 0 0 0 2 0 3 0 1 2 2 3 1 1 3 0 1 2 0 0 2 0 2 0
"religious" 1 2 0 0 0 0 1 0 0 2 1 2 0 0 1 2 0 0 2 1 0 1 1 2 3 0 0 2 0 2 1 0 2 2 0 0 2 2 2 0 1 2 0 1 1 0 2 1
"sad" 2 2 1 0 1 1 1 1 0 2 0 1 0 1 2 2 1 0 0 2 0 0 0 0 4 2 1 0 2 0 1 0 1 1 3 3 0 0 0 1 1 2 0 0 1 2 1 2
"second" 5 5 0 1 3 2 3 2 3 4 2 1 3 4 4 1 2 2 1 2 0 0 1 5 4 0 2 3 1 1 0 3 3 0 1 8 4 2 6 0 3 1 0 1 4 1 3 2
"sensible" 0 2 0 1 0 1 1 0 1 2 0 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 3 0 1 0 0 3 1 0 3 0 1 3 0 0 1 0 0 0
"serious" 2 3 1 1 1 0 2 1 1 5 0 2 1 1 0 2 2 0 1 0 1 0 2 2 1 0 1 1 2 1 3 1 0 1 1 1 1 1 4 0 2 2 0 2 1 0 1 3
"sincere" 0 1 0 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 2 2 1 1 0 0 1 0 1 2 2 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 3 0
"smooth" 3 0 2 0 2 0 1 1 0 1 0 1 1 4 3 1 1 1 1 0 0 0 0 2 2 1 2 2 0 3 1 0 1 0 0 6 0 0 1 0 2 2 0 1 0 1 1 1
"strong" 7 1 2 0 5 2 4 3 3 8 2 4 1 12 2 2 4 3 2 1 1 1 0 5 2 2 6 3 0 3 8 3 1 1 6 0 1 3 5 1 3 8 4 2 3 2 5 1
"sudden" 4 1 0 2 1 0 1 0 0 3 0 1 0 2 0 0 0 5 1 0 0 0 0 4 3 1 1 1 2 0 4 1 1 0 0 1 0 1 4 2 4 2 0 0 2 0 0 1
"sufficient" 1 2 1 1 0 1 3 0 1 2 1 0 0 0 3 1 1 1 1 0 3 0 1 2 5 1 0 1 2 0 2 0 1 0 0 3 1 0 5 1 3 3 1 2 1 0 1 1
"sure" 3 9 3 1 4 2 4 3 4 9 3 0 1 5 2 1 4 3 5 1 0 2 0 3 7 1 3 3 2 0 6 3 4 1 1 5 4 5 0 0 9 7 1 0 0 2 5 0
"swift" 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 1 0 0 1 0 0 2 3 1 0 0 0 1 0 0 0 0 0 1 2 1 0 0 1 2 0 0 2 0 1 0
"thankful" 1 3 2 2 2 1 0 1 1 6 1 0 0 1 3 0 4 4 2 1 1 0 0 2 6 2 1 1 1 1 3 1 2 1 2 3 4 3 9 1 0 6 1 0 2 0 2 1
"true" 3 6 3 2 3 1 2 3 1 12 3 1 0 4 1 3 3 1 3 0 1 0 1 2 5 2 3 2 2 2 1 3 2 1 2 8 2 3 7 2 6 0 0 0 1 0 4 1
"ugly" 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 2 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 4 0 1 1 0 1 0 0 0 1 1 0 0
"unhappy" 1 1 0 0 0 0 2 0 0 1 0 1 0 1 0 1 0 0 0 0 2 0 1 2 2 0 2 0 1 0 1 0 2 0 1 2 0 2 0 0 0 0 0 0 0 0 0 1
"violent" 2 1 0 0 1 1 1 1 1 2 0 1 0 2 1 0 1 2 1 1 1 0 0 3 1 1 0 2 1 1 4 1 1 0 0 3 2 1 0 2 2 1 1 0 0 1 0 0
"weak" 1 1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0 0 2 1 0 0 0 1 2 0 0 2 0 0 0 1 0 1 0 1 0
"willing" 1 2 0 0 1 1 0 1 1 6 3 2 2 3 2 2 3 0 4 1 0 1 0 1 1 0 1 2 2 1 3 0 1 3 1 5 0 1 5 1 2 4 0 0 0 1 0 0
"wise" 2 3 1 2 2 0 1 1 0 2 0 0 1 1 0 2 0 0 0 0 1 0 2 0 2 0 1 0 1 2 2 0 3 0 1 1 1 1 0 0 1 1 0 1 0 0 0 0
