"busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "curious" "delicate" "eager" "earnest" "easy" "expressive" "familiar" "fearful" "fierce" "free" "fresh" "general" "gentle" "gloomy" "grateful" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "hurried" "impatient" "intense" "kind" "lively" "lonely" "loud" "merry" "mute" "natural" "neat" "open" "particular" "pleasant" "proud" "quick" "quiet" "rapid" "rough" "sad" "second" "silent" "simple" "slow" "soft" "solemn" "strong" "sudden" "sure" "sweet" "true" "ugly" "violent" "weak"
"eager" 0 1 0 1 0 1 2 4 0 1 0 0 0 1 0 1 1 1 0 2 3 0 1 1 0 1 2 0 0 1 0 2 1 3 0 2 2 0 1 0 1 1 1 1 0 1 2 1 0 2 3 2 0 2 0 2 2 1 1 1 0 2 4 1
"earnest" 1 1 3 1 3 1 2 4 1 1 0 0 1 0 0 2 0 3 2 0 3 1 2 1 0 0 5 2 2 2 2 1 1 1 0 3 1 0 1 1 0 4 0 2 1 1 1 1 2 2 0 4 1 0 0 0 5 4 4 3 5 1 2 0
"easy" 0 2 2 1 1 0 2 2 2 0 0 1 0 0 0 1 1 4 1 3 3 0 0 0 0 1 2 0 1 0 1 0 0 2 1 0 2 1 0 1 1 4 4 1 1 0 0 0 0 0 2 1 0 0 3 1 2 1 2 1 1 1 0 2
"expressive" 0 1 0 0 0 0 4 1 1 1 1 0 0 0 1 1 1 1 2 2 0 3 0 0 0 1 3 0 0 0 0 1 1 0 1 0 3 2 1 0 0 2 1 0 0 0 3 0 1 0 1 1 0 0 0 1 2 0 1 0 0 0 0 0
"familiar" 0 0 0 3 0 0 1 3 1 3 0 0 0 1 0 0 0 0 2 1 1 1 1 1 1 0 3 2 3 0 0 0 0 0 0 1 1 1 0 0 1 2 1 1 0 1 2 2 0 0 2 4 0 0 2 0 3 2 1 0 1 1 1 1
"fearful" 0 2 1 0 1 1 2 3 0 0 1 2 1 1 0 0 1 2 0 1 2 0 1 0 0 0 1 0 0 1 0 1 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 1 1 2 1 4 0 0 0 1 1 1 0 1 1 0 0 0
"fierce" 1 0 0 2 0 0 1 2 1 0 1 0 1 1 0 1 0 0 1 2 2 1 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 2 2 0 1 2 2 0 0 0 0 4 1 1 0 1 0 2 0
"free" 1 0 3 1 0 0 2 4 2 1 1 3 4 1 0 2 0 0 3 2 2 0 1 0 1 1 0 0 1 2 1 1 0 1 0 2 3 1 3 1 1 3 3 1 2 0 3 2 0 1 1 3 1 1 2 2 3 4 4 0 2 0 2 1
"fresh" 0 1 2 3 2 1 3 4 0 1 0 2 1 2 2 0 1 3 0 1 2 3 0 1 1 2 4 1 2 1 1 0 1 1 1 2 2 0 1 0 1 5 2 2 2 1 2 3 1 0 4 3 1 0 3 1 5 1 6 2 4 1 2 2
"general" 0 0 1 3 0 1 2 4 2 1 2 0 3 2 1 1 2 2 1 0 3 1 1 1 1 0 2 1 0 0 0 1 1 1 1 1 1 1 1 1 1 3 6 1 0 1 1 1 2 1 2 2 1 1 1 2 3 1 0 0 4 1 1 1
"gentle" 1 3 2 3 2 4 2 8 1 2 3 3 3 0 1 2 2 2 2 3 0 1 4 2 0 2 4 1 1 2 1 2 0 8 3 3 1 0 1 2 3 2 3 6 4 3 5 1 1 4 2 4 2 3 8 4 6 3 6 9 3 1 3 5
"gloomy" 2 1 0 3 1 0 3 6 0 3 0 1 0 3 1 0 1 0 3 1 1 0 0 1 0 1 6 2 0 0 0 0 2 1 2 2 4 0 1 0 0 7 1 2 0 3 3 1 1 2 2 1 0 0 0 0 4 0 0 0 2 0 2 2
"grateful" 0 0 2 1 1 1 0 5 0 1 1 2 0 0 1 1 0 1 0 1 4 0 0 0 0 1 0 0 0 1 0 0 0 2 0 1 1 0 0 1 2 0 1 0 0 0 2 1 0 4 0 1 0 2 1 0 2 2 2 2 1 1 1 1
"handsome" 0 0 0 2 2 1 2 2 0 1 1 1 0 0 1 0 1 0 1 1 2 1 0 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 4 0 1 2 1 1 1 1 1 1 3 0 3 1 2 0 0 1
"hasty" 0 0 0 3 0 0 1 2 2 1 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2 5 0 0 0 4 2 1 0 1 1 0 2 0 0 5 2 3 1 3 1 0 0
"hearty" 1 0 0 0 0 1 2 2 2 0 1 0 1 1 0 0 1 1 2 0 2 1 1 0 0 0 0 1 0 0 2 1 1 2 1 0 1 1 0 1 1 0 0 0 1 1 4 0 1 1 0 1 0 1 0 0 3 1 2 2 2 2 2 0
"heavy" 4 5 3 4 4 0 5 9 2 1 2 5 2 3 3 1 1 0 4 2 4 6 0 2 1 0 0 4 1 1 3 2 1 3 3 5 8 2 1 0 0 11 4 3 2 5 5 5 3 1 6 11 3 2 5 3 7 4 7 1 7 3 7 3
"helpless" 1 0 0 0 1 0 1 1 0 1 0 2 0 0 2 0 0 0 1 1 1 2 0 0 0 1 4 0 1 1 2 0 1 0 0 3 2 0 0 1 0 3 1 1 1 3 1 1 1 0 0 4 1 0 1 0 4 1 0 0 4 1 2 1
"honest" 0 1 2 2 3 0 0 0 2 2 0 2 1 0 3 0 0 1 2 0 1 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 2 0 2 1 2 3 1 0 2 1 3 2 3 0 0 1 0 1
"humble" 1 0 1 0 0 1 1 2 0 0 1 2 0 0 0 1 0 2 1 0 2 0 1 0 0 0 1 1 0 0 0 0 0 0 0 3 1 0 0 0 1 1 1 2 1 1 0 1 0 1 1 0 0 1 1 1 0 1 1 2 2 1 0 0
"hurried" 1 0 0 0 1 0 2 1 0 0 0 2 1 0 0 0 0 1 1 0 1 0 0 0 1 2 3 2 0 0 0 1 1 0 0 0 1 1 1 0 0 3 0 0 0 2 3 0 1 0 0 4 0 0 0 0 3 0 3 1 3 1 2 0
"impatient" 2 0 1 1 1 0 1 2 1 0 2 1 0 1 0 1 0 1 0 1 2 0 0 0 0 1 2 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 0 1 2 0 0 0 2 2 1 2 1 0 0 1 0
"intense" 0 0 0 0 0 0 0 2 0 1 1 1 0 1 0 0 1 0 1 1 0 2 0 0 1 1 1 1 0 0 1 0 0 1 0 1 0 1 1 1 0 2 2 0 0 1 3 0 0 0 0 1 1 1 0 0 4 1 2 0 3 0 2 0
"kind" 0 2 1 3 1 1 0 5 0 1 3 1 2 0 0 1 0 1 1 1 8 1 2 2 0 2 3 0 1 0 0 1 1 0 1 1 1 0 1 1 2 0 0 1 3 1 6 1 0 3 1 3 0 2 3 1 4 0 3 5 2 1 2 3
"lively" 1 1 0 1 0 0 1 1 2 0 0 0 1 1 0 0 1 0 1 1 3 2 0 0 0 1 3 0 0 0 0 0 0 1 0 0 2 0 1 0 0 1 1 0 0 1 0 0 1 0 3 1 1 0 2 1 2 1 1 1 0 0 2 2
"lonely" 1 2 1 2 0 1 4 7 0 0 2 3 0 0 1 2 0 2 2 1 3 2 1 0 0 0 5 3 0 3 0 1 1 1 0 0 2 0 0 1 1 4 1 1 1 2 2 3 2 1 3 2 1 1 1 2 3 2 0 1 2 0 3 1
"loud" 2 1 1 3 0 0 5 10 0 0 2 1 2 3 1 1 0 3 2 1 1 4 1 0 0 1 8 2 0 1 1 1 0 1 2 2 0 2 3 1 1 6 2 0 1 3 3 2 0 1 3 5 0 3 0 1 5 3 5 1 2 2 6 2
"merry" 0 1 0 0 0 0 0 1 2 0 0 0 1 2 1 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 1 0 1 0 0 0 2 0 1 1 2 0 0 0 1 0 2 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1
"mute" 2 0 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 3 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 0 3 1 0 1 0 1 0 0 1 1 1 0 0 0 0 2 0 0 1 1 1 2 2 1 0 0 4 1
"natural" 0 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0 0 1 0 1 2 0 1 0 0 1 0 1 0 0 0 0 1 1 0 1 1 1 1 0 2 1 2 0 0 0 1 0 0 0 1 0 1 1 0 0 2 2 1 3 1 0 1 1
"neat" 0 1 1 1 0 3 1 5 1 2 1 0 1 0 1 0 0 1 1 1 3 0 2 1 0 1 0 0 0 1 0 0 0 2 0 1 1 2 0 2 0 0 1 2 0 2 3 1 0 1 2 2 0 1 1 1 2 2 1 2 1 0 0 3
"open" 3 1 0 5 5 0 6 10 0 1 1 4 4 2 2 0 1 3 5 3 2 7 0 0 2 0 11 3 1 1 3 1 2 0 1 4 6 0 1 1 0 0 4 3 1 5 3 7 4 0 4 8 2 3 4 1 9 7 8 1 6 1 3 4
"particular" 1 0 2 4 0 2 3 7 1 2 1 0 4 1 1 0 1 3 2 6 3 1 1 0 5 0 4 1 0 1 0 0 2 0 1 1 2 0 0 2 1 4 0 1 0 2 3 1 0 1 5 3 1 2 2 0 8 5 4 1 5 3 0 2
"pleasant" 1 1 0 2 2 2 2 1 1 4 1 2 1 0 1 0 1 1 2 1 6 2 0 1 0 0 3 1 1 2 0 0 0 1 0 1 0 0 0 0 2 3 1 0 0 2 4 0 2 2 1 2 1 0 3 2 4 3 3 2 3 0 1 1
"proud" 2 1 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 2 2 0 4 0 0 0 0 1 2 1 1 1 0 0 0 3 0 1 1 1 1 0 0 1 0 0 0 0 0 2 0 1 0 1 0 0 2 0 0 2 0 3 2 0 1 0
"quick" 4 1 0 1 1 3 2 4 1 1 1 1 0 0 1 0 1 0 1 1 3 3 0 0 0 1 5 3 0 1 2 1 1 1 1 2 3 0 1 0 2 5 2 2 0 0 1 4 2 1 3 6 1 0 2 1 4 2 4 1 2 1 2 0
"quiet" 0 3 1 8 1 1 4 8 2 2 2 1 0 3 2 0 2 3 2 1 5 3 2 4 4 4 5 1 2 0 3 0 3 6 0 2 3 2 1 1 3 3 3 4 0 1 0 1 3 4 3 4 3 3 3 4 10 2 7 3 7 2 3 4
"rapid" 3 1 1 4 0 0 0 5 0 1 1 1 0 0 2 1 2 2 3 1 1 1 1 0 2 0 5 1 0 1 0 0 0 1 0 3 2 0 0 0 1 7 1 0 2 4 1 0 1 1 2 4 0 0 1 0 1 6 0 1 1 0 2 1
"rough" 0 1 1 2 3 0 3 3 2 1 0 2 0 1 0 1 0 0 1 2 1 1 0 1 1 1 3 1 2 0 1 1 0 0 1 2 0 1 0 0 0 4 0 2 0 2 3 1 0 0 2 3 1 1 0 0 5 1 4 0 3 1 0 0
"sad" 1 0 1 1 1 2 0 4 1 2 2 2 0 0 0 2 1 1 0 1 4 2 4 2 0 1 1 0 1 1 0 0 0 3 0 1 1 0 0 0 1 0 1 2 1 1 4 1 0 0 1 0 0 1 2 1 4 1 3 2 2 1 2 1
"second" 0 3 2 6 1 1 5 7 0 0 3 0 2 1 2 1 2 1 4 2 2 2 0 1 1 0 6 0 2 1 0 1 0 1 3 3 3 1 0 1 2 4 5 1 0 3 3 2 2 1 0 3 1 0 2 1 3 3 3 1 1 3 4 3
"silent" 1 2 1 3 4 1 5 7 1 2 2 4 1 1 4 4 2 3 3 2 4 1 1 1 1 1 11 4 3 0 4 2 1 3 1 2 5 1 2 0 2 8 3 2 1 6 4 4 3 0 3 0 1 2 4 2 9 7 4 2 6 1 3 0
"simple" 0 2 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 2 0 0 1 0 0 3 1 1 0 0 0 1 0 1 1 0 0 0 1 0 2 1 1 0 1 3 0 1 0 1 1 0 1 2 3 3 1 2 0 2 0 1 1
"slow" 0 0 1 0 1 0 2 4 1 0 2 0 0 0 0 0 0 1 0 1 3 0 2 1 2 1 2 0 0 1 0 0 1 2 0 1 3 0 0 1 1 3 2 0 0 0 3 0 1 1 0 2 1 0 0 2 3 2 3 3 3 2 4 1
"soft" 0 2 0 2 4 2 2 3 0 1 0 0 3 0 2 0 0 2 3 1 8 0 1 1 0 0 5 1 2 1 0 0 0 3 2 1 0 0 1 0 1 4 2 3 2 2 3 1 0 2 2 4 2 0 0 6 3 2 6 6 1 0 0 3
"solemn" 0 3 0 1 2 1 4 0 0 0 2 0 1 1 0 1 0 2 1 2 4 0 0 1 0 0 3 0 1 1 0 2 0 1 1 2 1 0 1 0 1 1 0 2 0 1 4 0 0 1 1 2 3 2 6 0 3 1 5 4 2 0 2 3
"strong" 2 3 1 10 4 2 5 12 4 5 2 5 2 2 3 1 4 3 5 3 6 4 2 3 5 3 7 4 3 0 3 2 4 4 2 3 5 1 1 2 2 9 8 4 0 4 10 1 5 4 3 9 3 3 3 3 0 6 12 5 8 4 7 3
"sudden" 1 2 2 4 2 3 2 5 4 4 1 4 1 0 2 1 1 4 1 1 3 0 2 0 2 1 4 1 2 1 0 1 1 0 1 2 3 0 2 2 2 7 5 3 2 2 2 6 1 1 3 7 1 2 2 1 6 0 3 1 3 2 4 0
"sure" 1 2 2 6 8 4 4 11 4 1 1 4 2 1 1 0 1 4 6 0 6 0 2 3 3 2 7 0 3 1 3 2 2 3 1 0 5 1 2 1 1 8 4 3 0 4 7 0 4 3 3 4 2 3 6 5 12 3 0 7 6 2 7 2
"sweet" 1 1 1 4 2 2 4 7 0 1 1 3 1 0 0 1 0 0 2 0 9 0 2 1 1 2 1 0 0 2 1 1 0 5 1 1 1 0 1 3 2 1 1 2 3 1 3 1 0 2 1 2 0 3 6 4 5 1 7 0 2 1 3 2
"true" 1 1 1 3 2 1 1 5 0 2 0 5 1 0 1 1 1 2 4 4 3 2 1 2 3 2 7 4 0 2 3 0 3 2 0 2 2 0 0 1 1 6 5 3 2 2 7 1 3 2 1 6 2 3 1 2 8 3 6 2 0 2 2 1
"ugly" 0 0 1 1 1 1 3 4 1 0 2 1 1 0 1 0 0 0 1 1 1 0 1 0 1 2 3 1 1 1 1 0 0 1 0 0 2 0 0 0 0 1 3 0 0 1 2 0 1 1 3 1 0 2 0 0 4 2 2 1 2 0 3 0
"violent" 2 0 1 4 1 1 3 6 3 2 4 2 0 0 1 0 2 2 2 1 3 2 1 0 0 2 7 2 0 0 2 1 2 2 2 3 6 1 4 1 0 3 0 1 1 2 3 2 0 2 4 3 1 4 0 2 7 4 7 3 2 3 0 4
"weak" 1 3 1 0 1 2 2 5 0 1 1 0 2 0 1 0 0 1 2 1 5 2 1 1 0 0 3 1 1 0 0 0 0 3 2 1 2 1 1 1 3 4 2 1 0 0 4 1 0 1 3 0 1 1 3 3 3 0 2 2 1 0 4 0
