"affectionate" "certain" "cheerful" "close" "cold" "curious" "easy" "exact" "familiar" "free" "fresh" "general" "gentle" "graceful" "handsome" "heavy" "honest" "indifferent" "melancholy" "natural" "open" "particular" "pleasant" "political" "practical" "proud" "quick" "quiet" "rapid" "sensible" "silent" "simple" "slow" "steady" "stern" "strong" "sufficient" "sure" "true" "violent" "weak"
"gentle" 0 3 1 1 0 1 0 0 0 3 1 2 0 0 1 2 2 1 1 1 0 0 1 0 0 3 0 5 0 0 0 0 4 0 1 1 2 2 6 1 2
"graceful" 1 0 1 0 2 2 0 1 1 1 0 0 0 0 1 1 0 2 0 2 1 2 0 1 2 2 0 0 1 0 0 1 1 1 0 0 0 2 0 0 0
"handsome" 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 2 1 0 2 0 2 0 3 0 1 1 0 1 0 0 1 3 1 0 0 2 2 1 0 0
"heavy" 1 3 2 1 4 2 3 1 3 1 1 4 2 1 1 0 0 1 3 2 0 5 3 1 1 1 1 6 3 2 2 0 3 2 2 6 0 9 4 2 2
"honest" 1 2 1 2 0 1 1 0 0 3 3 2 2 0 2 0 0 1 1 1 1 0 1 0 0 0 4 5 1 0 1 1 2 2 0 1 2 3 3 2 2
"indifferent" 0 1 0 0 3 1 2 1 0 2 1 2 1 2 1 1 1 0 1 1 0 1 1 1 0 2 0 1 0 1 0 1 1 0 0 0 0 2 2 0 1
"melancholy" 0 3 2 1 4 0 1 0 0 1 2 2 1 0 0 3 1 1 0 0 0 1 0 1 1 0 0 2 1 0 0 0 1 1 0 2 0 5 3 0 2
"natural" 0 1 4 1 4 2 2 2 1 3 1 4 1 2 2 2 1 1 0 0 1 0 1 2 1 3 1 4 1 1 2 4 2 0 0 2 1 4 5 0 0
"open" 1 2 1 0 1 1 0 0 0 0 2 4 0 1 0 0 1 0 0 1 0 2 0 0 2 0 1 1 0 0 2 0 0 1 2 2 0 4 0 0 0
"particular" 3 2 1 1 3 3 1 2 0 0 0 5 0 2 2 5 0 1 1 0 2 0 1 2 3 2 2 2 3 1 0 1 1 0 3 5 0 6 1 1 0
"pleasant" 0 2 1 1 0 0 2 1 1 0 1 5 1 0 0 3 1 1 0 1 0 1 0 0 0 1 1 4 0 1 2 0 3 0 0 4 1 2 3 2 1
"political" 0 1 1 0 2 0 1 1 0 1 0 2 0 1 3 1 0 1 1 2 0 2 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 3 1 0 0
"practical" 3 0 1 1 2 1 0 2 0 1 1 2 0 2 0 1 0 0 1 1 2 3 0 1 0 1 2 2 2 0 0 1 0 1 0 2 2 7 2 0 0
"proud" 1 0 1 0 3 2 0 1 1 3 0 0 3 2 1 1 0 2 0 3 0 2 1 1 1 0 0 4 0 0 0 1 0 0 0 1 2 3 4 0 0
"quick" 1 3 1 0 1 0 0 0 1 0 2 3 0 0 1 1 4 0 0 1 1 2 1 1 2 0 0 4 1 0 3 0 1 1 0 2 1 3 3 1 0
"quiet" 4 6 4 1 3 2 0 1 2 3 3 5 5 0 0 6 5 1 2 4 1 2 4 0 2 4 4 0 3 2 3 1 3 3 1 6 3 9 10 3 3
"rapid" 2 1 0 0 1 0 0 1 0 0 0 0 0 1 1 3 1 0 1 1 0 3 0 0 2 0 1 3 0 0 0 1 0 1 0 1 0 4 1 0 0
"sensible" 0 1 2 0 0 2 0 0 1 0 0 2 0 0 0 2 0 1 0 1 0 1 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 2 1 0 1
"silent" 0 1 0 1 0 0 1 1 1 1 2 4 0 0 0 2 1 0 0 2 2 0 2 0 0 0 3 3 0 0 0 1 1 0 0 1 0 5 2 0 1
"simple" 0 1 2 0 2 4 1 0 0 1 1 4 0 1 1 0 1 1 0 4 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 1 1 4 1 0 0
"slow" 0 3 2 1 1 2 2 1 0 1 2 5 4 1 3 3 2 1 1 2 0 1 3 1 0 0 1 3 0 0 1 1 0 1 1 2 1 4 4 1 1
"steady" 1 1 1 0 1 1 0 1 1 0 0 0 0 1 1 2 2 0 1 0 1 0 0 0 1 0 1 3 1 1 0 0 1 0 0 1 2 3 1 0 1
"stern" 0 3 1 0 0 1 0 1 0 0 0 3 1 0 0 2 0 0 0 0 2 3 0 0 0 0 0 1 0 0 0 0 1 0 0 3 0 3 2 0 0
"strong" 2 3 1 1 2 2 3 2 0 2 0 9 1 0 0 6 1 0 2 2 2 5 4 1 2 1 2 6 1 0 1 1 2 1 3 0 1 11 3 2 1
"sufficient" 0 1 0 1 0 1 0 1 0 1 0 1 2 0 2 0 2 0 0 1 0 0 1 0 2 2 1 3 0 0 0 1 1 2 0 1 0 1 3 1 1
"sure" 4 4 4 4 6 6 3 1 2 4 5 9 2 2 2 9 3 2 5 4 4 6 2 3 7 3 3 9 4 2 5 4 4 3 3 11 1 0 9 2 4
"true" 2 5 4 1 4 1 2 1 1 3 1 6 6 0 1 4 3 2 3 5 0 1 3 1 2 4 3 10 1 1 2 1 4 1 2 3 3 9 0 1 3
"violent" 0 1 0 3 1 1 0 0 0 1 0 1 1 0 0 2 2 0 0 0 0 1 2 0 0 0 1 3 0 0 0 0 1 0 0 2 1 2 1 0 1
"weak" 0 2 1 1 0 1 0 0 1 1 1 2 2 0 0 2 2 1 2 0 0 0 1 0 0 0 0 3 0 1 1 0 1 1 0 1 1 4 3 1 0
