"affectionate" "awkward" "benevolent" "busy" "calm" "careful" "certain" "cheerful" "clean" "close" "cold" "constant" "cunning" "curious" "delicate" "dignified" "domestic" "earnest" "easy" "enthusiastic" "expressive" "faithful" "fearful" "fierce" "fresh" "friendly" "general" "gentle" "gloomy" "grateful" "grave" "handsome" "hearty" "heavy" "honest" "humble" "hurried" "intense" "intimate" "kind" "lively" "lonely" "loud" "majestic" "melancholy" "merry" "natural" "neat" "nervous" "open" "particular" "pleasant" "precise" "proud" "quiet" "rapid" "reasonable" "restless" "rusty" "second" "serious" "silent" "slow" "soft" "solemn" "stern" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "true" "uncertain" "unhappy" "violent" "wise"
"fierce" 1 1 1 0 1 0 1 2 0 4 3 2 1 0 0 1 2 0 1 0 1 1 1 0 2 1 1 4 1 0 1 0 0 6 0 0 0 0 0 0 0 2 4 0 0 2 0 0 1 6 4 4 0 3 3 0 1 0 1 3 3 3 0 1 0 2 3 2 1 2 0 2 3 0 0 2 0
"fresh" 1 1 2 5 2 2 6 1 2 5 7 0 1 3 2 0 1 2 4 2 2 2 1 2 0 3 5 4 2 1 0 1 4 9 0 6 2 5 1 3 3 2 6 2 2 0 3 1 0 8 5 7 3 3 5 3 1 2 1 3 1 2 1 4 4 2 1 3 2 1 4 2 3 1 2 1 2
"friendly" 0 1 1 1 1 2 0 2 2 0 4 1 0 2 0 2 0 0 1 0 0 2 1 1 3 0 3 0 1 1 1 0 1 1 0 3 0 0 0 2 1 0 2 2 1 0 3 1 0 3 0 3 1 4 3 0 0 2 0 4 0 0 0 2 2 0 0 2 0 1 5 0 0 1 1 2 1
"general" 0 1 2 2 5 2 3 1 1 2 5 2 0 2 0 2 3 1 3 5 4 2 2 1 5 3 0 2 1 0 2 3 4 5 1 2 2 3 0 2 2 0 10 2 1 3 4 0 1 9 5 5 0 4 3 3 3 2 1 4 2 3 1 2 4 2 0 6 4 5 9 2 2 1 1 0 4
"gentle" 1 1 1 0 2 1 2 3 0 2 5 0 0 1 2 1 0 0 5 2 1 1 0 4 4 0 2 0 1 1 1 2 3 3 0 2 2 2 0 0 1 1 4 1 1 4 1 0 0 2 3 5 2 0 5 1 1 1 1 5 2 2 0 4 3 1 0 5 2 1 3 4 6 0 2 4 2
"gloomy" 1 1 1 1 1 0 2 1 1 2 3 0 0 2 0 3 0 2 3 0 1 0 1 1 2 1 1 1 0 0 0 0 0 3 0 0 0 0 1 0 0 2 5 0 1 1 1 0 0 5 3 2 0 1 2 1 1 0 1 3 0 1 1 0 1 1 3 2 1 0 2 2 3 0 0 2 0
"grateful" 0 3 1 0 0 2 2 1 0 0 2 1 1 0 0 0 0 1 1 0 2 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 1 2 1 1 0 1 0 2 1 1 2 3 0 0 1 2 0 0 1 2 2 1 0 0 0 1 0 1 1 0 0 2 2 1 0 3 1 1
"grave" 1 0 1 0 1 1 1 2 0 1 1 2 0 0 0 2 0 0 0 1 2 1 1 1 0 1 2 1 0 0 0 1 0 1 0 0 0 1 0 1 0 2 1 0 2 0 0 0 1 2 1 2 1 3 4 0 1 0 0 2 2 1 0 1 2 0 0 2 1 0 3 1 0 1 0 1 0
"handsome" 2 3 0 0 0 1 1 1 0 3 4 1 0 3 2 0 1 1 2 0 1 1 1 0 1 0 3 2 0 0 1 0 2 3 0 1 0 0 2 1 2 0 3 1 3 1 3 0 0 3 1 5 2 1 1 1 0 0 0 4 0 3 1 1 0 0 0 2 4 0 4 1 1 2 0 1 1
"hearty" 0 0 1 1 0 1 3 1 1 1 4 2 0 1 0 0 0 0 3 1 0 1 1 0 4 1 4 3 0 0 0 2 0 3 0 0 0 2 1 0 1 1 3 1 3 2 4 0 2 7 1 2 0 0 4 2 0 0 0 5 1 1 1 0 2 1 0 2 1 2 6 0 3 0 3 2 1
"heavy" 3 1 2 3 1 3 6 2 4 6 15 1 4 4 3 0 3 2 3 2 2 3 2 6 9 1 5 3 3 1 1 3 3 0 0 1 1 2 1 2 3 5 11 1 3 3 3 3 1 18 6 4 0 3 7 4 1 1 2 6 0 5 4 4 5 0 3 6 8 2 4 4 5 1 2 3 1
"honest" 0 0 0 1 1 2 1 0 0 1 2 0 0 1 3 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 2 1 0 1 3 1 1 0 2 0 0 1 0 2 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 2 1
"humble" 0 1 1 0 1 1 0 1 1 1 2 0 1 0 1 0 0 1 2 1 0 1 1 0 6 3 2 2 0 1 0 1 0 1 1 0 1 2 1 1 1 0 6 0 0 0 2 0 0 5 2 5 2 0 1 0 1 0 0 4 1 2 0 3 2 1 0 2 0 2 3 0 2 2 0 0 0
"hurried" 0 1 0 1 0 1 2 1 1 0 3 0 2 1 0 0 1 1 2 0 0 0 1 0 2 0 2 2 0 1 0 0 0 1 0 1 0 0 2 2 1 1 2 0 0 0 4 1 1 4 1 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 2 1 1 4 1 2 0 1 1 0
"intense" 1 0 0 1 1 0 1 1 1 3 5 2 0 1 2 0 0 0 1 2 2 3 1 0 5 0 3 2 0 0 1 0 2 2 1 2 0 0 1 2 1 2 2 0 1 0 1 2 1 4 4 4 3 1 3 4 0 0 0 3 1 0 0 1 4 0 0 2 4 0 6 2 5 0 0 2 1
"intimate" 0 1 0 0 0 2 0 1 0 0 4 0 1 1 0 0 1 1 1 2 0 0 0 0 1 0 0 0 1 1 0 2 1 1 0 1 2 1 0 0 0 1 5 0 2 1 3 2 1 0 3 1 1 0 1 0 0 0 0 3 1 0 0 0 1 0 1 2 2 1 4 2 1 1 1 1 0
"kind" 1 1 1 0 0 2 2 1 3 1 3 1 1 0 0 0 2 0 2 2 1 1 0 0 3 2 2 0 0 1 1 1 0 2 0 1 2 2 0 0 1 1 3 0 2 1 1 2 1 4 3 3 2 3 4 1 0 1 0 2 1 0 0 4 1 0 1 0 1 1 2 1 1 2 3 2 0
"lively" 0 2 0 0 2 5 2 4 1 5 5 0 0 2 0 0 1 1 2 0 2 1 0 0 3 1 2 1 0 2 0 2 1 3 0 1 1 1 0 1 0 1 2 0 0 1 1 2 1 3 3 1 1 1 3 0 0 0 0 4 2 0 0 0 2 1 0 3 1 0 4 1 5 0 0 1 0
"lonely" 0 1 0 1 0 0 1 2 0 1 7 1 2 1 0 0 0 0 1 2 0 1 1 2 2 0 0 1 2 1 2 0 1 5 0 0 1 2 1 1 1 0 3 0 4 4 0 0 2 2 1 2 0 2 4 1 1 2 1 1 1 1 1 2 2 0 2 2 3 0 5 1 4 0 0 2 0
"loud" 1 3 2 4 2 2 6 6 4 9 16 3 2 4 3 3 3 3 3 5 4 5 2 4 6 2 10 4 5 1 1 3 3 11 1 6 2 2 5 3 2 3 0 1 6 5 1 1 3 15 13 8 1 1 8 6 3 2 3 13 1 6 2 8 6 2 4 9 13 4 11 5 5 2 5 8 4
"majestic" 0 0 0 1 0 1 1 0 1 3 2 1 1 1 1 1 2 1 0 1 0 2 0 0 2 2 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 3 1 1 0 2 2 0 0 2 0 0 0 2 1 0 2 1 1 1 0 1 2 0 2 1 0 0 1
"melancholy" 1 0 3 3 0 2 4 4 0 1 7 2 0 1 0 1 1 0 2 2 1 2 1 0 2 1 1 1 1 1 2 3 3 3 1 0 0 1 2 2 0 4 6 1 0 2 3 0 0 3 1 4 0 2 8 0 1 2 3 3 1 5 1 2 1 0 1 3 2 2 5 1 1 2 3 6 0
"merry" 0 0 2 0 1 0 0 4 0 1 5 0 1 1 0 0 0 0 3 0 1 0 0 2 0 0 3 4 1 0 0 1 2 3 1 0 0 0 1 1 1 4 5 0 2 0 1 0 0 1 1 2 0 2 4 0 0 1 0 2 3 1 0 3 5 0 2 3 2 0 1 0 2 0 0 0 1
"natural" 3 1 1 2 1 8 5 2 1 2 4 2 2 5 2 2 4 1 2 0 2 0 1 0 3 3 4 1 1 2 0 3 4 3 2 2 4 1 3 1 1 0 1 2 3 1 0 2 4 8 8 3 3 4 5 0 1 1 0 4 1 2 1 0 2 1 0 3 2 2 9 1 6 3 2 1 2
"neat" 2 0 0 2 0 2 1 4 3 0 5 1 1 0 1 0 2 0 0 2 1 1 0 0 1 1 0 0 0 1 0 0 0 3 1 0 1 2 2 2 2 0 1 0 0 0 2 0 0 2 3 3 0 0 2 0 1 0 1 2 0 0 0 0 3 0 1 1 3 1 3 1 1 1 2 3 2
"nervous" 0 0 0 0 0 1 2 2 0 1 4 2 2 1 0 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 2 1 0 0 1 1 1 1 1 2 3 0 0 0 4 0 0 5 5 3 0 1 2 0 0 2 0 2 0 1 1 1 1 1 0 3 3 0 5 5 4 0 1 2 3
"open" 3 2 2 2 5 4 9 3 3 13 17 2 3 6 2 1 3 3 9 1 4 6 3 6 8 3 9 2 5 2 2 3 7 18 1 5 4 4 0 4 3 2 15 3 3 1 8 2 5 0 13 10 3 6 8 2 4 2 3 9 3 7 6 2 4 2 5 13 12 7 10 4 8 5 5 4 2
"particular" 2 2 3 4 3 6 11 4 5 4 9 3 2 8 2 2 6 1 4 2 5 1 1 4 5 0 5 3 3 3 1 1 1 6 3 2 1 4 3 3 3 1 13 1 1 1 8 3 5 13 0 6 4 3 10 1 2 2 3 12 1 1 4 1 5 3 1 7 10 2 8 2 10 3 5 4 3
"pleasant" 3 2 2 2 3 5 7 7 4 1 7 4 1 6 2 2 3 3 2 3 2 4 1 4 7 3 5 5 2 0 2 5 2 4 1 5 0 4 1 3 1 2 8 1 4 2 3 3 3 10 6 0 4 2 6 4 3 0 1 7 1 2 3 3 4 4 2 7 4 2 8 6 7 1 0 5 6
"precise" 1 0 1 0 0 1 1 1 2 2 1 0 1 4 1 1 1 0 1 0 2 0 0 0 3 1 0 2 0 0 1 2 0 0 1 2 0 3 1 2 1 0 1 0 0 0 3 0 0 3 4 4 0 0 1 0 0 1 0 4 0 1 0 2 1 0 0 3 1 1 4 0 1 1 0 0 2
"proud" 2 2 0 2 2 1 4 0 0 2 5 1 2 2 1 2 2 0 1 1 1 2 2 3 3 4 4 0 1 1 3 1 0 3 0 0 0 1 0 3 1 2 1 2 2 2 4 0 1 6 3 2 0 0 3 0 0 3 0 2 3 1 0 0 5 0 1 1 2 1 5 0 3 1 0 0 2
"quiet" 1 0 2 4 0 4 8 7 4 8 13 3 1 2 1 0 2 1 6 3 1 0 2 3 5 3 3 5 2 2 4 1 4 7 2 1 1 3 1 4 3 4 8 2 8 4 5 2 2 8 10 6 1 3 0 1 3 2 4 11 4 6 1 2 4 1 3 4 4 2 6 1 6 0 3 6 1
"rapid" 0 0 0 1 1 0 0 0 0 1 4 1 0 1 2 1 0 2 0 2 0 3 0 0 3 0 3 1 1 0 0 1 2 4 0 0 0 4 0 1 0 1 6 0 0 0 0 0 0 2 1 4 0 0 1 0 0 0 0 2 0 0 1 1 0 1 0 0 2 0 2 0 0 0 0 2 1
"reasonable" 2 0 0 1 0 0 2 2 2 0 1 1 0 1 0 1 1 0 2 0 1 1 2 1 1 0 3 1 1 0 1 0 0 1 0 1 0 0 0 0 0 1 3 0 1 0 1 1 0 4 2 3 0 0 3 0 0 0 1 1 0 0 1 1 0 2 1 4 1 2 1 1 2 0 1 1 0
"restless" 0 0 1 5 1 0 2 0 1 2 7 0 1 3 3 1 1 0 1 1 0 1 0 0 2 2 2 1 0 1 0 0 0 1 1 0 0 0 0 1 0 2 2 2 2 1 1 0 2 2 2 0 1 3 2 0 0 0 0 1 0 3 1 1 1 1 2 2 2 0 3 1 2 0 0 2 0
"rusty" 0 0 1 1 0 1 5 0 0 1 2 1 0 2 0 1 2 0 2 1 2 2 0 1 1 0 1 1 1 2 0 0 0 2 0 0 0 0 0 0 0 1 3 0 3 0 0 1 0 3 3 1 0 0 4 0 1 0 0 1 0 1 1 0 0 0 1 0 3 0 1 1 2 1 2 1 1
"second" 0 2 1 1 0 3 7 2 2 3 12 5 1 5 4 1 4 6 6 4 4 0 0 3 3 4 4 5 3 2 2 4 5 6 2 4 2 3 3 2 4 1 13 0 3 2 4 2 2 9 12 7 4 2 11 2 1 1 1 0 2 1 2 2 6 0 3 4 4 4 13 4 6 0 0 4 2
"serious" 0 1 1 0 1 1 4 4 0 2 2 1 1 0 0 1 1 2 0 1 1 0 0 3 1 0 2 2 0 1 2 0 1 0 0 1 2 1 1 1 2 1 1 0 1 3 1 0 0 3 1 1 0 3 4 0 0 0 0 2 0 1 1 0 3 1 0 3 1 1 2 1 2 0 0 1 0
"silent" 1 0 2 5 1 1 3 2 2 6 7 1 1 1 2 0 5 0 1 3 1 2 2 3 2 0 3 2 1 0 1 3 1 5 0 2 0 0 0 0 0 1 6 2 5 1 2 0 1 7 1 2 1 1 6 0 0 3 1 1 1 0 1 2 1 1 2 6 3 2 1 0 0 1 1 4 2
"slow" 2 0 0 1 0 1 4 0 0 1 4 0 1 2 1 0 1 3 1 0 0 0 1 0 1 0 1 0 1 0 0 1 1 4 0 0 0 0 0 0 0 1 2 1 1 0 1 0 1 6 4 3 0 0 1 1 1 1 1 2 1 1 0 0 3 0 0 3 4 0 3 2 3 0 1 1 0
"soft" 0 0 1 0 1 1 0 1 1 2 1 0 0 1 1 0 1 0 0 0 1 0 0 1 4 2 2 4 0 0 1 1 0 4 1 3 0 1 0 4 0 2 8 0 2 3 0 0 1 2 1 3 2 0 2 1 1 1 0 2 0 2 0 0 0 0 0 1 1 0 1 1 0 1 1 2 1
"solemn" 2 1 3 2 1 2 4 4 3 4 10 2 2 3 3 3 0 0 3 0 2 1 2 0 4 2 4 3 1 1 2 0 2 5 1 2 0 4 1 1 2 2 6 2 1 5 2 3 1 4 5 4 1 5 4 0 0 1 0 6 3 1 3 0 0 0 0 6 4 1 7 1 5 2 2 2 4
"stern" 0 0 0 2 1 1 1 1 0 1 1 0 0 0 1 2 1 3 1 1 0 1 1 2 2 0 2 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 2 1 0 0 1 0 1 2 3 4 0 0 1 1 2 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 2 0 1 2 1
"stiff" 0 0 0 0 0 1 0 1 0 2 5 1 2 1 1 0 1 0 2 2 3 1 0 3 1 0 0 0 3 1 0 0 0 3 0 0 0 0 1 1 0 2 4 1 1 2 0 1 0 5 1 2 0 1 3 0 1 2 1 3 0 2 0 0 0 1 0 2 0 1 0 1 2 0 1 0 1
"strong" 4 2 0 2 4 2 5 4 2 6 8 1 1 1 2 0 3 0 4 1 6 2 3 2 3 2 6 5 2 1 2 2 2 6 0 2 2 2 2 0 3 2 9 1 3 3 3 1 3 13 7 7 3 1 4 0 4 2 0 4 3 6 3 1 6 1 2 0 5 3 10 4 7 3 3 4 1
"sudden" 3 0 0 4 2 2 6 3 1 5 9 1 2 4 3 1 0 1 1 4 2 5 3 1 2 0 4 2 1 0 1 4 1 8 1 0 1 4 2 1 1 3 13 0 2 2 2 3 3 12 10 4 1 2 4 2 1 2 3 4 1 3 4 1 4 0 0 5 0 3 7 3 5 1 0 4 1
"sufficient" 1 0 1 2 0 1 1 2 2 0 3 1 0 1 0 1 1 0 1 3 0 2 1 2 1 1 5 1 0 0 0 0 2 2 0 2 1 0 1 1 0 0 4 1 2 0 2 1 0 7 2 2 1 1 2 0 2 0 0 4 1 2 0 0 1 1 1 3 3 0 4 0 2 2 1 1 0
"sure" 3 3 3 3 0 3 8 3 3 2 17 3 2 8 1 3 2 0 6 4 1 5 2 0 4 5 9 3 2 2 3 4 6 4 1 3 4 6 4 2 4 5 11 2 5 1 9 3 5 10 8 8 4 5 6 2 1 3 1 13 2 1 3 1 7 0 0 10 7 4 0 5 13 3 4 2 3
"sweet" 1 1 0 0 0 3 5 1 0 2 8 1 1 3 0 0 0 1 2 3 0 1 0 2 2 0 2 4 2 2 1 1 0 4 0 0 1 2 2 1 1 1 5 0 1 0 1 1 5 4 2 6 0 0 1 0 1 1 1 4 1 0 2 1 1 0 1 4 3 0 5 0 3 0 3 3 2
"true" 2 0 0 1 1 4 9 5 0 1 9 1 1 4 4 0 2 1 4 2 3 3 2 3 3 0 2 6 3 1 0 1 3 5 0 2 2 5 1 1 5 4 5 2 1 2 6 1 4 8 10 7 1 3 6 0 2 2 2 6 2 0 3 0 5 2 2 7 5 2 13 3 0 1 1 2 2
"uncertain" 1 2 0 0 0 1 3 1 0 3 1 0 0 1 1 0 1 0 1 1 0 0 2 0 1 1 1 0 0 0 1 2 0 1 0 2 0 0 1 2 0 0 2 1 2 0 3 1 0 5 3 1 1 1 0 0 0 0 1 0 0 1 0 1 2 0 0 3 1 2 3 0 1 0 1 0 1
"unhappy" 0 2 1 0 0 2 0 4 1 1 4 2 0 1 0 0 1 0 2 1 2 1 1 0 2 1 1 2 0 3 0 0 3 2 1 0 1 0 1 3 0 0 5 0 3 0 2 2 1 5 5 0 0 0 3 0 1 0 2 0 0 1 1 1 2 1 1 3 0 1 4 3 1 1 0 3 2
"violent" 2 1 0 1 3 0 6 3 1 4 5 3 0 3 0 1 0 1 0 3 0 1 1 2 1 2 0 4 2 1 1 1 2 3 2 0 1 2 1 2 1 2 8 0 6 0 1 3 2 4 4 5 0 0 6 2 1 2 1 4 1 4 1 2 2 2 0 4 4 1 2 3 2 0 3 0 1
"wise" 0 0 0 0 0 2 1 2 0 1 2 0 2 1 2 1 1 0 0 0 2 1 1 0 2 1 4 2 0 1 0 1 1 1 1 0 0 1 0 0 0 0 4 1 0 1 2 2 3 2 3 6 2 2 1 1 0 0 1 2 0 2 0 1 4 1 1 1 1 0 3 2 2 1 2 1 0
