"affectionate" "certain" "cheerful" "cold" "constant" "determined" "eager" "easy" "fearful" "fresh" "general" "generous" "gentle" "handsome" "honest" "impatient" "kind" "natural" "open" "partial" "particular" "pleasant" "positive" "quick" "quiet" "second" "sensible" "severe" "silent" "simple" "sincere" "strong" "sudden" "sure" "sweet" "true" "violent" "vain"
"silent" 3 2 1 2 1 1 3 1 1 1 2 1 0 1 0 0 0 1 2 2 1 0 2 1 0 2 3 0 0 0 0 1 3 3 3 0 1 1
"simple" 0 0 2 0 1 0 1 1 0 0 4 1 2 3 2 2 2 0 1 0 2 0 1 0 1 1 0 0 0 0 0 1 4 8 1 5 0 0
"sincere" 0 2 1 0 1 0 0 0 0 0 2 0 2 0 0 0 1 1 2 0 0 0 1 2 1 1 0 0 0 0 0 0 1 3 0 1 0 0
"strong" 2 0 1 3 2 2 2 2 1 1 2 1 0 3 1 0 2 1 1 1 2 1 0 1 1 1 0 0 1 1 0 0 2 7 2 4 0 2
"sudden" 2 1 3 2 1 0 3 1 2 2 6 2 2 4 3 2 1 4 3 1 4 1 2 4 2 3 3 0 3 4 1 2 0 7 1 5 2 1
"sure" 4 6 4 2 5 5 5 6 1 4 10 3 6 11 5 3 8 4 4 3 9 5 4 4 3 7 1 1 3 8 3 7 7 0 5 9 1 3
"sweet" 1 1 1 2 0 2 4 1 2 2 3 2 1 1 2 2 2 0 2 0 2 1 2 2 0 3 2 1 3 1 0 2 1 5 0 1 2 3
"true" 2 1 2 0 1 2 1 2 1 0 3 0 1 3 3 1 1 1 2 0 2 0 1 0 2 2 2 1 0 5 1 4 5 9 1 0 0 1
"violent" 0 0 0 2 0 0 0 0 3 2 3 0 0 2 0 0 0 0 2 1 1 0 1 3 1 5 0 1 1 0 0 0 2 1 2 0 0 0
"vain" 2 1 0 2 0 1 3 2 2 1 0 1 0 1 0 1 1 2 2 0 2 1 1 1 1 2 2 2 1 0 0 2 1 3 3 1 0 0
