"busy" "certain" "cheerful" "christian" "clean" "close" "cold" "constant" "curious" "determined" "domestic" "easy" "expressive" "familiar" "free" "fresh" "friendly" "general" "gentle" "gloomy" "grateful" "grave" "handsome" "heavy" "honest" "hopeless" "humble" "impatient" "indifferent" "lively" "lonely" "natural" "neat" "open" "particular" "pleasant" "polite" "proud" "quiet" "second" "sensible" "serious" "silent" "slow" "steady" "strong" "sudden" "sure" "suspicious" "sweet" "thoughtful" "true" "uncertain" "vain" "violent" "weak"
"sensible" 0 1 0 0 1 0 2 1 0 0 0 2 2 1 2 0 0 1 0 0 1 0 1 0 0 1 2 0 0 1 1 0 0 3 2 0 3 1 1 0 0 0 0 0 1 2 2 3 0 0 1 0 0 0 0 0
"serious" 1 6 1 0 1 0 3 1 2 1 2 0 1 0 1 0 1 0 0 1 0 1 1 1 2 1 0 0 0 1 0 0 1 2 1 0 0 1 2 1 0 0 1 0 0 2 0 2 1 0 1 2 1 0 1 0
"silent" 2 5 2 1 2 2 3 0 2 0 4 0 1 0 1 1 0 1 3 0 1 1 0 0 2 3 1 0 0 2 0 2 1 4 1 2 0 1 5 1 0 1 0 1 2 7 2 2 0 1 1 4 1 1 0 1
"slow" 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 2 1 0 0 1 0 0 2 0 1 0 1 0 1 1 2 1 5 1 1 0 3 1 1 0 0 1 0 1 3 0 1 1 1 2 1 1 1 0 1
"steady" 0 3 1 0 1 0 5 2 0 0 0 2 1 0 2 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1 0 2 0 2 0 3 2 1 1 0 2 1 0 2 2 2 0 0 0 1 0 0 0 0
"strong" 1 9 1 0 0 4 8 4 3 1 4 7 3 1 3 4 1 4 3 2 0 3 3 11 4 2 2 3 4 2 2 6 0 10 3 6 1 3 10 3 2 2 7 3 2 0 5 13 1 2 0 7 2 2 3 1
"sudden" 2 5 1 2 1 1 4 2 2 0 0 1 2 1 2 1 0 2 0 0 1 2 3 3 1 1 0 2 2 1 0 2 1 4 3 1 2 0 3 1 2 0 2 0 2 5 0 7 1 0 1 2 1 2 1 1
"sure" 4 14 3 1 5 6 12 1 7 3 0 7 2 2 6 2 4 4 2 0 2 4 6 5 5 1 0 4 2 2 4 3 0 12 9 3 1 3 10 5 3 2 2 1 2 13 7 0 3 0 2 6 2 1 5 2
"suspicious" 0 4 0 0 2 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 1 2 1 1 2 0 0 1 0 0 1 2 0 2 2 2 0 1 0 2 0 1 0 1 0 1 1 3 0 0 0 1 0 0 2 2
"sweet" 2 0 0 0 1 1 3 0 1 0 1 1 0 0 0 0 1 2 1 0 1 0 1 1 0 1 0 0 0 0 1 0 2 4 0 2 0 1 0 1 0 0 1 1 0 2 0 0 0 0 2 2 0 1 2 2
"thoughtful" 1 0 0 0 2 0 2 0 0 0 1 1 0 0 0 0 1 1 0 0 2 0 0 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 2 0 1 1 1 2 0 0 1 2 0 2 0 2 0 1 0 0
"true" 2 6 1 0 2 3 7 3 2 2 1 4 1 2 1 2 1 2 1 3 3 2 3 5 1 2 3 1 1 3 0 4 1 7 1 5 1 4 6 2 0 2 4 1 1 7 2 6 1 2 2 0 1 3 2 3
"uncertain" 4 2 1 0 1 0 2 2 1 2 0 1 0 1 0 1 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 1 1 1 0 2 1 2 0 0 0 1 0 1 0 0
"vain" 3 0 0 0 1 0 0 2 2 0 1 0 0 0 0 1 0 0 0 1 2 0 0 1 0 1 1 0 2 1 0 0 1 2 1 1 0 1 1 1 0 0 1 1 0 2 2 1 0 1 1 3 1 0 0 1
"violent" 1 2 1 0 0 3 4 0 3 0 0 1 1 0 1 0 1 0 1 2 0 1 0 2 1 0 0 1 0 0 0 1 1 2 2 0 0 0 1 1 0 1 0 0 0 3 1 5 2 2 0 2 0 0 0 2
"weak" 0 2 0 1 0 1 2 1 3 1 0 1 0 0 1 1 1 1 2 1 1 2 0 2 1 0 1 0 1 1 0 3 0 4 2 2 0 1 4 1 0 0 1 1 0 1 1 2 2 2 0 3 0 1 2 0
