"affectionate" "busy" "certain" "cheerful" "clean" "close" "cold" "confident" "conscientious" "cool" "curious" "delicate" "earnest" "easy" "expressive" "fierce" "firm" "free" "fresh" "friendly" "general" "generous" "gentle" "gloomy" "gracious" "grateful" "grave" "handsome" "heavy" "kind" "modest" "musical" "natural" "neat" "noisy" "open" "orderly" "original" "particular" "passionate" "pleasant" "polite" "proud" "quick" "quiet" "responsible" "rough" "second" "sensible" "silent" "slow" "soft" "solemn" "sorrowful" "stately" "steady" "stiff" "strong" "sudden" "sufficient" "sure" "sweet" "true" "ugly" "unhappy" "violent" "weak" "wise"
"friendly" 2 1 3 1 0 0 3 0 0 0 0 1 0 1 0 1 1 3 1 0 1 0 1 0 0 1 0 3 4 1 1 0 2 0 0 3 0 0 0 0 0 0 1 2 0 0 1 1 0 2 1 0 1 0 1 0 0 3 1 0 3 0 4 2 0 0 0 0
"general" 2 1 5 0 1 1 2 1 1 2 2 2 2 4 2 0 1 3 1 1 0 0 1 1 0 1 0 2 0 1 2 0 3 2 1 4 1 1 2 0 1 1 2 1 1 2 0 2 2 4 2 1 1 0 1 1 2 2 0 1 3 2 1 1 1 0 0 1
"generous" 2 0 1 0 0 0 1 0 0 1 1 2 1 5 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 2 0 1 1 0 1 1 1 0 1 1 1 4 1 1 0 2 0 1 0 1 0 0 2 0 2 0 0 5 1 2 0 2 0 0 1
"gentle" 2 0 2 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 1 0 1 0 3 0 0 0 0 2 0 2 0 0 0 1 0 1 0 0 2 0 1 0 0 0 0 1
"gloomy" 0 1 3 0 0 0 0 0 1 1 0 2 0 3 0 0 0 2 0 0 1 0 0 0 2 2 1 0 0 1 0 1 0 0 0 3 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 4 1 1 0 1 0 1 0 1 0 1
"gracious" 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 2 0 1 0 0 1 1 0 1 0 0 0 3 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 2 1 1 0 1 0 1 0
"grateful" 1 0 3 1 1 0 1 0 0 1 0 1 0 1 0 0 0 3 0 1 1 0 0 2 1 0 1 0 1 1 0 1 0 1 0 3 0 1 1 0 1 1 1 0 0 1 0 1 0 3 0 1 1 0 2 0 0 1 1 1 2 1 1 0 0 0 0 0
"grave" 1 1 2 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 2 3 0 0 1 0 2 0 0 1 0 1 0 0 2 1 1 3 0 3 0 0 0 0 0
"handsome" 2 1 1 0 1 0 2 0 1 0 1 0 3 1 1 1 0 1 2 3 2 0 0 0 0 0 0 0 2 2 1 1 1 1 0 2 0 1 1 0 0 0 1 2 1 1 1 2 0 0 1 0 0 0 0 0 1 2 0 0 3 0 3 0 0 0 0 1
"heavy" 1 0 5 2 1 3 3 1 0 2 3 0 2 4 0 2 0 1 3 4 0 1 0 0 1 1 0 2 0 1 1 0 3 0 0 5 1 0 1 0 0 0 1 1 3 1 2 1 0 1 3 0 1 0 0 0 0 3 3 0 4 0 7 1 1 1 1 0
"kind" 1 1 1 1 0 1 1 0 0 0 2 2 1 1 1 0 0 0 0 1 1 0 0 1 1 1 0 2 1 0 0 1 0 0 0 2 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0 1 0 0 1 1 3 2 0 1 0 1 0 0 0 0 0
"modest" 0 1 2 0 1 0 2 0 0 2 1 0 0 1 2 0 0 0 0 1 2 0 0 0 0 0 0 1 1 0 0 0 3 0 0 2 0 0 1 0 0 1 4 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 3 0 3 0 1 0 0 1
"musical" 1 1 0 1 0 0 2 1 0 0 1 0 1 2 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 2 1 0 0 0 0 1
"natural" 2 1 3 1 1 0 1 0 1 2 1 0 3 3 2 1 2 1 1 2 3 2 2 0 0 0 1 1 3 0 3 1 0 0 0 2 1 0 1 0 0 1 5 0 5 0 0 1 0 3 0 0 1 0 0 2 0 0 2 1 7 1 3 0 1 0 0 3
"neat" 1 0 1 0 2 0 1 0 0 1 0 1 1 1 0 0 0 1 1 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0
"noisy" 0 2 1 0 0 0 2 1 0 0 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 2 0 1 0 1 0 1 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0
"open" 3 2 8 0 1 5 7 1 1 3 5 1 2 6 3 2 1 3 2 3 4 1 1 3 3 3 1 2 5 2 2 1 2 1 1 0 0 1 1 3 1 2 5 1 5 0 3 6 1 5 3 1 1 0 3 3 0 6 3 3 9 3 5 3 1 1 1 0
"orderly" 0 1 2 1 0 0 1 1 1 0 0 0 1 2 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 1 1 0 1 1 0 0 1
"original" 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1
"particular" 2 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 2 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 1 0 2 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 1 0 1 1
"passionate" 0 0 1 1 0 1 1 0 0 0 1 1 0 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 1 1 0 1 0 3 0 0 0 1 1 0 2 0 2 1 0 2 1 3 1 0 2 0 0
"pleasant" 0 0 0 2 0 0 1 2 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 3 0 0 0 0 1 0 2 1 1 1 0 0 1 0 1 2 1 1 0 0 0 1 0
"polite" 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 2 0 1 1 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 3 1 2 0 0 0 0 1
"proud" 0 2 1 2 1 0 3 1 1 2 1 1 0 2 2 2 3 1 2 1 2 1 1 1 1 1 0 1 1 0 4 1 5 0 2 5 1 0 1 1 1 1 0 0 4 0 1 0 1 3 0 2 1 2 0 3 0 1 1 2 5 1 2 0 0 0 1 2
"quick" 0 0 1 0 1 1 0 1 1 0 1 1 0 3 0 1 0 1 1 2 1 1 0 0 1 0 2 2 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 4 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 3 0 2 1 0 0 0 0
"quiet" 2 0 2 2 1 1 2 1 3 2 4 1 3 4 1 1 2 1 3 0 1 4 3 1 1 0 3 1 3 0 1 1 5 0 1 5 1 1 2 1 3 1 4 4 0 0 1 0 1 1 0 2 1 1 1 2 0 6 2 1 8 0 4 0 0 0 1 2
"responsible" 1 0 1 0 0 1 0 1 0 0 1 2 1 1 1 0 0 0 0 0 2 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 2 0 2 0 1 0 1 0 0 0 3 1 0 0 1 0 1 0
"rough" 0 0 2 0 0 1 3 0 0 0 0 1 0 1 0 2 1 0 2 1 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 3 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0
"second" 2 1 3 0 1 1 2 1 0 0 1 0 2 0 2 1 0 1 2 1 2 0 0 0 1 1 1 2 1 1 1 0 1 2 0 6 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 2 0 1 0 0 3 0 1 4 2 0 1 2 1 1 0
"sensible" 0 0 1 1 0 0 2 0 0 1 0 3 0 2 1 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 3 0 0 1 0 1 1 1 0 0 0 1 0 2 1 0 2 0 2 1 0 2 1 2 0 1 2 0 0
"silent" 2 2 6 1 2 0 2 0 1 0 1 0 0 1 1 1 2 2 0 2 4 0 2 0 0 3 2 0 1 1 2 1 3 1 1 5 0 0 0 0 1 1 3 0 1 0 0 1 0 0 1 2 1 0 1 1 2 0 0 2 3 0 5 0 0 0 0 1
"slow" 2 1 2 0 0 1 3 1 0 1 2 0 1 2 1 0 1 1 0 1 2 1 0 0 0 0 0 1 3 1 0 0 0 0 1 3 0 0 1 0 0 1 0 0 0 2 0 1 1 1 0 0 1 0 1 0 2 0 0 1 2 1 0 1 0 1 1 0
"soft" 0 1 2 1 0 0 1 1 0 1 0 0 0 0 0 1 0 1 1 0 1 0 2 1 0 1 0 0 0 0 0 1 0 0 1 1 2 0 0 0 2 0 2 0 2 0 0 0 0 2 0 0 0 1 0 0 1 2 1 0 1 1 1 0 0 0 1 0
"solemn" 0 0 1 2 0 1 1 1 0 0 1 1 1 1 2 0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 2 0 2 2 1 1 0 0 0 0 0 0 2 1 0 3 2 1 0 1 1 1 0
"sorrowful" 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 0 0 1 0 0 1 0 0 0 3 0 1 2 1 1 0 1 0 0 1 1 0
"stately" 1 0 2 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 1 0 3 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 2 3 1 0 1 0 0 0 0
"steady" 1 1 1 2 0 1 1 0 0 0 1 2 1 2 0 0 2 0 3 0 1 2 1 1 0 0 0 0 0 1 0 1 2 0 1 3 0 0 0 2 0 0 3 0 2 0 1 0 2 1 0 0 0 3 0 0 0 4 3 1 3 0 2 0 0 2 0 0
"stiff" 1 1 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 2 1 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 0
"strong" 2 2 6 3 1 2 3 0 3 1 1 3 2 3 0 1 1 1 2 3 2 2 1 4 1 1 2 2 3 3 0 0 0 0 1 6 2 0 1 2 1 1 1 1 6 0 1 3 2 0 0 2 2 1 0 4 0 0 6 0 4 2 8 3 1 2 0 1
"sudden" 0 1 2 3 0 1 1 0 0 2 1 1 1 0 0 0 1 2 1 1 0 0 0 1 2 1 1 0 3 2 0 0 2 0 0 3 0 0 0 1 0 0 1 1 2 0 0 0 1 0 0 1 1 2 0 3 1 6 0 2 4 0 5 0 0 1 0 0
"sufficient" 1 1 3 1 2 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 3 0 0 0 0 1 0 2 0 1 0 0 1 0 2 1 0 0 1 2 1 2 0 2 0 4 1 0 0 0 0 0 1
"sure" 6 3 5 2 1 2 3 3 2 2 3 3 3 7 4 1 2 2 2 3 3 5 2 0 2 2 3 3 4 1 3 1 7 1 1 9 1 1 1 2 2 3 5 3 8 3 1 4 2 3 2 1 3 1 3 3 2 4 4 4 0 2 7 1 3 0 2 1
"sweet" 0 1 5 0 0 0 1 1 0 0 1 1 1 2 1 2 1 0 1 0 2 1 0 1 1 1 0 0 0 0 0 2 1 0 1 3 1 1 0 1 1 1 1 0 0 1 0 2 1 0 1 1 2 0 1 0 0 2 0 1 2 0 3 0 1 0 0 0
"true" 2 2 7 2 3 2 4 0 2 0 5 1 2 4 2 2 0 2 3 4 1 2 1 0 1 1 3 3 7 1 3 1 3 0 0 5 0 0 1 3 1 2 2 2 4 0 1 0 2 5 0 1 1 1 0 2 1 8 5 0 7 3 0 1 1 2 1 0
"ugly" 0 0 2 0 0 2 1 0 1 0 0 0 0 2 0 0 0 1 0 2 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 3 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 3 0 0 1 0 1 0 0 0 0 1
"unhappy" 1 0 2 1 0 0 1 0 0 0 0 1 1 2 1 2 0 0 0 0 1 2 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 1 0 0 3 1 1 0 0 0 1 0
"violent" 0 1 0 1 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 2 0 1 0 1 1 0 2 0 2 1 0 0 0 2 0 0 0 0 0
"weak" 2 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 0 2 0 1 0 1 0 0 0
"wise" 0 0 2 0 1 0 0 0 2 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 3 0 0 0 1 1 1 0 0 1 2 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0
