"active" "affectionate" "calm" "certain" "cheerful" "civil" "cold" "constant" "delicate" "determined" "eager" "earnest" "easy" "free" "fresh" "friendly" "general" "gentle" "grateful" "grave" "handsome" "heavy" "impatient" "indifferent" "intimate" "kind" "lively" "melancholy" "natural" "open" "partial" "particular" "pleasant" "quick" "quiet" "reasonable" "second" "selfish" "sensible" "serious" "silent" "simple" "sincere" "strong" "sudden" "sure" "sweet" "true" "uncertain" "unhappy" "violent"
"gentle" 1 1 1 1 0 2 2 2 1 1 0 1 0 0 0 2 2 0 0 2 0 1 1 2 1 0 1 0 3 2 0 2 0 1 2 0 1 1 2 1 3 1 0 2 0 5 2 1 0 1 1
"grateful" 2 1 0 2 1 0 2 1 1 3 2 2 1 2 3 1 2 0 0 0 0 1 1 0 0 2 0 2 3 3 0 4 1 1 0 1 2 0 0 1 4 3 3 3 0 7 1 0 0 4 0
"grave" 1 1 2 5 2 0 1 0 1 3 2 3 2 0 0 1 6 2 0 0 2 0 2 0 1 0 1 1 1 1 1 3 1 0 2 0 0 0 2 3 4 2 0 2 1 6 2 1 0 0 2
"handsome" 2 3 1 0 2 3 7 3 2 1 2 5 3 1 0 1 7 0 0 2 0 1 1 1 1 1 0 2 3 3 2 9 2 1 2 0 0 2 2 0 6 0 1 3 1 11 2 0 0 2 2
"heavy" 0 3 2 1 3 0 3 2 0 1 1 1 1 1 4 1 5 1 1 0 1 0 1 2 1 3 0 2 2 5 4 4 3 1 1 1 2 2 0 3 5 3 1 3 3 3 0 1 3 1 2
"impatient" 1 2 0 3 2 1 0 3 0 0 0 1 2 1 0 1 3 1 1 2 1 1 0 1 1 1 0 3 2 1 0 4 0 0 2 2 0 0 0 2 3 3 0 0 0 3 0 0 0 1 3
"indifferent" 2 2 1 3 1 0 2 4 1 1 1 2 3 0 1 0 5 2 0 0 1 2 1 0 0 1 1 2 2 2 0 5 0 1 0 2 1 0 1 2 3 1 0 2 2 8 1 0 0 2 1
"intimate" 0 1 3 4 1 0 1 3 2 1 0 2 0 1 1 1 3 1 0 1 1 1 1 0 0 1 1 2 1 1 1 5 1 1 1 3 2 1 0 3 1 3 2 3 0 6 0 4 1 0 1
"kind" 1 2 1 3 2 2 2 2 0 2 0 1 0 0 0 2 3 0 2 0 1 3 1 1 1 0 0 4 4 3 0 6 2 1 1 1 2 0 0 4 9 3 1 2 1 5 2 1 2 2 2
"lively" 0 3 2 2 0 0 2 2 1 0 2 3 1 1 1 0 7 1 0 1 0 0 0 1 1 0 0 1 3 3 0 2 0 1 1 1 1 0 1 2 3 1 1 3 1 2 2 0 0 1 0
"melancholy" 2 4 1 4 0 1 1 1 0 2 0 5 2 0 3 2 7 0 2 1 2 2 3 2 2 4 1 0 6 3 2 7 2 2 1 2 2 3 1 3 6 2 1 1 2 8 1 1 2 2 2
"natural" 2 5 2 6 0 2 4 3 2 1 2 8 4 2 1 3 10 3 3 1 3 2 2 2 1 4 3 6 0 6 0 7 2 2 3 2 5 3 3 5 11 8 3 8 1 16 3 3 2 5 3
"open" 2 6 3 12 2 2 4 5 2 6 6 3 2 3 5 2 10 2 3 1 3 5 1 2 1 3 3 3 6 0 2 11 4 2 4 2 4 4 1 1 6 5 2 3 1 10 3 4 4 1 4
"partial" 0 0 2 1 1 0 0 0 0 0 2 2 0 1 3 0 5 0 0 1 2 4 0 0 1 0 0 2 0 2 0 3 1 0 1 0 1 1 0 2 3 0 1 1 1 2 1 3 3 2 0
"particular" 1 6 2 8 4 3 8 8 2 3 4 5 2 2 2 3 16 2 4 3 9 4 4 5 5 6 2 7 7 11 3 0 6 2 4 6 3 3 3 6 6 6 3 4 2 21 3 8 3 5 5
"pleasant" 0 1 1 4 0 2 2 1 0 3 2 1 0 1 1 2 2 0 1 1 2 3 0 0 1 2 0 2 2 4 1 6 0 1 0 0 1 0 1 0 2 1 0 1 0 7 1 1 1 1 2
"quick" 2 1 1 2 1 1 3 3 1 0 0 1 0 0 0 1 4 1 1 0 1 1 0 1 1 1 1 2 2 2 0 2 1 0 0 1 1 1 1 1 3 1 2 0 1 5 2 2 1 1 3
"quiet" 0 3 2 3 3 2 2 1 1 0 1 1 0 0 1 1 7 2 0 2 2 1 2 0 1 1 1 1 3 4 1 4 0 0 0 1 4 0 0 2 7 1 1 1 1 5 2 3 0 1 3
"reasonable" 2 2 4 1 1 0 2 2 1 1 1 2 5 1 1 2 3 0 1 0 0 1 2 2 3 1 1 2 2 2 0 6 0 1 1 0 2 1 0 2 3 3 2 3 2 3 0 2 0 2 1
"second" 2 1 1 4 2 1 1 3 1 2 1 2 2 2 4 1 4 1 2 0 0 2 0 1 2 2 1 2 5 4 1 3 1 1 4 2 0 0 2 2 5 4 3 4 1 5 2 3 0 3 2
"selfish" 0 1 0 2 2 0 2 1 1 2 5 2 3 1 2 0 4 1 0 0 2 2 0 0 1 0 0 3 3 4 1 3 0 1 0 1 0 0 0 2 3 1 0 2 2 4 0 2 2 0 1
"sensible" 1 1 0 1 1 1 2 3 0 2 1 4 1 0 1 0 4 2 0 2 2 0 0 1 0 0 1 1 3 1 0 3 1 1 0 0 2 0 0 2 4 1 0 3 2 8 1 2 0 1 1
"serious" 2 3 1 3 5 2 3 4 0 1 3 6 3 0 1 1 8 1 1 3 0 3 2 2 3 4 2 3 5 1 2 6 0 1 2 2 2 2 2 0 8 2 1 4 2 7 0 3 2 4 3
"silent" 2 5 4 6 6 3 4 5 3 5 5 6 4 2 4 2 12 3 4 4 6 5 3 3 1 9 3 6 11 6 3 6 2 3 7 3 5 3 4 8 0 4 4 6 4 15 4 2 1 9 3
"simple" 2 1 2 8 1 1 2 4 0 1 2 3 1 2 1 4 3 1 3 2 0 3 3 1 3 3 1 2 8 5 0 6 1 1 1 3 4 1 1 2 4 0 1 4 1 6 1 3 2 0 4
"sincere" 2 2 2 2 2 0 1 3 2 2 0 3 2 2 2 0 2 0 3 0 1 1 0 0 2 1 1 1 3 2 1 3 0 2 1 2 3 0 0 1 4 1 0 3 1 3 1 1 0 4 1
"strong" 0 5 6 4 2 2 5 5 3 5 5 6 4 1 2 1 8 2 3 2 3 3 0 2 3 2 3 1 8 3 1 4 1 0 1 3 4 2 3 4 6 4 3 0 2 10 0 0 1 5 1
"sudden" 0 3 3 3 2 0 1 1 0 1 1 2 2 0 3 1 4 0 0 1 1 3 0 2 0 1 1 2 1 1 1 2 0 1 1 2 1 2 2 2 4 1 1 2 0 6 1 1 0 1 2
"sure" 4 9 4 15 4 8 5 12 5 9 6 10 10 3 6 3 18 5 7 6 11 3 3 8 6 5 2 8 16 10 2 21 7 5 5 3 5 4 8 7 15 6 3 10 6 0 6 8 1 7 6
"sweet" 0 2 1 3 0 2 0 1 1 1 1 1 0 0 0 1 5 2 1 2 2 0 0 1 0 2 2 1 3 3 1 3 1 2 2 0 2 0 1 0 4 1 1 0 1 6 0 1 1 1 1
"true" 1 0 2 5 3 1 2 3 0 0 3 2 1 1 2 1 6 1 0 1 0 1 0 0 4 1 0 1 3 4 3 8 1 2 3 2 3 2 2 3 2 3 1 0 1 8 1 0 2 2 1
"uncertain" 1 0 2 1 0 1 3 1 0 0 3 1 0 2 3 1 5 0 0 0 0 3 0 0 1 2 0 2 2 4 3 3 1 1 0 0 0 2 0 2 1 2 0 1 0 1 1 2 0 1 2
"unhappy" 1 3 3 3 1 1 2 3 1 2 2 5 3 2 3 0 7 1 4 0 2 1 1 2 0 2 1 2 5 1 2 5 1 1 1 2 3 0 1 4 9 0 4 5 1 7 1 2 1 0 0
"violent" 1 2 1 2 3 3 4 2 0 1 2 2 2 1 0 2 3 1 0 2 2 2 3 1 1 2 0 2 3 4 0 5 2 3 3 1 2 1 1 3 3 4 1 1 2 6 1 1 2 0 0
