"affectionate" "awkward" "certain" "cheerful" "close" "cold" "constant" "delicate" "earnest" "easy" "free" "fresh" "general" "gentle" "gloomy" "handsome" "hasty" "hearty" "heavy" "honest" "humble" "jealous" "kind" "loud" "melancholy" "natural" "open" "original" "particular" "pleasant" "proud" "quick" "quiet" "sad" "second" "serious" "silent" "slow" "solemn" "strong" "sudden" "sufficient" "sure" "sweet" "true" "unhappy" "violent" "weak"
"pleasant" 3 2 8 5 4 6 3 3 1 6 5 10 12 9 2 3 1 1 6 3 7 4 9 7 0 8 13 6 8 0 8 4 12 1 9 3 4 6 4 10 2 2 20 6 9 4 7 1
"proud" 2 3 5 3 2 1 3 3 2 5 2 3 6 5 1 3 3 0 2 4 3 4 4 0 3 3 9 3 7 8 0 1 1 2 5 8 5 3 3 12 1 2 14 5 9 2 8 2
"quick" 0 0 2 2 2 5 3 1 2 3 0 6 4 2 1 3 2 1 6 2 1 1 3 3 2 2 3 2 5 4 1 0 3 1 1 1 2 2 1 3 4 4 6 1 2 1 3 3
"quiet" 3 4 12 7 8 10 3 3 6 5 5 8 5 4 3 3 4 2 5 3 3 4 7 10 3 11 15 3 4 12 1 3 0 1 4 2 6 5 2 11 4 3 16 5 10 4 3 3
"sad" 1 0 3 1 3 3 1 0 1 1 0 2 0 1 2 2 2 2 5 4 0 1 3 1 2 3 1 1 3 1 2 1 1 0 3 0 4 0 2 2 1 0 7 1 4 0 1 1
"second" 4 2 11 2 4 8 1 3 4 3 5 2 9 6 4 3 1 3 6 3 3 3 2 7 6 2 8 7 9 9 5 1 4 3 0 7 7 1 5 13 4 6 16 4 9 3 5 5
"serious" 1 1 11 1 3 2 2 3 2 6 3 2 5 1 0 2 2 0 2 0 2 3 2 3 2 5 7 3 8 3 8 1 2 0 7 0 0 1 0 9 1 2 17 4 6 4 5 3
"silent" 3 2 5 6 3 8 0 4 4 3 0 5 7 4 4 6 4 4 3 8 1 2 2 8 8 6 9 5 9 4 5 2 6 4 7 0 0 5 2 8 5 5 14 2 7 1 12 3
"slow" 0 2 6 2 0 3 0 1 0 7 0 5 4 3 1 4 0 0 3 2 2 2 3 5 3 7 4 2 2 6 3 2 5 0 1 1 5 0 0 5 1 2 9 1 3 0 3 2
"solemn" 1 0 6 0 3 4 1 0 1 0 2 0 2 1 0 2 0 1 3 1 1 0 1 3 2 1 3 3 1 4 3 1 2 2 5 0 2 0 0 5 1 0 7 1 2 2 2 2
"strong" 9 5 14 5 6 11 4 2 6 7 7 6 17 5 9 8 5 3 11 8 3 3 6 6 1 10 15 8 14 10 12 3 11 2 13 9 8 5 5 0 3 7 26 2 15 7 8 8
"sudden" 0 2 5 3 1 5 1 2 1 2 1 6 3 2 3 3 2 2 0 2 0 1 4 9 6 3 4 1 3 2 1 4 4 1 4 1 5 1 1 3 0 2 12 4 7 3 6 2
"sufficient" 0 0 4 0 1 5 0 3 3 6 4 2 3 4 1 2 2 1 4 3 0 2 3 2 2 1 3 3 2 2 2 4 3 0 6 2 5 2 0 7 2 0 3 1 6 1 3 5
"sure" 3 5 34 9 5 19 6 9 9 9 4 13 21 10 5 18 11 4 9 16 6 6 15 16 7 24 17 8 20 20 14 6 16 7 16 17 14 9 7 26 12 3 0 11 24 11 18 10
"sweet" 0 3 3 2 3 5 3 3 1 0 0 2 4 3 0 1 0 0 0 1 2 1 6 1 1 5 5 2 5 6 5 1 5 1 4 4 2 1 1 2 4 1 11 0 4 1 3 0
"true" 2 3 9 2 5 9 5 4 6 3 5 3 14 4 4 4 4 3 7 4 4 3 5 9 1 9 7 4 5 9 9 2 10 4 9 6 7 3 2 15 7 6 24 4 0 3 8 2
"unhappy" 0 0 6 1 2 1 2 0 2 3 5 3 2 1 1 2 1 3 4 4 2 1 4 3 2 4 6 1 3 4 2 1 4 0 3 4 1 0 2 7 3 1 11 1 3 0 5 4
"violent" 2 2 8 1 4 8 4 4 1 2 3 6 6 5 5 4 2 4 6 6 4 2 4 5 4 3 13 5 5 7 8 3 3 1 5 5 12 3 2 8 6 3 18 3 8 5 0 6
"weak" 0 4 4 2 1 5 1 1 1 1 1 3 5 2 1 3 0 1 4 6 1 2 1 5 3 3 4 3 4 1 2 3 3 1 5 3 3 2 2 8 2 5 10 0 2 4 6 0
