"active" "affectionate" "benevolent" "bitter" "busy" "calm" "certain" "cheerful" "cold" "constant" "domestic" "eager" "earnest" "enthusiastic" "expressive" "familiar" "fearful" "free" "fresh" "gay" "general" "generous" "gentle" "gloomy" "grateful" "hateful" "heavy" "helpless" "impatient" "intense" "intimate" "kind" "laborious" "lively" "lofty" "loud" "majestic" "melancholy" "mild" "moderate" "mournful" "natural" "nervous" "open" "peaceful" "placid" "pleasant" "quick" "rapid" "rough" "rude" "sad" "second" "selfish" "serene" "serious" "severe" "silent" "simple" "slow" "soft" "solemn" "sorrowful" "sudden" "sufficient" "sweet" "true" "ugly" "unhappy" "vain" "violent" "watchful" "weak"
"domestic" 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 2 1 2 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 1 1 1 1 2 1 0 1 0 0 0 2 2 0 1 0 0 1 0
"eager" 0 0 0 0 1 1 0 0 1 0 0 0 1 2 0 0 0 0 1 1 1 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 1 2 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 2 2 1 1 0 1 0 1 0 0
"earnest" 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 2 1 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 2 0 0 1 0 1 0 0
"enthusiastic" 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 1 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 2 1 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 1 0 0 0 1
"expressive" 0 0 3 1 0 2 0 0 2 1 0 0 0 0 0 0 0 0 2 0 1 0 2 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 2 1 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 1 1 1 0 2 0 2
"familiar" 0 0 1 0 0 2 1 2 0 0 2 0 0 0 0 0 1 2 1 0 1 0 1 1 0 0 0 0 1 0 0 0 2 0 1 1 0 2 0 0 0 2 0 0 0 1 1 1 0 0 2 1 0 0 1 1 1 1 0 0 0 1 0 2 2 1 1 0 2 1 1 1 0
"fearful" 0 1 0 0 1 2 0 2 1 0 1 0 0 0 0 1 0 0 2 1 1 0 2 0 0 0 2 0 0 2 0 0 1 0 0 1 0 2 1 0 0 0 0 1 1 0 1 0 2 0 0 0 0 1 0 1 1 3 1 1 1 2 1 0 0 2 0 1 1 2 1 2 0
"free" 0 1 1 3 2 3 2 1 3 2 2 0 0 1 0 2 0 0 1 0 0 1 3 1 0 0 1 1 1 1 1 2 0 1 3 3 1 1 0 1 0 1 3 2 2 1 0 2 0 0 0 1 0 1 2 0 0 4 3 2 1 2 1 1 5 1 3 0 1 1 0 0 1
"fresh" 1 1 0 1 1 1 2 3 3 1 1 1 1 1 2 1 2 1 0 0 1 1 5 1 1 2 0 0 1 2 1 3 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 2 2 0 1 1 0 0 0 1 1 4 0 1 2 3 1 1 2 0 1 0 2 1 1 0 3
"gay" 1 0 1 0 0 0 0 2 0 0 1 1 1 1 0 0 1 0 0 0 0 0 3 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 1 3 0 0 0 1 0 0 0 1 1 1 3 1 0 2 0 0 0 0
"general" 0 0 1 0 1 2 1 0 1 0 0 1 2 0 1 1 1 0 1 0 0 0 2 1 1 0 0 0 0 2 0 1 0 1 1 0 1 1 0 0 0 3 1 0 1 0 0 2 1 2 0 0 1 1 0 1 0 0 0 1 1 0 0 1 1 2 1 1 0 0 2 0 0
"generous" 0 2 1 3 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 3 1 1 0 0 0 1 1 0 2 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0 2 0 1 0 0 0 0
"gentle" 2 2 3 4 1 1 2 5 8 1 1 2 2 2 2 1 2 3 5 3 2 3 0 2 1 1 2 2 1 2 1 1 1 3 2 1 1 3 2 1 2 1 2 1 1 1 4 4 0 1 3 2 2 0 1 0 1 3 2 1 1 1 2 3 5 6 4 2 6 1 2 1 1
"gloomy" 0 1 1 1 1 2 0 0 0 0 0 2 1 1 1 1 0 1 1 1 1 1 2 0 0 1 1 0 0 1 0 1 0 0 0 0 3 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 3 2 1 1 0 2 0 2 0 1
"grateful" 0 0 2 1 0 0 0 1 1 1 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 1 3 1 0 0 1 0 0
"hateful" 0 0 2 0 0 1 0 0 3 0 1 0 0 0 1 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 1 0 0 0 2 0 0 1 1 1 0 0 1 1 0 1
"heavy" 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 2 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 2 0 2 0
"helpless" 1 0 1 2 1 0 0 0 2 1 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 2 0 0 0 0 0 0
"impatient" 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1
"intense" 0 1 1 0 1 1 1 0 0 0 0 1 2 0 0 0 2 1 2 0 2 1 2 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 2 0 0 1 0 0 2 1 1 0 2 2 0 1 1 1 1 0 1 2 1 0 2 0 1 1 1 0 1 2 0 0
"intimate" 1 1 1 0 0 2 0 0 0 3 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 1 0 0 2 0 0 0 1
"kind" 0 0 1 2 0 1 1 2 2 2 0 0 1 0 1 0 0 2 3 0 1 2 1 1 2 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 2 0 1 0 2 0 0 0 2 0 0 1 0 1 1 0 1 0 0 0 1 3 1 3 0 1 0 1 0 1
"laborious" 0 0 1 0 0 1 0 2 1 0 1 0 0 0 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 2 1 0 0 0
"lively" 0 1 1 0 0 1 0 0 3 1 0 1 0 2 1 0 0 1 1 0 1 0 3 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 2 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 1 2 1 1 0 0 2 1 1 2 1 1 0 0
"lofty" 0 0 0 2 1 0 1 0 0 0 1 0 1 1 0 1 0 3 1 0 1 0 2 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1
"loud" 0 0 1 1 0 2 0 1 2 1 0 0 0 1 0 1 1 3 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 2 1 0 1 0 0 1 1 0 0 2 0 1 1 2 1 0 4 0 0 0 1 0 0 0 1
"majestic" 0 0 0 2 2 1 0 0 0 0 0 2 1 1 0 0 0 1 0 1 1 0 1 3 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 2 0 0 2 1 0 0 0 1 0 0 1 0 0 1 0 2 0 1 1 1 3 1 3 1 1 0 1 0 1 0 0
"melancholy" 0 0 0 1 1 2 1 2 0 0 1 0 0 0 0 2 2 1 1 1 1 0 3 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 2 0 2 2 0 2 0 2 0 1 1 2 0 1 2 1 2 1 1 3 1 2 2 1 0 0 2 1 2 1
"mild" 0 1 3 1 0 2 1 0 4 0 0 0 0 0 1 0 1 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 2 1 1 0 0
"moderate" 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 2 0 3 0 0 0 0 0 0
"mournful" 0 0 2 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 2 0 1 2 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 1 2 1 0 1 0 0 0 0
"natural" 0 0 2 2 2 2 1 1 2 0 0 2 1 0 2 2 0 1 0 1 3 0 1 1 1 0 0 0 1 2 0 0 0 1 1 0 2 0 2 1 0 0 1 0 2 1 0 1 1 2 0 1 1 1 1 1 0 0 1 1 1 0 1 2 3 2 2 1 0 0 3 0 0
"nervous" 0 0 1 0 1 2 0 0 4 1 1 1 0 1 1 0 0 3 1 0 1 0 2 0 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 1 0 2 1 0 0 2 0 1 0 0 0 0 1 0 0 1 1 2 0 0 0 0 1 1 1 1 0 1 1 0 0
"open" 0 0 1 1 3 2 0 1 4 2 0 0 0 0 0 0 1 2 1 0 0 0 1 0 1 0 1 0 1 0 0 2 0 0 0 1 0 2 0 0 0 0 2 0 0 1 2 2 2 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 4 0 2 1 0 2 0 1 1
"peaceful" 0 0 1 1 2 2 0 0 1 0 2 1 1 0 0 0 1 2 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 2 0 1 1 1 2 1 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 1 1 0 1 0 2 3 2 0 0 0 2 0 0
"placid" 0 0 1 1 1 1 2 3 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 2 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 1 2 0 1 0 0 1 1 1 0
"pleasant" 2 1 1 0 0 2 1 2 5 1 0 0 0 0 0 1 1 0 1 0 0 0 4 1 0 0 1 2 0 0 1 0 1 1 0 0 0 2 1 0 0 0 0 2 1 1 0 1 1 0 1 2 1 0 1 1 0 2 0 0 3 0 2 1 3 2 0 1 0 2 1 1 0
"quick" 0 0 3 0 0 2 1 1 3 2 0 0 1 0 2 1 0 2 2 0 2 0 4 0 1 0 0 0 0 2 1 2 1 1 1 2 0 0 0 0 0 1 2 2 0 0 1 0 1 1 1 1 0 0 2 0 0 2 0 1 0 0 0 1 2 1 1 2 2 0 1 0 1
"rapid" 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 2 0 2 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 2 0 1 0 1 0 2 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1
"rough" 0 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 2 0 1 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 2 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 2 1 1 0 0 2 0 0
"rude" 1 1 2 1 0 0 0 2 0 0 1 0 0 0 1 2 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 2 2 1 0 1 0 0 1 0
"sad" 1 1 2 2 0 2 0 2 2 0 0 0 0 0 0 1 0 1 1 0 0 1 2 1 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 2 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1 2 2 0 2 1 0 2 1 2 0 0
"second" 0 1 0 1 1 2 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 1 2 0 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 2 1 2 0 0 1 1 0 0
"selfish" 0 0 0 2 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1
"serene" 1 0 2 0 0 2 0 1 1 1 1 0 1 0 0 1 0 2 0 3 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 2 0 0 1 1 1 1 1 1 1 2 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 2 1 0 1 2 1 0 0
"serious" 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0
"severe" 0 2 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 2 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 2 1
"silent" 0 1 1 3 1 3 2 3 4 1 1 0 0 0 1 1 3 4 4 0 0 1 3 1 1 1 1 0 1 1 1 1 1 0 0 2 2 2 1 0 0 0 1 1 1 2 2 2 0 0 0 1 0 0 1 1 1 0 0 1 0 4 2 1 3 1 3 0 3 1 1 2 1
"simple" 0 2 1 1 1 3 0 1 0 1 2 1 0 0 0 0 1 3 0 1 0 1 2 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 2 1 1 2 2 0 3 0 1 0 0
"slow" 0 0 1 1 1 1 0 1 2 0 1 0 0 0 1 0 1 2 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 2 0 0 0 1 2 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 2 1 0 1 1 2 2 0 1 1 0 1
"soft" 2 2 1 0 1 2 0 1 0 2 0 1 1 0 0 0 1 1 2 0 1 0 1 1 0 0 0 1 0 2 2 0 0 2 0 1 1 1 0 0 0 1 0 0 1 0 3 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 2 0 1 2 0 0 1 1 1 0 0
"solemn" 0 0 0 1 0 1 1 2 3 0 1 0 0 1 0 1 2 2 3 0 0 0 1 0 0 2 1 0 0 1 0 0 1 1 0 2 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 4 0 2 0 0 1 0 2 0 0 1 1 2 0 0 0
"sorrowful" 1 1 0 2 1 1 0 2 0 0 0 0 0 0 0 0 1 1 1 1 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 3 3 0 0 0 1 0 0 1 1 2 0 0 0 1 2 0 0 1 0 0 2 2 1 2 1 0 0 2 1 1 0 1 1 1 0 0
"sudden" 0 0 0 1 0 2 1 0 0 0 0 2 1 1 0 2 0 1 1 1 1 0 3 3 0 0 1 0 0 2 0 1 0 0 1 0 1 1 0 1 1 2 0 0 0 1 1 1 1 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 3 0 2 0 1 1 2 0 0
"sufficient" 1 0 3 4 1 3 0 2 4 3 0 2 0 2 0 2 0 5 2 1 1 1 5 2 2 1 1 1 1 0 1 3 2 0 1 4 3 2 0 2 1 3 1 4 2 2 3 2 1 0 2 0 2 1 1 1 0 3 1 1 1 2 2 3 0 0 5 0 3 2 0 0 1
"sweet" 1 1 4 1 1 2 0 2 5 1 2 1 2 0 2 1 2 1 0 3 2 0 6 1 1 1 0 1 0 1 1 1 0 2 0 0 1 2 1 0 2 2 1 0 3 0 2 1 0 2 2 2 1 0 2 1 1 1 2 1 2 0 1 0 0 0 3 1 3 0 3 1 0
"true" 0 1 3 7 1 0 1 1 3 1 2 1 0 0 1 1 0 3 1 1 1 2 4 1 3 1 0 2 1 1 0 3 0 1 1 0 1 1 0 3 1 2 1 2 2 1 0 1 1 1 1 1 2 0 1 0 1 3 2 2 0 0 1 2 5 3 0 1 1 0 1 0 0
"ugly" 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 1 0 1 1 1 0 0
"unhappy" 1 2 2 1 0 4 0 2 2 2 1 1 1 1 1 2 1 1 2 2 0 1 6 2 0 0 0 0 1 0 2 1 2 2 0 1 1 0 2 0 1 0 0 0 0 0 0 2 0 0 1 2 0 0 1 1 0 3 3 0 1 1 1 1 3 3 1 1 0 0 1 0 1
"vain" 0 0 1 1 2 4 0 0 5 0 0 0 0 0 0 1 2 1 1 0 0 0 1 0 0 1 2 0 0 1 0 0 1 1 0 0 0 2 1 0 0 0 1 2 0 1 2 0 0 0 0 1 1 1 2 0 0 1 0 1 1 2 1 1 2 0 0 1 0 0 1 1 0
"violent" 0 0 1 0 1 3 0 0 2 0 0 1 1 0 2 1 1 0 1 0 2 0 2 2 1 1 0 0 0 2 0 1 0 1 0 0 1 1 1 0 0 3 1 0 2 1 1 1 0 2 0 2 1 0 1 1 1 1 1 1 1 0 1 2 0 3 1 1 1 1 0 0 1
"watchful" 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"weak" 0 0 0 1 1 1 0 0 0 1 0 0 0 1 2 0 0 1 3 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0
