"" "#-extraordinary" "#-familiar" "#-strong" "#-worth" "afraid" "beautiful" "best" "biggest" "blessed" "brave" "calm" "capable" "careful" "catholic" "cautious" "charitable" "cheerful" "clean" "comfortable" "competent" "cruel" "curious" "dangerous" "delicious" "delighted" "delightful" "determined" "different" "encouraging" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "free" "friendly" "generous" "gentle" "greatest" "happy" "heavenly" "helpful" "historical" "holy" "honest" "humble" "improper" "jest" "loose" "mighty" "natural" "original" "outrageous" "passionate" "pleasant" "powerful" "profitable" "qualified" "quiet" "reasonable" "religious" "rich" "safe" "scared" "scripture" "secure" "sincere" "strong" "suited" "superior" "surprising" "universal" "unpleasant" "weaker" "wealthy" "wise" "worth" "weak" "subordinate" "special" "welcome" "top"
"friendly" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"generous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"gentle" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"greatest" 0 0 0 0 2 0 3 1 0 0 1 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 2 0 1 0 1 0 0 0 0 1 1 0 1 0 4 0 0 1 1 2 1 0 0 1 2 0 0 0 0 1 0 1 0 1 0 2 1 3 0 1 0 3 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0
"happy" 0 0 0 0 0 0 5 0 1 0 2 1 1 0 1 0 1 0 2 1 0 0 1 0 1 0 1 1 0 1 1 2 0 0 1 0 1 2 0 2 4 0 0 0 1 0 2 1 1 0 1 0 1 1 0 0 4 0 0 0 2 0 0 3 8 0 1 1 2 5 1 1 0 0 1 0 0 1 1 1 1 0 0 0
"heavenly" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"helpful" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"historical" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"holy" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"honest" 0 1 0 0 1 0 4 0 0 0 0 0 0 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 3 3 0 0 0 1 1 1 0 2 2 0 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 3 0 2 4 5 0 0 0 2 2 0 0 0 1 0 0 1 0 2 0 0 0 0 0
"humble" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"improper" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"jest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"loose" 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mighty" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"natural" 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 0
"original" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"outrageous" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"passionate" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pleasant" 0 0 0 0 2 0 2 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 2 0 1 0 0 1 0 0 0 0 0 0 1 1 4 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 5 0 0 1 1 6 0 0 2 0 0 0 0 1 0 0 0 0 0 0
"powerful" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"profitable" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"qualified" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"quiet" 0 0 0 0 1 0 4 0 0 0 3 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 1 0 0 1 2 0 0 0 0 3 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 2 4 0 0 1 2 3 0 0 1 1 0 0 1 0 2 0 0 0 0 0
"reasonable" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"religious" 0 1 0 0 1 0 2 1 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 1 1 0 2 2 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0
"rich" 0 0 0 0 0 0 3 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 2 1 0 0 0 1 1 1 0 1 3 1 0 0 0 4 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 1 0 4 0 0 1 2 3 0 0 1 1 0 0 1 0 1 1 0 0 0 0
"safe" 1 0 0 1 5 0 6 1 1 0 6 2 1 0 0 2 0 0 2 0 0 2 0 0 1 0 0 2 0 2 2 2 3 0 0 1 4 2 0 1 3 8 1 1 0 1 5 0 1 0 0 2 1 2 0 0 5 0 0 0 4 2 1 4 0 0 0 3 2 11 0 0 3 0 0 0 0 1 3 2 0 0 1 0
"scared" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"scripture" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"secure" 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 2 1 3 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 1
"sincere" 0 0 0 0 0 0 3 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 2 0 0 0 0 1 0 0 3 2 0 1 1 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 2 2 2 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0
"strong" 0 0 0 0 1 1 4 1 0 0 7 1 2 0 0 0 2 0 2 0 0 0 0 1 1 1 0 2 0 2 2 2 2 1 0 0 1 0 0 1 0 5 0 1 0 1 2 1 1 0 1 0 0 0 0 0 6 0 0 0 3 1 0 3 11 1 0 4 1 0 0 0 3 0 0 0 0 1 1 2 0 0 1 1
"suited" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0
"superior" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"surprising" 0 0 0 1 2 0 2 2 0 0 3 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 3 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0
