"" "#-fancy" "#-happy" "#-married" "#-pleasing" "#-wise" "accomplished" "afraid" "alert" "amusing" "beautiful" "best" "blessed" "bustle" "calm" "capable" "careful" "cautious" "charitable" "cheerful" "clean" "clever" "comfortable" "compassionate" "competent" "confident" "cruel" "curious" "dangerous" "delicate" "delicious" "delighted" "delightful" "determined" "different" "direct" "encouraging" "energetic" "entertaining" "entitled" "exciting" "extraordinary" "extreme" "fair" "faithful" "familiar" "famous" "fancy" "feeling" "forgiving" "free" "friendly" "generous" "gentle" "genuine" "graceful" "greatest" "happier" "happy" "harmless" "honest" "humble" "improper" "independent" "intellectual" "intelligent" "interesting" "irregular" "legal" "liberal" "married" "mighty" "minded" "modest" "moral" "natural" "neat" "obliged" "original" "playful" "pleasant" "pleasing" "polite" "popular" "powerful" "professional" "profitable" "proud" "prudent" "qualified" "quiet" "reasonable" "rich" "richest" "sacred" "safe" "safer" "secure" "selfish" "shocked" "sincere" "social" "spontaneous" "stable" "standing" "strong" "superior" "surprising" "uncertain" "unfair" "united" "universal" "unpleasant" "weak" "weaker" "welcome" "wise" "worth" "productive" "thoughtful" "encouraged" "strengthened" "tidy" "subordinate"
"best" 1 0 0 0 1 2 11 0 2 8 0 1 0 1 1 2 2 1 9 1 5 12 0 0 1 1 1 4 3 1 2 9 6 10 2 1 0 1 1 1 6 2 9 0 1 1 2 1 0 2 5 1 3 0 3 11 2 28 1 2 2 1 2 2 2 10 1 1 4 8 1 1 0 0 10 4 0 1 1 9 5 0 0 1 0 0 3 2 1 7 5 7 1 0 2 2 2 0 1 0 1 0 0 2 14 11 0 1 0 2 1 2 2 0 2 1 8 0 1 1 1 1 0
"blessed" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bustle" 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"calm" 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0
"capable" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 0 2 1 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"careful" 0 0 0 0 0 0 2 0 0 1 2 0 0 0 1 0 0 0 1 0 2 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 1 0 2 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 3 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0
"cautious" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"charitable" 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cheerful" 1 0 0 0 0 0 7 0 2 6 9 1 2 0 0 1 0 0 0 0 3 7 0 0 0 1 0 1 1 0 3 5 2 5 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 0 6 1 5 0 0 4 2 15 0 0 2 1 1 1 2 4 0 0 1 4 0 0 1 0 8 1 1 2 1 8 6 0 0 1 0 0 2 0 0 3 3 2 0 0 2 0 1 0 0 0 4 0 1 0 6 5 2 0 0 0 0 2 1 0 2 1 3 1 0 0 0 0 0
"clean" 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"clever" 0 1 0 0 0 0 6 0 1 3 5 0 0 0 1 2 1 0 3 0 0 4 0 1 0 0 0 1 2 0 0 2 1 3 1 1 0 1 0 1 1 1 5 0 1 0 1 0 0 2 1 1 3 0 0 4 0 9 0 0 2 0 1 1 1 3 0 0 0 2 0 0 0 0 9 0 0 1 1 5 2 0 0 0 0 0 2 1 0 1 1 1 0 0 1 0 0 1 0 1 1 0 0 0 3 6 0 0 0 2 0 1 1 0 0 0 1 0 0 0 0 0 0
"comfortable" 0 0 0 0 0 1 6 0 1 3 12 0 0 0 1 1 1 0 7 1 4 0 0 0 2 1 1 2 0 1 4 7 2 5 0 1 0 1 1 1 0 2 6 0 1 0 1 0 1 0 4 1 2 2 0 6 1 14 1 2 2 1 2 2 1 4 1 0 1 6 0 0 1 0 10 2 0 0 1 6 3 0 0 1 0 0 1 1 0 5 4 5 0 0 3 0 3 0 0 1 0 0 0 1 6 5 0 0 0 1 1 4 0 0 3 1 7 0 2 0 0 0 0
"compassionate" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"competent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"confident" 0 0 0 0 0 0 3 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0
"cruel" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"curious" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"dangerous" 0 0 0 1 0 1 0 0 0 0 4 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 1 0 0 2 0 0 0 1 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 4 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
"delicate" 0 0 0 0 0 0 3 0 1 3 3 0 0 0 1 2 0 0 1 0 2 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 0 1 0 2 0 1 3 1 5 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 4 0 0 1 0 2 3 1 1 0 0 0 0 0 1 2 1 2 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"delicious" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"delighted" 0 0 0 0 0 0 5 0 0 1 2 0 1 1 2 0 0 0 3 0 0 4 0 1 0 1 1 0 1 0 0 3 1 5 0 0 0 1 1 0 3 2 2 0 0 1 2 1 1 0 2 0 2 0 0 3 1 14 1 2 1 0 1 1 0 3 0 0 2 4 0 0 0 0 5 1 0 2 0 5 1 1 0 0 1 0 0 1 0 4 2 1 0 0 2 0 0 0 2 1 1 0 0 0 2 7 1 0 0 1 1 1 0 1 1 1 3 1 1 0 0 0 0
"delightful" 1 1 0 0 1 3 11 1 0 2 9 0 0 0 1 0 1 1 5 0 2 7 1 0 0 2 0 1 0 1 3 0 2 6 2 0 1 0 0 1 3 1 4 0 3 2 1 0 0 2 4 1 4 1 0 5 1 20 0 1 1 1 1 1 0 6 1 0 2 6 0 0 0 1 6 2 1 0 0 6 3 0 0 3 0 1 2 0 0 7 3 2 0 0 3 2 1 2 2 1 1 0 0 0 6 11 0 1 1 2 0 2 0 0 2 2 5 1 2 0 0 0 0
"determined" 0 0 0 0 0 0 5 0 0 1 6 0 0 0 0 1 1 0 2 0 1 2 0 0 0 0 0 0 0 0 1 2 0 3 2 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 2 0 0 0 0 2 0 7 0 1 3 0 2 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0 0 5 1 0 0 1 0 0 0 0 0 0 1 4 0 0 1 1 1 0 1 0 0 0 0 0 4 6 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0
"different" 1 0 1 0 1 0 13 0 1 5 10 0 1 0 1 0 0 1 5 1 3 5 2 0 0 0 2 1 1 1 5 6 3 0 0 2 0 1 0 1 2 4 3 1 1 1 1 0 0 2 4 2 3 0 0 7 2 18 0 3 2 0 3 1 3 3 2 1 1 2 0 0 1 0 5 2 1 0 0 10 4 0 0 0 0 0 0 0 0 4 2 4 1 0 8 3 1 0 0 0 0 0 0 1 6 12 1 0 0 0 0 1 0 0 2 1 4 0 0 0 0 0 1
"direct" 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 2 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 5 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0 0 3 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"encouraging" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"energetic" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"entertaining" 0 0 0 0 0 0 2 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"entitled" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0
"exciting" 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 2 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 2 0 5 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 3 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 1 0 0 1 1 2 0 0 0 0 0 0
"extraordinary" 0 1 0 0 0 0 3 0 0 2 6 0 0 1 0 0 0 1 0 0 1 0 2 0 0 1 0 1 1 0 3 3 1 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 2 0 8 0 0 1 0 1 0 0 6 0 0 0 0 0 1 0 0 7 0 0 1 1 1 0 0 0 1 0 0 1 0 1 1 4 1 0 1 2 1 0 1 0 1 0 0 0 0 4 6 0 0 0 0 0 4 2 0 0 0 2 0 0 0 0 0 0
"extreme" 0 0 1 1 0 0 4 0 0 0 2 1 0 0 1 1 0 1 1 0 1 2 0 1 0 0 0 2 1 0 2 1 0 4 1 0 0 0 0 1 0 0 4 0 0 0 0 0 1 0 1 1 1 0 0 1 2 6 0 0 0 1 1 0 1 2 1 1 1 0 0 0 0 0 4 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 0 0 1 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1
"fair" 0 0 0 0 0 0 7 0 1 0 9 0 0 0 1 3 2 0 2 0 5 6 0 1 0 0 0 1 2 0 2 4 1 3 0 1 1 0 1 1 0 4 0 0 0 0 1 0 1 0 3 0 3 0 0 5 1 7 1 1 1 0 0 1 1 3 0 1 2 1 1 0 0 0 8 2 0 0 0 2 2 1 0 0 0 0 1 0 0 4 3 2 1 0 1 0 1 0 0 0 0 0 0 0 6 6 0 1 0 2 1 1 0 0 2 0 4 0 1 0 0 0 0
"faithful" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0
"familiar" 0 1 0 0 1 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"famous" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"fancy" 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 1 2 0 0 0 0 0 0
"feeling" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"forgiving" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"free" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
